# Date: 20210413
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: Ni-SC_005
# Fit of Tap:
#	Ic = 44.8 +/- 3.4 A
#	n = 1e+03 +/- 4.8e+03 
#	Vc = 5 uV
#	Vfloor = 2.94 +/- 0.018 uV
#	R = 0.0139 +/- 0.0007 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.000000,0.270000,0.000000,-10.000000,0.049126,8.770000,-4.256684
2.900000,0.310000,0.166667,-12.000000,0.078454,8.750000,-4.140820
2.900000,0.350000,0.333333,-12.000000,0.085782,8.850000,-4.335116
2.900000,0.550000,0.500000,-12.000000,0.102831,8.850000,-4.335116
3.100000,0.630000,0.666667,-11.800000,0.111683,8.770000,-4.126560
3.000000,0.850000,0.833333,-11.600000,0.127048,8.750000,-4.140820
2.800000,1.030000,1.000000,-11.800000,0.143359,8.750000,-4.158645
2.900000,1.250000,1.166667,-9.400000,0.161679,8.750000,-4.142602
3.000000,1.330000,1.333333,-9.800000,0.177132,8.730000,-4.151515
2.900000,1.470000,1.500000,-9.800000,0.193537,8.710000,-4.151515
3.000000,1.630000,1.666667,-9.800000,0.214791,8.750000,-4.203209
3.000000,1.750000,1.833333,-9.800000,0.225322,8.690000,-4.221034
3.000000,1.890000,2.000000,-9.400000,0.240829,8.750000,-4.253119
3.000000,2.110000,2.166667,-9.400000,0.257263,8.770000,-4.260250
3.000000,2.270000,2.333333,-9.600000,0.272681,8.790000,-4.290553
2.800000,2.390000,2.500000,-9.600000,0.289104,8.790000,-4.288770
2.500000,2.570000,2.666667,-9.800000,0.305546,8.790000,-4.294118
3.000000,2.730000,2.833333,-9.600000,0.321033,8.830000,-4.333333
3.000000,2.870000,3.000000,-9.800000,0.337698,8.790000,-4.331551
2.800000,3.010000,3.166667,-9.600000,0.353183,8.830000,-4.329768
3.000000,3.230000,3.333333,-9.400000,0.369715,8.870000,-4.329768
3.000000,3.370000,3.500000,-9.600000,0.398010,8.810000,-4.190731
3.100000,3.530000,3.666667,-9.400000,0.418138,8.890000,-4.303030
3.200000,3.670000,3.833333,-9.600000,0.434703,8.910000,-4.299465
3.000000,3.810000,4.000000,-9.400000,0.450187,8.930000,-4.278075
3.100000,3.950000,4.166667,-9.400000,0.466685,8.850000,-4.274510
2.700000,4.150000,4.333333,-9.400000,0.482123,8.810000,-4.228164
2.900000,4.330000,4.500000,-9.800000,0.498522,8.830000,-4.222816
2.900000,4.490000,4.666667,-9.400000,0.515025,8.770000,-4.206774
3.000000,4.630000,4.833333,-9.600000,0.530420,8.770000,-4.162210
3.100000,4.810000,5.000000,-9.200000,0.547162,8.770000,-4.174688
2.900000,4.890000,5.166667,-9.200000,0.562724,8.810000,-4.144385
3.000000,5.090000,5.333333,-10.000000,0.578317,8.750000,-4.139037
3.200000,5.230000,5.500000,-9.600000,0.597976,8.790000,-4.194296
2.900000,5.350000,5.666667,-9.600000,0.610530,8.770000,-4.151515
3.000000,5.570000,5.833333,-9.600000,0.626063,8.750000,-4.201426
3.000000,5.710000,6.000000,-9.400000,0.642559,8.730000,-4.201426
2.800000,5.890000,6.166667,-10.000000,0.658024,8.770000,-4.231729
3.200000,6.030000,6.333333,-9.400000,0.674444,8.710000,-4.244207
2.700000,6.210000,6.500000,-9.800000,0.698446,8.870000,-4.215686
2.700000,6.290000,6.666667,-10.200000,0.708565,8.750000,-4.215686
2.900000,6.530000,6.833333,-9.600000,0.722019,8.830000,-4.301248
3.000000,6.650000,7.000000,-9.200000,0.738457,8.850000,-4.308378
3.000000,6.870000,7.166667,-9.600000,0.754971,8.830000,-4.311943
3.100000,7.010000,7.333333,-9.600000,0.770415,8.850000,-4.338681
3.100000,7.210000,7.500000,-9.600000,0.793141,8.750000,-4.201426
3.100000,7.290000,7.666667,-9.600000,0.802555,8.870000,-4.352941
3.100000,7.470000,7.833333,-9.000000,0.818027,8.910000,-4.331551
3.100000,7.610000,8.000000,-9.400000,0.834717,8.890000,-4.327986
3.300000,7.770000,8.166667,-9.400000,0.850227,8.850000,-4.295900
3.100000,7.930000,8.333333,-9.800000,0.866762,8.870000,-4.301248
2.800000,8.110000,8.500000,-9.600000,0.882219,8.790000,-4.256684
2.900000,8.270000,8.666667,-9.800000,0.898737,8.930000,-4.237077
3.200000,8.430000,8.833333,-9.200000,0.914168,8.850000,-4.187166
3.200000,8.630000,9.000000,-9.400000,0.930663,8.770000,-4.181818
3.300000,8.730000,9.166667,-9.400000,0.946084,8.770000,-4.160428
3.100000,8.910000,9.333333,-9.000000,0.962511,8.790000,-4.155080
3.200000,9.070000,9.500000,-9.200000,0.978999,8.830000,-4.151515
3.100000,9.230000,9.666667,-9.400000,1.013829,8.830000,-4.171123
3.300000,9.350000,9.833333,-9.600000,1.030476,8.770000,-4.172906
3.100000,9.490000,10.000000,-9.400000,1.046146,8.770000,-4.153298
3.400000,9.710000,10.166667,-9.600000,1.061657,8.730000,-4.153298
3.200000,9.830000,10.333333,-10.000000,1.078216,8.710000,-4.151515
3.000000,10.010000,10.500000,-9.800000,1.093842,8.730000,-4.178253
3.000000,10.210000,10.666667,-9.400000,1.110319,8.710000,-4.197861
3.100000,10.330000,10.833333,-9.600000,1.125867,8.770000,-4.224599
3.100000,10.550000,11.000000,-9.600000,1.142311,8.690000,-4.233512
3.100000,10.630000,11.166667,-9.800000,1.157825,8.750000,-4.265597
3.000000,10.870000,11.333333,-9.400000,1.174247,8.750000,-4.262032
2.900000,11.010000,11.500000,-9.600000,1.194129,8.770000,-4.167558
2.800000,11.130000,11.666667,-9.200000,1.205741,8.810000,-4.324421
3.300000,11.310000,11.833333,-9.400000,1.222185,8.810000,-4.333333
3.200000,11.390000,12.000000,-9.600000,1.237715,8.830000,-4.351159
3.300000,11.590000,12.166667,-9.600000,1.254144,8.870000,-4.352941
3.300000,11.750000,12.333333,-9.600000,1.269561,8.870000,-4.356506
3.300000,11.990000,12.500000,-9.800000,1.297843,8.770000,-4.194296
3.300000,12.010000,12.666667,-9.800000,1.308073,8.730000,-4.245989
2.800000,12.150000,12.833333,-9.200000,1.317451,8.890000,-4.304813
3.200000,12.350000,13.000000,-9.600000,1.334085,8.930000,-4.303030
2.900000,12.590000,13.166667,-9.400000,1.349565,8.850000,-4.263815
3.200000,12.670000,13.333333,-9.800000,1.366093,8.890000,-4.263815
3.000000,12.850000,13.500000,-9.800000,1.381651,8.770000,-4.213904
3.200000,12.970000,13.666667,-9.600000,1.401798,8.910000,-4.336898
3.500000,13.150000,13.833333,-9.400000,1.414314,8.830000,-4.188948
3.200000,13.330000,14.000000,-9.200000,1.429840,8.810000,-4.158645
3.100000,13.510000,14.166667,-9.600000,1.446398,8.890000,-4.155080
3.200000,13.690000,14.333333,-9.200000,1.462199,8.810000,-4.137255
2.900000,13.890000,14.500000,-9.400000,1.477801,8.790000,-4.146168
3.100000,14.010000,14.666667,-9.600000,1.494318,8.730000,-4.155080
3.200000,14.170000,14.833333,-9.600000,1.509839,8.710000,-4.196078
3.000000,14.330000,15.000000,-9.600000,1.526256,8.730000,-4.206774
3.300000,14.450000,15.166667,-9.400000,1.541768,8.770000,-4.237077
2.900000,14.650000,15.333333,-9.800000,1.558201,8.730000,-4.253119
3.200000,14.750000,15.500000,-9.200000,1.573765,8.810000,-4.285205
3.000000,15.010000,15.666667,-9.600000,1.609091,8.730000,-4.226381
2.900000,15.110000,15.833333,-9.600000,1.625837,8.670000,-4.231729
3.300000,15.270000,16.000000,-9.600000,1.641306,8.750000,-4.265597
3.200000,15.430000,16.166667,-9.200000,1.657793,8.730000,-4.267380
2.900000,15.650000,16.333333,-9.600000,1.673229,8.750000,-4.299465
3.200000,15.770000,16.500000,-9.400000,1.689721,8.710000,-4.306595
3.000000,15.970000,16.666667,-9.600000,1.705155,8.850000,-4.336898
3.200000,16.070000,16.833333,-9.600000,1.721662,8.850000,-4.333333
3.300000,16.190000,17.000000,-9.800000,1.737101,8.850000,-4.326203
3.000000,16.350000,17.166667,-9.600000,1.753527,8.870000,-4.333333
3.300000,16.490000,17.333333,-9.200000,1.769005,8.970000,-4.333333
3.200000,16.710000,17.500000,-9.200000,1.794227,8.730000,-4.153298
2.800000,16.750000,17.666667,-9.800000,1.803806,8.870000,-4.329768
3.100000,16.970000,17.833333,-9.400000,1.817255,8.910000,-4.278075
3.200000,17.130000,18.000000,-9.600000,1.833932,8.850000,-4.276292
3.000000,17.350000,18.166667,-9.800000,1.849452,8.850000,-4.242424
3.300000,17.450000,18.333333,-9.200000,1.864962,8.810000,-4.185383
3.100000,17.610000,18.500000,-9.400000,1.881404,8.790000,-4.178253
3.300000,17.770000,18.666667,-9.000000,1.905840,8.790000,-4.306595
3.000000,17.930000,18.833333,-9.400000,1.916062,8.830000,-4.233512
3.100000,18.070000,19.000000,-9.200000,1.929530,8.770000,-4.126560
3.300000,18.290000,19.166667,-9.200000,1.945048,8.770000,-4.139037
3.200000,18.410000,19.333333,-9.400000,1.961446,8.770000,-4.137255
3.100000,18.610000,19.500000,-9.600000,1.976938,8.770000,-4.187166
3.300000,18.730000,19.666667,-9.400000,1.997171,8.830000,-4.139037
3.000000,18.890000,19.833333,-9.600000,2.009766,8.710000,-4.197861
3.200000,19.030000,20.000000,-9.600000,2.025206,8.790000,-4.237077
3.400000,19.250000,20.166667,-9.600000,2.041707,8.790000,-4.237077
3.300000,19.370000,20.333333,-9.200000,2.057117,8.810000,-4.278075
3.300000,19.590000,20.500000,-9.400000,2.073598,8.830000,-4.267380
3.000000,19.750000,20.666667,-9.400000,2.089327,8.770000,-4.304813
3.300000,19.890000,20.833333,-9.400000,2.104890,8.850000,-4.329768
3.300000,19.970000,21.000000,-9.400000,2.121424,8.870000,-4.333333
3.200000,20.110000,21.166667,-9.600000,2.136994,8.930000,-4.338681
3.100000,20.350000,21.333333,-9.400000,2.153430,8.890000,-4.340463
3.100000,20.390000,21.500000,-9.400000,2.168929,8.930000,-4.320856
3.200000,20.710000,21.666667,-9.400000,2.209425,8.750000,-4.210339
3.200000,20.750000,21.833333,-9.800000,2.226073,8.750000,-4.210339
3.200000,20.950000,22.000000,-9.600000,2.241498,8.790000,-4.237077
3.400000,21.090000,22.166667,-9.600000,2.258008,8.730000,-4.251337
3.300000,21.270000,22.333333,-9.400000,2.273414,8.810000,-4.286988
3.100000,21.450000,22.500000,-9.400000,2.289913,8.790000,-4.285205
3.300000,21.610000,22.666667,-9.400000,2.305310,8.830000,-4.319073
3.200000,21.750000,22.833333,-9.400000,2.321805,8.830000,-4.320856
3.400000,21.930000,23.000000,-9.400000,2.337424,8.810000,-4.327986
3.200000,22.090000,23.166667,-9.200000,2.354045,8.850000,-4.329768
3.200000,22.250000,23.333333,-9.600000,2.369493,8.890000,-4.338681
3.200000,22.410000,23.500000,-9.600000,2.394115,8.670000,-4.171123
3.300000,22.510000,23.666667,-9.400000,2.403541,8.870000,-4.336898
3.200000,22.650000,23.833333,-9.400000,2.417976,8.810000,-4.303030
3.100000,22.870000,24.000000,-9.400000,2.433419,8.850000,-4.265597
3.100000,23.010000,24.166667,-9.400000,2.449899,8.830000,-4.256684
3.200000,23.110000,24.333333,-9.400000,2.465335,8.770000,-4.206774
3.300000,23.330000,24.500000,-9.600000,2.481812,8.810000,-4.203209
3.100000,23.530000,24.666667,-9.800000,2.505764,8.810000,-4.322638
3.200000,23.550000,24.833333,-9.600000,2.516016,8.810000,-4.240642
3.200000,23.690000,25.000000,-9.200000,2.529478,8.810000,-4.151515
3.400000,23.930000,25.166667,-9.200000,2.546486,8.790000,-4.158645
3.300000,24.050000,25.333333,-9.400000,2.562022,8.790000,-4.153298
3.200000,24.290000,25.500000,-9.200000,2.577558,8.710000,-4.178253
3.500000,24.430000,25.666667,-9.600000,2.598197,8.850000,-4.199643
3.300000,24.510000,25.833333,-9.600000,2.609831,8.770000,-4.213904
3.300000,24.690000,26.000000,-9.400000,2.625286,8.750000,-4.249554
3.300000,24.850000,26.166667,-9.200000,2.641820,8.770000,-4.249554
3.500000,24.990000,26.333333,-9.400000,2.657242,8.830000,-4.285205
3.300000,25.190000,26.500000,-9.200000,2.673672,8.830000,-4.286988
3.400000,25.310000,26.666667,-9.600000,2.689189,8.850000,-4.319073
3.300000,25.510000,26.833333,-9.800000,2.705604,8.810000,-4.322638
3.400000,25.690000,27.000000,-9.200000,2.722018,8.830000,-4.335116
3.400000,25.790000,27.166667,-9.400000,2.737434,8.870000,-4.347594
3.200000,26.010000,27.333333,-9.400000,2.753904,8.890000,-4.336898
3.300000,26.090000,27.500000,-9.200000,2.769329,8.890000,-4.326203
3.500000,26.310000,27.666667,-9.400000,2.809060,8.750000,-4.231729
3.300000,26.490000,27.833333,-9.800000,2.825832,8.710000,-4.228164
3.200000,26.590000,28.000000,-9.400000,2.841413,8.750000,-4.251337
3.400000,26.750000,28.166667,-8.800000,2.856998,8.750000,-4.272727
3.100000,26.930000,28.333333,-9.200000,2.873447,8.770000,-4.290553
3.300000,27.090000,28.500000,-9.800000,2.889020,8.790000,-4.320856
3.200000,27.230000,28.666667,-9.600000,2.905518,8.830000,-4.324421
3.500000,27.310000,28.833333,-9.600000,2.921003,8.830000,-4.342246
3.100000,27.550000,29.000000,-9.200000,2.937456,8.890000,-4.338681
3.400000,27.690000,29.166667,-9.400000,2.953320,8.850000,-4.349376
3.300000,27.830000,29.333333,-9.400000,2.969016,8.910000,-4.331551
3.100000,28.050000,29.500000,-9.600000,2.994945,8.770000,-4.147950
3.200000,28.090000,29.666667,-9.800000,3.004400,8.890000,-4.340463
3.600000,28.270000,29.833333,-9.400000,3.017904,8.910000,-4.304813
3.300000,28.490000,30.000000,-9.400000,3.033344,8.830000,-4.267380
3.400000,28.630000,30.166667,-9.400000,3.048891,8.830000,-4.224599
3.400000,28.790000,30.333333,-9.600000,3.065337,8.830000,-4.204991
3.500000,28.850000,30.500000,-9.400000,3.082014,8.810000,-4.208556
3.100000,29.130000,30.666667,-9.200000,3.106494,8.830000,-4.315508
3.200000,29.230000,30.833333,-9.400000,3.116768,8.810000,-4.263815
3.700000,29.410000,31.000000,-9.600000,3.129300,8.770000,-4.130125
3.500000,29.590000,31.166667,-9.400000,3.145833,8.810000,-4.142602
3.500000,29.730000,31.333333,-9.400000,3.161278,8.790000,-4.160428
3.300000,29.950000,31.500000,-9.400000,3.177787,8.730000,-4.172906
3.600000,30.090000,31.666667,-9.400000,3.198570,8.790000,-4.199643
3.600000,30.230000,31.833333,-9.400000,3.209091,8.750000,-4.240642
3.400000,30.410000,32.000000,-9.200000,3.225512,8.750000,-4.245989
3.500000,30.550000,32.166667,-9.400000,3.240990,8.770000,-4.272727
3.500000,30.690000,32.333333,-9.200000,3.257416,8.810000,-4.283422
3.600000,30.910000,32.500000,-9.600000,3.272838,8.830000,-4.319073
3.200000,31.010000,32.666667,-9.600000,3.289274,8.870000,-4.315508
3.300000,31.190000,32.833333,-9.800000,3.305769,8.870000,-4.324421
3.400000,31.370000,33.000000,-9.600000,3.321192,8.950000,-4.344029
3.500000,31.450000,33.166667,-9.400000,3.337847,8.910000,-4.342246
3.300000,31.630000,33.333333,-9.200000,3.353364,8.950000,-4.347594
3.500000,31.750000,33.500000,-9.400000,3.369039,8.950000,-4.329768
3.500000,31.950000,33.666667,-11.800000,3.401127,8.930000,-4.324421
3.300000,32.050000,33.833333,-11.600000,3.417558,8.910000,-4.311943
3.500000,32.250000,34.000000,-11.800000,3.433881,8.910000,-4.295900
3.400000,32.430000,34.166667,-12.200000,3.449217,8.830000,-4.253119
3.400000,32.590000,34.333333,-11.800000,3.465499,8.850000,-4.231729
3.400000,32.750000,34.500000,-11.600000,3.481792,8.850000,-4.222816
3.200000,32.950000,34.666667,-9.400000,3.499039,8.850000,-4.221034
3.400000,33.070000,34.833333,-9.400000,3.515466,8.750000,-4.217469
3.600000,33.210000,35.000000,-9.400000,3.531963,8.830000,-4.206774
3.300000,33.390000,35.166667,-9.600000,3.547361,8.810000,-4.160428
