# Date: 20210413
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: Ni-SC_006
# Fit of Tap:
#	Ic = 148 A
#	n = 225 
#	Vc = 5 uV
#	Vfloor = 3.22 uV
#	R = 0.00343 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.900000,0.250000,0.000000,-9.600000,0.062562,8.830000,-4.327986
2.800000,0.250000,0.166667,-9.800000,0.100737,8.650000,-4.199643
3.200000,0.410000,0.333333,-9.800000,0.117240,8.590000,-4.188948
3.200000,0.570000,0.500000,-9.800000,0.132776,8.670000,-4.210339
3.100000,0.710000,0.666667,-9.800000,0.149483,8.650000,-4.217469
3.300000,0.870000,0.833333,-9.400000,0.165109,8.770000,-4.242424
3.100000,0.990000,1.000000,-9.600000,0.180677,8.710000,-4.274510
2.900000,1.170000,1.166667,-9.800000,0.197314,8.790000,-4.270945
2.900000,1.310000,1.333333,-9.800000,0.212814,8.810000,-4.303030
3.000000,1.550000,1.500000,-9.600000,0.234121,8.630000,-4.178253
3.100000,1.670000,1.666667,-9.400000,0.258485,8.930000,-4.310160
2.800000,1.710000,1.833333,-9.400000,0.268685,8.630000,-4.151515
2.900000,1.850000,2.000000,-9.600000,0.278234,8.870000,-4.333333
3.100000,2.050000,2.166667,-9.400000,0.292737,8.930000,-4.333333
3.000000,2.250000,2.333333,-9.400000,0.309329,8.950000,-4.329768
3.100000,2.430000,2.500000,-9.600000,0.325100,8.950000,-4.308378
2.900000,2.590000,2.666667,-9.800000,0.340746,8.870000,-4.283422
2.900000,2.730000,2.833333,-9.600000,0.357329,8.810000,-4.278075
3.100000,2.850000,3.000000,-9.400000,0.372814,8.770000,-4.224599
3.200000,3.030000,3.166667,-9.800000,0.389365,8.870000,-4.226381
3.000000,3.170000,3.333333,-9.800000,0.404847,8.690000,-4.178253
3.300000,3.370000,3.500000,-9.200000,0.421365,8.750000,-4.171123
3.000000,3.530000,3.666667,-9.400000,0.442318,8.930000,-4.333333
3.200000,3.630000,3.833333,-9.400000,0.452862,8.730000,-4.142602
3.000000,3.810000,4.000000,-9.600000,0.469473,8.710000,-4.142602
3.100000,3.990000,4.166667,-9.800000,0.485121,8.610000,-4.158645
2.800000,4.090000,4.333333,-9.800000,0.500603,8.670000,-4.187166
3.100000,4.350000,4.500000,-9.600000,0.517241,8.650000,-4.190731
3.100000,4.470000,4.666667,-9.600000,0.532763,8.610000,-4.217469
2.900000,4.710000,4.833333,-9.400000,0.557382,8.890000,-4.278075
3.100000,4.730000,5.000000,-9.800000,0.567567,8.650000,-4.176471
3.100000,4.910000,5.166667,-9.200000,0.581367,8.750000,-4.249554
3.100000,5.070000,5.333333,-9.600000,0.597002,8.770000,-4.278075
2.900000,5.270000,5.500000,-9.400000,0.612496,8.810000,-4.304813
2.900000,5.490000,5.666667,-9.800000,0.629125,8.830000,-4.315508
3.100000,5.590000,5.833333,-9.800000,0.651946,8.710000,-4.158645
2.900000,5.630000,6.000000,-9.600000,0.661453,8.850000,-4.335116
3.200000,5.850000,6.166667,-9.200000,0.677063,8.990000,-4.344029
3.000000,6.030000,6.333333,-9.600000,0.692581,8.950000,-4.333333
3.200000,6.190000,6.500000,-9.000000,0.709181,8.970000,-4.329768
3.200000,6.330000,6.666667,-9.600000,0.724678,8.950000,-4.306595
2.900000,6.530000,6.833333,-9.800000,0.741324,8.950000,-4.306595
3.100000,6.650000,7.000000,-9.600000,0.756807,8.890000,-4.265597
3.200000,6.910000,7.166667,-10.400000,0.773579,8.850000,-4.256684
3.300000,6.970000,7.333333,-9.600000,0.789402,8.850000,-4.226381
3.100000,7.190000,7.500000,-9.400000,0.805051,8.770000,-4.183601
3.100000,7.290000,7.666667,-9.600000,0.820763,8.730000,-4.139037
3.100000,7.490000,7.833333,-9.400000,0.837468,8.770000,-4.155080
3.200000,7.670000,8.000000,-9.200000,0.872461,8.790000,-4.201426
3.000000,7.790000,8.166667,-9.200000,0.888365,8.750000,-4.169340
3.200000,7.930000,8.333333,-9.400000,0.904860,8.790000,-4.169340
3.100000,8.130000,8.500000,-9.600000,0.920386,8.770000,-4.147950
3.200000,8.250000,8.666667,-9.600000,0.936902,8.750000,-4.149733
3.000000,8.470000,8.833333,-9.800000,0.952443,8.730000,-4.135472
2.900000,8.570000,9.000000,-9.800000,0.968972,8.650000,-4.131907
3.000000,8.690000,9.166667,-9.400000,0.984475,8.610000,-4.165775
3.100000,8.930000,9.333333,-9.400000,1.001062,8.670000,-4.174688
2.900000,9.030000,9.500000,-9.600000,1.016550,8.630000,-4.199643
3.200000,9.210000,9.666667,-9.600000,1.032262,8.710000,-4.219251
2.900000,9.430000,9.833333,-9.400000,1.053367,8.770000,-4.139037
3.300000,9.450000,10.000000,-9.600000,1.065014,8.750000,-4.215686
2.900000,9.690000,10.166667,-9.600000,1.080838,8.750000,-4.251337
3.000000,9.810000,10.333333,-9.800000,1.096464,8.790000,-4.279857
3.000000,9.970000,10.500000,-9.800000,1.113129,8.790000,-4.278075
3.000000,10.170000,10.666667,-9.400000,1.128728,8.850000,-4.311943
3.200000,10.390000,10.833333,-9.400000,1.157429,8.890000,-4.290553
3.000000,10.470000,11.000000,-9.800000,1.167615,8.650000,-4.162210
3.200000,10.550000,11.166667,-9.600000,1.177253,8.930000,-4.331551
3.100000,10.810000,11.333333,-9.400000,1.192782,8.990000,-4.329768
3.300000,10.930000,11.500000,-9.400000,1.208357,8.930000,-4.308378
3.300000,11.170000,11.666667,-9.600000,1.224928,8.950000,-4.310160
3.200000,11.270000,11.833333,-9.600000,1.240465,8.910000,-4.281640
3.200000,11.450000,12.000000,-9.400000,1.260567,8.970000,-4.335116
3.400000,11.610000,12.166667,-9.400000,1.272216,8.850000,-4.212121
3.400000,11.730000,12.333333,-9.400000,1.288693,8.810000,-4.204991
2.900000,11.950000,12.500000,-9.400000,1.304329,8.810000,-4.160428
3.300000,12.090000,12.666667,-9.200000,1.320797,8.810000,-4.169340
3.200000,12.290000,12.833333,-9.400000,1.337202,8.770000,-4.165775
3.300000,12.350000,13.000000,-9.800000,1.352731,8.710000,-4.133690
3.200000,12.570000,13.166667,-9.600000,1.368364,8.690000,-4.147950
3.300000,12.670000,13.333333,-9.800000,1.384882,8.670000,-4.140820
3.000000,12.870000,13.500000,-9.600000,1.400362,8.650000,-4.169340
2.900000,13.050000,13.666667,-9.400000,1.416830,8.690000,-4.163993
3.200000,13.190000,13.833333,-9.400000,1.432449,8.650000,-4.187166
3.200000,13.350000,14.000000,-9.800000,1.468755,8.730000,-4.130125
2.900000,13.490000,14.166667,-9.400000,1.485456,8.670000,-4.135472
3.000000,13.670000,14.333333,-10.000000,1.501042,8.670000,-4.165775
3.000000,13.790000,14.500000,-9.400000,1.516554,8.670000,-4.185383
3.100000,13.990000,14.666667,-10.000000,1.533697,8.610000,-4.187166
3.300000,14.150000,14.833333,-9.400000,1.549348,8.650000,-4.221034
3.300000,14.330000,15.000000,-9.600000,1.564880,8.710000,-4.238859
3.200000,14.470000,15.166667,-9.600000,1.581651,8.670000,-4.235294
3.100000,14.630000,15.333333,-9.600000,1.597316,8.690000,-4.263815
2.800000,14.750000,15.500000,-9.400000,1.613125,8.790000,-4.290553
3.200000,14.990000,15.666667,-9.600000,1.628803,8.870000,-4.317291
3.200000,15.150000,15.833333,-9.400000,1.653318,8.710000,-4.151515
3.000000,15.190000,16.000000,-9.400000,1.662786,8.830000,-4.297683
3.100000,15.410000,16.166667,-9.200000,1.677352,8.850000,-4.349376
3.300000,15.570000,16.333333,-9.400000,1.692852,8.970000,-4.344029
3.200000,15.790000,16.500000,-9.400000,1.709484,8.990000,-4.342246
3.400000,15.910000,16.666667,-9.400000,1.725044,8.950000,-4.333333
3.100000,16.030000,16.833333,-9.600000,1.740546,8.950000,-4.295900
3.400000,16.250000,17.000000,-9.200000,1.764386,8.710000,-4.247772
3.400000,16.290000,17.166667,-9.000000,1.774567,8.930000,-4.317291
3.200000,16.490000,17.333333,-9.600000,1.789206,8.830000,-4.229947
3.300000,16.670000,17.500000,-9.400000,1.804718,8.770000,-4.167558
3.000000,16.830000,17.666667,-9.400000,1.821508,8.810000,-4.174688
3.300000,17.010000,17.833333,-9.400000,1.837345,8.690000,-4.158645
3.100000,17.190000,18.000000,-9.600000,1.857726,8.870000,-4.303030
3.300000,17.290000,18.166667,-9.800000,1.869338,8.690000,-4.142602
3.200000,17.490000,18.333333,-9.600000,1.884979,8.630000,-4.135472
3.300000,17.670000,18.500000,-9.400000,1.901477,8.630000,-4.146168
3.300000,17.850000,18.666667,-9.400000,1.917047,8.670000,-4.176471
3.100000,17.930000,18.833333,-9.400000,1.932686,8.590000,-4.196078
3.300000,18.130000,19.000000,-9.400000,1.949339,8.610000,-4.190731
3.400000,18.270000,19.166667,-9.600000,1.964824,8.710000,-4.229947
3.400000,18.450000,19.333333,-9.600000,1.981419,8.630000,-4.231729
2.900000,18.570000,19.500000,-9.400000,1.997026,8.690000,-4.258467
3.100000,18.770000,19.666667,-9.600000,2.013533,8.750000,-4.265597
3.200000,18.910000,19.833333,-9.600000,2.029131,8.750000,-4.304813
3.200000,19.170000,20.000000,-9.400000,2.068259,8.650000,-4.156863
3.100000,19.270000,20.166667,-9.800000,2.084341,8.610000,-4.174688
3.100000,19.390000,20.333333,-9.400000,2.099993,8.610000,-4.196078
3.100000,19.590000,20.500000,-9.800000,2.116523,8.570000,-4.194296
3.300000,19.710000,20.666667,-9.400000,2.132163,8.650000,-4.221034
3.200000,19.850000,20.833333,-9.400000,2.148674,8.670000,-4.213904
3.300000,19.990000,21.000000,-9.200000,2.164342,8.690000,-4.244207
3.300000,20.130000,21.166667,-9.400000,2.179925,8.730000,-4.281640
3.200000,20.310000,21.333333,-9.600000,2.196465,8.770000,-4.281640
3.100000,20.450000,21.500000,-9.800000,2.212057,8.750000,-4.315508
3.200000,20.630000,21.666667,-9.800000,2.228539,8.770000,-4.310160
3.200000,20.750000,21.833333,-9.400000,2.254207,8.730000,-4.176471
3.100000,20.890000,22.000000,-9.200000,2.263682,8.730000,-4.260250
3.200000,20.990000,22.166667,-10.000000,2.276467,8.910000,-4.338681
3.300000,21.270000,22.333333,-8.800000,2.292195,8.950000,-4.333333
3.300000,21.410000,22.500000,-9.400000,2.308711,8.950000,-4.347594
3.300000,21.610000,22.666667,-9.400000,2.324885,8.910000,-4.326203
3.200000,21.730000,22.833333,-9.400000,2.340547,8.930000,-4.319073
