# Date: 20210414
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: 751-N3_010
# Fit of Tap:
#	Ic = 136 +/- 0.035 A
#	n = 39.2 +/- 0.62 
#	Vc = 5 uV
#	Vfloor = 2.46 +/- 0.0082 uV
#	R = 0.00086 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.300000,0.290000,0.000000,-12.200000,0.030474,8.910000,-4.279857
2.200000,0.230000,0.083333,-12.200000,0.051389,8.930000,-4.326203
2.400000,0.290000,0.166667,-11.800000,0.058999,8.790000,-4.194296
2.300000,0.370000,0.250000,-9.600000,0.075852,8.850000,-4.183601
2.400000,0.410000,0.333333,-9.800000,0.090872,8.770000,-4.208556
2.500000,0.470000,0.416667,-9.600000,0.106976,8.790000,-4.228164
2.500000,0.570000,0.500000,-9.600000,0.123167,8.790000,-4.233512
2.400000,0.710000,0.583333,-9.600000,0.139234,8.790000,-4.254902
2.300000,0.730000,0.666667,-9.600000,0.155245,8.770000,-4.267380
2.400000,0.750000,0.750000,-9.800000,0.171336,8.770000,-4.286988
2.600000,0.890000,0.833333,-9.600000,0.200679,8.910000,-4.345811
2.200000,0.930000,0.916667,-9.400000,0.211334,8.810000,-4.219251
2.200000,1.010000,1.000000,-9.400000,0.221239,8.810000,-4.295900
2.500000,1.090000,1.083333,-9.800000,0.242387,8.770000,-4.190731
2.600000,1.170000,1.166667,-9.800000,0.252331,8.890000,-4.320856
2.400000,1.250000,1.250000,-9.600000,0.267328,8.970000,-4.326203
2.500000,1.250000,1.333333,-9.400000,0.283332,8.930000,-4.324421
2.600000,1.490000,1.416667,-9.400000,0.299335,8.950000,-4.310160
2.700000,1.510000,1.500000,-9.600000,0.315299,8.950000,-4.295900
2.500000,1.550000,1.583333,-9.600000,0.331286,8.910000,-4.276292
2.200000,1.650000,1.666667,-9.400000,0.347273,8.910000,-4.272727
2.500000,1.670000,1.750000,-9.400000,0.363327,8.830000,-4.254902
2.600000,1.790000,1.833333,-9.200000,0.379443,8.850000,-4.249554
2.400000,1.850000,1.916667,-9.600000,0.395465,8.890000,-4.235294
2.600000,1.930000,2.000000,-9.400000,0.411498,8.870000,-4.221034
2.400000,2.030000,2.083333,-9.400000,0.427487,8.850000,-4.206774
2.200000,2.170000,2.166667,-9.400000,0.447272,8.890000,-4.270945
2.200000,2.190000,2.250000,-9.600000,0.459328,8.790000,-4.203209
2.500000,2.270000,2.333333,-10.000000,0.475321,8.770000,-4.210339
2.500000,2.350000,2.416667,-9.400000,0.499833,9.010000,-4.327986
2.500000,2.410000,2.500000,-9.600000,0.510568,8.890000,-4.208556
2.500000,2.510000,2.583333,-9.800000,0.523533,8.730000,-4.245989
2.700000,2.570000,2.666667,-9.400000,0.539467,8.730000,-4.262032
2.700000,2.670000,2.750000,-9.600000,0.555482,8.790000,-4.270945
2.500000,2.790000,2.833333,-9.600000,0.571537,8.850000,-4.283422
2.400000,2.810000,2.916667,-9.800000,0.587561,8.810000,-4.297683
2.400000,2.950000,3.000000,-9.400000,0.603547,8.870000,-4.306595
2.600000,2.970000,3.083333,-9.400000,0.619672,8.870000,-4.324421
2.600000,3.050000,3.166667,-9.600000,0.635808,8.910000,-4.326203
2.700000,3.170000,3.250000,-9.400000,0.655764,8.790000,-4.262032
2.400000,3.170000,3.333333,-9.600000,0.666882,8.950000,-4.326203
