# Date: 20210414
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: 751-N3_010
# Fit of Tap:
#	Ic = 180 +/- 19 A
#	n = 7.05 +/- 1.7 
#	Vc = 5 uV
#	Vfloor = 1.45 +/- 0.0098 uV
#	R = 0.000983 +/- 0.00025 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.170000,0.000000,-11.400000,0.049312,8.910000,-4.336898
1.500000,0.210000,0.083333,-11.600000,0.077062,8.850000,-4.215686
1.300000,0.270000,0.166667,-11.600000,0.087088,8.730000,-4.304813
1.400000,0.310000,0.250000,-11.800000,0.096869,8.910000,-4.281640
1.200000,0.410000,0.333333,-12.000000,0.113196,8.870000,-4.272727
1.100000,0.510000,0.416667,-11.800000,0.128609,8.830000,-4.238859
1.400000,0.570000,0.500000,-11.200000,0.144929,8.890000,-4.235294
1.500000,0.650000,0.583333,-8.800000,0.163121,8.890000,-4.270945
1.200000,0.750000,0.666667,-9.200000,0.178593,8.830000,-4.237077
1.400000,0.750000,0.750000,-9.200000,0.194967,8.870000,-4.235294
1.200000,0.870000,0.833333,-8.800000,0.210407,8.810000,-4.208556
1.300000,0.930000,0.916667,-9.400000,0.232220,8.950000,-4.311943
1.400000,0.930000,1.000000,-9.800000,0.243198,8.830000,-4.201426
1.400000,1.130000,1.083333,-9.600000,0.258819,8.730000,-4.204991
1.200000,1.190000,1.166667,-9.400000,0.275292,8.730000,-4.204991
1.100000,1.230000,1.250000,-9.000000,0.290682,8.690000,-4.228164
1.300000,1.310000,1.333333,-8.600000,0.307098,8.770000,-4.242424
1.200000,1.390000,1.416667,-9.000000,0.322549,8.730000,-4.258467
1.300000,1.470000,1.500000,-9.200000,0.338912,8.790000,-4.267380
1.100000,1.530000,1.583333,-9.200000,0.354365,8.790000,-4.306595
1.500000,1.630000,1.666667,-9.400000,0.378265,8.870000,-4.228164
1.400000,1.690000,1.750000,-9.600000,0.388421,8.810000,-4.281640
1.200000,1.810000,1.833333,-10.000000,0.402823,8.930000,-4.326203
1.300000,1.890000,1.916667,-9.000000,0.419201,8.850000,-4.336898
1.300000,1.910000,2.000000,-9.400000,0.440911,8.730000,-4.238859
1.600000,2.050000,2.083333,-10.200000,0.450892,8.910000,-4.349376
1.500000,2.090000,2.166667,-9.400000,0.466752,8.990000,-4.336898
1.500000,2.210000,2.250000,-9.400000,0.483417,8.950000,-4.336898
1.600000,2.270000,2.333333,-9.400000,0.499056,8.970000,-4.319073
1.400000,2.350000,2.416667,-9.600000,0.514589,8.870000,-4.297683
1.300000,2.450000,2.500000,-9.600000,0.531001,8.910000,-4.292335
1.600000,2.470000,2.583333,-9.600000,0.546470,8.850000,-4.258467
1.400000,2.510000,2.666667,-9.400000,0.562883,8.930000,-4.263815
1.400000,2.670000,2.750000,-9.400000,0.578259,8.830000,-4.238859
1.400000,2.730000,2.833333,-9.200000,0.595243,8.830000,-4.238859
1.400000,2.790000,2.916667,-9.600000,0.610755,8.790000,-4.221034
1.500000,2.890000,3.000000,-9.400000,0.627145,8.850000,-4.222816
1.200000,2.970000,3.083333,-9.600000,0.650631,8.950000,-4.356506
1.300000,3.030000,3.166667,-9.400000,0.669361,8.890000,-4.347594
1.000000,3.110000,3.250000,-9.400000,0.683189,8.970000,-4.335116
1.200000,3.110000,3.333333,-9.600000,0.693227,8.790000,-4.213904
1.100000,3.270000,3.416667,-9.400000,0.706741,8.670000,-4.262032
1.200000,3.350000,3.500000,-9.600000,0.723120,8.730000,-4.267380
1.300000,3.470000,3.583333,-9.200000,0.738626,8.730000,-4.290553
1.200000,3.510000,3.666667,-9.400000,0.755201,8.790000,-4.290553
1.400000,3.610000,3.750000,-9.800000,0.770662,8.790000,-4.308378
1.200000,3.710000,3.833333,-9.800000,0.787066,8.810000,-4.317291
