# Date: 20210414
# Operator: RDP
# Notes: OCT01_02
# Tap_cm: 5.0
# Sample: 751-N3_033
# Fit of Tap:
#	Ic = 89 +/- 13 A
#	n = 622 +/- 1.2e+04 
#	Vc = 5 uV
#	Vfloor = 4.22 +/- 0.011 uV
#	R = 0.00299 +/- 0.00023 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.400000,0.250000,0.000000,-9.600000,0.054340,8.850000,-4.178253
3.900000,0.290000,0.166667,-9.800000,0.087363,8.870000,-4.176471
3.900000,0.390000,0.333333,-8.800000,0.102974,8.870000,-4.180036
4.300000,0.630000,0.500000,-9.200000,0.126961,8.910000,-4.326203
4.100000,0.570000,0.666667,-10.200000,0.137191,8.890000,-4.194296
4.000000,0.850000,0.833333,-9.000000,0.151710,8.850000,-4.212121
3.800000,1.010000,1.000000,-8.800000,0.167167,8.850000,-4.237077
4.200000,1.210000,1.166667,-10.200000,0.183570,8.850000,-4.251337
4.100000,1.270000,1.333333,-9.400000,0.199092,8.830000,-4.276292
4.300000,1.490000,1.500000,-9.200000,0.222575,8.950000,-4.224599
4.300000,1.530000,1.666667,-9.000000,0.232272,8.930000,-4.276292
4.000000,1.770000,1.833333,-8.800000,0.247232,8.890000,-4.311943
4.300000,1.950000,2.000000,-9.000000,0.263466,8.910000,-4.317291
4.100000,2.170000,2.166667,-9.200000,0.279472,8.770000,-4.327986
4.300000,2.170000,2.333333,-9.200000,0.295400,8.910000,-4.331551
4.200000,2.390000,2.500000,-9.400000,0.311481,8.930000,-4.326203
4.300000,2.530000,2.666667,-9.600000,0.327547,8.870000,-4.329768
4.100000,2.730000,2.833333,-9.600000,0.343050,8.970000,-4.315508
4.300000,2.890000,3.000000,-10.000000,0.359718,8.910000,-4.304813
4.300000,3.070000,3.166667,-9.200000,0.375280,8.910000,-4.279857
4.200000,3.230000,3.333333,-9.000000,0.391757,8.950000,-4.276292
4.200000,3.390000,3.500000,-8.800000,0.407376,8.970000,-4.260250
4.100000,3.510000,3.666667,-9.200000,0.441414,8.950000,-4.278075
4.200000,3.650000,3.833333,-9.400000,0.458162,8.930000,-4.269162
4.300000,3.830000,4.000000,-9.400000,0.473614,8.870000,-4.238859
4.000000,4.010000,4.166667,-9.400000,0.490156,8.890000,-4.242424
4.300000,4.190000,4.333333,-9.200000,0.505565,8.910000,-4.210339
4.200000,4.250000,4.500000,-9.400000,0.522021,8.950000,-4.203209
4.200000,4.490000,4.666667,-8.800000,0.537413,8.890000,-4.196078
4.300000,4.650000,4.833333,-9.400000,0.553853,8.890000,-4.197861
4.100000,4.790000,5.000000,-9.600000,0.569287,8.890000,-4.194296
4.100000,4.950000,5.166667,-9.800000,0.585675,8.870000,-4.197861
4.000000,5.130000,5.333333,-9.400000,0.602104,8.890000,-4.194296
4.300000,5.210000,5.500000,-8.800000,0.621402,8.870000,-4.190731
