# Date: 20210414
# Operator: RDP
# Notes: OCT01_02
# Tap_cm: 5.0
# Sample: 751-N3_033
# Fit of Tap:
#	Ic = 139 +/- 0.1 A
#	n = 54 +/- 2 
#	Vc = 5 uV
#	Vfloor = 4.2 +/- 0.01 uV
#	R = 0.00137 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.100000,0.270000,0.000000,-9.200000,0.027907,8.850000,-4.294118
4.200000,0.270000,0.166667,-9.800000,0.043741,8.850000,-4.301248
4.100000,0.390000,0.333333,-9.600000,0.060330,8.810000,-4.311943
4.200000,0.590000,0.500000,-9.600000,0.075907,8.870000,-4.326203
4.000000,0.670000,0.666667,-9.600000,0.091448,8.830000,-4.324421
4.200000,0.890000,0.833333,-9.200000,0.108014,8.850000,-4.311943
4.400000,1.010000,1.000000,-9.200000,0.123585,8.890000,-4.303030
4.200000,1.150000,1.166667,-9.400000,0.140081,8.870000,-4.303030
4.200000,1.270000,1.333333,-9.400000,0.155767,8.870000,-4.278075
4.200000,1.530000,1.500000,-9.200000,0.180794,8.810000,-4.224599
4.000000,1.590000,1.666667,-9.600000,0.195333,8.830000,-4.263815
4.200000,1.590000,1.666667,-9.200000,0.205191,8.910000,-4.262032
4.000000,1.830000,1.833333,-9.400000,0.219846,8.930000,-4.215686
4.100000,1.930000,2.000000,-9.600000,0.241715,8.890000,-4.310160
4.200000,2.010000,2.166667,-9.400000,0.252351,8.890000,-4.201426
4.200000,2.210000,2.333333,-9.400000,0.267901,8.870000,-4.181818
4.100000,2.370000,2.500000,-9.400000,0.283523,8.830000,-4.187166
3.900000,2.550000,2.666667,-9.400000,0.300243,8.870000,-4.172906
4.000000,2.750000,2.833333,-9.400000,0.315822,8.810000,-4.181818
4.000000,2.870000,3.000000,-9.400000,0.332402,8.810000,-4.183601
4.100000,3.010000,3.166667,-9.800000,0.347939,8.770000,-4.208556
4.100000,3.170000,3.333333,-9.600000,0.363449,8.770000,-4.226381
4.200000,3.350000,3.500000,-9.800000,0.379977,8.750000,-4.237077
4.100000,3.510000,3.666667,-9.200000,0.395619,8.870000,-4.256684
4.000000,3.650000,3.833333,-9.200000,0.412138,8.850000,-4.262032
4.000000,3.870000,4.000000,-9.400000,0.427762,8.830000,-4.288770
4.200000,4.030000,4.166667,-10.000000,0.447707,8.830000,-4.228164
4.100000,4.150000,4.333333,-9.800000,0.460325,8.810000,-4.308378
4.400000,4.330000,4.500000,-9.200000,0.485962,8.870000,-4.206774
4.300000,4.450000,4.666667,-9.600000,0.496202,8.790000,-4.256684
4.200000,4.590000,4.833333,-9.200000,0.507823,8.830000,-4.326203
4.300000,4.790000,5.000000,-9.400000,0.523417,8.850000,-4.310160
4.100000,4.910000,5.166667,-9.600000,0.540142,8.890000,-4.311943
4.200000,5.090000,5.333333,-9.200000,0.555911,8.910000,-4.285205
4.000000,5.250000,5.500000,-9.400000,0.571453,8.910000,-4.262032
4.000000,5.410000,5.666667,-9.200000,0.588166,8.870000,-4.267380
4.300000,5.590000,5.833333,-9.400000,0.603775,8.850000,-4.240642
3.900000,5.750000,6.000000,-9.400000,0.620441,8.850000,-4.238859
4.200000,5.890000,6.166667,-9.200000,0.635970,8.870000,-4.203209
4.200000,6.050000,6.333333,-9.400000,0.655956,8.830000,-4.285205
4.200000,6.130000,6.500000,-9.400000,0.667627,8.850000,-4.188948
4.200000,6.310000,6.666667,-9.600000,0.684127,8.870000,-4.192513
4.100000,6.490000,6.833333,-9.400000,0.699678,8.850000,-4.192513
4.200000,6.670000,7.000000,-9.800000,0.716201,8.770000,-4.197861
4.100000,6.810000,7.166667,-9.600000,0.731789,8.830000,-4.215686
3.900000,7.010000,7.333333,-9.600000,0.748337,8.850000,-4.215686
4.200000,7.170000,7.500000,-9.600000,0.763928,8.830000,-4.235294
4.200000,7.410000,7.666667,-9.400000,0.788439,8.870000,-4.272727
4.100000,7.430000,7.833333,-9.600000,0.798814,8.790000,-4.192513
4.200000,7.610000,8.000000,-9.400000,0.811428,8.830000,-4.292335
4.400000,7.810000,8.166667,-9.400000,0.828059,8.790000,-4.297683
4.200000,7.930000,8.333333,-9.800000,0.843654,8.810000,-4.313725
4.200000,8.150000,8.500000,-9.600000,0.863719,8.810000,-4.254902
4.000000,8.370000,8.666667,-9.600000,0.876321,8.810000,-4.324421
4.200000,8.490000,8.833333,-9.600000,0.891900,8.890000,-4.326203
4.000000,8.570000,9.000000,-9.200000,0.907440,8.890000,-4.320856
4.200000,8.710000,9.166667,-9.400000,0.923934,8.890000,-4.319073
4.100000,8.850000,9.333333,-9.200000,0.939503,8.970000,-4.301248
4.200000,9.030000,9.500000,-9.400000,0.956488,8.850000,-4.301248
4.200000,9.150000,9.666667,-9.200000,0.972141,8.830000,-4.272727
4.100000,9.350000,9.833333,-9.600000,0.987758,8.910000,-4.254902
4.200000,9.550000,10.000000,-9.400000,1.004317,8.890000,-4.253119
4.000000,9.710000,10.166667,-9.400000,1.019903,8.850000,-4.229947
4.100000,9.870000,10.333333,-9.200000,1.035528,8.890000,-4.215686
4.400000,9.990000,10.500000,-9.200000,1.052216,8.870000,-4.217469
4.200000,10.190000,10.666667,-9.200000,1.072240,8.830000,-4.301248
4.200000,10.270000,10.833333,-9.600000,1.096024,8.810000,-4.276292
4.300000,10.310000,10.833333,-9.400000,1.105928,8.870000,-4.299465
3.900000,10.410000,11.000000,-9.400000,1.115442,8.790000,-4.212121
4.100000,10.670000,11.166667,-9.800000,1.132010,8.750000,-4.208556
4.100000,10.810000,11.333333,-9.600000,1.147646,8.750000,-4.233512
4.200000,10.930000,11.500000,-9.800000,1.164281,8.770000,-4.247772
4.100000,11.170000,11.666667,-9.400000,1.179904,8.790000,-4.265597
4.400000,11.270000,11.833333,-9.200000,1.195627,8.770000,-4.286988
4.100000,11.430000,12.000000,-9.400000,1.212198,8.830000,-4.288770
4.000000,11.590000,12.166667,-9.400000,1.227831,8.790000,-4.311943
4.000000,11.750000,12.333333,-9.800000,1.243428,8.830000,-4.322638
3.900000,11.910000,12.500000,-9.400000,1.259983,8.830000,-4.310160
4.000000,12.090000,12.666667,-9.400000,1.282207,8.850000,-4.206774
4.300000,12.150000,12.833333,-9.200000,1.291808,8.870000,-4.329768
4.200000,12.350000,13.000000,-9.200000,1.307606,8.810000,-4.327986
4.100000,12.530000,13.166667,-9.400000,1.324280,8.870000,-4.329768
4.200000,12.650000,13.333333,-9.400000,1.339916,8.870000,-4.304813
4.400000,12.850000,13.500000,-9.600000,1.355597,8.870000,-4.292335
4.500000,13.070000,13.666667,-9.200000,1.385677,8.890000,-4.219251
4.200000,13.110000,13.833333,-9.800000,1.395911,8.790000,-4.285205
4.300000,13.290000,14.000000,-9.600000,1.405390,8.850000,-4.297683
4.100000,13.530000,14.166667,-9.400000,1.420000,8.810000,-4.238859
4.200000,13.650000,14.333333,-9.400000,1.435776,8.830000,-4.221034
4.200000,13.770000,14.500000,-9.400000,1.451409,8.830000,-4.199643
4.000000,13.970000,14.666667,-9.600000,1.467990,8.910000,-4.201426
4.000000,14.110000,14.833333,-9.200000,1.488292,8.890000,-4.278075
4.100000,14.250000,15.000000,-9.600000,1.499938,8.890000,-4.197861
4.100000,14.410000,15.166667,-9.600000,1.515625,8.830000,-4.210339
4.400000,14.590000,15.333333,-9.600000,1.532301,8.810000,-4.210339
4.100000,14.750000,15.500000,-9.600000,1.548120,8.770000,-4.229947
4.000000,14.930000,15.666667,-9.600000,1.563915,8.850000,-4.253119
4.100000,15.050000,15.833333,-9.800000,1.579606,8.810000,-4.272727
4.300000,15.230000,16.000000,-9.200000,1.596272,8.830000,-4.265597
4.200000,15.350000,16.166667,-9.200000,1.611936,8.790000,-4.285205
3.900000,15.550000,16.333333,-9.400000,1.627560,8.790000,-4.304813
