# Date: 20210414
# Operator: RDP
# Notes: OCT01_03
# Tap_cm: 5.0
# Sample: 751-N3_018
# Fit of Tap:
#	Ic = 137 +/- 0.047 A
#	n = 47.2 +/- 1.2 
#	Vc = 5 uV
#	Vfloor = 2.08 +/- 0.012 uV
#	R = 0.00289 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.000000,0.210000,0.000000,-9.200000,0.052831,8.850000,-4.297683
2.000000,0.270000,0.166667,-9.200000,0.085022,8.770000,-4.313725
2.300000,0.310000,0.333333,-9.000000,0.094562,8.790000,-4.196078
2.300000,0.450000,0.500000,-9.000000,0.103875,8.770000,-4.274510
2.000000,0.630000,0.666667,-9.000000,0.117297,8.810000,-4.317291
2.100000,0.790000,0.833333,-9.600000,0.132786,8.850000,-4.308378
2.100000,0.970000,1.000000,-9.400000,0.149311,8.850000,-4.313725
1.900000,1.130000,1.166667,-9.800000,0.164736,8.890000,-4.285205
2.000000,1.270000,1.333333,-8.800000,0.181107,8.890000,-4.272727
1.800000,1.490000,1.500000,-9.200000,0.196550,8.850000,-4.251337
2.000000,1.630000,1.666667,-9.200000,0.216440,8.890000,-4.320856
2.100000,1.830000,1.833333,-9.600000,0.240277,8.790000,-4.219251
2.100000,1.930000,2.000000,-9.400000,0.250340,8.850000,-4.324421
2.000000,2.050000,2.166667,-9.200000,0.260833,8.830000,-4.199643
2.100000,2.250000,2.333333,-9.000000,0.277173,8.870000,-4.192513
1.900000,2.430000,2.500000,-9.200000,0.292588,8.810000,-4.180036
1.900000,2.590000,2.666667,-9.800000,0.309365,8.770000,-4.183601
1.900000,2.730000,2.833333,-9.600000,0.325457,8.830000,-4.203209
1.900000,2.950000,3.000000,-9.800000,0.341733,8.950000,-4.212121
1.500000,3.030000,3.166667,-9.200000,0.357853,8.830000,-4.210339
2.100000,3.210000,3.333333,-9.400000,0.373841,8.770000,-4.219251
1.500000,3.390000,3.500000,-9.200000,0.389897,8.810000,-4.233512
2.200000,3.530000,3.666667,-8.800000,0.409965,8.830000,-4.192513
1.900000,3.610000,3.833333,-9.000000,0.421082,8.830000,-4.283422
1.800000,3.850000,4.000000,-9.000000,0.437078,8.810000,-4.303030
