# Date: 20210414
# Operator: RDP
# Notes: OCT01_05
# Tap_cm: 5.0
# Sample: 751-N3_029
# Fit of Tap:
#	Ic = 57.3 A
#	n = 261 
#	Vc = 5 uV
#	Vfloor = 3.09 uV
#	R = 0.00876 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.100000,0.210000,0.000000,-9.400000,0.058475,8.890000,-4.188948
3.100000,0.250000,0.166667,-9.600000,0.095698,8.830000,-4.272727
3.100000,0.370000,0.333333,-9.400000,0.112099,8.870000,-4.256684
2.900000,0.550000,0.500000,-9.600000,0.127599,8.830000,-4.231729
2.900000,0.690000,0.666667,-9.400000,0.144222,8.830000,-4.235294
3.100000,0.850000,0.833333,-9.400000,0.159685,8.790000,-4.196078
3.200000,0.990000,1.000000,-9.200000,0.176182,8.870000,-4.199643
3.100000,1.130000,1.166667,-9.400000,0.191616,8.830000,-4.190731
3.100000,1.270000,1.333333,-9.600000,0.208078,8.810000,-4.187166
3.200000,1.510000,1.500000,-9.800000,0.233130,8.850000,-4.329768
3.300000,1.570000,1.666667,-9.400000,0.242567,8.830000,-4.196078
3.000000,1.770000,1.833333,-9.800000,0.256120,8.810000,-4.204991
3.000000,1.910000,2.000000,-9.600000,0.271558,8.810000,-4.235294
2.900000,2.130000,2.166667,-9.800000,0.288008,8.850000,-4.247772
3.100000,2.270000,2.333333,-9.600000,0.312319,8.930000,-4.276292
2.900000,2.410000,2.500000,-9.600000,0.322458,8.750000,-4.208556
3.300000,2.530000,2.666667,-10.200000,0.336198,8.810000,-4.276292
2.700000,2.750000,2.833333,-9.400000,0.351315,9.030000,-4.311943
3.100000,2.930000,3.000000,-12.000000,0.365637,8.870000,-4.333333
3.000000,3.010000,3.166667,-12.200000,0.382005,8.890000,-4.340463
3.300000,3.190000,3.333333,-12.000000,0.398342,8.890000,-4.336898
3.200000,3.330000,3.500000,-12.200000,0.413687,8.930000,-4.304813
3.200000,3.570000,3.666667,-12.000000,0.434236,8.850000,-4.320856
3.200000,3.630000,3.833333,-11.800000,0.445599,8.850000,-4.276292
3.100000,3.850000,4.000000,-9.600000,0.463926,8.870000,-4.311943
3.400000,3.990000,4.166667,-9.400000,0.480398,8.870000,-4.304813
3.100000,4.130000,4.333333,-9.400000,0.495934,8.850000,-4.283422
3.200000,4.330000,4.500000,-9.800000,0.512369,8.930000,-4.270945
2.800000,4.470000,4.666667,-9.600000,0.527861,8.890000,-4.229947
3.000000,4.590000,4.833333,-9.800000,0.544364,8.790000,-4.238859
3.300000,4.810000,5.000000,-9.800000,0.560362,8.770000,-4.215686
3.100000,4.910000,5.166667,-9.400000,0.576351,8.770000,-4.188948
3.100000,5.110000,5.333333,-9.600000,0.603644,8.850000,-4.267380
3.100000,5.170000,5.500000,-9.400000,0.614700,8.890000,-4.320856
3.000000,5.370000,5.666667,-9.800000,0.624494,8.790000,-4.188948
3.300000,5.550000,5.833333,-9.800000,0.640496,8.750000,-4.199643
