# Date: 20210414
# Operator: RDP
# Notes: OCT01_05
# Tap_cm: 5.0
# Sample: 751-N3_029
# Fit of Tap:
#	Ic = 141 +/- 0.076 A
#	n = 37.1 +/- 1 
#	Vc = 5 uV
#	Vfloor = 3.15 +/- 0.013 uV
#	R = 0.00107 +/- 0.00017 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.200000,0.230000,0.000000,-9.600000,0.055519,8.870000,-4.331551
2.900000,0.330000,0.166667,-10.000000,0.101645,8.930000,-4.278075
3.100000,0.370000,0.333333,-9.400000,0.118215,8.870000,-4.279857
3.000000,0.590000,0.500000,-9.800000,0.133751,8.870000,-4.253119
2.900000,0.710000,0.666667,-9.200000,0.150314,8.890000,-4.253119
2.900000,0.910000,0.833333,-9.800000,0.166101,8.870000,-4.226381
2.900000,0.990000,1.000000,-9.200000,0.181650,8.850000,-4.206774
3.000000,1.170000,1.166667,-9.400000,0.198327,8.910000,-4.204991
3.100000,1.290000,1.333333,-9.800000,0.218667,8.910000,-4.295900
3.200000,1.410000,1.500000,-9.200000,0.230317,8.830000,-4.208556
2.900000,1.550000,1.666667,-9.600000,0.245747,8.870000,-4.217469
2.900000,1.790000,1.833333,-9.600000,0.262348,8.850000,-4.213904
3.000000,1.930000,2.000000,-12.000000,0.275854,8.850000,-4.279857
2.800000,2.130000,2.166667,-11.800000,0.292188,8.870000,-4.295900
2.900000,2.270000,2.333333,-11.800000,0.307531,8.870000,-4.317291
3.000000,2.390000,2.500000,-11.600000,0.323843,8.890000,-4.320856
2.900000,2.610000,2.666667,-11.800000,0.348992,8.870000,-4.219251
3.300000,2.630000,2.833333,-11.800000,0.356792,8.870000,-4.327986
3.000000,2.850000,3.000000,-11.600000,0.372770,8.690000,-4.345811
2.900000,3.050000,3.166667,-9.600000,0.390314,8.870000,-4.336898
3.100000,3.250000,3.333333,-10.200000,0.411631,8.850000,-4.233512
3.000000,3.310000,3.500000,-10.000000,0.422431,8.850000,-4.347594
2.900000,3.510000,3.666667,-9.600000,0.437885,8.910000,-4.336898
3.200000,3.630000,3.833333,-9.600000,0.454341,8.870000,-4.333333
3.000000,3.830000,4.000000,-9.400000,0.469732,8.950000,-4.304813
2.900000,3.990000,4.166667,-9.600000,0.486169,8.910000,-4.295900
2.900000,4.130000,4.333333,-9.800000,0.501527,8.890000,-4.267380
2.800000,4.350000,4.500000,-9.400000,0.517957,8.910000,-4.256684
2.800000,4.470000,4.666667,-9.600000,0.534334,8.910000,-4.249554
3.100000,4.630000,4.833333,-10.000000,0.549766,8.850000,-4.219251
3.000000,4.830000,5.000000,-10.200000,0.565825,8.810000,-4.213904
3.000000,4.950000,5.166667,-9.600000,0.585390,8.990000,-4.278075
3.200000,5.050000,5.333333,-9.800000,0.602880,8.890000,-4.304813
3.000000,5.190000,5.500000,-10.400000,0.614581,8.870000,-4.197861
2.800000,5.350000,5.666667,-10.000000,0.630066,8.790000,-4.208556
3.200000,5.570000,5.833333,-10.000000,0.658129,8.870000,-4.315508
2.900000,5.690000,6.000000,-9.400000,0.669209,8.970000,-4.299465
3.200000,5.950000,6.166667,-9.800000,0.679352,8.830000,-4.215686
3.100000,6.030000,6.333333,-10.400000,0.694852,8.850000,-4.249554
2.800000,6.150000,6.500000,-10.200000,0.710418,8.870000,-4.279857
3.100000,6.310000,6.666667,-10.600000,0.727005,8.830000,-4.278075
3.300000,6.570000,6.833333,-10.200000,0.742588,8.850000,-4.313725
2.900000,6.630000,7.000000,-10.200000,0.758336,8.830000,-4.324421
3.300000,6.870000,7.166667,-9.600000,0.782205,8.890000,-4.213904
3.000000,6.850000,7.333333,-9.400000,0.792483,8.870000,-4.308378
3.000000,7.210000,7.500000,-10.400000,0.807071,8.850000,-4.333333
2.900000,7.290000,7.666667,-10.600000,0.822661,8.870000,-4.345811
3.100000,7.470000,7.833333,-10.200000,0.838248,8.890000,-4.338681
3.100000,7.590000,8.000000,-10.000000,0.854909,8.930000,-4.338681
2.900000,7.790000,8.166667,-10.000000,0.870600,8.910000,-4.320856
2.900000,7.870000,8.333333,-9.800000,0.886169,8.910000,-4.299465
3.200000,8.150000,8.500000,-9.400000,0.902990,8.910000,-4.297683
3.100000,8.310000,8.666667,-10.000000,0.919112,8.910000,-4.281640
2.800000,8.430000,8.833333,-9.400000,0.934625,8.850000,-4.260250
3.200000,8.570000,9.000000,-9.400000,0.960111,8.830000,-4.276292
2.900000,8.750000,9.166667,-9.800000,0.974575,8.890000,-4.317291
2.900000,8.890000,9.333333,-9.600000,0.992019,8.890000,-4.301248
2.800000,8.950000,9.500000,-9.400000,1.002124,8.950000,-4.269162
2.900000,9.110000,9.666667,-9.800000,1.014203,8.850000,-4.185383
3.000000,9.330000,9.833333,-9.400000,1.030189,8.850000,-4.192513
2.900000,9.530000,10.000000,-9.600000,1.046218,8.830000,-4.212121
3.200000,9.690000,10.166667,-9.800000,1.062305,8.830000,-4.235294
3.000000,9.850000,10.333333,-9.600000,1.078374,8.830000,-4.251337
3.100000,9.990000,10.500000,-9.600000,1.094411,8.830000,-4.263815
3.000000,10.170000,10.666667,-9.200000,1.110470,8.870000,-4.272727
3.100000,10.330000,10.833333,-9.400000,1.126544,8.890000,-4.286988
3.000000,10.550000,11.000000,-9.400000,1.142535,8.890000,-4.303030
3.000000,10.650000,11.166667,-9.400000,1.162878,8.850000,-4.217469
3.000000,10.790000,11.333333,-9.400000,1.173996,8.870000,-4.349376
3.100000,10.950000,11.500000,-9.800000,1.189944,8.870000,-4.347594
2.900000,11.130000,11.666667,-9.400000,1.205940,8.910000,-4.345811
3.200000,11.290000,11.833333,-9.600000,1.221940,8.910000,-4.345811
3.100000,11.450000,12.000000,-9.400000,1.238033,8.910000,-4.347594
3.000000,11.650000,12.166667,-9.200000,1.263440,8.830000,-4.215686
2.900000,11.770000,12.333333,-9.800000,1.274197,8.890000,-4.342246
3.100000,11.890000,12.500000,-9.800000,1.286265,8.990000,-4.303030
2.900000,12.110000,12.666667,-9.600000,1.302263,8.910000,-4.283422
2.900000,12.250000,12.833333,-9.400000,1.318319,8.970000,-4.274510
3.000000,12.390000,13.000000,-9.600000,1.334358,8.930000,-4.263815
3.000000,12.570000,13.166667,-9.400000,1.354573,8.950000,-4.342246
3.000000,12.690000,13.333333,-9.200000,1.366664,8.870000,-4.233512
3.000000,12.850000,13.500000,-9.200000,1.382641,8.910000,-4.213904
3.200000,13.010000,13.666667,-9.400000,1.398641,8.870000,-4.203209
3.100000,13.190000,13.833333,-9.200000,1.414860,8.910000,-4.208556
3.200000,13.330000,14.000000,-9.200000,1.430911,8.870000,-4.204991
2.900000,13.490000,14.166667,-10.000000,1.446888,8.830000,-4.219251
3.000000,13.670000,14.333333,-9.400000,1.462938,8.870000,-4.224599
3.000000,13.850000,14.500000,-9.800000,1.477931,8.790000,-4.263815
3.100000,13.930000,14.666667,-9.800000,1.493923,8.850000,-4.281640
3.100000,14.150000,14.833333,-9.200000,1.509929,8.870000,-4.295900
3.100000,14.310000,15.000000,-9.400000,1.525910,8.890000,-4.303030
3.000000,14.450000,15.166667,-9.400000,1.558983,8.890000,-4.310160
3.200000,14.670000,15.333333,-9.400000,1.581921,8.930000,-4.201426
3.200000,14.810000,15.500000,-9.200000,1.598203,8.850000,-4.197861
3.100000,14.890000,15.666667,-9.200000,1.614366,8.830000,-4.201426
3.200000,15.090000,15.833333,-9.600000,1.630382,8.870000,-4.210339
3.000000,15.330000,16.000000,-9.400000,1.652351,8.910000,-4.276292
3.200000,15.370000,16.166667,-9.400000,1.664069,8.850000,-4.206774
2.900000,15.630000,16.333333,-9.600000,1.677627,8.830000,-4.278075
3.300000,15.710000,16.500000,-9.600000,1.693084,8.850000,-4.306595
3.300000,15.890000,16.666667,-9.400000,1.709488,8.890000,-4.313725
2.900000,16.090000,16.833333,-9.400000,1.725869,8.850000,-4.317291
3.200000,16.210000,17.000000,-9.400000,1.741225,8.870000,-4.338681
3.000000,16.350000,17.166667,-9.600000,1.760914,8.810000,-4.265597
3.300000,16.470000,17.333333,-10.000000,1.773394,8.830000,-4.331551
3.200000,16.670000,17.500000,-9.600000,1.789765,8.890000,-4.338681
3.100000,16.810000,17.666667,-9.400000,1.805261,8.890000,-4.351159
3.200000,16.930000,17.833333,-9.600000,1.821662,8.910000,-4.347594
3.300000,17.150000,18.000000,-9.200000,1.837160,8.910000,-4.322638
3.000000,17.330000,18.166667,-9.800000,1.861590,8.870000,-4.262032
