# Date: 20210414
# Operator: RDP
# Notes: OCT01_06
# Tap_cm: 5.0
# Sample: 6-PP
# Fit of Tap:
#	Ic = 172 +/- 0.059 A
#	n = 32.5 +/- 0.63 
#	Vc = 5 uV
#	Vfloor = 1.81 +/- 0.012 uV
#	R = 0.00139 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.270000,0.000000,-9.800000,0.027877,8.850000,-4.313725
1.400000,0.290000,0.166667,-10.600000,0.042588,8.810000,-4.327986
1.800000,0.270000,0.333333,-12.200000,0.058050,8.870000,-4.335116
1.500000,0.570000,0.500000,-9.600000,0.075057,8.850000,-4.320856
1.800000,0.730000,0.666667,-9.600000,0.091788,8.870000,-4.327986
1.500000,0.890000,0.833333,-9.600000,0.115924,8.790000,-4.188948
1.400000,1.010000,1.000000,-9.600000,0.126115,8.830000,-4.315508
1.800000,1.090000,1.166667,-9.200000,0.139743,8.910000,-4.297683
1.500000,1.290000,1.333333,-9.400000,0.155230,8.910000,-4.276292
1.500000,1.490000,1.500000,-9.600000,0.171846,8.950000,-4.274510
1.300000,1.630000,1.666667,-9.800000,0.187340,8.910000,-4.242424
1.600000,1.810000,1.833333,-9.400000,0.203879,8.870000,-4.249554
1.600000,1.930000,2.000000,-9.200000,0.219348,8.850000,-4.221034
1.600000,2.090000,2.166667,-9.000000,0.239903,8.890000,-4.310160
1.700000,2.210000,2.333333,-9.600000,0.251575,8.890000,-4.199643
1.700000,2.430000,2.500000,-9.600000,0.268076,8.830000,-4.197861
1.800000,2.530000,2.666667,-9.400000,0.283619,8.830000,-4.192513
1.500000,2.730000,2.833333,-9.800000,0.300360,8.850000,-4.196078
1.500000,2.910000,3.000000,-9.400000,0.315999,8.770000,-4.204991
1.700000,2.990000,3.166667,-9.400000,0.331642,8.770000,-4.231729
1.700000,3.170000,3.333333,-9.600000,0.347147,8.850000,-4.254902
1.200000,3.310000,3.500000,-9.400000,0.363672,8.850000,-4.256684
1.600000,3.530000,3.666667,-9.400000,0.379117,8.850000,-4.270945
1.600000,3.770000,3.833333,-9.400000,0.408919,8.870000,-4.322638
1.400000,3.770000,4.000000,-9.600000,0.419107,8.870000,-4.201426
1.600000,3.950000,4.166667,-9.400000,0.428672,8.810000,-4.292335
1.500000,4.150000,4.333333,-9.800000,0.448297,8.790000,-4.233512
1.800000,4.310000,4.500000,-9.800000,0.459884,8.850000,-4.322638
1.500000,4.510000,4.666667,-9.400000,0.475368,8.890000,-4.333333
1.600000,4.650000,4.833333,-9.600000,0.491867,8.850000,-4.329768
1.700000,4.810000,5.000000,-9.800000,0.507332,8.870000,-4.315508
1.600000,4.930000,5.166667,-9.400000,0.523871,8.930000,-4.313725
1.800000,5.050000,5.333333,-9.400000,0.539329,8.910000,-4.290553
1.700000,5.290000,5.500000,-9.400000,0.555979,8.930000,-4.288770
1.500000,5.430000,5.666667,-9.400000,0.571733,8.910000,-4.270945
1.600000,5.570000,5.833333,-9.400000,0.587248,8.890000,-4.229947
1.700000,5.750000,6.000000,-9.600000,0.603869,8.910000,-4.222816
1.600000,5.870000,6.166667,-9.400000,0.619339,8.830000,-4.203209
1.700000,5.990000,6.333333,-9.400000,0.635869,8.850000,-4.197861
1.700000,6.190000,6.500000,-9.400000,0.655885,8.910000,-4.285205
1.700000,6.350000,6.666667,-9.800000,0.667553,8.830000,-4.196078
1.800000,6.510000,6.833333,-9.400000,0.684065,8.810000,-4.187166
1.700000,6.730000,7.000000,-9.400000,0.708876,8.830000,-4.315508
1.600000,6.770000,7.166667,-9.800000,0.719110,8.870000,-4.192513
1.500000,6.950000,7.333333,-9.800000,0.731780,8.790000,-4.217469
1.600000,7.170000,7.500000,-9.800000,0.747308,8.790000,-4.251337
1.800000,7.270000,7.666667,-9.400000,0.763902,8.790000,-4.253119
1.600000,7.530000,7.833333,-9.400000,0.779371,8.810000,-4.283422
1.700000,7.650000,8.000000,-9.400000,0.795886,8.790000,-4.294118
1.600000,7.790000,8.166667,-9.600000,0.811648,8.850000,-4.322638
1.600000,7.950000,8.333333,-9.400000,0.827216,8.850000,-4.327986
1.600000,8.110000,8.500000,-9.800000,0.843799,8.850000,-4.331551
1.500000,8.290000,8.666667,-9.600000,0.863870,8.790000,-4.272727
1.600000,8.410000,8.833333,-9.600000,0.875523,8.890000,-4.347594
1.800000,8.610000,9.000000,-9.400000,0.892016,8.930000,-4.338681
1.700000,8.690000,9.166667,-9.600000,0.907595,8.930000,-4.320856
1.600000,8.850000,9.333333,-9.400000,0.924063,8.870000,-4.319073
1.600000,9.030000,9.500000,-9.400000,0.939642,8.910000,-4.292335
1.300000,9.190000,9.666667,-9.400000,0.955165,8.890000,-4.258467
1.500000,9.390000,9.833333,-9.600000,0.971770,8.850000,-4.263815
1.800000,9.550000,10.000000,-9.400000,0.987236,8.870000,-4.237077
1.600000,9.770000,10.166667,-9.200000,1.010968,8.850000,-4.322638
1.500000,9.830000,10.333333,-9.600000,1.021143,8.870000,-4.244207
1.600000,9.930000,10.500000,-9.600000,1.035805,8.790000,-4.201426
1.600000,10.170000,10.666667,-9.400000,1.051878,8.850000,-4.201426
1.300000,10.370000,10.833333,-9.600000,1.072072,8.890000,-4.267380
1.400000,10.490000,11.000000,-9.600000,1.083725,8.790000,-4.199643
1.900000,10.670000,11.166667,-10.000000,1.099230,8.810000,-4.226381
1.800000,10.850000,11.333333,-10.400000,1.116087,8.790000,-4.226381
1.500000,11.010000,11.500000,-9.600000,1.131897,8.790000,-4.237077
1.700000,11.170000,11.666667,-9.600000,1.147589,8.750000,-4.254902
1.800000,11.290000,11.833333,-9.400000,1.164101,8.770000,-4.263815
1.900000,11.430000,12.000000,-9.200000,1.179850,8.830000,-4.285205
1.700000,11.630000,12.166667,-9.200000,1.195358,8.790000,-4.317291
1.600000,11.770000,12.333333,-9.600000,1.211894,8.830000,-4.317291
1.700000,11.970000,12.500000,-9.800000,1.227384,8.810000,-4.333333
1.700000,12.070000,12.666667,-9.800000,1.243873,8.830000,-4.324421
1.800000,12.290000,12.833333,-9.600000,1.259356,8.890000,-4.336898
1.600000,12.390000,13.000000,-9.800000,1.281727,8.850000,-4.245989
1.700000,12.450000,13.166667,-9.400000,1.291257,8.890000,-4.322638
1.700000,12.750000,13.333333,-9.400000,1.315953,8.790000,-4.235294
1.600000,12.830000,13.500000,-9.400000,1.326121,8.850000,-4.347594
1.500000,12.970000,13.666667,-9.200000,1.339771,8.930000,-4.294118
1.600000,13.170000,13.833333,-9.400000,1.355257,8.850000,-4.269162
1.600000,13.290000,14.000000,-9.600000,1.371892,8.850000,-4.270945
1.900000,13.530000,14.166667,-9.600000,1.387342,8.830000,-4.240642
1.900000,13.610000,14.333333,-9.600000,1.403838,8.830000,-4.238859
2.000000,13.910000,14.500000,-9.600000,1.419288,8.870000,-4.204991
1.600000,14.010000,14.666667,-9.200000,1.435841,8.830000,-4.199643
1.900000,14.170000,14.833333,-9.400000,1.451315,8.810000,-4.197861
1.600000,14.310000,15.000000,-9.600000,1.467862,8.830000,-4.212121
2.000000,14.490000,15.166667,-9.400000,1.492081,8.890000,-4.344029
1.700000,14.590000,15.333333,-9.600000,1.501743,8.790000,-4.215686
1.700000,14.730000,15.500000,-9.400000,1.515210,8.810000,-4.262032
1.500000,14.970000,15.666667,-9.400000,1.531759,8.770000,-4.260250
1.700000,15.070000,15.833333,-9.400000,1.547304,8.830000,-4.290553
2.000000,15.270000,16.000000,-9.400000,1.563967,8.810000,-4.279857
1.600000,15.350000,16.166667,-9.400000,1.579603,8.770000,-4.304813
1.800000,15.650000,16.333333,-9.200000,1.608367,8.910000,-4.327986
1.600000,15.710000,16.500000,-9.200000,1.618648,8.850000,-4.208556
1.700000,15.890000,16.666667,-9.400000,1.628069,8.810000,-4.322638
1.900000,16.050000,16.833333,-9.400000,1.643577,8.850000,-4.331551
1.700000,16.170000,17.000000,-9.400000,1.660058,8.850000,-4.329768
1.700000,16.290000,17.166667,-9.400000,1.675617,8.850000,-4.335116
1.600000,16.510000,17.333333,-9.400000,1.694367,8.790000,-4.333333
1.800000,16.670000,17.500000,-9.400000,1.711857,8.870000,-4.333333
1.800000,16.770000,17.666667,-9.800000,1.723582,8.930000,-4.299465
1.800000,16.990000,17.833333,-9.800000,1.740077,8.890000,-4.303030
1.700000,17.150000,18.000000,-9.600000,1.755720,8.850000,-4.267380
1.800000,17.290000,18.166667,-9.600000,1.771204,8.890000,-4.237077
1.900000,17.490000,18.333333,-9.400000,1.787781,8.930000,-4.237077
1.700000,17.670000,18.500000,-9.400000,1.803574,8.790000,-4.212121
1.700000,17.810000,18.666667,-9.400000,1.819188,8.810000,-4.206774
1.600000,17.990000,18.833333,-9.400000,1.835790,8.850000,-4.203209
1.900000,18.110000,19.000000,-9.600000,1.851314,8.810000,-4.203209
1.600000,18.290000,19.166667,-9.400000,1.867855,8.790000,-4.199643
1.800000,18.450000,19.333333,-9.400000,1.883314,8.770000,-4.222816
1.900000,18.630000,19.500000,-9.400000,1.919076,8.850000,-4.203209
1.800000,18.790000,19.666667,-9.200000,1.935840,8.830000,-4.210339
1.300000,18.970000,19.833333,-9.400000,1.951326,8.770000,-4.197861
1.700000,19.050000,20.000000,-9.800000,1.967842,8.810000,-4.196078
1.600000,19.210000,20.166667,-9.600000,1.983294,8.750000,-4.221034
1.700000,19.390000,20.333333,-9.600000,1.999887,8.770000,-4.228164
1.800000,19.530000,20.500000,-9.400000,2.015351,8.770000,-4.253119
1.600000,19.710000,20.666667,-9.400000,2.031843,8.830000,-4.256684
1.800000,19.870000,20.833333,-9.600000,2.047280,8.790000,-4.276292
2.000000,20.010000,21.000000,-9.200000,2.064013,8.790000,-4.278075
1.800000,20.150000,21.166667,-9.600000,2.079771,8.790000,-4.292335
1.800000,20.350000,21.333333,-9.400000,2.105333,8.830000,-4.251337
2.000000,20.350000,21.500000,-9.600000,2.114880,8.790000,-4.262032
1.800000,20.610000,21.666667,-9.200000,2.127327,8.830000,-4.329768
2.000000,20.750000,21.833333,-9.200000,2.143841,8.870000,-4.335116
1.800000,20.930000,22.000000,-10.000000,2.159332,8.890000,-4.338681
1.800000,21.050000,22.166667,-9.200000,2.175843,8.870000,-4.327986
2.200000,21.170000,22.333333,-9.000000,2.191293,8.910000,-4.306595
1.700000,21.470000,22.500000,-9.400000,2.215927,8.750000,-4.233512
1.900000,21.550000,22.666667,-9.400000,2.226101,8.870000,-4.333333
1.900000,21.730000,22.833333,-9.400000,2.239767,8.850000,-4.278075
1.700000,21.870000,23.000000,-9.400000,2.255248,8.850000,-4.245989
2.100000,22.070000,23.166667,-9.400000,2.271804,8.910000,-4.247772
1.800000,22.270000,23.333333,-9.400000,2.287252,8.870000,-4.213904
1.800000,22.370000,23.500000,-9.400000,2.308368,8.870000,-4.317291
1.700000,22.510000,23.666667,-10.000000,2.318981,8.850000,-4.210339
1.800000,22.670000,23.833333,-9.400000,2.335537,8.790000,-4.210339
1.800000,22.850000,24.000000,-9.400000,2.351061,8.750000,-4.208556
1.700000,23.010000,24.166667,-9.200000,2.367682,8.770000,-4.213904
1.800000,23.130000,24.333333,-9.400000,2.383153,8.750000,-4.233512
1.700000,23.290000,24.500000,-10.000000,2.399731,8.730000,-4.237077
1.900000,23.470000,24.666667,-9.600000,2.415232,8.790000,-4.254902
1.900000,23.610000,24.833333,-9.400000,2.431836,8.750000,-4.258467
1.800000,23.770000,25.000000,-9.200000,2.447322,8.830000,-4.288770
2.100000,23.930000,25.166667,-9.400000,2.463827,8.830000,-4.297683
1.600000,24.090000,25.333333,-9.400000,2.479276,8.770000,-4.326203
1.900000,24.290000,25.500000,-9.200000,2.520105,8.870000,-4.219251
1.700000,24.370000,25.666667,-9.600000,2.536843,8.890000,-4.217469
1.800000,24.570000,25.833333,-9.200000,2.552310,8.830000,-4.210339
1.600000,24.690000,26.000000,-10.000000,2.569084,8.790000,-4.206774
1.800000,24.930000,26.166667,-9.800000,2.584794,8.810000,-4.201426
2.000000,25.050000,26.333333,-9.800000,2.600347,8.770000,-4.217469
2.000000,25.170000,26.500000,-10.600000,2.617221,8.850000,-4.228164
1.600000,25.370000,26.666667,-10.200000,2.633440,8.810000,-4.229947
2.000000,25.510000,26.833333,-9.400000,2.648937,8.730000,-4.258467
2.100000,25.670000,27.000000,-9.200000,2.665111,8.830000,-4.272727
2.000000,25.810000,27.166667,-9.200000,2.681231,8.790000,-4.276292
1.900000,25.990000,27.333333,-9.400000,2.705877,8.830000,-4.254902
1.800000,26.070000,27.500000,-9.600000,2.716016,8.790000,-4.258467
1.700000,26.250000,27.666667,-9.400000,2.729126,8.810000,-4.340463
1.900000,26.410000,27.833333,-9.200000,2.745217,8.810000,-4.352941
1.800000,26.630000,28.000000,-9.600000,2.761309,8.830000,-4.347594
1.800000,26.750000,28.166667,-9.200000,2.777436,8.830000,-4.345811
1.900000,26.890000,28.333333,-9.000000,2.792539,8.890000,-4.327986
1.700000,27.130000,28.500000,-9.400000,2.818411,8.790000,-4.217469
1.800000,27.210000,28.666667,-9.800000,2.829250,8.830000,-4.338681
2.000000,27.250000,28.833333,-9.400000,2.841487,8.890000,-4.320856
1.800000,27.530000,29.000000,-9.400000,2.856743,8.870000,-4.288770
1.700000,27.630000,29.166667,-9.400000,2.873017,8.830000,-4.270945
1.900000,27.850000,29.333333,-9.400000,2.889142,8.870000,-4.253119
2.000000,28.030000,29.500000,-9.400000,2.910633,8.790000,-4.349376
2.200000,28.090000,29.666667,-9.000000,2.920679,8.890000,-4.222816
1.700000,28.290000,29.833333,-9.000000,2.936823,8.830000,-4.210339
1.800000,28.530000,30.000000,-9.400000,2.953028,8.810000,-4.210339
1.700000,28.610000,30.166667,-9.400000,2.969122,8.770000,-4.201426
1.800000,28.830000,30.333333,-9.200000,2.985222,8.790000,-4.215686
1.700000,28.970000,30.500000,-9.400000,3.001281,8.770000,-4.228164
1.700000,29.130000,30.666667,-9.600000,3.017349,8.770000,-4.238859
1.700000,29.270000,30.833333,-9.400000,3.033432,8.770000,-4.254902
2.100000,29.410000,31.000000,-9.200000,3.048506,8.810000,-4.278075
1.800000,29.610000,31.166667,-9.200000,3.065062,8.770000,-4.274510
1.700000,29.790000,31.333333,-9.200000,3.081218,8.750000,-4.288770
1.800000,29.970000,31.500000,-9.400000,3.121415,8.830000,-4.221034
1.900000,30.050000,31.666667,-9.600000,3.137759,8.850000,-4.217469
1.900000,30.230000,31.833333,-9.400000,3.153912,8.850000,-4.215686
2.000000,30.430000,32.000000,-9.000000,3.170123,8.830000,-4.208556
1.800000,30.570000,32.166667,-9.200000,3.185210,8.790000,-4.208556
1.800000,30.690000,32.333333,-9.200000,3.201331,8.790000,-4.215686
1.800000,30.890000,32.500000,-9.200000,3.217448,8.750000,-4.229947
1.800000,31.010000,32.666667,-9.200000,3.233515,8.790000,-4.245989
1.900000,31.250000,32.833333,-9.200000,3.249581,8.830000,-4.263815
2.100000,31.330000,33.000000,-9.400000,3.265723,8.810000,-4.262032
1.900000,31.430000,33.166667,-10.200000,3.281898,8.810000,-4.274510
1.800000,31.690000,33.333333,-9.400000,3.307505,8.930000,-4.263815
1.900000,31.670000,33.500000,-11.800000,3.315194,8.810000,-4.265597
2.000000,31.910000,33.666667,-11.800000,3.327816,8.890000,-4.344029
1.800000,32.090000,33.833333,-11.800000,3.343398,8.930000,-4.352941
2.000000,32.270000,34.000000,-11.600000,3.358996,8.930000,-4.342246
2.000000,32.370000,34.166667,-11.800000,3.375598,8.890000,-4.344029
2.000000,32.590000,34.333333,-11.800000,3.391196,8.910000,-4.320856
1.900000,32.730000,34.500000,-11.400000,3.408853,8.950000,-4.329768
1.900000,32.930000,34.666667,-9.200000,3.425866,8.930000,-4.319073
2.000000,33.050000,34.833333,-9.400000,3.442049,8.930000,-4.313725
1.800000,33.230000,35.000000,-9.400000,3.457180,8.870000,-4.281640
1.900000,33.390000,35.166667,-9.400000,3.473335,8.870000,-4.262032
2.200000,33.570000,35.333333,-9.000000,3.489416,8.850000,-4.254902
2.200000,33.750000,35.500000,-9.200000,3.511157,8.850000,-4.356506
1.800000,33.770000,35.666667,-9.000000,3.521242,8.870000,-4.240642
2.000000,34.050000,35.833333,-9.400000,3.537296,8.830000,-4.231729
1.900000,34.230000,36.000000,-9.200000,3.553376,8.830000,-4.217469
2.100000,34.370000,36.166667,-9.400000,3.569663,8.850000,-4.215686
1.800000,34.510000,36.333333,-9.400000,3.585856,8.790000,-4.217469
1.900000,34.650000,36.500000,-9.400000,3.602000,8.810000,-4.224599
1.800000,34.830000,36.666667,-9.400000,3.618071,8.790000,-4.226381
1.700000,34.930000,36.833333,-9.200000,3.633255,8.790000,-4.256684
1.800000,35.090000,37.000000,-9.800000,3.649387,8.790000,-4.263815
2.100000,35.270000,37.166667,-9.200000,3.665558,8.790000,-4.272727
2.000000,35.410000,37.333333,-9.600000,3.681666,8.830000,-4.288770
1.800000,35.690000,37.500000,-9.200000,3.722254,8.870000,-4.224599
2.000000,35.750000,37.666667,-9.200000,3.738555,8.830000,-4.199643
2.100000,35.910000,37.833333,-9.400000,3.754766,8.910000,-4.190731
2.000000,36.030000,38.000000,-9.000000,3.770957,8.910000,-4.192513
1.900000,36.190000,38.166667,-9.200000,3.786072,8.830000,-4.188948
1.800000,36.410000,38.333333,-9.400000,3.802206,8.830000,-4.201426
2.000000,36.630000,38.500000,-9.600000,3.818456,8.770000,-4.203209
2.000000,36.710000,38.666667,-9.400000,3.834642,8.830000,-4.217469
1.900000,36.950000,38.833333,-9.000000,3.852028,9.110000,-4.221034
2.200000,37.030000,39.000000,-8.800000,3.865820,8.810000,-4.262032
1.900000,37.170000,39.166667,-8.600000,3.882292,8.810000,-4.265597
2.000000,37.370000,39.333333,-8.800000,3.905795,8.850000,-4.221034
2.000000,37.450000,39.500000,-8.600000,3.915235,8.850000,-4.245989
2.000000,37.650000,39.666667,-8.800000,3.929830,8.810000,-4.304813
1.900000,37.830000,39.833333,-9.200000,3.946290,8.870000,-4.310160
2.200000,37.990000,40.000000,-9.600000,3.961856,8.870000,-4.319073
2.000000,38.110000,40.166667,-9.200000,3.977319,8.870000,-4.322638
2.200000,38.330000,40.333333,-8.800000,3.993760,8.910000,-4.322638
2.000000,38.450000,40.500000,-9.000000,4.017847,8.790000,-4.224599
2.100000,38.570000,40.666667,-8.600000,4.027981,8.890000,-4.326203
1.800000,38.710000,40.833333,-8.800000,4.041644,8.890000,-4.279857
1.800000,38.850000,41.000000,-8.800000,4.058563,8.950000,-4.276292
2.000000,39.090000,41.166667,-9.400000,4.074179,8.850000,-4.262032
2.000000,39.210000,41.333333,-9.400000,4.089865,8.850000,-4.226381
2.100000,39.430000,41.500000,-9.600000,4.111821,8.910000,-4.320856
2.000000,39.530000,41.666667,-8.800000,4.121770,9.030000,-4.224599
2.000000,39.710000,41.833333,-8.600000,4.138332,8.850000,-4.196078
1.800000,39.850000,42.000000,-8.400000,4.153832,8.830000,-4.188948
1.900000,40.010000,42.166667,-8.600000,4.170307,8.790000,-4.188948
2.000000,40.210000,42.333333,-11.800000,4.185859,8.530000,-4.185383
1.800000,40.350000,42.500000,-9.000000,4.201320,8.790000,-4.204991
