# Date: 20210414
# Operator: RDP
# Notes: OCT01_08
# Tap_cm: 5.0
# Sample: 8-PP
# Fit of Tap:
#	Ic = 183 +/- 0.063 A
#	n = 38.6 +/- 0.82 
#	Vc = 5 uV
#	Vfloor = 2.26 +/- 0.011 uV
#	R = 0.0001 +/- 8.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.200000,0.250000,0.000000,-12.000000,0.055301,8.850000,-4.315508
2.200000,0.310000,0.166667,-12.000000,0.076161,8.810000,-4.229947
2.100000,0.330000,0.333333,-11.800000,0.087591,8.810000,-4.338681
2.000000,0.550000,0.500000,-12.200000,0.103908,8.890000,-4.342246
2.200000,0.630000,0.666667,-12.000000,0.119222,8.870000,-4.345811
2.300000,0.910000,0.833333,-11.800000,0.135767,8.890000,-4.349376
2.400000,0.990000,1.000000,-9.600000,0.153294,8.910000,-4.327986
2.200000,1.190000,1.166667,-9.400000,0.169817,8.910000,-4.322638
2.400000,1.270000,1.333333,-9.200000,0.185314,8.890000,-4.326203
2.300000,1.450000,1.500000,-9.400000,0.212436,8.870000,-4.204991
2.300000,1.590000,1.666667,-9.400000,0.230456,8.870000,-4.219251
2.600000,1.730000,1.833333,-9.600000,0.239978,8.850000,-4.288770
2.300000,1.830000,2.000000,-9.400000,0.249460,8.930000,-4.281640
2.100000,2.070000,2.166667,-9.400000,0.266009,8.950000,-4.263815
2.300000,2.230000,2.333333,-9.600000,0.281543,8.910000,-4.244207
2.400000,2.410000,2.500000,-9.200000,0.297070,8.890000,-4.221034
2.400000,2.550000,2.666667,-9.400000,0.313700,8.870000,-4.219251
2.300000,2.690000,2.833333,-9.400000,0.329222,8.810000,-4.210339
2.400000,2.950000,3.000000,-9.200000,0.345774,8.850000,-4.206774
2.200000,3.010000,3.166667,-9.600000,0.361294,8.870000,-4.197861
2.500000,3.190000,3.333333,-9.800000,0.377835,8.770000,-4.190731
2.000000,3.330000,3.500000,-9.400000,0.393317,8.790000,-4.213904
2.000000,3.550000,3.666667,-9.200000,0.413053,8.890000,-4.204991
2.300000,3.650000,3.833333,-9.400000,0.425732,8.810000,-4.233512
2.100000,3.810000,4.000000,-9.600000,0.441252,8.710000,-4.258467
2.100000,3.990000,4.166667,-9.600000,0.457948,8.830000,-4.251337
2.500000,4.170000,4.333333,-9.200000,0.473489,8.890000,-4.274510
2.200000,4.330000,4.500000,-9.400000,0.489978,8.870000,-4.276292
2.200000,4.510000,4.666667,-9.600000,0.514594,8.870000,-4.235294
2.300000,4.610000,4.833333,-9.800000,0.524825,8.810000,-4.238859
2.100000,4.790000,5.000000,-9.400000,0.537363,8.830000,-4.315508
2.100000,4.890000,5.166667,-9.600000,0.554054,8.870000,-4.326203
2.200000,5.130000,5.333333,-9.200000,0.569661,8.890000,-4.331551
2.300000,5.210000,5.500000,-9.400000,0.585145,8.930000,-4.326203
2.000000,5.510000,5.666667,-9.200000,0.606166,8.850000,-4.290553
2.300000,5.490000,5.833333,-9.400000,0.617841,8.910000,-4.310160
2.400000,5.710000,6.000000,-9.400000,0.633363,8.930000,-4.286988
2.400000,5.890000,6.166667,-9.400000,0.649994,8.950000,-4.281640
2.300000,6.070000,6.333333,-9.400000,0.665558,8.910000,-4.267380
2.200000,6.210000,6.500000,-9.800000,0.681087,8.910000,-4.240642
2.400000,6.330000,6.666667,-9.400000,0.697934,8.870000,-4.249554
2.200000,6.510000,6.833333,-9.400000,0.713566,8.850000,-4.229947
2.300000,6.690000,7.000000,-9.200000,0.729058,8.890000,-4.215686
2.300000,6.830000,7.166667,-9.800000,0.745605,8.830000,-4.215686
2.300000,6.970000,7.333333,-9.600000,0.761362,8.830000,-4.201426
2.200000,7.170000,7.500000,-9.400000,0.777925,8.830000,-4.206774
2.300000,7.250000,7.666667,-9.800000,0.793460,8.810000,-4.221034
2.400000,7.590000,7.833333,-9.400000,0.828735,8.850000,-4.208556
2.300000,7.670000,8.000000,-9.600000,0.844451,8.850000,-4.208556
2.100000,7.830000,8.166667,-9.200000,0.861049,8.890000,-4.212121
2.100000,7.930000,8.333333,-9.600000,0.876671,8.830000,-4.213904
2.300000,8.170000,8.500000,-9.400000,0.893289,8.810000,-4.217469
2.500000,8.250000,8.666667,-9.800000,0.908983,8.850000,-4.235294
2.400000,8.450000,8.833333,-9.800000,0.924499,8.890000,-4.260250
2.300000,8.590000,9.000000,-9.600000,0.941053,8.850000,-4.254902
2.400000,8.770000,9.166667,-9.600000,0.956806,8.890000,-4.276292
2.000000,8.870000,9.333333,-9.400000,0.972341,8.890000,-4.297683
2.300000,9.090000,9.500000,-9.400000,0.988921,8.830000,-4.301248
2.300000,9.230000,9.666667,-9.600000,1.009067,8.830000,-4.226381
2.300000,9.370000,9.833333,-9.800000,1.020787,8.850000,-4.317291
2.300000,9.510000,10.000000,-9.600000,1.036363,8.890000,-4.322638
2.400000,9.690000,10.166667,-9.400000,1.053041,8.890000,-4.324421
2.200000,9.830000,10.333333,-9.600000,1.068550,8.910000,-4.324421
2.300000,9.950000,10.500000,-9.400000,1.085450,8.870000,-4.342246
2.100000,10.230000,10.666667,-9.600000,1.109489,8.790000,-4.221034
2.100000,10.290000,10.833333,-9.400000,1.119793,8.850000,-4.333333
2.200000,10.470000,11.000000,-9.800000,1.132393,8.930000,-4.274510
2.000000,10.670000,11.166667,-9.600000,1.149068,8.870000,-4.260250
2.200000,10.830000,11.333333,-9.800000,1.164585,8.890000,-4.226381
2.300000,10.950000,11.500000,-9.800000,1.181081,8.910000,-4.228164
2.300000,11.210000,11.666667,-9.400000,1.206706,8.890000,-4.269162
2.200000,11.210000,11.833333,-9.400000,1.216198,8.970000,-4.279857
2.400000,11.430000,12.000000,-9.400000,1.228791,8.890000,-4.188948
2.300000,11.630000,12.166667,-9.400000,1.245359,8.890000,-4.188948
2.500000,11.730000,12.333333,-9.800000,1.261055,8.870000,-4.185383
2.200000,11.910000,12.500000,-9.800000,1.276581,8.850000,-4.194296
2.300000,12.090000,12.666667,-9.800000,1.293053,8.750000,-4.199643
2.200000,12.270000,12.833333,-9.600000,1.308676,8.810000,-4.217469
2.100000,12.410000,13.000000,-9.600000,1.325163,8.850000,-4.235294
2.300000,12.550000,13.166667,-9.200000,1.340762,8.790000,-4.253119
2.500000,12.670000,13.333333,-9.400000,1.357301,8.870000,-4.258467
2.100000,12.850000,13.500000,-9.400000,1.372817,8.830000,-4.288770
2.200000,13.030000,13.666667,-9.200000,1.389310,8.850000,-4.288770
2.300000,13.250000,13.833333,-9.400000,1.424605,8.770000,-4.247772
2.100000,13.370000,14.000000,-9.200000,1.441383,8.810000,-4.240642
2.400000,13.490000,14.166667,-9.400000,1.457061,8.850000,-4.265597
2.300000,13.650000,14.333333,-9.600000,1.472696,8.830000,-4.290553
2.200000,13.850000,14.500000,-9.400000,1.489230,8.810000,-4.299465
2.200000,13.990000,14.666667,-9.400000,1.505028,8.830000,-4.313725
