# Date: 20210414
# Operator: RDP
# Notes: OCT01_08
# Tap_cm: 5.0
# Sample: 8-PP
# Fit of Tap:
#	Ic = 182 +/- 0.048 A
#	n = 46.9 +/- 1 
#	Vc = 5 uV
#	Vfloor = 1.59 +/- 0.012 uV
#	R = 0.0001 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.200000,0.310000,0.000000,-12.200000,0.025331,8.830000,-4.245989
1.300000,0.250000,0.166667,-11.800000,0.040940,8.810000,-4.265597
1.500000,0.390000,0.333333,-10.000000,0.058799,8.810000,-4.260250
1.600000,0.510000,0.500000,-9.200000,0.074879,8.830000,-4.267380
1.500000,0.690000,0.666667,-9.600000,0.091102,8.850000,-4.274510
1.200000,0.810000,0.833333,-9.600000,0.107179,8.850000,-4.292335
1.400000,1.130000,1.000000,-9.800000,0.132965,8.990000,-4.267380
1.400000,1.170000,1.166667,-9.400000,0.144281,8.810000,-4.215686
1.400000,1.230000,1.333333,-9.800000,0.155045,8.830000,-4.315508
1.400000,1.410000,1.500000,-9.800000,0.171061,8.870000,-4.317291
1.600000,1.630000,1.666667,-9.800000,0.187681,8.870000,-4.327986
1.400000,1.830000,1.833333,-10.000000,0.211041,8.810000,-4.201426
1.500000,1.890000,2.000000,-9.600000,0.221352,8.850000,-4.320856
1.700000,2.070000,2.166667,-9.200000,0.235207,8.930000,-4.313725
1.500000,2.290000,2.333333,-9.400000,0.252018,8.890000,-4.311943
1.400000,2.430000,2.500000,-9.400000,0.267149,8.970000,-4.272727
1.300000,2.510000,2.666667,-9.400000,0.283254,8.990000,-4.256684
1.200000,2.750000,2.833333,-9.600000,0.299311,8.950000,-4.238859
1.500000,2.870000,3.000000,-9.400000,0.315363,8.870000,-4.226381
1.600000,3.050000,3.166667,-9.200000,0.331454,8.910000,-4.213904
1.400000,3.150000,3.333333,-9.400000,0.347460,8.930000,-4.194296
1.700000,3.370000,3.500000,-9.400000,0.363499,8.890000,-4.196078
1.700000,3.530000,3.666667,-9.600000,0.379531,8.910000,-4.188948
1.400000,3.670000,3.833333,-9.400000,0.400548,8.970000,-4.278075
1.300000,3.810000,4.000000,-9.600000,0.411622,8.870000,-4.180036
1.500000,4.050000,4.166667,-9.400000,0.436402,8.890000,-4.324421
1.500000,4.130000,4.333333,-9.600000,0.447206,8.870000,-4.197861
1.400000,4.250000,4.500000,-9.800000,0.459340,8.790000,-4.229947
1.400000,4.470000,4.666667,-9.400000,0.475298,8.870000,-4.258467
1.400000,4.610000,4.833333,-9.400000,0.491321,8.870000,-4.260250
1.300000,4.790000,5.000000,-9.400000,0.507340,8.870000,-4.270945
1.200000,4.910000,5.166667,-9.800000,0.523330,8.870000,-4.292335
1.400000,5.070000,5.333333,-9.600000,0.539353,8.870000,-4.311943
1.300000,5.230000,5.500000,-9.600000,0.555349,8.910000,-4.320856
1.500000,5.410000,5.666667,-9.600000,0.571464,8.870000,-4.333333
1.800000,5.570000,5.833333,-9.400000,0.591440,8.850000,-4.265597
1.500000,5.690000,6.000000,-9.800000,0.603497,8.890000,-4.327986
1.500000,5.870000,6.166667,-9.600000,0.619501,8.890000,-4.324421
1.500000,6.010000,6.333333,-9.400000,0.635506,9.010000,-4.308378
1.500000,6.170000,6.500000,-9.400000,0.651494,8.870000,-4.303030
1.300000,6.330000,6.666667,-9.200000,0.667574,8.930000,-4.294118
1.400000,6.530000,6.833333,-9.400000,0.683637,8.930000,-4.269162
1.500000,6.610000,7.000000,-9.600000,0.699699,8.930000,-4.256684
1.500000,6.910000,7.166667,-9.600000,0.728097,8.890000,-4.196078
1.500000,7.010000,7.333333,-9.600000,0.738712,8.850000,-4.320856
1.700000,7.030000,7.500000,-9.400000,0.748609,8.890000,-4.251337
1.500000,7.270000,7.666667,-9.600000,0.763621,8.870000,-4.206774
1.600000,7.510000,7.833333,-9.600000,0.783538,8.950000,-4.270945
1.600000,7.570000,8.000000,-9.600000,0.795566,8.910000,-4.199643
1.300000,7.810000,8.166667,-9.600000,0.811521,8.830000,-4.194296
1.500000,7.970000,8.333333,-9.400000,0.827510,8.830000,-4.204991
1.300000,8.170000,8.500000,-9.600000,0.843461,8.850000,-4.224599
1.400000,8.290000,8.666667,-9.400000,0.859433,8.770000,-4.242424
1.400000,8.470000,8.833333,-9.600000,0.875403,8.850000,-4.254902
1.800000,8.610000,9.000000,-9.800000,0.891416,8.830000,-4.270945
1.500000,8.730000,9.166667,-9.400000,0.907368,8.870000,-4.281640
1.100000,8.870000,9.333333,-9.200000,0.923348,8.870000,-4.295900
1.200000,8.970000,9.500000,-9.800000,0.939476,8.850000,-4.297683
1.600000,9.190000,9.666667,-10.000000,0.955551,8.930000,-4.313725
1.600000,9.350000,9.833333,-9.600000,0.975529,8.830000,-4.247772
1.200000,9.470000,10.000000,-9.600000,0.987597,8.890000,-4.327986
1.200000,9.670000,10.166667,-9.600000,1.003891,8.890000,-4.315508
1.500000,9.930000,10.333333,-9.400000,1.028928,8.850000,-4.206774
1.300000,9.950000,10.500000,-9.400000,1.039504,8.850000,-4.317291
1.600000,10.090000,10.666667,-9.400000,1.051733,8.930000,-4.310160
1.600000,10.330000,10.833333,-9.200000,1.067709,8.930000,-4.310160
1.200000,10.490000,11.000000,-9.400000,1.083691,8.930000,-4.286988
1.300000,10.650000,11.166667,-9.600000,1.099666,8.930000,-4.262032
1.600000,10.830000,11.333333,-9.400000,1.115669,8.890000,-4.247772
1.600000,11.010000,11.500000,-9.400000,1.131637,8.910000,-4.229947
1.800000,11.150000,11.666667,-9.200000,1.147602,8.870000,-4.212121
1.600000,11.290000,11.833333,-9.200000,1.167666,8.990000,-4.299465
1.600000,11.430000,12.000000,-9.600000,1.179802,8.790000,-4.203209
1.500000,11.610000,12.166667,-9.400000,1.194959,8.850000,-4.194296
1.400000,11.770000,12.333333,-9.600000,1.210959,8.850000,-4.197861
1.300000,11.990000,12.500000,-9.600000,1.227210,8.870000,-4.210339
1.200000,12.030000,12.666667,-9.600000,1.243504,8.850000,-4.215686
1.500000,12.270000,12.833333,-9.800000,1.259540,8.870000,-4.226381
1.600000,12.330000,13.000000,-9.200000,1.275525,8.830000,-4.238859
1.700000,12.530000,13.166667,-9.400000,1.291500,8.850000,-4.265597
1.400000,12.710000,13.333333,-9.400000,1.307496,8.930000,-4.285205
1.500000,12.850000,13.500000,-9.400000,1.332800,8.890000,-4.253119
1.300000,12.970000,13.666667,-9.600000,1.343505,8.870000,-4.226381
1.500000,13.190000,13.833333,-9.200000,1.363656,8.850000,-4.212121
1.200000,13.310000,14.000000,-9.400000,1.373591,8.870000,-4.294118
1.500000,13.470000,14.166667,-9.200000,1.387524,8.870000,-4.327986
1.400000,13.670000,14.333333,-9.400000,1.403486,8.910000,-4.327986
1.700000,13.910000,14.500000,-10.000000,1.420068,8.970000,-4.322638
1.300000,13.970000,14.666667,-9.800000,1.435343,9.010000,-4.306595
1.400000,14.130000,14.833333,-9.800000,1.451490,8.910000,-4.294118
1.400000,14.270000,15.000000,-10.400000,1.467556,8.950000,-4.285205
1.600000,14.430000,15.166667,-10.200000,1.483567,8.930000,-4.265597
1.400000,14.550000,15.333333,-10.200000,1.499571,8.870000,-4.249554
1.500000,14.770000,15.500000,-10.200000,1.515611,8.950000,-4.231729
1.400000,15.010000,15.666667,-10.000000,1.541489,8.850000,-4.253119
1.500000,15.010000,15.833333,-9.800000,1.551681,8.970000,-4.295900
1.600000,15.210000,16.000000,-10.000000,1.563666,8.950000,-4.188948
1.500000,15.350000,16.166667,-10.200000,1.579612,8.970000,-4.181818
1.500000,15.590000,16.333333,-10.200000,1.595592,8.850000,-4.181818
1.700000,15.810000,16.500000,-10.200000,1.611602,8.830000,-4.188948
1.500000,15.870000,16.666667,-10.200000,1.636150,8.870000,-4.320856
1.500000,16.050000,16.833333,-9.400000,1.646829,8.930000,-4.188948
1.600000,16.190000,17.000000,-9.400000,1.658834,8.850000,-4.245989
1.700000,16.270000,17.166667,-9.600000,1.674845,8.870000,-4.260250
1.400000,16.590000,17.333333,-9.400000,1.690993,8.890000,-4.269162
1.200000,16.630000,17.500000,-9.400000,1.707139,8.870000,-4.295900
1.600000,16.890000,17.666667,-9.400000,1.731818,8.950000,-4.226381
1.600000,16.970000,17.833333,-9.400000,1.741821,8.870000,-4.260250
1.600000,17.130000,18.000000,-9.400000,1.755770,8.930000,-4.315508
1.500000,17.290000,18.166667,-9.400000,1.771774,8.850000,-4.315508
1.600000,17.510000,18.333333,-9.800000,1.787779,8.970000,-4.310160
1.500000,17.730000,18.500000,-9.400000,1.803831,8.930000,-4.310160
1.700000,17.750000,18.666667,-9.400000,1.818834,8.990000,-4.292335
1.600000,17.990000,18.833333,-9.400000,1.834873,8.970000,-4.292335
1.600000,18.110000,19.000000,-9.200000,1.850873,8.970000,-4.272727
1.400000,18.250000,19.166667,-9.600000,1.866898,8.910000,-4.253119
1.600000,18.410000,19.333333,-9.400000,1.882951,8.910000,-4.249554
1.700000,18.590000,19.500000,-9.800000,1.898940,8.850000,-4.235294
1.500000,18.850000,19.666667,-9.800000,1.938825,8.850000,-4.324421
1.600000,18.930000,19.833333,-9.600000,1.955128,8.890000,-4.326203
1.600000,19.090000,20.000000,-9.400000,1.971207,8.930000,-4.327986
1.400000,19.330000,20.166667,-9.400000,1.987255,8.950000,-4.322638
1.700000,19.390000,20.333333,-9.400000,2.003242,8.950000,-4.315508
