# Date: 20210415
# Operator: RDP
# Notes: Old
# Tap_cm: 7.0
# Sample: DCC-Ni_001
# Fit of Tap:
#	Ic = 146 +/- 0.31 A
#	n = 49.9 +/- 3 
#	Vc = 7 uV
#	Vfloor = 4.5 +/- 0.011 uV
#	R = 0.00445 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.400000,0.210000,0.000000,-11.600000,0.027782,8.970000,-4.388592
4.200000,0.250000,0.166667,-11.800000,0.041855,8.910000,-4.315508
4.200000,0.370000,0.333333,-12.000000,0.057433,8.950000,-4.295900
4.100000,0.490000,0.500000,-11.800000,0.074011,8.910000,-4.292335
4.600000,0.770000,0.666667,-9.400000,0.091981,8.930000,-4.326203
4.400000,0.870000,0.833333,-9.200000,0.108260,8.910000,-4.299465
4.400000,1.010000,1.000000,-9.600000,0.124280,8.910000,-4.283422
4.300000,1.150000,1.166667,-9.200000,0.140268,8.870000,-4.269162
4.300000,1.330000,1.333333,-9.400000,0.156444,8.910000,-4.265597
4.400000,1.490000,1.500000,-9.400000,0.172626,8.910000,-4.274510
4.100000,1.570000,1.666667,-9.400000,0.188226,8.850000,-4.272727
4.200000,1.770000,1.833333,-9.400000,0.204851,8.850000,-4.265597
4.400000,1.930000,2.000000,-10.200000,0.223745,8.910000,-4.260250
4.300000,2.110000,2.166667,-9.200000,0.241167,8.890000,-4.279857
4.400000,2.190000,2.333333,-9.200000,0.251747,8.870000,-4.313725
4.200000,2.430000,2.500000,-9.600000,0.268575,8.790000,-4.324421
4.500000,2.530000,2.666667,-9.400000,0.284267,8.870000,-4.335116
4.300000,2.750000,2.833333,-9.200000,0.300353,8.870000,-4.349376
4.400000,2.850000,3.000000,-9.400000,0.316350,8.870000,-4.368984
4.300000,3.070000,3.166667,-9.400000,0.341871,8.850000,-4.317291
4.200000,3.170000,3.333333,-9.400000,0.352503,8.830000,-4.313725
4.500000,3.310000,3.500000,-9.400000,0.364589,8.910000,-4.404635
4.300000,3.510000,3.666667,-9.600000,0.380561,8.950000,-4.413547
4.500000,3.670000,3.833333,-10.200000,0.396626,8.970000,-4.420677
4.300000,3.850000,4.000000,-9.200000,0.411862,8.950000,-4.390374
4.400000,4.030000,4.166667,-9.400000,0.431945,8.870000,-4.388592
4.400000,4.130000,4.333333,-9.400000,0.444113,8.910000,-4.360071
