# Date: 20210415
# Operator: RDP
# Notes: Old
# Tap_cm: 5.0
# Sample: DCC-Ni_003
# Fit of Tap:
#	Ic = 148 +/- 0.35 A
#	n = 70.9 +/- 6.9 
#	Vc = 5 uV
#	Vfloor = 3.45 +/- 0.012 uV
#	R = 0.00326 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.300000,0.190000,0.000000,-11.800000,0.055883,9.030000,-4.397504
3.200000,0.250000,0.166667,-11.600000,0.069170,9.010000,-4.322638
3.300000,0.330000,0.333333,-11.600000,0.078037,8.750000,-4.256684
3.200000,0.570000,0.500000,-11.600000,0.094348,8.750000,-4.274510
3.300000,0.710000,0.666667,-11.800000,0.110671,8.750000,-4.290553
3.200000,0.850000,0.833333,-11.800000,0.125983,8.870000,-4.336898
3.100000,1.010000,1.000000,-9.800000,0.144223,8.810000,-4.286988
3.100000,1.150000,1.166667,-9.400000,0.160703,8.810000,-4.297683
3.100000,1.310000,1.333333,-9.400000,0.176602,8.870000,-4.333333
3.500000,1.490000,1.500000,-9.400000,0.192157,8.970000,-4.372549
3.200000,1.630000,1.666667,-9.200000,0.208682,9.010000,-4.365419
2.900000,1.850000,1.833333,-9.600000,0.232913,8.650000,-4.240642
3.100000,1.890000,2.000000,-9.600000,0.242311,8.990000,-4.365419
3.200000,2.050000,2.166667,-9.600000,0.255802,9.070000,-4.417112
3.400000,2.230000,2.333333,-9.400000,0.272218,9.070000,-4.417112
3.300000,2.470000,2.500000,-9.400000,0.296400,8.690000,-4.245989
3.400000,2.510000,2.666667,-9.000000,0.306643,9.070000,-4.415330
3.300000,2.670000,2.833333,-9.400000,0.320133,8.990000,-4.360071
3.300000,2.910000,3.000000,-9.400000,0.336613,8.990000,-4.347594
3.000000,3.010000,3.166667,-9.400000,0.352047,8.910000,-4.303030
3.200000,3.150000,3.333333,-9.400000,0.368548,8.890000,-4.283422
3.100000,3.310000,3.500000,-9.200000,0.384021,8.770000,-4.263815
3.100000,3.530000,3.666667,-10.000000,0.400497,8.790000,-4.258467
3.100000,3.690000,3.833333,-9.600000,0.416013,8.690000,-4.237077
3.100000,3.890000,4.000000,-9.400000,0.441886,8.970000,-4.374332
3.300000,3.930000,4.166667,-8.800000,0.451322,8.810000,-4.286988
3.200000,4.090000,4.333333,-9.400000,0.463793,8.710000,-4.233512
3.100000,4.310000,4.500000,-9.400000,0.480804,8.630000,-4.229947
3.100000,4.510000,4.666667,-9.200000,0.496306,8.710000,-4.233512
3.200000,4.630000,4.833333,-9.200000,0.512303,8.710000,-4.245989
3.200000,4.830000,5.000000,-9.400000,0.529320,8.730000,-4.240642
3.200000,4.930000,5.166667,-9.600000,0.544425,8.790000,-4.281640
3.200000,5.110000,5.333333,-9.400000,0.560306,8.850000,-4.310160
3.300000,5.230000,5.500000,-9.400000,0.590230,9.090000,-4.417112
3.400000,5.370000,5.666667,-9.800000,0.600712,8.790000,-4.279857
3.300000,5.510000,5.833333,-9.600000,0.610400,8.830000,-4.311943
3.400000,5.710000,6.000000,-9.400000,0.624270,9.010000,-4.397504
3.200000,5.890000,6.166667,-9.400000,0.640313,9.090000,-4.404635
3.200000,6.050000,6.333333,-9.200000,0.660238,8.850000,-4.310160
3.400000,6.190000,6.500000,-9.400000,0.672651,9.070000,-4.409982
3.200000,6.350000,6.666667,-9.600000,0.688409,9.090000,-4.397504
3.300000,6.530000,6.833333,-9.600000,0.704272,9.050000,-4.386809
