# Date: 20210415
# Operator: RDP
# Notes: Old
# Tap_cm: 6.0
# Sample: DCC-Ni_006
# Fit of Tap:
#	Ic = 154 A
#	n = 199 
#	Vc = 6 uV
#	Vfloor = 3.79 uV
#	R = 0.00695 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.600000,0.190000,0.000000,-9.600000,0.051090,8.910000,-4.363636
3.400000,0.270000,0.166667,-9.200000,0.097603,8.790000,-4.265597
3.400000,0.410000,0.333333,-9.800000,0.114466,8.870000,-4.274510
3.300000,0.530000,0.500000,-9.600000,0.129632,8.750000,-4.249554
3.500000,0.670000,0.666667,-9.400000,0.145709,8.690000,-4.251337
3.400000,0.850000,0.833333,-9.800000,0.161736,8.710000,-4.254902
3.500000,0.990000,1.000000,-9.400000,0.177773,8.670000,-4.260250
3.700000,1.130000,1.166667,-9.400000,0.193795,8.750000,-4.262032
3.600000,1.310000,1.333333,-9.400000,0.217345,8.950000,-4.363636
3.500000,1.430000,1.500000,-9.400000,0.227536,8.750000,-4.251337
3.200000,1.510000,1.666667,-9.400000,0.241624,8.850000,-4.295900
3.200000,1.730000,1.833333,-9.400000,0.257775,8.830000,-4.320856
3.600000,1.890000,2.000000,-9.200000,0.273842,8.830000,-4.342246
3.600000,2.090000,2.166667,-9.400000,0.289918,8.910000,-4.356506
3.600000,2.250000,2.333333,-9.400000,0.305968,8.950000,-4.376114
3.400000,2.470000,2.500000,-9.400000,0.322096,8.990000,-4.399287
3.600000,2.590000,2.666667,-9.400000,0.347442,8.830000,-4.267380
3.400000,2.650000,2.833333,-9.800000,0.358265,8.890000,-4.315508
3.400000,2.830000,3.000000,-9.400000,0.370317,9.050000,-4.418895
3.500000,2.970000,3.166667,-9.200000,0.386415,9.010000,-4.417112
3.500000,3.250000,3.333333,-9.200000,0.406456,8.850000,-4.365419
3.300000,3.310000,3.500000,-9.600000,0.417530,8.970000,-4.372549
3.600000,3.510000,3.666667,-9.400000,0.433561,9.010000,-4.349376
3.600000,3.650000,3.833333,-9.400000,0.449627,8.930000,-4.336898
3.800000,3.830000,4.000000,-9.400000,0.465635,8.930000,-4.315508
3.700000,3.950000,4.166667,-9.400000,0.481664,8.890000,-4.297683
3.300000,4.170000,4.333333,-9.400000,0.497859,8.810000,-4.279857
3.500000,4.330000,4.500000,-9.400000,0.514033,8.830000,-4.270945
3.500000,4.470000,4.666667,-9.800000,0.530100,8.810000,-4.262032
3.600000,4.630000,4.833333,-9.600000,0.546211,8.730000,-4.265597
3.400000,4.830000,5.000000,-9.800000,0.562257,8.710000,-4.262032
3.400000,4.930000,5.166667,-12.400000,0.576546,8.770000,-4.272727
3.300000,5.110000,5.333333,-11.800000,0.591490,8.810000,-4.313725
3.600000,5.210000,5.500000,-11.600000,0.608089,8.730000,-4.311943
3.700000,5.430000,5.666667,-11.800000,0.623671,8.810000,-4.345811
3.700000,5.590000,5.833333,-12.000000,0.640862,8.790000,-4.333333
3.600000,5.750000,6.000000,-11.600000,0.655956,8.910000,-4.381462
3.400000,5.930000,6.166667,-12.200000,0.671601,8.970000,-4.409982
3.700000,6.030000,6.333333,-9.600000,0.689496,8.950000,-4.395722
3.400000,6.150000,6.500000,-10.200000,0.705809,8.950000,-4.401070
3.600000,6.350000,6.666667,-9.400000,0.722126,8.910000,-4.399287
3.700000,6.570000,6.833333,-9.200000,0.738350,9.030000,-4.411765
3.500000,6.650000,7.000000,-9.800000,0.753547,9.030000,-4.426025
3.600000,6.790000,7.166667,-9.400000,0.769643,9.030000,-4.413547
3.700000,7.010000,7.333333,-9.400000,0.789748,8.910000,-4.368984
3.300000,7.110000,7.500000,-9.600000,0.801949,8.990000,-4.397504
3.600000,7.310000,7.666667,-9.600000,0.818018,8.950000,-4.397504
