# Date: 20210415
# Operator: RDP
# Notes: Old
# Tap_cm: 6.0
# Sample: DCC-Ni_006
# Fit of Tap:
#	Ic = 144 +/- 0.091 A
#	n = 46.4 +/- 2.4 
#	Vc = 6 uV
#	Vfloor = 8.6 +/- 5e+18 uV
#	R = 0.00673 +/- 0.00062 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
5.300000,0.210000,0.000000,-9.600000,0.028016,8.990000,-4.338681
5.400000,0.210000,0.166667,-9.000000,0.043884,8.970000,-4.319073
5.200000,0.330000,0.333333,-8.800000,0.059486,8.950000,-4.292335
5.200000,0.510000,0.500000,-8.800000,0.075949,8.910000,-4.290553
5.500000,0.690000,0.666667,-8.600000,0.091774,8.890000,-4.272727
5.500000,0.850000,0.833333,-8.800000,0.108273,8.870000,-4.269162
5.400000,1.010000,1.000000,-9.200000,0.123864,8.810000,-4.242424
5.500000,1.170000,1.166667,-9.200000,0.140317,8.750000,-4.247772
5.500000,1.330000,1.333333,-9.400000,0.155806,8.730000,-4.251337
5.400000,1.470000,1.500000,-9.800000,0.172237,8.770000,-4.244207
5.600000,1.670000,1.666667,-9.200000,0.197021,9.030000,-4.402852
5.400000,1.690000,1.833333,-9.200000,0.207592,8.790000,-4.251337
5.300000,1.890000,2.000000,-8.600000,0.220215,8.730000,-4.269162
5.200000,2.110000,2.166667,-9.200000,0.240632,8.790000,-4.244207
5.200000,2.190000,2.333333,-8.800000,0.252162,8.830000,-4.301248
5.400000,2.390000,2.500000,-9.200000,0.267825,8.870000,-4.326203
5.300000,2.570000,2.666667,-9.400000,0.284612,8.830000,-4.331551
5.400000,2.710000,2.833333,-9.200000,0.300225,8.930000,-4.360071
5.300000,2.870000,3.000000,-8.800000,0.315787,9.030000,-4.390374
5.200000,3.010000,3.166667,-9.200000,0.332282,9.010000,-4.402852
5.400000,3.150000,3.333333,-9.400000,0.347884,9.010000,-4.417112
5.400000,3.330000,3.500000,-9.400000,0.363374,8.970000,-4.408200
5.400000,3.550000,3.666667,-9.000000,0.380024,9.030000,-4.409982
5.500000,3.670000,3.833333,-9.200000,0.395672,9.050000,-4.390374
5.400000,3.870000,4.000000,-9.200000,0.412145,9.050000,-4.379679
5.400000,3.970000,4.166667,-9.000000,0.427807,8.970000,-4.354724
5.300000,4.110000,4.333333,-8.800000,0.447586,9.050000,-4.418895
5.500000,4.290000,4.500000,-8.800000,0.460118,8.950000,-4.345811
5.400000,4.510000,4.666667,-8.800000,0.475633,8.890000,-4.306595
5.500000,4.650000,4.833333,-9.400000,0.500135,8.950000,-4.374332
5.400000,4.770000,5.000000,-9.400000,0.510898,8.990000,-4.360071
5.700000,4.890000,5.166667,-9.600000,0.523502,8.770000,-4.245989
5.200000,5.290000,5.333333,-11.600000,0.538922,8.810000,-4.251337
5.300000,5.210000,5.500000,-11.600000,0.554304,8.750000,-4.254902
5.400000,5.450000,5.666667,-11.400000,0.569635,8.730000,-4.274510
5.300000,5.570000,5.833333,-11.200000,0.585974,8.790000,-4.283422
5.500000,5.750000,6.000000,-11.400000,0.602320,8.770000,-4.297683
5.300000,5.890000,6.166667,-11.600000,0.617663,8.870000,-4.333333
5.400000,6.030000,6.333333,-11.400000,0.633985,8.850000,-4.333333
5.200000,6.210000,6.500000,-9.000000,0.652030,8.790000,-4.297683
5.400000,6.350000,6.666667,-9.400000,0.667627,8.850000,-4.329768
5.400000,6.530000,6.833333,-9.600000,0.684141,8.870000,-4.329768
5.500000,6.670000,7.000000,-9.400000,0.699625,9.010000,-4.365419
5.600000,6.850000,7.166667,-9.200000,0.716066,9.030000,-4.365419
5.500000,6.970000,7.333333,-8.800000,0.731555,9.050000,-4.383244
5.500000,7.130000,7.500000,-8.800000,0.748087,9.050000,-4.392157
5.500000,7.290000,7.666667,-8.800000,0.763604,9.050000,-4.397504
5.400000,7.570000,7.833333,-8.800000,0.792125,8.870000,-4.272727
5.600000,7.630000,8.000000,-8.800000,0.802295,8.870000,-4.288770
5.300000,7.710000,8.166667,-8.800000,0.811840,8.990000,-4.352941
5.400000,7.950000,8.333333,-9.200000,0.828276,8.970000,-4.354724
5.500000,8.150000,8.500000,-9.400000,0.843891,8.970000,-4.319073
5.500000,8.270000,8.666667,-9.200000,0.864005,9.110000,-4.401070
5.300000,8.410000,8.833333,-9.600000,0.875616,8.930000,-4.265597
5.400000,8.570000,9.000000,-8.800000,0.892095,8.890000,-4.258467
5.500000,8.670000,9.166667,-8.800000,0.907636,8.830000,-4.228164
5.300000,8.910000,9.333333,-9.000000,0.924159,8.810000,-4.228164
5.400000,9.010000,9.500000,-10.400000,0.939762,8.790000,-4.219251
5.400000,9.230000,9.666667,-8.800000,0.956255,8.810000,-4.219251
5.300000,9.390000,9.833333,-9.200000,0.971842,8.770000,-4.237077
5.500000,9.510000,10.000000,-9.200000,0.988289,8.770000,-4.235294
5.400000,9.630000,10.166667,-9.400000,1.003874,8.770000,-4.251337
5.400000,9.810000,10.333333,-8.800000,1.019341,8.850000,-4.278075
5.500000,10.030000,10.500000,-9.000000,1.036228,8.810000,-4.278075
5.300000,10.170000,10.666667,-8.800000,1.051929,8.830000,-4.303030
5.500000,10.370000,10.833333,-9.200000,1.071997,8.790000,-4.242424
5.400000,10.530000,11.000000,-9.400000,1.096595,9.070000,-4.386809
5.600000,10.550000,11.166667,-9.400000,1.107008,8.790000,-4.237077
5.300000,10.730000,11.333333,-9.600000,1.116512,8.850000,-4.351159
5.500000,10.950000,11.500000,-9.200000,1.132071,9.010000,-4.377897
5.400000,11.190000,11.666667,-9.000000,1.147635,9.030000,-4.390374
5.700000,11.270000,11.833333,-10.200000,1.164140,9.030000,-4.388592
5.600000,11.470000,12.000000,-9.000000,1.179776,9.050000,-4.386809
5.400000,11.630000,12.166667,-9.400000,1.201995,8.830000,-4.297683
5.500000,11.750000,12.333333,-9.400000,1.211623,9.010000,-4.363636
5.400000,11.950000,12.500000,-9.200000,1.228131,9.050000,-4.360071
5.400000,12.090000,12.666667,-9.400000,1.243779,8.970000,-4.322638
5.500000,12.270000,12.833333,-9.400000,1.260253,8.970000,-4.329768
5.500000,12.410000,13.000000,-9.800000,1.282720,9.030000,-4.374332
5.600000,12.490000,13.166667,-9.200000,1.292297,8.870000,-4.276292
5.600000,12.690000,13.333333,-9.400000,1.307949,8.830000,-4.256684
5.400000,12.870000,13.500000,-9.400000,1.323492,8.770000,-4.238859
