# Date: 20210415
# Operator: RDP
# Notes: Old
# Tap_cm: 6.0
# Sample: DCC-Ni_008
# Fit of Tap:
#	Ic = 142 +/- 0.064 A
#	n = 28 +/- 0.55 
#	Vc = 6 uV
#	Vfloor = 3.13 +/- 0.013 uV
#	R = 0.00178 +/- 0.00019 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.800000,0.250000,0.000000,-12.000000,0.026333,8.810000,-4.235294
3.000000,0.350000,0.166667,-12.200000,0.041936,8.770000,-4.251337
2.800000,0.390000,0.333333,-11.800000,0.057496,8.750000,-4.281640
3.000000,0.530000,0.500000,-11.800000,0.074085,8.750000,-4.285205
3.000000,0.670000,0.666667,-12.000000,0.089661,8.830000,-4.310160
2.700000,0.890000,0.833333,-9.600000,0.108439,8.790000,-4.278075
2.800000,0.990000,1.000000,-9.400000,0.124493,8.790000,-4.278075
3.100000,1.110000,1.166667,-9.400000,0.140458,8.830000,-4.294118
3.000000,1.290000,1.333333,-9.400000,0.156504,8.830000,-4.310160
3.000000,1.470000,1.500000,-9.600000,0.172509,8.850000,-4.322638
3.200000,1.630000,1.666667,-9.600000,0.197869,8.910000,-4.303030
3.000000,1.750000,1.833333,-9.600000,0.208642,8.810000,-4.263815
3.000000,1.930000,2.000000,-9.200000,0.219882,8.870000,-4.370766
2.900000,2.090000,2.166667,-9.200000,0.240470,8.830000,-4.286988
2.900000,2.190000,2.333333,-9.400000,0.252499,8.950000,-4.372549
2.900000,2.410000,2.500000,-9.600000,0.268472,8.950000,-4.367201
2.800000,2.570000,2.666667,-9.600000,0.284558,8.990000,-4.361854
3.100000,2.710000,2.833333,-9.600000,0.300574,8.970000,-4.356506
2.900000,2.870000,3.000000,-9.200000,0.316601,8.910000,-4.345811
2.800000,3.090000,3.166667,-9.600000,0.332593,8.990000,-4.333333
2.800000,3.190000,3.333333,-9.800000,0.348582,8.970000,-4.317291
3.000000,3.370000,3.500000,-9.800000,0.365208,8.930000,-4.317291
2.900000,3.510000,3.666667,-9.200000,0.380330,8.870000,-4.265597
3.100000,3.630000,3.833333,-9.400000,0.396355,8.930000,-4.260250
2.800000,3.850000,4.000000,-9.000000,0.412386,8.850000,-4.244207
2.700000,4.010000,4.166667,-9.400000,0.428449,8.870000,-4.231729
3.100000,4.190000,4.333333,-9.200000,0.448545,8.910000,-4.308378
2.800000,4.310000,4.500000,-9.600000,0.460661,8.770000,-4.222816
2.900000,4.470000,4.666667,-9.600000,0.476814,8.770000,-4.224599
3.000000,4.650000,4.833333,-9.200000,0.501485,8.950000,-4.365419
3.000000,4.730000,5.000000,-9.000000,0.512239,8.830000,-4.247772
2.900000,4.910000,5.166667,-9.600000,0.524315,8.790000,-4.267380
3.100000,5.070000,5.333333,-9.400000,0.540347,8.830000,-4.286988
2.900000,5.230000,5.500000,-9.800000,0.556391,8.770000,-4.303030
2.800000,5.410000,5.666667,-9.400000,0.572410,8.810000,-4.317291
3.000000,5.590000,5.833333,-9.600000,0.588489,8.830000,-4.335116
2.900000,5.790000,6.000000,-9.800000,0.604533,8.850000,-4.347594
2.900000,5.890000,6.166667,-9.400000,0.620507,8.870000,-4.361854
3.200000,6.050000,6.333333,-9.600000,0.636496,8.930000,-4.367201
3.100000,6.230000,6.500000,-9.600000,0.656622,8.810000,-4.290553
3.100000,6.310000,6.666667,-9.600000,0.668680,8.970000,-4.379679
3.200000,6.550000,6.833333,-9.400000,0.683667,8.970000,-4.354724
3.400000,6.630000,7.000000,-9.400000,0.700651,8.990000,-4.354724
3.000000,6.770000,7.166667,-9.400000,0.716762,8.950000,-4.361854
2.600000,7.010000,7.333333,-9.400000,0.731856,8.930000,-4.322638
3.100000,7.210000,7.500000,-9.400000,0.747859,9.010000,-4.301248
3.000000,7.310000,7.666667,-9.600000,0.763884,8.910000,-4.276292
3.100000,7.530000,7.833333,-9.600000,0.794297,8.850000,-4.231729
3.000000,7.590000,8.000000,-9.600000,0.804956,8.870000,-4.326203
2.800000,7.750000,8.166667,-9.400000,0.814873,8.950000,-4.311943
3.200000,7.950000,8.333333,-9.400000,0.827831,8.910000,-4.238859
3.300000,8.150000,8.500000,-9.200000,0.843783,8.810000,-4.237077
3.200000,8.290000,8.666667,-9.600000,0.863811,8.950000,-4.281640
2.900000,8.370000,8.833333,-9.600000,0.875841,8.830000,-4.238859
3.000000,8.610000,9.000000,-9.600000,0.891792,8.790000,-4.256684
3.100000,8.750000,9.166667,-9.600000,0.907744,8.770000,-4.265597
2.900000,8.870000,9.333333,-9.400000,0.923692,8.810000,-4.276292
3.300000,9.030000,9.500000,-9.400000,0.939667,8.810000,-4.294118
2.900000,9.170000,9.666667,-9.400000,0.956681,8.810000,-4.299465
3.000000,9.310000,9.833333,-9.400000,0.972386,8.910000,-4.317291
3.000000,9.530000,10.000000,-9.600000,0.988510,8.830000,-4.322638
3.000000,9.710000,10.166667,-9.400000,1.004542,8.870000,-4.340463
2.900000,9.830000,10.333333,-9.400000,1.020548,8.890000,-4.358289
2.700000,10.010000,10.500000,-9.800000,1.036570,8.910000,-4.356506
3.200000,10.170000,10.666667,-9.600000,1.052546,8.910000,-4.367201
2.700000,10.370000,10.833333,-9.200000,1.072622,8.870000,-4.311943
2.900000,10.550000,11.000000,-9.400000,1.097665,8.910000,-4.310160
2.900000,10.590000,11.166667,-9.600000,1.108479,8.850000,-4.265597
2.900000,10.750000,11.333333,-9.200000,1.118484,8.930000,-4.388592
3.200000,10.970000,11.500000,-9.400000,1.132435,8.910000,-4.358289
2.900000,11.190000,11.666667,-9.200000,1.148471,8.870000,-4.342246
2.700000,11.330000,11.833333,-9.800000,1.164526,8.870000,-4.326203
3.200000,11.390000,12.000000,-9.400000,1.180537,8.910000,-4.303030
3.000000,11.610000,12.166667,-9.400000,1.196559,8.890000,-4.299465
3.100000,11.830000,12.333333,-9.200000,1.212526,8.890000,-4.276292
3.200000,11.930000,12.500000,-9.400000,1.228676,8.890000,-4.265597
3.200000,12.070000,12.666667,-9.600000,1.243721,8.770000,-4.251337
3.100000,12.270000,12.833333,-9.600000,1.259697,8.850000,-4.254902
3.100000,12.410000,13.000000,-9.400000,1.282177,8.970000,-4.358289
3.000000,12.470000,13.166667,-9.600000,1.292196,8.770000,-4.269162
2.800000,12.670000,13.333333,-9.400000,1.308159,8.770000,-4.274510
3.100000,12.870000,13.500000,-9.600000,1.324191,8.730000,-4.279857
2.900000,12.990000,13.666667,-9.400000,1.340248,8.790000,-4.290553
3.000000,13.150000,13.833333,-9.400000,1.356281,8.810000,-4.299465
2.900000,13.290000,14.000000,-9.400000,1.372317,8.790000,-4.329768
3.200000,13.570000,14.166667,-9.400000,1.396750,8.950000,-4.295900
3.100000,13.610000,14.333333,-9.200000,1.407509,8.810000,-4.283422
2.900000,13.810000,14.500000,-9.800000,1.420552,8.830000,-4.360071
3.100000,13.970000,14.666667,-9.400000,1.436582,8.850000,-4.370766
3.100000,14.150000,14.833333,-9.800000,1.452580,8.910000,-4.390374
3.200000,14.330000,15.000000,-9.200000,1.469147,8.930000,-4.392157
3.000000,14.470000,15.166667,-9.200000,1.489497,8.810000,-4.304813
3.200000,14.570000,15.333333,-9.400000,1.500061,8.970000,-4.377897
3.000000,14.770000,15.500000,-9.600000,1.515448,8.970000,-4.351159
2.900000,14.970000,15.666667,-9.200000,1.531920,8.930000,-4.338681
3.000000,15.090000,15.833333,-9.400000,1.547296,8.890000,-4.301248
3.200000,15.270000,16.000000,-9.400000,1.563666,8.930000,-4.303030
3.200000,15.430000,16.166667,-9.400000,1.580113,8.930000,-4.290553
3.100000,15.570000,16.333333,-9.200000,1.595502,8.870000,-4.262032
3.100000,15.730000,16.500000,-9.200000,1.611952,8.930000,-4.251337
3.200000,15.890000,16.666667,-9.400000,1.627303,8.830000,-4.238859
