# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_001
# Fit of Tap:
#	Ic = 82 +/- 1.2 A
#	n = 42.9 +/- 14 
#	Vc = 5 uV
#	Vfloor = 1.98 +/- 0.041 uV
#	R = 0.00885 +/- 0.00099 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.200000,0.210000,0.000000,-9.200000,0.054007,8.790000,-4.365419
2.000000,0.270000,0.166667,-11.400000,0.092581,8.850000,-4.222816
1.800000,0.410000,0.333333,-11.400000,0.108455,8.870000,-4.247772
1.900000,0.610000,0.500000,-11.400000,0.124796,8.870000,-4.260250
1.800000,0.750000,0.666667,-11.600000,0.141122,8.870000,-4.274510
1.900000,0.930000,0.833333,-11.200000,0.157213,8.670000,-4.304813
1.800000,1.050000,1.000000,-9.200000,0.174646,8.890000,-4.281640
1.800000,1.210000,1.166667,-8.800000,0.191177,8.870000,-4.279857
2.200000,1.330000,1.333333,-8.800000,0.213474,8.830000,-4.183601
2.100000,1.450000,1.500000,-8.600000,0.223052,8.830000,-4.324421
1.800000,1.730000,1.666667,-8.800000,0.238532,8.830000,-4.352941
1.600000,1.850000,1.833333,-9.000000,0.254993,8.850000,-4.363636
2.100000,2.030000,2.000000,-9.000000,0.270464,8.810000,-4.360071
1.900000,2.250000,2.166667,-9.200000,0.286992,8.770000,-4.347594
2.000000,2.390000,2.333333,-8.800000,0.302436,8.850000,-4.345811
1.800000,2.530000,2.500000,-8.600000,0.318936,8.830000,-4.349376
2.100000,2.690000,2.666667,-9.000000,0.334410,8.810000,-4.320856
1.800000,2.930000,2.833333,-9.000000,0.360695,8.790000,-4.178253
1.800000,2.930000,3.000000,-9.400000,0.370933,8.850000,-4.354724
2.000000,3.110000,3.166667,-8.600000,0.382428,8.770000,-4.249554
1.900000,3.330000,3.333333,-8.800000,0.402051,8.870000,-4.344029
1.800000,3.510000,3.500000,-9.200000,0.414583,8.850000,-4.204991
1.900000,3.710000,3.666667,-9.200000,0.431105,8.790000,-4.210339
2.100000,3.870000,3.833333,-8.800000,0.446549,8.830000,-4.178253
2.000000,4.030000,4.000000,-9.000000,0.463204,8.810000,-4.176471
2.200000,4.210000,4.166667,-8.800000,0.478786,8.870000,-4.167558
1.900000,4.330000,4.333333,-8.800000,0.494368,8.810000,-4.165775
1.900000,4.470000,4.500000,-9.000000,0.510940,8.870000,-4.165775
2.000000,4.730000,4.666667,-9.000000,0.526428,8.870000,-4.206774
1.900000,4.870000,4.833333,-8.800000,0.542996,8.850000,-4.219251
1.900000,5.030000,5.000000,-9.000000,0.558697,8.890000,-4.262032
2.000000,5.170000,5.166667,-9.000000,0.575167,8.910000,-4.270945
1.800000,5.350000,5.333333,-8.800000,0.594720,8.850000,-4.165775
2.000000,5.470000,5.500000,-9.000000,0.606274,8.890000,-4.335116
2.100000,5.670000,5.666667,-8.600000,0.622741,8.850000,-4.336898
2.100000,5.850000,5.833333,-8.800000,0.639255,8.890000,-4.340463
2.200000,6.050000,6.000000,-9.200000,0.663383,8.810000,-4.156863
1.900000,6.130000,6.166667,-8.800000,0.673542,8.890000,-4.322638
1.800000,6.350000,6.333333,-9.000000,0.687146,8.850000,-4.370766
1.900000,6.510000,6.500000,-8.800000,0.702623,8.870000,-4.356506
2.000000,6.650000,6.666667,-9.000000,0.719222,8.910000,-4.352941
2.000000,6.830000,6.833333,-9.000000,0.734724,8.810000,-4.319073
2.100000,6.990000,7.000000,-8.800000,0.751207,8.850000,-4.324421
1.800000,7.170000,7.166667,-8.800000,0.766651,8.830000,-4.279857
2.100000,7.330000,7.333333,-8.800000,0.786326,8.830000,-4.360071
2.000000,7.530000,7.500000,-9.000000,0.798960,8.830000,-4.238859
1.600000,7.630000,7.666667,-9.000000,0.814446,8.790000,-4.206774
1.800000,7.830000,7.833333,-8.800000,0.830980,8.870000,-4.203209
1.900000,8.030000,8.000000,-8.800000,0.846411,8.850000,-4.156863
2.000000,8.170000,8.166667,-8.600000,0.862923,8.810000,-4.151515
1.900000,8.330000,8.333333,-8.800000,0.878420,8.890000,-4.153298
1.900000,8.530000,8.500000,-9.000000,0.894854,8.830000,-4.146168
1.800000,8.610000,8.666667,-9.000000,0.910299,8.930000,-4.178253
2.000000,8.830000,8.833333,-8.600000,0.926722,8.890000,-4.188948
1.900000,9.010000,9.000000,-8.600000,0.943199,8.870000,-4.208556
2.100000,9.150000,9.166667,-8.800000,0.968039,8.850000,-4.333333
1.600000,9.270000,9.333333,-8.800000,0.988458,8.910000,-4.356506
1.600000,9.390000,9.500000,-9.200000,0.997996,8.830000,-4.208556
2.200000,9.470000,9.666667,-8.600000,1.007391,8.890000,-4.313725
1.800000,9.710000,9.833333,-8.800000,1.022923,8.890000,-4.338681
1.600000,9.730000,10.000000,-8.800000,1.038373,8.910000,-4.360071
1.800000,10.150000,10.166667,-8.800000,1.054924,8.850000,-4.356506
2.000000,10.330000,10.333333,-9.000000,1.070393,8.810000,-4.360071
1.900000,10.370000,10.500000,-8.600000,1.086900,8.810000,-4.351159
2.000000,10.430000,10.666667,-8.800000,1.102340,8.850000,-4.333333
1.800000,10.830000,10.833333,-9.200000,1.119213,8.870000,-4.345811
2.100000,12.210000,11.000000,-8.800000,1.134831,8.830000,-4.331551
1.900000,10.910000,11.166667,-8.800000,1.150305,8.770000,-4.283422
2.000000,11.410000,11.333333,-8.800000,1.170243,8.870000,-4.367201
2.000000,11.490000,11.500000,-8.800000,1.182857,8.810000,-4.258467
1.900000,11.730000,11.666667,-9.000000,1.198308,8.810000,-4.212121
1.900000,11.890000,11.833333,-9.000000,1.214957,8.810000,-4.213904
2.000000,11.990000,12.000000,-9.400000,1.230534,8.810000,-4.169340
1.700000,12.390000,12.166667,-8.800000,1.260267,8.890000,-4.183601
2.100000,12.290000,12.333333,-8.800000,1.270455,8.870000,-4.360071
2.000000,12.370000,12.500000,-9.000000,1.279933,8.830000,-4.153298
1.900000,12.690000,12.666667,-9.000000,1.294414,8.870000,-4.176471
1.900000,12.830000,12.833333,-8.800000,1.310944,8.870000,-4.165775
1.700000,13.050000,13.000000,-8.800000,1.326392,8.830000,-4.199643
2.200000,13.110000,13.166667,-9.000000,1.342924,8.870000,-4.217469
2.100000,13.330000,13.333333,-9.000000,1.362940,8.850000,-4.156863
2.000000,13.470000,13.500000,-9.000000,1.374489,8.850000,-4.283422
1.800000,13.630000,13.666667,-9.000000,1.390993,8.830000,-4.290553
1.800000,13.870000,13.833333,-8.800000,1.406449,8.870000,-4.322638
1.900000,14.030000,14.000000,-8.600000,1.422959,8.950000,-4.335116
1.800000,14.310000,14.166667,-9.000000,1.438414,8.870000,-4.347594
1.800000,14.250000,14.333333,-8.600000,1.454880,8.910000,-4.351159
1.600000,14.610000,14.500000,-9.200000,1.470524,8.850000,-4.356506
1.800000,14.690000,14.666667,-8.600000,1.487143,8.890000,-4.356506
1.900000,14.810000,14.833333,-9.000000,1.502651,8.870000,-4.358289
1.800000,15.190000,15.000000,-8.800000,1.519172,8.870000,-4.360071
2.100000,15.010000,15.166667,-8.800000,1.534620,8.850000,-4.319073
1.900000,15.410000,15.333333,-9.200000,1.569358,8.870000,-4.356506
1.900000,15.370000,15.500000,-8.600000,1.586092,8.870000,-4.351159
1.700000,15.670000,15.666667,-8.800000,1.601578,8.850000,-4.324421
2.100000,15.790000,15.833333,-8.600000,1.618097,8.850000,-4.319073
1.900000,15.930000,16.000000,-8.800000,1.633551,8.770000,-4.279857
1.900000,16.110000,16.166667,-8.600000,1.650088,8.810000,-4.278075
1.900000,16.350000,16.333333,-8.800000,1.665534,8.810000,-4.224599
1.900000,16.510000,16.500000,-8.600000,1.682131,8.810000,-4.229947
1.600000,16.650000,16.666667,-9.000000,1.697581,8.850000,-4.185383
1.800000,16.890000,16.833333,-8.800000,1.714253,8.790000,-4.188948
2.000000,16.970000,17.000000,-8.600000,1.730059,8.830000,-4.162210
2.100000,17.190000,17.166667,-8.800000,1.748726,8.830000,-4.226381
1.700000,17.310000,17.333333,-8.800000,1.766049,8.850000,-4.245989
1.900000,17.590000,17.500000,-8.800000,1.777597,8.830000,-4.181818
1.800000,17.690000,17.666667,-8.800000,1.794207,8.850000,-4.171123
1.900000,17.790000,17.833333,-9.200000,1.809686,8.790000,-4.204991
1.700000,18.090000,18.000000,-9.000000,1.826198,8.850000,-4.215686
1.800000,18.250000,18.166667,-8.600000,1.841654,8.870000,-4.260250
2.000000,18.370000,18.333333,-8.600000,1.866245,8.830000,-4.245989
1.900000,18.430000,18.500000,-9.000000,1.876393,8.810000,-4.213904
1.900000,18.670000,18.666667,-8.800000,1.890016,8.870000,-4.320856
1.800000,19.010000,18.833333,-8.600000,1.905470,8.870000,-4.347594
1.600000,18.910000,19.000000,-9.000000,1.921995,8.830000,-4.344029
1.700000,19.130000,19.166667,-9.200000,1.937441,8.890000,-4.356506
1.900000,19.390000,19.333333,-8.800000,1.957617,8.830000,-4.306595
2.000000,19.270000,19.500000,-8.600000,1.969239,8.830000,-4.344029
1.900000,19.710000,19.666667,-8.800000,1.985736,8.810000,-4.335116
1.900000,20.030000,19.833333,-8.600000,2.001298,8.850000,-4.306595
1.700000,19.870000,20.000000,-8.600000,2.017778,8.790000,-4.310160
2.100000,20.350000,20.166667,-8.600000,2.033239,8.750000,-4.263815
1.900000,20.330000,20.333333,-8.800000,2.049695,8.750000,-4.265597
1.800000,20.410000,20.500000,-8.800000,2.065129,8.730000,-4.215686
1.600000,20.750000,20.666667,-9.000000,2.081599,8.790000,-4.204991
1.600000,20.850000,20.833333,-8.800000,2.098098,8.810000,-4.206774
2.000000,20.890000,21.000000,-8.800000,2.113615,8.830000,-4.180036
1.800000,20.750000,21.166667,-9.000000,2.130136,8.750000,-4.174688
1.500000,21.350000,21.333333,-9.200000,2.158318,8.870000,-4.274510
1.900000,21.330000,21.500000,-8.800000,2.181281,8.790000,-4.187166
1.600000,21.630000,21.666667,-8.800000,2.198012,8.790000,-4.187166
1.900000,21.570000,21.833333,-8.800000,2.213547,8.810000,-4.156863
1.800000,21.870000,22.000000,-8.600000,2.229211,8.850000,-4.147950
1.700000,22.070000,22.166667,-8.600000,2.245683,8.830000,-4.149733
1.600000,21.010000,22.333333,-8.600000,2.261205,8.870000,-4.188948
1.700000,22.410000,22.500000,-8.800000,2.277673,8.830000,-4.188948
1.700000,22.650000,22.666667,-9.000000,2.293342,8.850000,-4.215686
1.800000,22.750000,22.833333,-8.800000,2.309895,8.810000,-4.226381
1.800000,22.930000,23.000000,-8.800000,2.325710,8.830000,-4.258467
