# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_002
# Fit of Tap:
#	Ic = 217 +/- 80 A
#	n = 1.55 +/- 2.1 
#	Vc = 5 uV
#	Vfloor = 3.88 +/- 0.047 uV
#	R = 0.0021 +/- 0.031 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.000000,0.210000,0.000000,-8.800000,0.100696,8.490000,-4.188948
3.900000,0.250000,0.166667,-9.000000,0.138841,9.450000,-4.791444
3.800000,0.430000,0.333333,-8.800000,0.155327,9.390000,-4.800357
4.000000,0.610000,0.500000,-9.000000,0.170844,9.190000,-4.746881
3.800000,0.710000,0.666667,-8.800000,0.186817,9.050000,-4.675579
4.100000,0.950000,0.833333,-8.800000,0.212758,8.490000,-3.834225
3.800000,0.930000,1.000000,-9.000000,0.222566,9.410000,-4.798574
3.700000,1.130000,1.166667,-8.600000,0.235582,8.670000,-4.499109
4.000000,1.410000,1.333333,-9.200000,0.251604,8.570000,-4.356506
3.800000,1.530000,1.500000,-8.800000,0.267638,8.430000,-4.251337
3.900000,1.730000,1.666667,-8.800000,0.283736,8.250000,-4.131907
3.800000,1.850000,1.833333,-9.000000,0.298689,8.330000,-3.910873
3.700000,2.050000,2.000000,-8.800000,0.323080,9.450000,-4.759358
3.700000,2.270000,2.166667,-9.200000,0.333236,8.290000,-4.069519
3.900000,2.330000,2.333333,-8.800000,0.347125,8.310000,-3.798574
3.900000,2.530000,2.500000,-8.600000,0.363069,8.430000,-3.811052
3.700000,2.710000,2.666667,-9.000000,0.379070,8.530000,-3.850267
3.800000,2.810000,2.833333,-9.200000,0.395136,8.610000,-3.916221
4.100000,3.010000,3.000000,-9.200000,0.414816,8.210000,-3.839572
4.000000,3.110000,3.166667,-9.200000,0.426757,9.110000,-4.183601
3.800000,3.330000,3.333333,-8.800000,0.442784,9.310000,-4.308378
4.200000,3.550000,3.500000,-9.000000,0.458820,9.410000,-4.431373
4.100000,3.650000,3.666667,-8.800000,0.474798,9.490000,-4.538324
3.900000,3.830000,3.833333,-8.600000,0.491222,9.470000,-4.572193
4.100000,4.030000,4.000000,-8.800000,0.506603,9.490000,-4.729055
3.900000,4.150000,4.166667,-8.800000,0.523044,9.470000,-4.759358
3.800000,4.330000,4.333333,-8.800000,0.539436,9.470000,-4.780749
3.700000,4.510000,4.500000,-9.000000,0.554860,9.330000,-4.770053
4.000000,4.710000,4.666667,-9.000000,0.571342,9.250000,-4.762923
4.000000,4.850000,4.833333,-9.000000,0.586749,9.010000,-4.643494
4.100000,5.070000,5.000000,-8.600000,0.624103,9.510000,-4.636364
3.800000,5.170000,5.166667,-8.600000,0.640750,9.490000,-4.650624
3.800000,5.330000,5.333333,-8.800000,0.656392,9.490000,-4.754011
3.800000,5.510000,5.500000,-8.800000,0.672843,9.490000,-4.775401
3.800000,5.710000,5.666667,-8.600000,0.688344,9.290000,-4.766488
3.800000,5.850000,5.833333,-9.200000,0.704773,9.210000,-4.755793
4.000000,6.050000,6.000000,-8.800000,0.720270,9.050000,-4.657754
4.200000,6.150000,6.166667,-8.400000,0.736769,9.030000,-4.639929
3.900000,6.330000,6.333333,-8.800000,0.752171,8.730000,-4.440285
4.000000,6.530000,6.500000,-8.800000,0.768584,8.690000,-4.399287
4.000000,6.630000,6.666667,-8.800000,0.783983,8.450000,-4.160428
3.900000,6.910000,6.833333,-8.800000,0.809457,9.250000,-4.320856
3.800000,6.910000,7.000000,-8.800000,0.818878,8.710000,-4.447415
3.900000,7.190000,7.166667,-9.200000,0.832339,8.270000,-3.923351
3.500000,7.370000,7.333333,-9.000000,0.848751,8.250000,-3.891266
4.100000,7.550000,7.500000,-8.400000,0.864134,8.350000,-3.780749
4.100000,7.650000,7.666667,-9.000000,0.880606,8.370000,-3.786096
3.800000,7.870000,7.833333,-9.400000,0.896678,8.350000,-3.796791
3.600000,8.030000,8.000000,-8.800000,0.921876,9.350000,-4.778966
3.900000,8.150000,8.166667,-9.000000,0.932421,8.230000,-3.916221
3.800000,8.330000,8.333333,-8.800000,0.944335,8.890000,-4.019608
3.800000,8.590000,8.500000,-9.000000,0.960482,9.030000,-4.139037
4.000000,8.690000,8.666667,-8.800000,0.976621,9.110000,-4.217469
4.000000,8.830000,8.833333,-8.600000,0.992703,9.270000,-4.331551
4.200000,8.990000,9.000000,-8.600000,1.013020,8.470000,-3.798574
3.900000,9.110000,9.166667,-8.800000,1.024888,9.430000,-4.536542
3.800000,9.370000,9.333333,-8.600000,1.040876,9.510000,-4.632799
4.000000,9.390000,9.500000,-8.600000,1.057140,9.470000,-4.689840
3.900000,9.630000,9.666667,-8.800000,1.072475,9.410000,-4.786096
3.900000,9.810000,9.833333,-8.800000,1.088604,9.350000,-4.778966
4.000000,10.030000,10.000000,-8.800000,1.104583,9.250000,-4.746881
4.000000,10.130000,10.166667,-8.600000,1.120050,8.990000,-4.623886
3.900000,10.370000,10.333333,-8.600000,1.136524,8.930000,-4.598930
4.000000,10.490000,10.500000,-8.800000,1.152131,8.670000,-4.424242
3.900000,10.710000,10.666667,-9.000000,1.168642,8.650000,-4.399287
3.900000,10.810000,10.833333,-9.000000,1.184062,8.410000,-4.163993
3.800000,11.050000,11.000000,-9.000000,1.224904,9.490000,-4.554367
4.100000,11.190000,11.166667,-9.000000,1.241608,9.470000,-4.559715
4.100000,11.370000,11.333333,-8.400000,1.257014,9.450000,-4.704100
4.000000,11.490000,11.500000,-8.600000,1.273544,9.470000,-4.727273
3.900000,11.730000,11.666667,-8.600000,1.288945,9.350000,-4.786096
3.900000,11.890000,11.833333,-8.800000,1.305433,9.390000,-4.789661
4.100000,12.010000,12.000000,-8.600000,1.320877,9.170000,-4.725490
4.000000,12.190000,12.166667,-9.000000,1.337381,9.150000,-4.696970
3.900000,12.270000,12.333333,-8.600000,1.352806,8.850000,-4.525847
4.200000,12.490000,12.500000,-8.800000,1.369261,8.810000,-4.484848
4.100000,12.650000,12.666667,-9.000000,1.385646,8.690000,-4.442068
3.800000,12.870000,12.833333,-9.200000,1.410778,9.010000,-4.096257
4.000000,12.910000,13.000000,-8.800000,1.420216,9.030000,-4.639929
3.800000,13.150000,13.166667,-9.200000,1.432714,8.290000,-3.948307
4.000000,13.290000,13.333333,-8.800000,1.449301,8.270000,-3.916221
3.900000,13.510000,13.500000,-9.200000,1.464837,8.290000,-3.798574
3.800000,13.630000,13.666667,-8.600000,1.481335,8.290000,-3.775401
4.400000,13.790000,13.833333,-8.800000,1.496782,8.390000,-3.786096
4.000000,14.010000,14.000000,-8.600000,1.520152,8.950000,-4.625668
4.000000,14.050000,14.166667,-8.800000,1.530445,8.370000,-3.796791
4.100000,14.330000,14.333333,-9.200000,1.544912,8.790000,-3.964349
3.900000,14.530000,14.500000,-8.600000,1.561396,8.830000,-3.992870
3.900000,14.650000,14.666667,-8.800000,1.576834,9.110000,-4.206774
4.000000,14.870000,14.833333,-9.000000,1.593351,9.170000,-4.235294
4.000000,14.990000,15.000000,-8.800000,1.613208,8.430000,-3.809269
3.900000,15.130000,15.166667,-8.800000,1.625684,9.370000,-4.440285
3.800000,15.350000,15.333333,-8.800000,1.641087,9.510000,-4.634581
4.100000,15.470000,15.500000,-8.800000,1.657682,9.530000,-4.639929
3.900000,15.630000,15.666667,-8.800000,1.673152,9.470000,-4.778966
4.000000,15.830000,15.833333,-8.800000,1.689557,9.410000,-4.805704
4.000000,15.970000,16.000000,-9.400000,1.704965,9.270000,-4.778966
4.000000,16.110000,16.166667,-8.600000,1.721451,9.230000,-4.761141
4.200000,16.290000,16.333333,-8.800000,1.736869,8.930000,-4.636364
4.100000,16.470000,16.500000,-8.800000,1.753334,8.930000,-4.598930
4.100000,16.670000,16.666667,-8.800000,1.768754,8.690000,-4.399287
3.900000,16.790000,16.833333,-8.200000,1.785136,8.610000,-4.345811
3.900000,17.010000,17.000000,-8.800000,1.825505,9.350000,-4.475936
4.000000,17.190000,17.166667,-8.400000,1.841419,9.450000,-4.604278
4.200000,17.290000,17.333333,-8.800000,1.857428,9.490000,-4.677362
4.100000,17.530000,17.500000,-8.800000,1.873463,9.490000,-4.750446
4.000000,17.650000,17.666667,-8.600000,1.889542,9.430000,-4.789661
3.900000,17.870000,17.833333,-8.600000,1.905696,9.350000,-4.789661
3.900000,18.010000,18.000000,-9.000000,1.921476,9.230000,-4.757576
4.200000,18.130000,18.166667,-8.800000,1.937449,9.090000,-4.698752
4.200000,18.330000,18.333333,-8.600000,1.954133,9.070000,-4.696970
4.100000,18.510000,18.500000,-8.600000,1.969564,8.830000,-4.522282
3.900000,18.650000,18.666667,-8.600000,1.985982,8.770000,-4.481283
3.900000,18.830000,18.833333,-11.400000,2.003142,9.070000,-4.597148
3.900000,19.010000,19.000000,-11.400000,2.015504,8.310000,-3.901961
4.000000,19.210000,19.166667,-11.400000,2.031796,8.310000,-3.864528
4.000000,19.310000,19.333333,-11.400000,2.048080,8.270000,-3.818182
4.100000,19.550000,19.500000,-11.400000,2.063381,8.370000,-3.798574
4.100000,19.670000,19.666667,-11.200000,2.079656,8.390000,-3.812834
4.100000,19.790000,19.833333,-9.200000,2.097146,8.390000,-3.793226
4.200000,19.930000,20.000000,-9.000000,2.121973,9.350000,-4.784314
4.100000,20.070000,20.166667,-8.800000,2.132062,8.290000,-3.864528
4.100000,20.270000,20.333333,-8.600000,2.145637,8.670000,-3.903743
4.100000,20.470000,20.500000,-8.800000,2.161188,8.930000,-4.065954
3.900000,20.610000,20.666667,-9.000000,2.177643,8.950000,-4.092692
3.900000,20.830000,20.833333,-9.000000,2.194057,9.030000,-4.146168
4.000000,20.930000,21.000000,-8.600000,2.214412,8.350000,-3.795009
3.900000,21.050000,21.166667,-8.800000,2.225966,9.250000,-4.415330
4.100000,21.270000,21.333333,-8.800000,2.241455,9.510000,-4.607843
4.100000,21.430000,21.500000,-8.600000,2.257907,9.490000,-4.629234
3.900000,21.650000,21.666667,-8.800000,2.273367,9.470000,-4.771836
4.200000,21.810000,21.833333,-8.800000,2.289737,9.430000,-4.784314
4.000000,21.930000,22.000000,-8.800000,2.305517,9.370000,-4.780749
4.000000,22.090000,22.166667,-9.200000,2.321504,9.190000,-4.736185
4.100000,22.310000,22.333333,-8.400000,2.337425,9.030000,-4.672014
4.300000,22.450000,22.500000,-8.200000,2.353446,8.850000,-4.586453
4.200000,22.690000,22.666667,-8.800000,2.369572,8.810000,-4.499109
4.100000,22.810000,22.833333,-8.600000,2.385437,8.590000,-4.367201
4.000000,23.090000,23.000000,-8.600000,2.429338,8.590000,-3.853832
3.900000,23.230000,23.166667,-8.800000,2.445722,8.650000,-3.877005
4.000000,23.350000,23.333333,-9.000000,2.461742,8.810000,-3.976827
4.100000,23.490000,23.500000,-9.000000,2.477695,8.930000,-4.092692
4.100000,23.650000,23.666667,-8.800000,2.493108,9.270000,-4.326203
4.300000,23.730000,23.833333,-8.600000,2.509525,9.310000,-4.381462
4.200000,23.950000,24.000000,-8.800000,2.525911,9.330000,-4.434938
4.000000,24.070000,24.166667,-8.600000,2.541396,9.470000,-4.614973
4.200000,24.210000,24.333333,-8.400000,2.557798,9.490000,-4.636364
4.000000,24.450000,24.500000,-8.600000,2.573198,9.430000,-4.770053
4.300000,24.590000,24.666667,-8.800000,2.589681,9.450000,-4.777184
4.000000,24.730000,24.833333,-8.800000,2.611150,8.950000,-4.057041
4.000000,24.830000,25.000000,-9.200000,2.621695,9.230000,-4.739750
4.200000,25.090000,25.166667,-8.600000,2.637092,8.990000,-4.620321
4.200000,25.210000,25.333333,-8.600000,2.653663,8.990000,-4.611408
4.100000,25.410000,25.500000,-8.800000,2.669130,8.690000,-4.413547
3.900000,25.590000,25.666667,-8.800000,2.685623,8.610000,-4.383244
4.200000,25.770000,25.833333,-8.800000,2.714879,8.290000,-3.791444
4.200000,25.830000,26.000000,-8.800000,2.724979,9.490000,-4.584670
4.000000,25.890000,26.166667,-8.600000,2.734530,8.430000,-4.171123
3.900000,26.210000,26.333333,-8.800000,2.749441,8.210000,-3.919786
4.300000,26.390000,26.500000,-8.800000,2.765972,8.210000,-3.896613
4.200000,26.650000,26.666667,-8.600000,2.781602,8.310000,-3.789661
4.200000,26.770000,26.833333,-8.800000,2.797735,8.330000,-3.780749
4.000000,26.910000,27.000000,-8.200000,2.818829,8.610000,-4.349376
3.800000,27.070000,27.166667,-8.800000,2.829402,8.630000,-3.857398
4.100000,27.310000,27.333333,-8.600000,2.845479,8.690000,-3.932264
4.100000,27.470000,27.500000,-9.000000,2.861545,8.950000,-4.028520
4.100000,27.470000,27.666667,-8.800000,2.877583,9.030000,-4.121212
4.000000,27.610000,27.833333,-8.800000,2.894645,9.030000,-4.144385
4.100000,27.910000,28.000000,-8.600000,2.909675,9.270000,-4.347594
4.200000,28.030000,28.166667,-8.600000,2.925789,9.370000,-4.456328
4.100000,28.150000,28.333333,-8.400000,2.941687,9.470000,-4.590018
4.200000,28.390000,28.500000,-8.800000,2.957193,9.530000,-4.732620
4.100000,28.450000,28.666667,-8.600000,2.974353,9.470000,-4.672014
4.100000,28.750000,28.833333,-9.000000,2.989502,9.370000,-4.778966
