# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_002
# Fit of Tap:
#	Ic = 63.4 +/- 0.12 A
#	n = 26.5 +/- 1.5 
#	Vc = 5 uV
#	Vfloor = 3.55 +/- 0.023 uV
#	R = 0.00704 +/- 0.00073 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.500000,0.190000,0.000000,-11.200000,0.025759,9.410000,-4.748663
3.300000,0.210000,0.166667,-11.400000,0.042188,9.410000,-4.787879
3.500000,0.390000,0.333333,-11.200000,0.057894,9.290000,-4.750446
3.500000,0.570000,0.500000,-11.400000,0.074308,9.290000,-4.754011
3.400000,0.750000,0.666667,-11.400000,0.090144,9.090000,-4.652406
3.400000,0.930000,0.833333,-9.000000,0.108293,9.250000,-4.732620
3.600000,1.050000,1.000000,-8.800000,0.124307,9.150000,-4.684492
3.600000,1.230000,1.166667,-9.000000,0.140633,8.990000,-4.650624
3.700000,1.370000,1.333333,-8.800000,0.155713,8.850000,-4.431373
3.500000,1.550000,1.500000,-8.600000,0.171759,8.770000,-4.340463
3.500000,1.710000,1.666667,-8.800000,0.187845,8.630000,-4.263815
3.400000,1.870000,1.833333,-9.200000,0.212679,9.170000,-4.335116
3.400000,2.070000,2.000000,-9.200000,0.232271,8.630000,-3.916221
3.700000,2.150000,2.166667,-9.000000,0.246408,9.170000,-4.274510
3.600000,2.270000,2.333333,-8.600000,0.256800,9.010000,-4.604278
3.700000,2.490000,2.500000,-8.800000,0.267301,8.350000,-3.864528
3.500000,2.650000,2.666667,-8.800000,0.283754,8.390000,-3.877005
3.500000,2.790000,2.833333,-9.200000,0.299319,8.530000,-3.905526
3.300000,3.070000,3.000000,-8.400000,0.315767,8.590000,-3.912656
3.600000,3.170000,3.166667,-8.600000,0.332209,8.610000,-3.928699
3.300000,3.350000,3.333333,-8.800000,0.347671,8.810000,-4.065954
3.500000,3.550000,3.500000,-9.000000,0.364189,8.850000,-4.094474
3.500000,3.730000,3.666667,-9.000000,0.379639,9.110000,-4.263815
