# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_003
# Fit of Tap:
#	Ic = 110 +/- 1.1e+02 A
#	n = 1.71 +/- 3.2 
#	Vc = 5 uV
#	Vfloor = 3.24 +/- 0.066 uV
#	R = 0.000622 +/- 0.056 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.400000,0.250000,0.000000,-9.200000,0.060847,8.790000,-4.069519
3.100000,0.310000,0.166667,-8.800000,0.096032,8.590000,-3.944742
3.300000,0.470000,0.333333,-9.200000,0.127109,8.970000,-4.133690
3.200000,0.510000,0.500000,-9.000000,0.138216,9.190000,-4.593583
3.300000,0.570000,0.666667,-8.800000,0.148492,8.370000,-4.021390
3.200000,0.870000,0.833333,-9.000000,0.160511,9.010000,-4.128342
3.400000,1.090000,1.000000,-9.000000,0.176205,9.110000,-4.215686
3.300000,1.210000,1.166667,-8.800000,0.191870,9.230000,-4.345811
3.400000,1.330000,1.333333,-8.800000,0.208260,9.290000,-4.386809
3.100000,1.570000,1.500000,-9.000000,0.231699,8.410000,-4.026738
3.400000,1.590000,1.666667,-9.400000,0.241945,9.170000,-4.358289
3.000000,1.890000,1.833333,-9.000000,0.255782,9.330000,-4.611408
3.200000,2.030000,2.000000,-8.800000,0.271482,9.150000,-4.613191
3.200000,2.190000,2.166667,-8.800000,0.288292,9.310000,-4.607843
3.700000,2.410000,2.333333,-9.000000,0.303964,9.130000,-4.572193
3.300000,2.510000,2.500000,-8.800000,0.319709,8.930000,-4.488414
3.300000,2.810000,2.666667,-8.800000,0.335478,8.790000,-4.413547
3.200000,2.910000,2.833333,-8.800000,0.352164,8.870000,-4.406417
3.100000,3.090000,3.000000,-8.800000,0.368052,8.810000,-4.322638
3.200000,3.210000,3.166667,-8.600000,0.383758,8.590000,-4.204991
3.100000,3.330000,3.333333,-8.600000,0.399493,8.390000,-4.101604
3.300000,3.570000,3.500000,-8.600000,0.436154,8.890000,-4.468806
3.100000,3.730000,3.666667,-8.800000,0.451971,8.790000,-4.379679
3.200000,3.810000,3.833333,-8.800000,0.468624,8.810000,-4.367201
3.300000,3.930000,4.000000,-8.800000,0.484398,8.610000,-4.263815
2.800000,4.150000,4.166667,-8.600000,0.500048,8.510000,-4.142602
3.200000,4.310000,4.333333,-8.800000,0.516542,8.430000,-4.122995
3.100000,4.430000,4.500000,-8.800000,0.532226,8.450000,-4.030303
3.200000,4.670000,4.666667,-8.800000,0.547979,8.350000,-3.966132
3.100000,4.790000,4.833333,-8.800000,0.564702,8.350000,-3.978610
3.300000,4.970000,5.000000,-8.600000,0.579995,8.490000,-3.921569
3.500000,5.070000,5.166667,-8.600000,0.596062,8.510000,-3.935829
3.300000,5.330000,5.333333,-8.600000,0.619641,8.970000,-4.467023
3.400000,5.410000,5.500000,-8.800000,0.629711,8.470000,-3.930481
3.200000,5.710000,5.666667,-9.000000,0.643744,8.850000,-4.098039
3.100000,5.850000,5.833333,-9.200000,0.659816,8.930000,-4.171123
3.100000,5.990000,6.000000,-9.000000,0.675883,9.030000,-4.249554
3.300000,6.190000,6.166667,-8.800000,0.691779,9.150000,-4.352941
3.400000,6.350000,6.333333,-8.800000,0.707752,9.270000,-4.427807
3.300000,6.530000,6.500000,-8.800000,0.732305,8.430000,-4.057041
3.200000,6.650000,6.666667,-8.600000,0.742487,9.050000,-4.269162
3.300000,6.770000,6.833333,-8.600000,0.755966,9.310000,-4.575758
3.100000,7.010000,7.000000,-8.800000,0.771431,9.170000,-4.598930
3.000000,7.190000,7.166667,-9.000000,0.787854,9.170000,-4.595365
3.400000,7.350000,7.333333,-8.800000,0.803288,9.030000,-4.531194
3.400000,7.550000,7.500000,-8.800000,0.822778,9.270000,-4.591800
3.500000,7.670000,7.666667,-8.600000,0.835537,8.870000,-4.427807
3.300000,7.890000,7.833333,-8.600000,0.851030,8.670000,-4.290553
3.600000,7.970000,8.000000,-8.600000,0.867515,8.670000,-4.274510
3.300000,8.250000,8.166667,-9.200000,0.883919,8.570000,-4.240642
3.100000,8.370000,8.333333,-8.600000,0.899400,8.430000,-4.106952
3.200000,8.510000,8.500000,-8.600000,0.915793,8.410000,-4.094474
3.200000,8.610000,8.666667,-9.000000,0.931578,8.390000,-4.028520
3.600000,8.850000,8.833333,-9.200000,0.947068,8.430000,-3.957219
3.400000,8.990000,9.000000,-9.200000,0.963534,8.430000,-3.950089
3.200000,9.190000,9.166667,-9.000000,0.978957,8.550000,-3.982175
3.200000,9.370000,9.333333,-8.600000,0.995483,8.590000,-3.989305
3.300000,9.470000,9.500000,-8.800000,1.035026,8.750000,-4.342246
3.200000,9.650000,9.666667,-8.800000,1.051399,8.690000,-4.303030
3.400000,9.810000,9.833333,-8.800000,1.067416,8.590000,-4.228164
3.300000,9.970000,10.000000,-8.600000,1.083600,8.510000,-4.169340
3.100000,10.210000,10.166667,-8.600000,1.099489,8.430000,-4.087344
3.300000,10.330000,10.333333,-9.000000,1.115420,8.390000,-4.040998
3.300000,10.490000,10.500000,-8.600000,1.131398,8.390000,-3.989305
3.500000,10.650000,10.666667,-8.800000,1.147437,8.390000,-3.948307
3.400000,10.830000,10.833333,-9.200000,1.163255,8.490000,-3.935829
3.600000,11.010000,11.000000,-8.800000,1.179490,8.490000,-3.950089
3.400000,11.150000,11.166667,-8.800000,1.195903,8.550000,-3.951872
3.300000,11.430000,11.333333,-8.400000,1.218848,8.870000,-4.395722
3.200000,11.510000,11.500000,-8.400000,1.228407,8.650000,-4.008913
3.500000,11.690000,11.666667,-8.800000,1.242809,9.090000,-4.242424
3.200000,11.830000,11.833333,-8.800000,1.259193,9.110000,-4.269162
3.300000,12.030000,12.000000,-8.600000,1.275664,9.150000,-4.299465
3.700000,12.130000,12.166667,-8.400000,1.291092,9.330000,-4.443850
3.400000,12.310000,12.333333,-9.200000,1.307486,9.290000,-4.479501
3.400000,12.570000,12.500000,-8.800000,1.330989,8.390000,-3.969697
3.500000,12.570000,12.666667,-8.600000,1.341297,9.250000,-4.436720
3.400000,12.770000,12.833333,-8.800000,1.355758,9.310000,-4.598930
3.200000,13.030000,13.000000,-9.000000,1.371150,9.170000,-4.586453
3.300000,13.190000,13.166667,-8.800000,1.387576,9.170000,-4.568627
3.300000,13.290000,13.333333,-8.800000,1.402980,8.970000,-4.481283
3.700000,13.530000,13.500000,-8.800000,1.422834,9.310000,-4.570410
3.600000,13.650000,13.666667,-8.600000,1.435394,8.810000,-4.379679
3.400000,13.830000,13.833333,-8.800000,1.450797,8.590000,-4.215686
3.300000,13.930000,14.000000,-8.600000,1.467286,8.610000,-4.192513
3.200000,14.150000,14.166667,-8.400000,1.483693,8.530000,-4.158645
3.500000,14.370000,14.333333,-8.600000,1.499069,8.370000,-4.049911
3.400000,14.510000,14.500000,-8.800000,1.515543,8.410000,-4.035651
3.300000,14.690000,14.666667,-9.000000,1.530958,8.410000,-3.941176
3.400000,14.790000,14.833333,-8.600000,1.547408,8.390000,-3.937611
3.600000,14.990000,15.000000,-8.600000,1.562779,8.510000,-3.951872
3.600000,15.150000,15.166667,-8.600000,1.579306,8.470000,-3.951872
3.600000,15.430000,15.333333,-8.800000,1.594839,8.730000,-4.026738
3.400000,15.490000,15.500000,-8.600000,1.637316,9.090000,-4.556150
3.300000,15.690000,15.666667,-8.600000,1.653940,9.110000,-4.549020
3.500000,15.870000,15.833333,-8.800000,1.669496,8.930000,-4.440285
3.300000,16.010000,16.000000,-8.800000,1.685938,8.810000,-4.429590
3.600000,16.170000,16.166667,-8.600000,1.701409,8.670000,-4.301248
3.500000,16.270000,16.333333,-8.800000,1.717832,8.630000,-4.278075
3.200000,16.470000,16.500000,-8.800000,1.733280,8.490000,-4.128342
3.200000,16.650000,16.666667,-9.000000,1.749666,8.410000,-4.099822
3.300000,16.790000,16.833333,-9.200000,1.765032,8.410000,-4.000000
3.300000,17.010000,17.000000,-9.000000,1.781470,8.390000,-3.980392
3.400000,17.170000,17.166667,-9.200000,1.797837,8.390000,-3.962567
3.600000,17.370000,17.333333,-8.800000,1.820140,8.990000,-4.515152
3.700000,17.430000,17.500000,-8.600000,1.829616,8.430000,-3.941176
3.300000,17.670000,17.666667,-8.800000,1.845286,8.610000,-4.001783
3.300000,17.830000,17.833333,-9.000000,1.861736,8.690000,-4.017825
3.500000,18.010000,18.000000,-8.800000,1.877228,8.870000,-4.130125
3.600000,18.170000,18.166667,-9.200000,1.893627,8.930000,-4.158645
3.400000,18.370000,18.333333,-8.600000,1.929650,8.510000,-3.950089
3.400000,18.510000,18.500000,-9.200000,1.944710,8.730000,-4.057041
3.400000,18.650000,18.666667,-9.000000,1.961457,8.730000,-4.046346
3.400000,18.850000,18.833333,-8.800000,1.976926,8.950000,-4.171123
3.400000,18.970000,19.000000,-9.000000,1.993399,8.930000,-4.206774
3.300000,19.170000,19.166667,-9.000000,2.011903,8.670000,-4.012478
3.600000,19.310000,19.333333,-8.800000,2.029405,8.590000,-3.960784
3.500000,19.430000,19.500000,-8.600000,2.040892,9.270000,-4.488414
3.800000,19.650000,19.666667,-8.800000,2.057365,9.270000,-4.499109
3.500000,19.770000,19.833333,-9.200000,2.071997,9.390000,-4.597148
3.600000,20.010000,20.000000,-11.200000,2.087394,9.130000,-4.577540
3.400000,20.150000,20.166667,-11.600000,2.102736,9.010000,-4.484848
3.600000,20.290000,20.333333,-11.000000,2.119043,8.970000,-4.442068
3.700000,20.510000,20.500000,-11.000000,2.135344,8.870000,-4.395722
3.500000,20.650000,20.666667,-11.200000,2.150646,8.670000,-4.242424
3.500000,20.870000,20.833333,-11.000000,2.166938,8.610000,-4.192513
3.400000,20.970000,21.000000,-8.800000,2.185378,8.770000,-4.374332
3.500000,21.070000,21.166667,-8.400000,2.200860,8.610000,-4.222816
3.700000,21.330000,21.333333,-8.800000,2.236461,8.930000,-4.474153
3.500000,21.470000,21.500000,-8.800000,2.253064,8.870000,-4.474153
3.400000,21.610000,21.666667,-8.400000,2.268443,8.750000,-4.308378
3.400000,21.750000,21.833333,-8.400000,2.284810,8.670000,-4.290553
