# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_003
# Fit of Tap:
#	Ic = 171 A
#	n = 165 
#	Vc = 5 uV
#	Vfloor = 3.59 uV
#	R = 0.00416 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.300000,0.170000,0.000000,-11.000000,0.047894,8.790000,-4.352941
3.400000,0.290000,0.166667,-11.200000,0.068501,9.270000,-4.600713
3.300000,0.370000,0.333333,-11.000000,0.079907,8.610000,-4.210339
3.400000,0.530000,0.500000,-8.800000,0.099158,8.910000,-4.456328
3.400000,0.750000,0.666667,-8.800000,0.114389,8.650000,-4.281640
3.600000,0.910000,0.833333,-8.800000,0.130501,8.570000,-4.221034
3.200000,1.090000,1.000000,-9.000000,0.146738,8.470000,-4.169340
3.200000,1.210000,1.166667,-8.800000,0.171915,9.190000,-4.361854
3.300000,1.370000,1.333333,-8.600000,0.182723,8.910000,-4.475936
3.500000,1.510000,1.500000,-9.000000,0.194872,8.370000,-4.016043
3.400000,1.730000,1.666667,-8.800000,0.210912,8.430000,-3.975045
3.300000,1.850000,1.833333,-8.800000,0.232952,8.910000,-4.506239
3.500000,1.970000,2.000000,-8.600000,0.242986,8.510000,-3.967914
3.400000,2.170000,2.166667,-8.800000,0.258031,8.710000,-4.039216
3.300000,2.330000,2.333333,-8.800000,0.274063,8.810000,-4.103387
3.200000,2.570000,2.500000,-8.800000,0.290075,8.930000,-4.181818
3.300000,2.710000,2.666667,-9.200000,0.306145,9.070000,-4.254902
3.400000,2.830000,2.833333,-8.800000,0.322279,9.110000,-4.320856
3.300000,3.010000,3.000000,-8.800000,0.338413,9.190000,-4.388592
3.400000,3.130000,3.166667,-9.000000,0.354499,9.270000,-4.436720
3.500000,3.370000,3.333333,-8.400000,0.371270,9.230000,-4.408200
3.500000,3.530000,3.500000,-8.800000,0.387476,9.270000,-4.447415
3.300000,3.670000,3.666667,-8.600000,0.402692,9.270000,-4.565062
3.300000,3.830000,3.833333,-8.600000,0.418775,9.210000,-4.588235
3.300000,4.110000,4.000000,-8.600000,0.442348,8.570000,-3.951872
3.200000,4.190000,4.166667,-9.000000,0.452397,9.330000,-4.586453
3.500000,4.410000,4.333333,-8.800000,0.477518,8.370000,-3.948307
3.600000,4.450000,4.500000,-8.800000,0.488190,9.210000,-4.395722
3.300000,4.610000,4.666667,-8.600000,0.498146,8.690000,-4.326203
3.200000,4.830000,4.833333,-8.800000,0.514199,8.610000,-4.256684
3.300000,5.030000,5.000000,-8.800000,0.530226,8.510000,-4.176471
3.300000,5.210000,5.166667,-8.800000,0.546256,8.390000,-4.119430
3.300000,5.350000,5.333333,-8.800000,0.562339,8.430000,-4.073084
3.100000,5.510000,5.500000,-8.600000,0.578403,8.410000,-4.019608
3.400000,5.710000,5.666667,-9.000000,0.594426,8.430000,-3.991087
3.400000,5.830000,5.833333,-8.800000,0.610576,8.410000,-3.966132
3.400000,6.010000,6.000000,-8.600000,0.626654,8.470000,-3.960784
3.400000,6.190000,6.166667,-8.600000,0.653405,9.310000,-4.534759
3.200000,6.250000,6.333333,-8.800000,0.663378,8.450000,-4.158645
3.300000,6.430000,6.500000,-8.800000,0.674403,8.790000,-4.060606
3.200000,6.710000,6.666667,-8.600000,0.690495,8.870000,-4.115865
3.400000,6.850000,6.833333,-9.000000,0.706574,9.030000,-4.185383
3.300000,7.010000,7.000000,-8.600000,0.722670,9.110000,-4.253119
3.500000,7.190000,7.166667,-8.600000,0.738777,9.190000,-4.331551
3.400000,7.350000,7.333333,-9.000000,0.754910,9.250000,-4.397504
3.400000,7.530000,7.500000,-8.800000,0.779854,8.430000,-4.155080
3.300000,7.610000,7.666667,-8.600000,0.790655,8.890000,-4.115865
3.300000,7.790000,7.833333,-8.800000,0.802785,9.350000,-4.586453
3.300000,8.010000,8.000000,-8.800000,0.818804,9.250000,-4.627451
3.200000,8.210000,8.166667,-9.000000,0.834886,9.190000,-4.622103
3.500000,8.310000,8.333333,-9.000000,0.850929,9.130000,-4.606061
3.300000,8.530000,8.500000,-8.600000,0.871468,9.250000,-4.417112
3.600000,8.630000,8.666667,-9.000000,0.882609,8.910000,-4.475936
3.400000,8.830000,8.833333,-8.800000,0.898822,8.850000,-4.433155
3.400000,8.990000,9.000000,-9.000000,0.914991,8.750000,-4.360071
3.400000,9.110000,9.166667,-8.800000,0.930079,8.510000,-4.174688
3.200000,9.330000,9.333333,-8.600000,0.946144,8.450000,-4.110517
3.300000,9.490000,9.500000,-9.000000,0.962249,8.370000,-4.067736
3.100000,9.630000,9.666667,-9.200000,0.978388,8.410000,-4.033868
3.400000,9.830000,9.833333,-8.800000,0.994453,8.370000,-3.992870
3.600000,10.010000,10.000000,-8.800000,1.010523,8.390000,-3.959002
3.400000,10.130000,10.166667,-9.200000,1.026588,8.510000,-3.951872
3.400000,10.350000,10.333333,-9.000000,1.042665,8.530000,-3.953654
3.400000,10.530000,10.500000,-8.800000,1.083074,8.950000,-4.508021
3.400000,10.610000,10.666667,-8.800000,1.099311,8.910000,-4.467023
3.400000,10.830000,10.833333,-8.600000,1.115348,8.750000,-4.401070
3.400000,10.990000,11.000000,-8.600000,1.131397,8.670000,-4.329768
3.500000,11.170000,11.166667,-8.600000,1.147709,8.630000,-4.286988
3.500000,11.350000,11.333333,-8.600000,1.162879,8.470000,-4.121212
3.300000,11.550000,11.500000,-9.000000,1.178901,8.430000,-4.053476
3.200000,11.710000,11.666667,-8.800000,1.194962,8.390000,-4.008913
3.600000,11.830000,11.833333,-9.000000,1.211006,8.370000,-3.971480
3.500000,12.030000,12.000000,-8.800000,1.227093,8.430000,-3.941176
3.600000,12.210000,12.166667,-8.600000,1.243153,8.470000,-3.946524
3.400000,12.370000,12.333333,-8.600000,1.267120,9.090000,-4.568627
3.500000,12.410000,12.500000,-9.000000,1.277131,8.450000,-3.955437
3.500000,12.630000,12.666667,-8.600000,1.291152,8.770000,-4.065954
3.400000,12.790000,12.833333,-8.800000,1.307188,8.850000,-4.126560
3.500000,13.010000,13.000000,-8.800000,1.323234,8.970000,-4.192513
3.500000,13.170000,13.166667,-8.600000,1.339279,9.070000,-4.272727
3.500000,13.290000,13.333333,-8.600000,1.355307,9.170000,-4.356506
3.500000,13.530000,13.500000,-8.800000,1.381134,8.670000,-4.310160
3.500000,13.590000,13.666667,-8.800000,1.392509,8.590000,-3.982175
3.700000,13.730000,13.833333,-8.400000,1.403713,9.350000,-4.525847
3.700000,13.970000,14.000000,-8.800000,1.419813,9.330000,-4.556150
3.400000,14.170000,14.166667,-8.600000,1.434905,9.230000,-4.609626
3.600000,14.270000,14.333333,-8.800000,1.450942,9.070000,-4.591800
3.700000,14.510000,14.500000,-8.800000,1.471950,9.110000,-4.347594
3.600000,14.610000,14.666667,-8.600000,1.483076,9.010000,-4.502674
3.500000,14.850000,14.833333,-8.800000,1.499108,8.850000,-4.438503
3.400000,15.010000,15.000000,-8.800000,1.515160,8.770000,-4.363636
3.600000,15.150000,15.166667,-8.800000,1.531197,8.670000,-4.292335
3.700000,15.310000,15.333333,-8.600000,1.547211,8.590000,-4.222816
3.600000,15.470000,15.500000,-8.800000,1.563255,8.490000,-4.142602
3.500000,15.730000,15.666667,-8.600000,1.579296,8.390000,-4.081996
3.500000,15.850000,15.833333,-9.600000,1.596444,8.390000,-4.112299
3.500000,16.010000,16.000000,-8.800000,1.611738,8.370000,-4.016043
3.800000,16.110000,16.166667,-9.000000,1.626785,8.430000,-3.941176
3.600000,16.330000,16.333333,-8.800000,1.643387,8.490000,-3.942959
3.500000,16.430000,16.500000,-8.600000,1.683132,8.990000,-4.515152
3.600000,16.630000,16.666667,-8.800000,1.699426,8.910000,-4.475936
3.600000,16.790000,16.833333,-8.600000,1.715488,8.810000,-4.422460
