# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_004
# Fit of Tap:
#	Ic = 96.5 +/- 0.12 A
#	n = 24.8 +/- 0.81 
#	Vc = 7.5 uV
#	Vfloor = 5.15 +/- 0.019 uV
#	R = 0.00358 +/- 0.0004 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.900000,0.190000,0.000000,-11.400000,0.025645,8.570000,-4.012478
5.000000,0.250000,0.166667,-11.400000,0.041292,8.670000,-4.081996
5.100000,0.410000,0.333333,-11.400000,0.056890,8.810000,-4.176471
5.000000,0.670000,0.500000,-11.600000,0.073494,8.810000,-4.174688
5.100000,0.750000,0.666667,-11.400000,0.089064,8.970000,-4.290553
5.000000,0.890000,0.833333,-9.000000,0.106880,8.910000,-4.217469
5.200000,1.090000,1.000000,-8.800000,0.122872,9.050000,-4.270945
5.100000,1.250000,1.166667,-8.800000,0.138870,9.090000,-4.354724
4.900000,1.330000,1.333333,-8.800000,0.154871,9.170000,-4.418895
5.000000,1.590000,1.500000,-9.000000,0.180088,8.490000,-4.137255
5.000000,1.630000,1.666667,-8.800000,0.190732,8.870000,-4.158645
5.100000,1.870000,1.833333,-9.000000,0.203822,9.230000,-4.500891
5.100000,2.030000,2.000000,-8.800000,0.219789,9.230000,-4.536542
4.800000,2.230000,2.166667,-8.800000,0.240343,8.930000,-4.199643
5.100000,2.330000,2.333333,-8.800000,0.251562,9.150000,-4.549020
4.900000,2.570000,2.500000,-8.800000,0.267653,8.990000,-4.527629
5.200000,2.650000,2.666667,-8.800000,0.283768,8.990000,-4.495544
5.000000,2.850000,2.833333,-8.600000,0.299779,8.810000,-4.442068
5.100000,3.070000,3.000000,-8.600000,0.315818,8.810000,-4.393939
4.900000,3.170000,3.166667,-8.800000,0.330955,8.490000,-4.226381
5.000000,3.330000,3.333333,-9.200000,0.347017,8.510000,-4.160428
5.100000,3.550000,3.500000,-8.800000,0.363238,8.450000,-4.130125
4.800000,3.730000,3.666667,-8.800000,0.379322,8.390000,-4.092692
5.200000,3.870000,3.833333,-9.200000,0.395300,8.410000,-4.057041
5.000000,4.030000,4.000000,-8.600000,0.411350,8.390000,-4.014260
5.000000,4.130000,4.166667,-8.800000,0.427427,8.450000,-3.996435
4.800000,4.410000,4.333333,-9.200000,0.447464,8.550000,-4.219251
4.900000,4.550000,4.500000,-8.800000,0.471791,9.110000,-4.395722
4.900000,4.610000,4.666667,-8.800000,0.482554,8.790000,-4.401070
5.100000,4.790000,4.833333,-8.600000,0.492552,8.570000,-3.998217
5.000000,5.030000,5.000000,-9.000000,0.508253,8.750000,-4.064171
5.100000,5.130000,5.166667,-8.600000,0.523338,8.970000,-4.217469
5.000000,5.330000,5.333333,-8.800000,0.539418,9.050000,-4.281640
5.100000,5.490000,5.500000,-8.600000,0.555591,9.130000,-4.336898
5.300000,5.690000,5.666667,-9.000000,0.571684,9.190000,-4.392157
5.000000,5.830000,5.833333,-8.800000,0.587729,9.230000,-4.452763
5.100000,6.010000,6.000000,-8.800000,0.603807,9.210000,-4.491979
5.200000,6.230000,6.166667,-8.600000,0.619776,9.270000,-4.531194
5.200000,6.370000,6.333333,-9.000000,0.635817,9.210000,-4.559715
5.200000,6.530000,6.500000,-9.000000,0.655844,9.090000,-4.297683
5.200000,6.610000,6.666667,-9.000000,0.666873,8.910000,-4.493761
5.200000,6.810000,6.833333,-9.200000,0.682825,8.830000,-4.429590
5.100000,6.990000,7.000000,-8.800000,0.698874,8.750000,-4.368984
5.100000,7.170000,7.166667,-8.600000,0.714864,8.630000,-4.294118
4.900000,7.330000,7.333333,-8.800000,0.730851,8.570000,-4.221034
5.100000,7.570000,7.500000,-8.600000,0.746825,8.490000,-4.142602
5.300000,7.690000,7.666667,-9.000000,0.782576,8.810000,-4.390374
5.000000,7.850000,7.833333,-8.800000,0.798647,8.710000,-4.329768
5.100000,8.030000,8.000000,-8.600000,0.814785,8.650000,-4.288770
5.100000,8.190000,8.166667,-8.600000,0.830852,8.510000,-4.222816
5.000000,8.310000,8.333333,-9.000000,0.846889,8.470000,-4.160428
