# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_005
# Fit of Tap:
#	Ic = 124 +/- 0.18 A
#	n = 51.6 +/- 3.1 
#	Vc = 5 uV
#	Vfloor = 4.07 +/- 0.014 uV
#	R = 0.00464 +/- 0.00022 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.700000,0.370000,0.000000,-11.400000,0.042302,9.610000,-4.263815
3.700000,0.230000,0.166667,-11.600000,0.062865,7.490000,-3.272727
3.700000,0.430000,0.333333,-11.400000,0.074256,10.210000,-4.755793
3.700000,0.570000,0.500000,-11.000000,0.090544,10.350000,-4.878788
4.000000,0.730000,0.666667,-11.200000,0.106832,10.430000,-4.991087
3.900000,0.950000,0.833333,-8.800000,0.134444,7.930000,-4.335116
3.800000,0.990000,1.000000,-9.000000,0.144533,8.730000,-3.616756
3.800000,1.190000,1.166667,-9.000000,0.155998,10.330000,-5.251337
3.800000,1.350000,1.333333,-8.800000,0.172407,10.270000,-5.263815
3.900000,1.530000,1.500000,-9.000000,0.188871,10.250000,-5.265597
3.800000,1.750000,1.666667,-8.800000,0.212622,7.930000,-3.320856
3.800000,1.770000,1.833333,-9.000000,0.222054,10.190000,-5.274510
4.000000,2.010000,2.000000,-8.600000,0.236436,9.070000,-5.000000
3.900000,2.230000,2.166667,-8.600000,0.252883,8.890000,-4.934046
3.900000,2.390000,2.333333,-8.800000,0.268267,8.130000,-4.532977
3.800000,2.550000,2.500000,-8.800000,0.284778,8.110000,-4.484848
3.900000,2.670000,2.666667,-8.800000,0.300197,7.510000,-3.996435
3.700000,2.890000,2.833333,-9.200000,0.316618,7.410000,-3.919786
3.800000,3.030000,3.000000,-8.800000,0.332078,7.210000,-3.568627
3.800000,3.190000,3.166667,-8.800000,0.348470,7.230000,-3.495544
3.800000,3.390000,3.333333,-8.800000,0.365443,7.190000,-3.568627
3.900000,3.490000,3.500000,-8.800000,0.379964,7.590000,-3.281640
3.900000,3.710000,3.666667,-8.800000,0.401315,8.030000,-4.431373
