# Date: 20210503
# Operator: RDP
# Notes: Nickel witness samples
# Tap_cm: 5.0
# Sample: Ni-DCC_001
# Fit of Tap:
#	Ic = nan A
#	n = nan 
#	Vc = 7.5 uV
#	Vfloor = nan uV
#	R = nan Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.100000,0.270000,0.000000,-11.000000,0.054300,8.850000,-4.680927
1.700000,0.270000,0.166667,-8.600000,0.087402,8.590000,-4.647059
1.800000,0.430000,0.333333,-8.800000,0.110432,9.650000,-4.467023
2.000000,0.530000,0.500000,-9.000000,0.126761,9.750000,-4.561497
1.900000,0.630000,0.666667,-8.800000,0.142349,9.890000,-4.814617
1.900000,0.890000,0.833333,-8.800000,0.158890,9.910000,-4.846702
2.100000,0.970000,1.000000,-9.000000,0.174371,9.790000,-5.046346
1.500000,1.170000,1.166667,-8.800000,0.190891,9.770000,-5.062389
1.800000,1.330000,1.333333,-9.000000,0.212811,8.710000,-3.800357
2.100000,1.410000,1.500000,-8.800000,0.222319,9.190000,-4.971480
2.100000,1.590000,1.666667,-8.800000,0.238734,9.170000,-4.946524
1.900000,1.790000,1.833333,-8.800000,0.254222,8.650000,-4.670232
2.000000,1.950000,2.000000,-8.800000,0.270631,8.610000,-4.629234
1.800000,2.190000,2.166667,-8.600000,0.287234,8.530000,-4.614973
1.900000,2.230000,2.333333,-8.800000,0.303167,8.350000,-4.427807
2.100000,2.510000,2.500000,-9.200000,0.318713,8.010000,-4.081996
2.000000,2.690000,2.666667,-8.800000,0.334227,7.770000,-3.782531
1.800000,2.830000,2.833333,-9.200000,0.350758,7.770000,-3.770053
2.100000,2.950000,3.000000,-8.600000,0.366276,7.810000,-3.543672
1.800000,3.130000,3.166667,-8.800000,0.382671,7.770000,-3.515152
1.900000,3.390000,3.333333,-9.200000,0.417227,7.770000,-3.736185
1.800000,3.510000,3.500000,-8.800000,0.433879,7.750000,-3.732620
2.000000,3.630000,3.666667,-8.800000,0.449421,7.790000,-3.538324
1.900000,3.790000,3.833333,-8.600000,0.465869,7.830000,-3.536542
2.100000,3.950000,4.000000,-8.800000,0.481347,8.130000,-3.545455
1.900000,4.190000,4.166667,-9.200000,0.497802,8.190000,-3.559715
1.600000,4.310000,4.333333,-9.000000,0.513261,8.570000,-3.727273
1.700000,4.490000,4.500000,-9.200000,0.529677,8.710000,-3.789661
1.700000,4.630000,4.666667,-8.600000,0.545170,9.190000,-4.114082
1.800000,4.810000,4.833333,-9.000000,0.561754,9.190000,-4.112299
2.000000,4.950000,5.000000,-8.800000,0.577320,9.570000,-4.449198
2.000000,5.150000,5.166667,-9.200000,0.596717,8.570000,-3.714795
2.100000,5.270000,5.333333,-8.600000,0.609323,9.830000,-4.784314
1.800000,5.450000,5.500000,-8.600000,0.625755,9.810000,-4.821747
1.800000,5.610000,5.666667,-8.800000,0.641230,9.810000,-5.049911
1.800000,5.810000,5.833333,-8.800000,0.657700,9.770000,-5.069519
1.800000,5.950000,6.000000,-9.200000,0.673144,9.530000,-5.069519
2.200000,6.190000,6.166667,-8.800000,0.698474,8.010000,-3.522282
2.100000,6.230000,6.333333,-9.000000,0.708578,9.870000,-4.928699
1.900000,6.430000,6.500000,-9.000000,0.721131,8.810000,-4.768271
2.200000,6.590000,6.666667,-8.800000,0.737533,8.710000,-4.696970
1.900000,6.750000,6.833333,-9.000000,0.753013,8.290000,-4.370766
1.900000,6.930000,7.000000,-8.800000,0.769438,8.210000,-4.285205
1.800000,7.210000,7.166667,-9.200000,0.794215,9.510000,-4.415330
1.800000,7.250000,7.333333,-8.800000,0.804288,8.690000,-4.675579
1.800000,7.490000,7.500000,-9.800000,0.817981,7.850000,-3.889483
1.900000,7.630000,7.666667,-9.200000,0.833616,7.730000,-3.680927
1.900000,7.730000,7.833333,-9.000000,0.849266,7.790000,-3.527629
2.000000,7.930000,8.000000,-8.600000,0.865715,7.850000,-3.518717
2.100000,8.130000,8.166667,-8.800000,0.881208,8.150000,-3.541889
1.700000,8.250000,8.333333,-8.800000,0.897643,8.230000,-3.550802
1.800000,8.430000,8.500000,-9.000000,0.913071,8.650000,-3.745098
1.700000,8.630000,8.666667,-8.800000,0.929481,8.750000,-3.816399
2.000000,8.750000,8.833333,-8.800000,0.944873,9.270000,-4.160428
2.000000,8.890000,9.000000,-8.800000,0.961384,9.310000,-4.203209
1.900000,9.050000,9.166667,-9.200000,0.977791,9.410000,-4.276292
1.900000,9.350000,9.333333,-8.800000,1.012547,8.910000,-3.891266
2.000000,9.350000,9.500000,-8.800000,1.029271,8.870000,-3.875223
2.000000,9.510000,9.666667,-8.800000,1.044791,9.370000,-4.210339
2.200000,9.690000,9.833333,-8.800000,1.060440,9.630000,-4.509804
