# Date: 20201023
# Operator: DCC
# Notes: 248F-3. test on new rig
# Tap_cm: 5.0
# Sample: 248F-3
# Fit of Tap:
#	Ic = 164 +/- 24 A
#	n = 52.2 +/- 77 
#	Vc = 5 uV
#	Vfloor = 0.936 +/- 0.0067 uV
#	R = 0.000956 +/- 8.4e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.000000,0.370000,0.000000,0.061639,21.467023,252.498941
0.700000,0.330000,0.083333,0.081726,21.467023,250.825257
1.000000,0.210000,0.166667,0.089071,21.468806,249.174056
1.000000,0.410000,0.250000,0.100894,21.470588,247.544885
0.700000,0.490000,0.333333,0.116720,21.467023,247.544885
0.900000,0.610000,0.416667,0.133555,21.467023,249.174056
0.800000,0.650000,0.500000,0.149364,21.470588,249.174056
1.100000,0.830000,0.583333,0.165193,21.467023,245.937304
0.500000,0.870000,0.666667,0.181025,21.470588,250.825257
0.700000,1.030000,0.750000,0.196847,21.467023,250.825257
0.800000,1.070000,0.833333,0.212670,21.468806,257.659612
0.800000,1.110000,0.916667,0.229503,21.467023,255.915633
0.900000,1.290000,1.000000,0.245333,21.467023,255.915633
0.800000,1.350000,1.083333,0.261153,21.467023,254.195574
0.900000,1.450000,1.166667,0.277544,21.468806,249.174056
0.700000,1.610000,1.250000,0.293116,21.463458,254.195574
0.800000,1.630000,1.333333,0.309522,21.468806,247.544885
0.800000,1.910000,1.416667,0.325823,21.467023,249.174056
0.800000,1.810000,1.500000,0.340985,21.468806,247.544885
0.600000,1.870000,1.583333,0.357162,21.467023,250.825257
0.900000,1.990000,1.666667,0.373308,21.465241,250.825257
0.800000,2.110000,1.750000,0.389155,21.467023,247.544885
0.800000,2.210000,1.833333,0.405042,21.468806,245.937304
0.800000,2.310000,1.916667,0.420878,21.468806,245.937304
0.600000,2.410000,2.000000,0.437238,21.468806,245.937304
0.900000,2.470000,2.083333,0.453158,21.470588,249.174056
1.000000,2.630000,2.166667,0.469023,21.467023,242.785204
0.800000,2.670000,2.250000,0.484850,21.470588,249.174056
1.000000,2.770000,2.333333,0.500719,21.470588,247.544885
1.000000,2.910000,2.416667,0.517528,21.467023,250.825257
0.800000,2.990000,2.500000,0.533320,21.465241,250.825257
0.800000,3.070000,2.583333,0.549150,21.467023,249.174056
0.900000,3.150000,2.666667,0.573112,21.472371,245.937304
0.700000,3.190000,2.750000,0.581489,21.467023,252.498941
0.800000,3.390000,2.833333,0.597337,21.467023,252.498941
0.700000,3.370000,2.916667,0.613160,21.467023,252.498941
1.000000,3.570000,3.000000,0.629156,21.468806,245.937304
0.800000,3.610000,3.083333,0.645437,21.468806,254.195574
0.900000,3.730000,3.166667,0.661916,21.467023,250.825257
1.000000,3.790000,3.250000,0.676849,21.468806,252.498941
0.900000,3.890000,3.333333,0.692686,21.465241,252.498941
0.600000,4.070000,3.416667,0.709484,21.467023,250.825257
0.900000,4.110000,3.500000,0.725299,21.468806,247.544885
0.900000,4.210000,3.583333,0.741151,21.468806,247.544885
0.800000,4.230000,3.666667,0.756986,21.467023,244.350882
0.800000,4.390000,3.750000,0.772796,21.467023,249.174056
0.800000,4.530000,3.833333,0.789651,21.467023,244.350882
1.000000,4.610000,3.916667,0.805473,21.467023,244.350882
0.700000,4.670000,4.000000,0.821547,21.467023,244.350882
0.800000,4.750000,4.083333,0.837453,21.468806,247.544885
0.900000,4.910000,4.166667,0.853765,21.467023,245.937304
1.100000,4.950000,4.250000,0.872557,21.468806,247.544885
0.800000,5.070000,4.333333,0.884910,21.468806,245.937304
0.900000,5.170000,4.416667,0.900773,21.468806,247.544885
0.800000,5.290000,4.500000,0.917616,21.470588,247.544885
0.900000,5.310000,4.583333,0.933435,21.468806,250.825257
0.800000,5.490000,4.666667,0.949259,21.470588,249.174056
0.500000,5.510000,4.750000,0.965073,21.470588,252.498941
0.600000,5.590000,4.833333,0.980887,21.468806,252.498941
1.000000,5.630000,4.916667,0.996701,21.472371,254.195574
1.000000,5.830000,5.000000,1.013496,21.468806,252.498941
0.900000,5.930000,5.083333,1.029288,21.468806,250.825257
0.900000,5.930000,5.166667,1.045184,21.465241,254.195574
0.900000,6.130000,5.250000,1.065268,21.468806,252.498941
0.900000,6.150000,5.333333,1.077230,21.467023,255.915633
0.900000,6.310000,5.416667,1.093047,21.468806,250.825257
0.900000,6.430000,5.500000,1.108830,21.465241,249.174056
0.900000,6.530000,5.583333,1.124654,21.470588,249.174056
0.800000,6.590000,5.666667,1.141505,21.468806,249.174056
0.900000,6.550000,5.750000,1.157330,21.472371,254.195574
1.000000,6.750000,5.833333,1.173584,21.467023,249.174056
1.000000,6.870000,5.916667,1.188900,21.468806,241.239861
1.000000,6.950000,6.000000,1.204872,21.468806,247.544885
0.800000,7.050000,6.083333,1.221087,21.467023,241.239861
0.800000,7.130000,6.166667,1.237418,21.467023,245.937304
1.100000,7.290000,6.250000,1.253497,21.465241,245.937304
0.900000,7.330000,6.333333,1.269399,21.467023,244.350882
0.900000,7.490000,6.416667,1.285591,21.470588,242.785204
0.900000,7.550000,6.500000,1.300854,21.465241,247.544885
0.800000,7.650000,6.583333,1.317142,21.468806,252.498941
0.900000,7.790000,6.666667,1.333528,21.468806,257.659612
1.000000,8.030000,6.750000,1.349763,21.465241,249.174056
0.700000,7.950000,6.833333,1.364988,21.474153,249.174056
0.800000,8.070000,6.916667,1.381328,21.468806,252.498941
0.800000,8.090000,7.000000,1.397553,21.468806,252.498941
0.800000,8.430000,7.083333,1.413774,21.468806,250.825257
1.000000,8.350000,7.166667,1.428958,21.467023,250.825257
0.900000,8.030000,7.250000,1.446963,21.436720,254.195574
0.900000,8.550000,7.333333,1.463938,21.433155,252.498941
0.800000,8.670000,7.416667,1.501377,21.436720,247.544885
0.900000,8.750000,7.500000,1.517938,21.434938,245.937304
0.800000,8.770000,7.583333,1.534524,21.434938,247.544885
0.800000,8.910000,7.666667,1.548350,21.467023,249.174056
0.900000,8.970000,7.750000,1.566170,21.465241,241.239861
0.900000,9.190000,7.833333,1.579528,21.467023,252.498941
0.800000,9.150000,7.916667,1.595498,21.467023,250.825257
1.000000,9.270000,8.000000,1.611838,21.470588,249.174056
0.900000,9.410000,8.083333,1.627823,21.468806,254.195574
0.800000,9.430000,8.166667,1.644014,21.467023,255.915633
0.900000,9.750000,8.250000,1.660423,21.502674,276.533787
0.800000,9.630000,8.333333,1.675979,21.468806,245.937304
0.800000,9.750000,8.416667,1.691871,21.465241,254.195574
0.800000,9.870000,8.500000,1.707871,21.468806,250.825257
1.000000,9.950000,8.583333,1.723978,21.468806,250.825257
0.800000,9.990000,8.666667,1.739962,21.467023,247.544885
0.900000,10.090000,8.750000,1.755895,21.467023,245.937304
0.800000,10.190000,8.833333,1.773267,21.467023,245.937304
0.900000,10.330000,8.916667,1.787863,21.465241,247.544885
0.700000,10.410000,9.000000,1.803976,21.468806,242.785204
0.900000,10.490000,9.083333,1.820000,21.465241,245.937304
1.000000,10.590000,9.166667,1.835904,21.467023,245.937304
0.700000,10.630000,9.250000,1.851718,21.468806,242.785204
0.900000,10.790000,9.333333,1.868342,21.468806,245.937304
0.800000,10.850000,9.416667,1.883238,21.467023,235.254074
0.900000,10.970000,9.500000,1.899128,21.468806,249.174056
0.800000,11.030000,9.583333,1.915930,21.463458,250.825257
0.800000,11.230000,9.666667,1.931885,21.468806,249.174056
0.800000,11.250000,9.750000,1.947854,21.467023,254.195574
0.700000,11.430000,9.833333,1.963709,21.468806,250.825257
0.900000,11.450000,9.916667,1.979516,21.467023,252.498941
0.900000,11.630000,10.000000,1.995354,21.465241,245.937304
1.000000,11.670000,10.083333,2.011173,21.468806,255.915633
0.900000,11.810000,10.166667,2.027002,21.468806,254.195574
0.900000,11.990000,10.250000,2.043872,21.502674,252.498941
0.900000,12.030000,10.333333,2.112737,21.475936,254.195574
0.800000,12.130000,10.416667,2.141715,21.467023,250.825257
0.800000,12.110000,10.500000,2.151838,21.467023,244.350882
0.900000,12.330000,10.583333,2.159673,21.467023,252.498941
0.900000,12.370000,10.666667,2.175509,21.468806,250.825257
0.800000,12.450000,10.750000,2.192678,21.465241,252.498941
0.900000,12.510000,10.833333,2.207558,21.468806,247.544885
1.100000,12.690000,10.916667,2.224382,21.467023,244.350882
1.200000,12.810000,11.000000,2.240203,21.472371,249.174056
1.100000,12.810000,11.083333,2.256052,21.467023,247.544885
0.800000,12.910000,11.166667,2.271809,21.467023,245.937304
0.800000,13.010000,11.250000,2.287681,21.467023,242.785204
0.800000,13.090000,11.333333,2.303507,21.465241,247.544885
1.000000,13.090000,11.416667,2.320448,21.465241,242.785204
0.700000,13.290000,11.500000,2.336330,21.467023,242.785204
1.000000,13.350000,11.583333,2.352165,21.467023,244.350882
0.900000,13.510000,11.666667,2.372559,21.467023,247.544885
1.300000,13.530000,11.750000,2.383889,21.467023,249.174056
0.900000,13.730000,11.833333,2.399801,21.467023,249.174056
0.700000,13.770000,11.916667,2.415662,21.467023,249.174056
0.800000,13.810000,12.000000,2.431568,21.467023,249.174056
0.800000,13.990000,12.083333,2.448382,21.470588,250.825257
1.000000,14.030000,12.166667,2.469100,21.465241,245.937304
1.000000,14.150000,12.250000,2.479965,21.467023,250.825257
0.900000,14.250000,12.333333,2.495878,21.468806,249.174056
0.800000,14.310000,12.416667,2.511698,21.468806,254.195574
1.000000,14.410000,12.500000,2.527631,21.468806,261.221364
0.900000,14.470000,12.583333,2.543494,21.465241,252.498941
