# Date: 20201023
# Operator: DCC
# Notes: 248F-3. test on new rig
# Tap_cm: 5.0
# Sample: 248F-3
# Fit of Tap:
#	Ic = 173 +/- 0.024 A
#	n = 32.3 +/- 0.23 
#	Vc = 5 uV
#	Vfloor = 1.04 +/- 0.0086 uV
#	R = 0.000208 +/- 9.6e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.900000,0.330000,0.000000,0.085127,21.468806,239.714457
0.800000,0.330000,0.083333,0.107668,21.468806,250.825257
0.800000,0.330000,0.166667,0.123201,21.468806,252.498941
0.900000,0.430000,0.250000,0.139024,21.468806,254.195574
0.800000,0.450000,0.333333,0.155047,21.468806,250.825257
0.900000,0.590000,0.416667,0.171090,21.468806,249.174056
0.700000,0.730000,0.500000,0.187513,21.467023,250.825257
0.900000,0.830000,0.583333,0.204975,21.468806,242.785204
0.800000,0.890000,0.666667,0.218879,21.467023,242.785204
0.900000,0.970000,0.750000,0.235072,21.468806,250.825257
0.900000,1.090000,0.833333,0.251602,21.467023,249.174056
0.800000,1.230000,0.916667,0.267423,21.468806,245.937304
0.700000,1.250000,1.000000,0.283140,21.468806,245.937304
0.900000,1.310000,1.083333,0.299130,21.468806,245.937304
0.900000,1.470000,1.166667,0.315148,21.461676,244.350882
1.000000,1.570000,1.250000,0.331116,21.467023,245.937304
0.900000,1.650000,1.333333,0.347130,21.468806,250.825257
0.800000,1.730000,1.416667,0.363440,21.468806,245.937304
0.800000,1.850000,1.500000,0.379235,21.468806,254.195574
0.900000,1.890000,1.583333,0.395087,21.468806,254.195574
0.800000,2.010000,1.666667,0.411087,21.468806,244.350882
0.800000,2.070000,1.750000,0.427107,21.468806,252.498941
0.900000,2.210000,1.833333,0.443051,21.468806,252.498941
0.800000,2.290000,1.916667,0.459122,21.468806,254.195574
1.000000,2.370000,2.000000,0.475044,21.467023,255.915633
0.900000,2.490000,2.083333,0.491101,21.470588,252.498941
0.800000,2.590000,2.166667,0.507069,21.468806,252.498941
0.900000,2.690000,2.250000,0.523009,21.467023,254.195574
1.000000,2.790000,2.333333,0.539050,21.468806,287.071330
1.000000,2.830000,2.416667,0.555600,21.465241,250.825257
0.900000,2.990000,2.500000,0.570862,21.467023,252.498941
0.800000,3.070000,2.583333,0.586683,21.475936,252.498941
0.800000,3.130000,2.666667,0.603582,21.468806,250.825257
1.000000,3.210000,2.750000,0.619199,21.465241,252.498941
0.800000,3.370000,2.833333,0.634819,21.467023,245.937304
1.000000,3.470000,2.916667,0.651382,21.465241,247.544885
1.100000,3.490000,3.000000,0.666927,21.467023,247.544885
0.900000,3.590000,3.083333,0.682475,21.467023,249.174056
0.900000,3.750000,3.166667,0.699035,21.467023,245.937304
1.000000,3.810000,3.250000,0.714598,21.467023,241.239861
1.000000,3.910000,3.333333,0.731205,21.468806,244.350882
0.900000,4.030000,3.416667,0.746742,21.470588,247.544885
1.000000,4.110000,3.500000,0.763261,21.470588,247.544885
0.900000,4.150000,3.583333,0.781007,21.434938,245.937304
