# Date: 20201027
# Operator: DCC
# Notes: 248F-19 and 15 in/lb per nut
# Tap_cm: 5.0
# Sample: 248F-19
# Fit of Tap:
#	Ic = 172 +/- 0.065 A
#	n = 41.2 +/- 0.78 
#	Vc = 5 uV
#	Vfloor = 1.26 +/- 0.0074 uV
#	R = 0.000415 +/- 8.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.000000,0.330000,0.000000,0.057051,21.433155,254.195574
1.100000,0.290000,0.083333,0.078064,21.434938,250.825257
0.900000,0.310000,0.166667,0.085376,21.436720,244.350882
1.400000,0.410000,0.250000,0.094142,21.438503,249.174056
1.100000,0.530000,0.333333,0.109983,21.438503,254.195574
1.200000,0.610000,0.416667,0.126175,21.436720,252.498941
1.100000,0.810000,0.500000,0.142323,21.438503,255.915633
1.200000,0.830000,0.583333,0.157465,21.438503,252.498941
0.900000,0.910000,0.666667,0.174151,21.434938,247.544885
0.900000,1.170000,0.750000,0.190321,21.438503,250.825257
1.000000,1.070000,0.833333,0.205555,21.438503,250.825257
1.200000,1.170000,0.916667,0.224372,21.431373,245.937304
1.100000,1.270000,1.000000,0.241283,21.434938,250.825257
1.300000,1.330000,1.083333,0.254177,21.436720,247.544885
1.100000,1.470000,1.166667,0.269529,21.438503,247.544885
1.000000,1.530000,1.250000,0.285712,21.434938,242.785204
1.000000,1.650000,1.333333,0.301878,21.434938,239.714457
1.100000,1.730000,1.416667,0.318025,21.436720,241.239861
1.100000,1.850000,1.500000,0.334233,21.436720,245.937304
0.800000,1.950000,1.583333,0.350087,21.434938,249.174056
1.100000,2.030000,1.666667,0.365877,21.438503,247.544885
1.000000,2.070000,1.750000,0.381681,21.438503,249.174056
1.100000,2.250000,1.833333,0.397543,21.434938,247.544885
0.900000,2.270000,1.916667,0.413885,21.436720,249.174056
1.200000,2.390000,2.000000,0.434639,21.438503,245.937304
1.000000,2.390000,2.083333,0.445729,21.434938,252.498941
1.000000,2.590000,2.166667,0.461887,21.434938,250.825257
1.000000,2.690000,2.250000,0.478010,21.434938,250.825257
1.000000,2.810000,2.333333,0.494162,21.436720,250.825257
1.300000,3.070000,2.416667,0.510363,21.434938,255.915633
1.200000,2.910000,2.500000,0.525568,21.440285,252.498941
1.200000,3.290000,2.583333,0.542439,21.436720,255.915633
1.300000,3.150000,2.666667,0.558107,21.436720,252.498941
1.200000,3.330000,2.750000,0.574208,21.436720,252.498941
1.400000,3.370000,2.833333,0.590014,21.434938,249.174056
1.200000,3.490000,2.916667,0.605813,21.438503,252.498941
1.400000,3.510000,3.000000,0.621663,21.434938,247.544885
1.300000,3.610000,3.083333,0.637889,21.434938,249.174056
1.200000,3.770000,3.166667,0.653759,21.434938,245.937304
1.200000,3.750000,3.250000,0.669554,21.438503,249.174056
1.200000,3.910000,3.333333,0.685363,21.436720,249.174056
1.000000,4.030000,3.416667,0.702139,21.433155,245.937304
1.500000,4.070000,3.500000,0.717942,21.434938,245.937304
1.300000,4.210000,3.583333,0.733746,21.433155,247.544885
1.300000,4.290000,3.666667,0.749534,21.438503,249.174056
1.200000,4.410000,3.750000,0.765464,21.434938,247.544885
1.100000,4.490000,3.833333,0.781294,21.433155,250.825257
1.200000,4.570000,3.916667,0.798080,21.434938,250.825257
1.000000,4.670000,4.000000,0.813872,21.436720,249.174056
1.100000,4.770000,4.083333,0.829634,21.434938,252.498941
1.200000,4.530000,4.166667,0.852311,21.434938,247.544885
1.100000,4.950000,4.250000,0.861264,21.436720,254.195574
1.100000,5.010000,4.333333,0.878030,21.434938,252.498941
1.300000,5.170000,4.416667,0.893859,21.434938,254.195574
1.300000,5.170000,4.500000,0.909669,21.436720,254.195574
1.400000,5.310000,4.583333,0.925474,21.436720,254.195574
1.100000,5.410000,4.666667,0.941261,21.433155,249.174056
1.300000,5.490000,4.750000,0.958038,21.431373,250.825257
1.000000,5.630000,4.833333,0.973861,21.436720,249.174056
1.200000,5.670000,4.916667,0.989642,21.438503,250.825257
1.300000,5.810000,5.000000,1.005796,21.442068,252.498941
1.300000,5.910000,5.083333,1.021661,21.436720,249.174056
1.000000,5.990000,5.166667,1.037960,21.434938,245.937304
1.100000,6.090000,5.250000,1.053824,21.436720,247.544885
1.100000,6.170000,5.333333,1.069609,21.433155,245.937304
1.100000,6.270000,5.416667,1.085408,21.433155,245.937304
1.000000,6.370000,5.500000,1.102403,21.436720,245.937304
1.200000,6.470000,5.583333,1.117252,21.434938,242.785204
1.400000,6.590000,5.666667,1.140700,21.434938,244.350882
1.100000,6.610000,5.750000,1.150022,21.433155,245.937304
1.300000,6.790000,5.833333,1.165836,21.436720,250.825257
1.200000,6.870000,5.916667,1.181658,21.436720,252.498941
1.000000,6.930000,6.000000,1.197463,21.434938,250.825257
1.100000,7.030000,6.083333,1.213269,21.438503,250.825257
1.100000,7.210000,6.166667,1.230086,21.436720,250.825257
1.000000,7.290000,6.250000,1.245510,21.440285,254.195574
1.100000,7.330000,6.333333,1.261394,21.436720,252.498941
1.200000,7.450000,6.416667,1.278239,21.434938,254.195574
1.300000,7.610000,6.500000,1.294039,21.436720,252.498941
1.200000,7.610000,6.583333,1.309847,21.438503,250.825257
1.300000,7.710000,6.666667,1.325624,21.440285,252.498941
1.400000,7.870000,6.750000,1.341417,21.433155,252.498941
1.100000,7.970000,6.833333,1.358204,21.434938,250.825257
1.300000,8.030000,6.916667,1.373989,21.436720,245.937304
1.100000,8.150000,7.000000,1.389758,21.436720,247.544885
1.200000,8.230000,7.083333,1.405517,21.436720,249.174056
1.100000,8.370000,7.166667,1.422511,21.409982,249.174056
1.100000,8.470000,7.250000,1.457652,21.404635,250.825257
1.200000,8.490000,7.333333,1.473031,21.406417,247.544885
1.400000,8.570000,7.416667,1.489050,21.406417,249.174056
1.100000,8.650000,7.500000,1.505066,21.408200,249.174056
1.100000,8.710000,7.583333,1.520428,21.406417,226.822561
1.400000,8.830000,7.666667,1.535250,21.436720,247.544885
1.500000,8.950000,7.750000,1.551036,21.434938,247.544885
0.900000,9.030000,7.833333,1.566820,21.438503,245.937304
0.900000,9.150000,7.916667,1.582650,21.438503,252.498941
1.300000,9.250000,8.000000,1.599473,21.436720,249.174056
1.200000,9.310000,8.083333,1.615276,21.438503,252.498941
1.000000,9.450000,8.166667,1.635721,21.434938,247.544885
1.300000,9.510000,8.250000,1.646564,21.434938,249.174056
1.000000,9.590000,8.333333,1.663363,21.436720,249.174056
0.800000,9.710000,8.416667,1.679136,21.434938,254.195574
1.500000,9.830000,8.500000,1.694909,21.434938,252.498941
1.400000,9.910000,8.583333,1.710672,21.436720,252.498941
1.300000,10.150000,8.666667,1.727438,21.438503,255.915633
1.100000,10.190000,8.750000,1.744385,21.434938,252.498941
1.200000,10.170000,8.833333,1.758873,21.433155,261.221364
1.300000,10.290000,8.916667,1.774759,21.438503,250.825257
1.300000,10.410000,9.000000,1.790581,21.434938,250.825257
1.300000,10.490000,9.083333,1.807377,21.434938,250.825257
1.100000,10.590000,9.166667,1.823182,21.438503,250.825257
1.200000,10.650000,9.250000,1.839603,21.436720,254.195574
1.200000,10.750000,9.333333,1.855455,21.436720,244.350882
1.400000,10.910000,9.416667,1.871235,21.436720,247.544885
1.200000,10.970000,9.500000,1.887012,21.434938,247.544885
1.300000,11.050000,9.583333,1.902783,21.438503,245.937304
1.300000,11.170000,9.666667,1.918597,21.431373,244.350882
1.400000,11.270000,9.750000,1.935401,21.434938,245.937304
1.300000,11.330000,9.833333,1.951168,21.436720,244.350882
1.300000,11.410000,9.916667,1.966964,21.436720,247.544885
1.100000,11.570000,10.000000,1.982723,21.434938,249.174056
1.200000,11.670000,10.083333,1.999477,21.438503,245.937304
1.100000,11.770000,10.166667,2.015509,21.434938,245.937304
0.900000,11.850000,10.250000,2.046232,21.438503,257.659612
1.300000,11.930000,10.333333,2.053118,21.434938,244.350882
1.200000,12.030000,10.416667,2.062937,21.436720,252.498941
1.300000,12.130000,10.500000,2.078791,21.438503,255.915633
1.100000,12.290000,10.583333,2.094645,21.434938,252.498941
1.200000,12.370000,10.666667,2.111447,21.433155,254.195574
1.300000,12.370000,10.750000,2.127222,21.438503,252.498941
1.100000,12.550000,10.833333,2.143040,21.438503,254.195574
1.100000,12.510000,10.916667,2.158819,21.436720,254.195574
1.200000,12.670000,11.000000,2.174641,21.436720,250.825257
1.200000,12.750000,11.083333,2.191426,21.438503,247.544885
1.400000,12.890000,11.166667,2.207199,21.436720,250.825257
1.300000,12.990000,11.250000,2.223060,21.436720,249.174056
1.100000,13.110000,11.333333,2.242373,21.408200,252.498941
1.300000,13.150000,11.416667,2.258040,21.404635,249.174056
1.400000,13.210000,11.500000,2.273221,21.406417,249.174056
1.400000,13.350000,11.583333,2.289240,21.408200,247.544885
1.200000,13.390000,11.666667,2.305278,21.409982,247.544885
1.000000,13.490000,11.750000,2.321359,21.402852,245.937304
1.400000,13.650000,11.833333,2.341433,21.436720,249.174056
1.200000,13.650000,11.916667,2.350765,21.433155,244.350882
1.300000,13.830000,12.000000,2.366548,21.434938,244.350882
1.200000,13.950000,12.083333,2.383352,21.438503,247.544885
1.400000,14.010000,12.166667,2.399142,21.436720,255.915633
1.200000,14.190000,12.250000,2.414928,21.434938,245.937304
1.200000,14.190000,12.333333,2.435527,21.436720,247.544885
1.100000,14.290000,12.416667,2.447388,21.438503,250.825257
1.300000,14.410000,12.500000,2.463166,21.436720,254.195574
0.900000,14.490000,12.583333,2.478935,21.436720,252.498941
1.300000,14.630000,12.666667,2.494703,21.434938,252.498941
1.400000,14.630000,12.750000,2.511528,21.434938,254.195574
1.200000,14.830000,12.833333,2.527376,21.434938,252.498941
1.100000,14.930000,12.916667,2.543185,21.438503,252.498941
1.500000,15.010000,13.000000,2.558978,21.438503,254.195574
1.100000,15.130000,13.083333,2.574779,21.434938,255.915633
1.000000,15.210000,13.166667,2.590564,21.434938,249.174056
1.200000,15.330000,13.250000,2.607553,21.436720,250.825257
1.200000,15.350000,13.333333,2.623395,21.434938,252.498941
1.200000,15.210000,13.416667,2.646645,21.434938,250.825257
1.100000,15.590000,13.500000,2.654617,21.434938,245.937304
1.100000,15.630000,13.583333,2.671388,21.434938,247.544885
1.400000,15.750000,13.666667,2.687170,21.434938,245.937304
1.400000,15.830000,13.750000,2.702973,21.436720,244.350882
1.100000,15.950000,13.833333,2.718768,21.434938,244.350882
1.100000,16.130000,13.916667,2.734574,21.436720,244.350882
1.300000,16.170000,14.000000,2.751337,21.433155,245.937304
1.400000,16.230000,14.083333,2.767232,21.434938,245.937304
1.300000,16.290000,14.166667,2.783077,21.436720,250.825257
1.300000,16.430000,14.250000,2.798880,21.438503,249.174056
1.300000,16.530000,14.333333,2.814704,21.438503,252.498941
1.200000,16.710000,14.416667,2.835477,21.434938,244.350882
1.200000,16.730000,14.500000,2.847340,21.436720,245.937304
1.200000,16.750000,14.583333,2.863152,21.433155,252.498941
1.100000,16.870000,14.666667,2.878941,21.438503,261.221364
1.400000,16.950000,14.750000,2.894725,21.434938,252.498941
1.300000,17.070000,14.833333,2.911504,21.436720,252.498941
1.400000,17.190000,14.916667,2.927280,21.436720,254.195574
1.400000,17.330000,15.000000,2.944232,21.434938,254.195574
1.000000,17.410000,15.083333,2.959601,21.434938,254.195574
1.200000,17.410000,15.166667,2.975453,21.438503,252.498941
1.200000,17.530000,15.250000,2.991251,21.436720,254.195574
1.100000,17.690000,15.333333,3.007055,21.434938,250.825257
1.100000,17.830000,15.416667,3.022998,21.438503,250.825257
1.400000,17.870000,15.500000,3.041784,21.404635,250.825257
1.500000,17.950000,15.583333,3.056822,21.406417,249.174056
1.300000,18.050000,15.666667,3.072828,21.406417,252.498941
1.600000,18.110000,15.750000,3.088888,21.406417,247.544885
1.300000,18.190000,15.833333,3.104879,21.406417,247.544885
1.100000,18.330000,15.916667,3.120845,21.404635,245.937304
