# Date: 20201027
# Operator: DCC
# Notes: 248F-11 and 15 in/lb per nut
# Tap_cm: 5.0
# Sample: 248F-11
# Fit of Tap:
#	Ic = 101 +/- 1 A
#	n = 50 +/- 0.95 
#	Vc = 5 uV
#	Vfloor = 1.4 +/- 2.7e+102 uV
#	R = 0.148 +/- 3.7e+96 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.000000,0.330000,0.000000,0.055718,21.468806,254.195574
0.900000,0.310000,0.083333,0.075015,21.436720,249.174056
1.100000,0.310000,0.166667,0.085702,21.433155,247.544885
1.100000,0.470000,0.250000,0.101256,21.436720,247.544885
1.200000,0.510000,0.333333,0.117810,21.431373,247.544885
1.100000,0.590000,0.416667,0.133569,21.434938,247.544885
1.100000,0.730000,0.500000,0.149239,21.434938,244.350882
1.000000,0.750000,0.583333,0.165804,21.434938,245.937304
0.800000,0.850000,0.666667,0.181377,21.433155,241.239861
1.000000,0.950000,0.750000,0.196937,21.434938,241.239861
1.000000,1.090000,0.833333,0.213629,21.434938,245.937304
1.100000,1.170000,0.916667,0.229551,21.436720,249.174056
1.000000,1.250000,1.000000,0.245163,21.433155,247.544885
1.100000,1.310000,1.083333,0.261867,21.434938,245.937304
1.100000,1.430000,1.166667,0.277859,21.436720,250.825257
1.100000,1.530000,1.250000,0.293851,21.434938,250.825257
1.100000,1.610000,1.333333,0.309858,21.433155,254.195574
1.000000,1.710000,1.416667,0.325604,21.434938,242.785204
1.100000,1.790000,1.500000,0.341738,21.433155,249.174056
1.000000,1.910000,1.583333,0.357763,21.434938,254.195574
1.200000,1.970000,1.666667,0.373763,21.433155,249.174056
1.100000,2.110000,1.750000,0.389924,21.434938,254.195574
1.300000,2.190000,1.833333,0.405884,21.433155,254.195574
1.100000,2.290000,1.916667,0.421893,21.433155,254.195574
1.100000,2.370000,2.000000,0.437556,21.434938,242.785204
1.000000,2.470000,2.083333,0.453777,21.434938,244.350882
1.000000,2.610000,2.166667,0.469678,21.436720,249.174056
1.100000,2.650000,2.250000,0.485267,21.433155,250.825257
1.200000,2.730000,2.333333,0.501925,21.434938,252.498941
1.200000,2.890000,2.416667,0.518624,21.431373,250.825257
0.900000,2.990000,2.500000,0.533996,21.436720,252.498941
1.000000,3.010000,2.583333,0.549945,21.434938,250.825257
0.900000,3.150000,2.666667,0.565910,21.436720,249.174056
1.000000,3.250000,2.750000,0.581971,21.434938,250.825257
1.100000,3.390000,2.833333,0.597778,21.433155,242.785204
1.000000,3.450000,2.916667,0.613896,21.436720,242.785204
1.100000,3.510000,3.000000,0.630308,21.440285,255.915633
0.900000,3.610000,3.083333,0.645551,21.434938,244.350882
1.100000,3.670000,3.166667,0.661631,21.436720,250.825257
1.000000,3.790000,3.250000,0.677736,21.436720,249.174056
1.200000,3.870000,3.333333,0.693742,21.434938,259.428015
1.300000,4.010000,3.416667,0.709785,21.431373,259.428015
1.100000,4.110000,3.500000,0.725752,21.438503,259.428015
1.000000,4.210000,3.583333,0.743871,21.406417,250.825257
1.300000,4.310000,3.666667,0.758823,21.404635,255.915633
