# Date: 20201211
# Operator: RDP
# Notes: Old rig
# Tap_cm: 5.0
# Sample: 248F-24
# Fit of Tap:
#	Ic = 104 +/- 1.3 A
#	n = 50 +/- 1.2 
#	Vc = 5 uV
#	Vfloor = 4.02 +/- 2.7e+81 uV
#	R = 6.23 +/- 6.8e+73 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.170000,0.000000,0.024941,40.731030,0.267923
1.100000,0.190000,0.166667,0.041255,40.645640,0.288248
1.000000,0.430000,0.333333,0.057528,40.816420,0.269771
1.100000,0.290000,0.500000,0.073621,38.596280,0.269771
1.100000,0.510000,0.666667,0.088890,41.243370,0.264228
0.700000,0.790000,0.833333,0.104922,41.243370,0.264228
1.000000,0.970000,1.000000,0.122234,41.243370,0.269771
1.000000,1.070000,1.166667,0.136686,41.499540,0.273466
1.300000,1.070000,1.333333,0.152818,41.755710,0.275314
1.100000,1.430000,1.500000,0.169010,42.097270,0.269771
1.100000,1.530000,1.666667,0.184126,42.268050,0.269771
1.200000,1.710000,1.833333,0.209991,40.987200,0.269771
0.900000,1.810000,2.000000,0.216661,41.755710,0.271619
0.900000,2.070000,2.166667,0.232683,41.926490,0.267923
0.900000,2.170000,2.333333,0.248818,42.268050,0.271619
1.000000,2.350000,2.500000,0.264909,42.182660,0.271619
1.000000,2.490000,2.666667,0.280914,42.097270,0.267923
1.200000,2.610000,2.833333,0.296926,41.755710,0.271619
1.300000,2.490000,3.000000,0.314446,42.011880,0.267923
1.200000,2.930000,3.166667,0.328480,41.157980,0.271619
0.900000,3.510000,3.333333,0.345757,41.414150,0.269771
1.100000,3.210000,3.500000,0.360183,41.157980,0.266075
1.100000,3.330000,3.666667,0.376315,40.987200,0.269771
0.900000,3.470000,3.833333,0.394072,40.987200,0.267923
1.200000,3.770000,4.000000,0.408569,41.072590,0.249446
1.100000,3.830000,4.166667,0.425828,40.987200,0.271619
0.900000,3.990000,4.333333,0.440470,39.791740,0.269771
1.200000,4.090000,4.500000,0.456512,40.731030,0.267923
0.800000,4.350000,4.666667,0.472597,41.072590,0.267923
1.100000,4.470000,4.833333,0.488770,41.157980,0.267923
0.900000,4.690000,5.000000,0.505819,40.731030,0.267923
1.000000,4.730000,5.166667,0.520970,41.328760,0.266075
1.100000,4.910000,5.333333,0.537011,41.584930,0.267923
1.000000,5.130000,5.500000,0.552042,41.841100,0.275314
1.300000,5.290000,5.666667,0.568032,42.011880,0.266075
1.100000,5.390000,5.833333,0.584448,42.182660,0.271619
1.300000,5.550000,6.000000,0.600821,42.182660,0.266075
1.200000,5.770000,6.166667,0.616891,42.097270,0.267923
1.100000,5.850000,6.333333,0.632940,42.097270,0.264228
1.000000,6.010000,6.500000,0.649077,42.011880,0.266075
1.100000,6.170000,6.666667,0.665701,41.157980,0.266075
1.000000,6.310000,6.833333,0.680717,41.755710,0.269771
0.900000,6.450000,7.000000,0.696790,41.499540,0.266075
1.000000,6.650000,7.166667,0.721373,41.243370,0.269771
1.200000,6.730000,7.333333,0.728582,41.328760,0.269771
1.000000,6.890000,7.500000,0.745001,41.755710,0.280857
1.200000,7.050000,7.666667,0.760036,40.816420,0.271619
1.100000,7.210000,7.833333,0.777736,40.987200,0.262380
1.200000,7.310000,8.000000,0.792759,40.987200,0.267923
1.000000,7.650000,8.166667,0.809798,42.011880,0.266075
1.000000,7.590000,8.333333,0.824302,41.157980,0.267923
1.300000,7.810000,8.500000,0.840390,40.731030,0.266075
1.000000,8.050000,8.666667,0.856463,40.816420,0.271619
1.200000,8.150000,8.833333,0.872505,40.901810,0.267923
1.100000,8.330000,9.000000,0.888582,41.072590,0.269771
1.100000,8.450000,9.166667,0.904639,41.243370,0.260532
0.700000,8.610000,9.333333,0.921495,41.414150,0.264228
1.400000,8.730000,9.500000,0.936739,41.414150,0.271619
1.100000,8.870000,9.666667,0.952882,41.328760,0.269771
