# Date: 20201211
# Operator: RDP
# Notes: New rig X
# Tap_cm: 5.0
# Sample: 248F-9
# Fit of Tap:
#	Ic = 102 +/- 0.061 A
#	n = 27.2 +/- 0.73 
#	Vc = 5 uV
#	Vfloor = 2.93 +/- 0.017 uV
#	R = 0.00236 +/- 0.00032 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
2.900000,0.170000,0.000000,0.045492,40.816420,0.267923
3.000000,0.270000,0.166667,0.059324,40.474860,0.273466
2.900000,0.330000,0.333333,0.069313,42.182660,0.266075
3.000000,0.390000,0.500000,0.077493,41.243370,0.264228
2.900000,0.650000,0.666667,0.090728,41.243370,0.266075
3.000000,0.890000,0.833333,0.107015,41.072590,0.267923
2.600000,0.930000,1.000000,0.123263,41.414150,0.266075
2.700000,1.090000,1.166667,0.139488,41.499540,0.264228
2.800000,1.170000,1.333333,0.154749,42.011880,0.269771
2.900000,1.370000,1.500000,0.171074,41.499540,0.269771
2.900000,1.510000,1.666667,0.187459,41.755710,0.275314
2.800000,1.550000,1.833333,0.204479,42.695000,0.267923
3.100000,1.850000,2.000000,0.219071,42.182660,0.269771
2.800000,2.090000,2.166667,0.235247,42.011880,0.264228
2.900000,2.170000,2.333333,0.251484,41.926490,0.266075
2.700000,2.310000,2.500000,0.266762,42.011880,0.267923
2.800000,2.490000,2.666667,0.290555,41.072590,0.269771
3.000000,2.550000,2.833333,0.299193,41.926490,0.267923
3.100000,2.750000,3.000000,0.315460,41.755710,0.271619
2.900000,2.850000,3.166667,0.330723,41.584930,0.267923
2.700000,3.070000,3.333333,0.349131,41.755710,0.279010
2.800000,3.150000,3.500000,0.362682,41.157980,0.269771
2.900000,3.350000,3.666667,0.378950,41.328760,0.269771
2.800000,3.510000,3.833333,0.395203,39.791740,0.267923
2.600000,3.650000,4.000000,0.411439,40.901810,0.266075
2.800000,3.730000,4.166667,0.426926,40.560250,0.267923
2.900000,3.950000,4.333333,0.442754,40.901810,0.273466
3.000000,4.130000,4.500000,0.461444,40.901810,0.267923
3.000000,4.250000,4.666667,0.474537,41.243370,0.262380
