# Date: 20201211
# Operator: RDP
# Notes: New rig X
# Tap_cm: 5.0
# Sample: 248F-1
# Fit of Tap:
#	Ic = 167 +/- 0.17 A
#	n = 70.2 +/- 3.6 
#	Vc = 5 uV
#	Vfloor = 2.88 +/- 0.0087 uV
#	R = 0.000437 +/- 9.7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
3.000000,0.070000,0.000000,0.034553,40.731030,0.275314
2.800000,0.250000,0.166667,0.054813,41.414150,0.273466
3.000000,0.350000,0.333333,0.061525,42.011880,0.271619
2.800000,0.750000,0.500000,0.072711,41.841100,0.282705
3.000000,0.650000,0.666667,0.088941,41.414150,0.269771
2.800000,0.890000,0.833333,0.107847,42.438830,0.267923
2.700000,0.330000,1.000000,0.121743,40.816420,0.269771
2.800000,1.110000,1.166667,0.141305,41.755710,0.258684
2.900000,1.250000,1.333333,0.155300,41.157980,0.271619
3.000000,1.430000,1.500000,0.170362,41.841100,0.264228
3.000000,1.530000,1.666667,0.186500,40.816420,0.267923
2.800000,1.730000,1.833333,0.212457,41.072590,0.269771
2.900000,1.870000,2.000000,0.220640,43.207340,0.266075
2.700000,1.990000,2.166667,0.232710,41.072590,0.269771
2.900000,2.190000,2.333333,0.248914,41.328760,0.273466
2.800000,2.370000,2.500000,0.264967,41.072590,0.266075
2.600000,2.470000,2.666667,0.281113,40.731030,0.262380
2.700000,2.650000,2.833333,0.296186,41.584930,0.267923
2.800000,2.750000,3.000000,0.312337,41.670320,0.275314
2.800000,2.930000,3.166667,0.330166,42.011880,0.267923
2.800000,3.010000,3.333333,0.344254,41.499540,0.269771
2.800000,3.190000,3.500000,0.360484,42.268050,0.262380
2.900000,3.410000,3.666667,0.376626,42.182660,0.269771
2.700000,3.510000,3.833333,0.392770,42.182660,0.267923
2.900000,3.690000,4.000000,0.415671,40.901810,0.269771
2.700000,3.810000,4.166667,0.424855,41.841100,0.269771
2.700000,4.050000,4.333333,0.444285,42.011880,0.240207
3.000000,4.150000,4.500000,0.458580,42.182660,0.277162
2.900000,4.310000,4.666667,0.473080,41.755710,0.273466
2.800000,4.530000,4.833333,0.490403,42.097270,0.280857
2.800000,4.610000,5.000000,0.504887,41.328760,0.273466
2.900000,4.690000,5.166667,0.521115,41.157980,0.262380
2.900000,4.910000,5.333333,0.536193,41.072590,0.266075
3.000000,5.170000,5.500000,0.552242,41.072590,0.267923
3.100000,5.250000,5.666667,0.568335,40.731030,0.269771
2.900000,5.390000,5.833333,0.584816,40.816420,0.271619
2.700000,5.550000,6.000000,0.603427,40.901810,0.267923
2.800000,5.730000,6.166667,0.616471,40.901810,0.266075
2.700000,5.810000,6.333333,0.634396,41.243370,0.267923
2.700000,6.070000,6.500000,0.648738,41.072590,0.273466
2.400000,6.130000,6.666667,0.664755,41.157980,0.262380
2.900000,6.310000,6.833333,0.680747,41.243370,0.269771
2.800000,6.490000,7.000000,0.705371,41.499540,0.269771
2.700000,6.570000,7.166667,0.712559,41.755710,0.271619
2.800000,6.710000,7.333333,0.728563,41.841100,0.267923
3.100000,7.110000,7.500000,0.747433,41.328760,0.269771
2.900000,7.010000,7.666667,0.760556,42.268050,0.262380
2.800000,7.250000,7.833333,0.778227,42.438830,0.271619
2.900000,7.390000,8.000000,0.792783,43.548900,0.269771
2.800000,7.510000,8.166667,0.808363,42.011880,0.273466
2.600000,7.650000,8.333333,0.824485,42.097270,0.251293
2.800000,7.790000,8.500000,0.840575,43.292730,0.271619
3.000000,7.630000,8.666667,0.856847,42.011880,0.264228
3.000000,8.110000,8.833333,0.872903,41.841100,0.271619
2.900000,8.310000,9.000000,0.888973,41.414150,0.267923
2.900000,8.410000,9.166667,0.905040,41.243370,0.273466
2.700000,8.590000,9.333333,0.921121,41.072590,0.269771
2.900000,8.690000,9.500000,0.941616,42.865780,0.266075
2.800000,8.910000,9.666667,0.953755,40.816420,0.264228
2.900000,9.030000,9.833333,0.968740,40.560250,0.275314
2.800000,9.170000,10.000000,0.984755,40.731030,0.264228
2.800000,9.450000,10.166667,1.010572,42.353440,0.269771
2.800000,9.410000,10.333333,1.017317,40.731030,0.273466
2.900000,9.690000,10.500000,1.032358,40.731030,0.267923
2.900000,9.810000,10.666667,1.048358,41.157980,0.273466
2.500000,9.990000,10.833333,1.064504,41.157980,0.264228
2.600000,10.190000,11.000000,1.080670,41.328760,0.266075
2.600000,10.430000,11.166667,1.098228,41.926490,0.267923
2.900000,10.370000,11.333333,1.112950,41.670320,0.273466
2.800000,10.530000,11.500000,1.128998,42.011880,0.269771
2.700000,10.750000,11.666667,1.145090,42.182660,0.266075
2.700000,10.870000,11.833333,1.160087,42.011880,0.269771
2.700000,11.050000,12.000000,1.176227,42.011880,0.267923
2.900000,11.230000,12.166667,1.192292,42.097270,0.266075
2.900000,11.330000,12.333333,1.210035,42.011880,0.260532
2.700000,11.530000,12.500000,1.225051,42.182660,0.267923
2.900000,11.630000,12.666667,1.242848,42.438830,0.271619
3.000000,11.750000,12.833333,1.256307,41.670320,0.266075
3.000000,11.870000,13.000000,1.272312,41.328760,0.269771
2.700000,12.150000,13.166667,1.288292,41.157980,0.269771
2.700000,12.350000,13.333333,1.305151,41.499540,0.271619
2.700000,12.750000,13.500000,1.321159,40.987200,0.267923
2.900000,12.650000,13.666667,1.336185,40.901810,0.264228
2.900000,12.750000,13.833333,1.354842,41.499540,0.264228
2.900000,12.870000,14.000000,1.369037,40.987200,0.269771
2.900000,13.070000,14.166667,1.385077,40.901810,0.271619
2.900000,13.230000,14.333333,1.408233,41.926490,0.262380
3.000000,13.310000,14.500000,1.416013,40.731030,0.267923
2.900000,13.510000,14.666667,1.433063,40.645640,0.267923
2.900000,13.690000,14.833333,1.448209,40.987200,0.264228
2.700000,13.830000,15.000000,1.464326,41.414150,0.262380
2.800000,13.950000,15.166667,1.480469,41.243370,0.266075
2.800000,14.130000,15.333333,1.496450,41.499540,0.267923
2.900000,14.310000,15.500000,1.512501,41.755710,0.269771
3.000000,14.370000,15.666667,1.528616,41.755710,0.271619
3.100000,14.530000,15.833333,1.546725,42.097270,0.266075
2.800000,14.690000,16.000000,1.560881,42.097270,0.266075
2.900000,14.870000,16.166667,1.576914,42.865780,0.264228
2.900000,15.010000,16.333333,1.592998,42.438830,0.269771
2.800000,15.190000,16.500000,1.616095,40.816420,0.269771
2.800000,15.350000,16.666667,1.623978,41.926490,0.267923
2.900000,15.490000,16.833333,1.641359,42.182660,0.269771
2.900000,15.610000,17.000000,1.657491,42.097270,0.271619
2.900000,15.790000,17.166667,1.673041,41.584930,0.275314
2.900000,15.950000,17.333333,1.688589,41.414150,0.269771
2.800000,16.310000,17.500000,1.706837,41.499540,0.269771
2.900000,16.310000,17.666667,1.721213,40.901810,0.266075
2.900000,16.430000,17.833333,1.736446,40.645640,0.267923
3.000000,16.630000,18.000000,1.752808,40.560250,0.301183
2.900000,16.770000,18.166667,1.769064,40.816420,0.269771
3.000000,16.870000,18.333333,1.784292,40.645640,0.266075
3.100000,16.950000,18.500000,1.801946,40.474860,0.273466
2.900000,17.210000,18.666667,1.817464,40.645640,0.267923
2.700000,17.310000,18.833333,1.833946,39.962520,0.266075
2.800000,17.490000,19.000000,1.848781,40.816420,0.267923
2.500000,17.670000,19.166667,1.864988,41.414150,0.266075
2.900000,17.870000,19.333333,1.881386,41.499540,0.264228
2.900000,18.070000,19.500000,1.906470,41.670320,0.277162
2.700000,17.790000,19.666667,1.914233,41.328760,0.266075
3.000000,18.210000,19.833333,1.928940,42.182660,0.256837
3.000000,18.430000,20.000000,1.946117,42.011880,0.314117
2.900000,18.550000,20.166667,1.960679,42.011880,0.266075
2.900000,18.790000,20.333333,1.977522,41.328760,0.267923
2.700000,18.890000,20.500000,1.998389,42.011880,0.262380
2.800000,18.970000,20.666667,2.011223,41.841100,0.266075
3.100000,19.170000,20.833333,2.024247,41.841100,0.232816
3.000000,19.310000,21.000000,2.040286,41.755710,0.267923
2.900000,19.510000,21.166667,2.056411,41.414150,0.269771
2.900000,19.650000,21.333333,2.072602,40.133300,0.266075
2.600000,19.750000,21.500000,2.088927,41.841100,0.245750
2.900000,20.010000,21.666667,2.104940,41.243370,0.267923
2.800000,20.050000,21.833333,2.124791,42.011880,0.264228
2.800000,20.250000,22.000000,2.136954,41.328760,0.266075
2.900000,20.430000,22.166667,2.154746,39.706350,0.262380
2.900000,20.530000,22.333333,2.168741,40.816420,0.271619
2.800000,20.710000,22.500000,2.184723,40.645640,0.271619
3.100000,20.910000,22.666667,2.211502,42.353440,0.264228
3.000000,20.950000,22.833333,2.218311,40.731030,0.273466
2.800000,21.150000,23.000000,2.232297,41.157980,0.267923
2.800000,21.310000,23.166667,2.248304,41.499540,0.273466
2.600000,21.610000,23.333333,2.265800,40.645640,0.253141
2.800000,21.630000,23.500000,2.280865,41.584930,0.264228
2.900000,22.070000,23.666667,2.297278,41.755710,0.273466
2.600000,21.890000,23.833333,2.315240,41.157980,0.301183
3.100000,21.990000,24.000000,2.329265,41.926490,0.262380
2.800000,22.230000,24.166667,2.344510,42.097270,0.264228
2.900000,22.390000,24.333333,2.360764,42.438830,0.267923
3.000000,22.490000,24.500000,2.377103,42.524220,0.262380
2.900000,22.670000,24.666667,2.392451,42.182660,0.267923
2.900000,22.850000,24.833333,2.409916,42.011880,0.271619
3.000000,22.950000,25.000000,2.424283,42.524220,0.267923
3.100000,23.110000,25.166667,2.440767,41.841100,0.267923
2.800000,23.130000,25.333333,2.457871,42.097270,0.269771
2.800000,23.390000,25.500000,2.472462,41.414150,0.269771
2.900000,23.610000,25.666667,2.488682,41.072590,0.277162
3.200000,23.750000,25.833333,2.506360,41.841100,0.269771
3.000000,23.850000,26.000000,2.521104,41.243370,0.267923
3.000000,24.010000,26.166667,2.536321,40.901810,0.267923
2.800000,24.170000,26.333333,2.552561,40.731030,0.266075
2.900000,24.330000,26.500000,2.568953,40.987200,0.273466
2.900000,24.510000,26.666667,2.585260,40.816420,0.264228
2.700000,24.670000,26.833333,2.605574,41.243370,0.269771
2.700000,24.790000,27.000000,2.616775,41.072590,0.271619
3.100000,24.830000,27.166667,2.633108,40.901810,0.269771
2.800000,25.070000,27.333333,2.648342,41.499540,0.269771
2.800000,25.230000,27.500000,2.664690,41.499540,0.267923
2.900000,25.410000,27.666667,2.680916,41.243370,0.266075
3.000000,25.450000,27.833333,2.697126,41.755710,0.271619
2.900000,25.690000,28.000000,2.712376,41.755710,0.266075
3.000000,25.790000,28.166667,2.729068,41.926490,0.286401
2.800000,25.950000,28.333333,2.745046,42.268050,0.266075
3.100000,26.150000,28.500000,2.761193,42.695000,0.262380
3.000000,26.310000,28.666667,2.776334,42.182660,0.273466
2.900000,26.430000,28.833333,2.792513,42.268050,0.267923
2.900000,26.710000,29.000000,2.817217,40.901810,0.269771
2.800000,26.670000,29.166667,2.824200,41.755710,0.271619
3.000000,26.970000,29.333333,2.840582,41.755710,0.269771
2.900000,27.070000,29.500000,2.856798,41.670320,0.273466
2.800000,27.430000,29.666667,2.873229,41.499540,0.271619
2.900000,27.230000,29.833333,2.889775,40.731030,0.269771
2.900000,27.550000,30.000000,2.904793,41.328760,0.266075
3.000000,27.730000,30.166667,2.921161,41.328760,0.271619
3.000000,27.850000,30.333333,2.939530,41.584930,0.258684
2.800000,27.910000,30.500000,2.952525,40.901810,0.269771
2.900000,28.110000,30.666667,2.968491,40.731030,0.273466
2.800000,28.290000,30.833333,2.984586,40.816420,0.271619
2.800000,28.470000,31.000000,3.002073,41.414150,0.271619
2.700000,28.610000,31.166667,3.016085,41.243370,0.266075
2.800000,28.770000,31.333333,3.032131,41.499540,0.266075
2.600000,28.870000,31.500000,3.048274,41.414150,0.266075
2.800000,28.990000,31.666667,3.064389,41.926490,0.271619
3.000000,29.170000,31.833333,3.081935,41.841100,0.254989
2.700000,29.370000,32.000000,3.105358,41.414150,0.269771
3.000000,29.430000,32.166667,3.112512,42.011880,0.266075
3.100000,29.670000,32.333333,3.128687,42.182660,0.266075
2.700000,29.810000,32.500000,3.145222,42.780390,0.267923
3.000000,29.970000,32.666667,3.160232,42.268050,0.267923
3.000000,30.150000,32.833333,3.176211,42.097270,0.264228
2.700000,30.110000,33.000000,3.194754,42.524220,0.267923
2.900000,30.450000,33.166667,3.209038,42.182660,0.266075
3.000000,30.850000,33.333333,3.226243,42.353440,0.269771
3.100000,30.710000,33.500000,3.240750,41.499540,0.269771
3.000000,30.890000,33.666667,3.256114,41.670320,0.273466
2.700000,31.030000,33.833333,3.272151,41.157980,0.266075
2.800000,31.270000,34.000000,3.288211,40.987200,0.266075
2.800000,31.350000,34.166667,3.304226,40.987200,0.266075
2.900000,31.510000,34.333333,3.320272,40.816420,0.267923
3.100000,31.610000,34.500000,3.338170,40.987200,0.267923
3.100000,31.730000,34.666667,3.352268,40.731030,0.279010
2.900000,31.950000,34.833333,3.368662,40.560250,0.279010
3.100000,32.130000,35.000000,3.384808,40.218690,0.242055
2.900000,32.270000,35.166667,3.416901,41.926490,0.254989
2.900000,32.170000,35.333333,3.424114,41.755710,0.256837
2.700000,32.370000,35.500000,3.439224,41.328760,0.304878
2.700000,32.690000,35.666667,3.449140,41.584930,0.267923
2.900000,32.850000,35.833333,3.464144,41.755710,0.267923
2.800000,32.990000,36.000000,3.480154,41.926490,0.262380
3.000000,33.150000,36.166667,3.496237,41.755710,0.269771
3.000000,33.090000,36.333333,3.512377,42.268050,0.267923
3.000000,33.470000,36.500000,3.528454,42.097270,0.269771
2.700000,33.630000,36.666667,3.544698,42.097270,0.271619
3.100000,33.770000,36.833333,3.560757,42.268050,0.267923
2.700000,33.870000,37.000000,3.576831,42.182660,0.280857
2.900000,34.110000,37.166667,3.593291,42.524220,0.275314
3.000000,34.270000,37.333333,3.611859,42.097270,0.269771
2.900000,34.350000,37.500000,3.624899,42.097270,0.262380
2.900000,34.950000,37.666667,3.642274,40.816420,0.269771
