# Date: 20201211
# Operator: RDP
# Notes: Old rig Y
# Tap_cm: 5.0
# Sample: 248F-11
# Fit of Tap:
#	Ic = 175 +/- 0.087 A
#	n = 63 +/- 2.2 
#	Vc = 5 uV
#	Vfloor = 1.54 +/- 0.011 uV
#	R = 0.00259 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.400000,0.630000,0.000000,0.030174,41.926490,0.243902
1.100000,0.230000,0.166667,0.040362,42.182660,0.266075
1.300000,0.310000,0.333333,0.056399,42.438830,0.266075
1.000000,0.610000,0.500000,0.081437,40.389470,0.277162
1.200000,0.710000,0.666667,0.090252,42.097270,0.266075
1.400000,0.770000,0.833333,0.104522,41.584930,0.271619
1.300000,0.970000,1.000000,0.120762,41.328760,0.267923
1.400000,1.070000,1.166667,0.137004,41.414150,0.267923
1.400000,1.250000,1.333333,0.153227,41.328760,0.266075
1.400000,1.450000,1.500000,0.168523,41.243370,0.271619
1.300000,2.110000,1.666667,0.186921,42.011880,0.273466
1.600000,1.790000,1.833333,0.200670,40.901810,0.267923
1.100000,1.930000,2.000000,0.217149,40.987200,0.293792
1.300000,2.070000,2.166667,0.237644,41.584930,0.269771
1.500000,1.770000,2.333333,0.249910,40.731030,0.264228
1.500000,2.390000,2.500000,0.265190,40.645640,0.267923
1.400000,2.470000,2.666667,0.280456,40.987200,0.267923
1.200000,2.670000,2.833333,0.296749,41.072590,0.264228
1.300000,2.850000,3.000000,0.312956,40.901810,0.264228
1.100000,2.910000,3.166667,0.329273,41.072590,0.267923
1.400000,3.030000,3.333333,0.344574,41.584930,0.266075
1.600000,3.190000,3.500000,0.360891,41.841100,0.264228
1.400000,3.270000,3.666667,0.379077,41.584930,0.262380
1.300000,3.510000,3.833333,0.392625,41.841100,0.269771
1.300000,3.570000,4.000000,0.408867,41.841100,0.273466
1.400000,3.810000,4.166667,0.425236,42.268050,0.267923
1.200000,4.090000,4.333333,0.441009,42.097270,0.264228
1.400000,4.150000,4.500000,0.457255,41.841100,0.271619
1.200000,4.370000,4.666667,0.482347,40.816420,0.303030
1.400000,4.390000,4.833333,0.490677,42.268050,0.264228
1.400000,4.590000,5.000000,0.504979,41.841100,0.284553
1.600000,4.930000,5.166667,0.522564,42.182660,0.266075
1.500000,4.950000,5.333333,0.537078,41.328760,0.269771
1.400000,5.070000,5.500000,0.552312,41.328760,0.266075
1.600000,5.210000,5.666667,0.568603,41.157980,0.267923
1.500000,5.430000,5.833333,0.585053,40.474860,0.267923
1.700000,5.590000,6.000000,0.600287,41.157980,0.267923
1.300000,5.650000,6.166667,0.616525,41.157980,0.271619
1.300000,5.830000,6.333333,0.632809,40.987200,0.273466
1.400000,6.070000,6.500000,0.648870,41.072590,0.271619
1.300000,6.270000,6.666667,0.665325,41.157980,0.269771
1.300000,6.290000,6.833333,0.681817,40.901810,0.277162
1.200000,6.410000,7.000000,0.697093,40.987200,0.269771
1.100000,6.590000,7.166667,0.712329,41.328760,0.269771
1.300000,6.750000,7.333333,0.728614,41.499540,0.266075
1.300000,6.870000,7.500000,0.744850,41.755710,0.264228
1.400000,7.050000,7.666667,0.761203,41.670320,0.266075
1.500000,7.230000,7.833333,0.782059,40.474860,0.269771
1.400000,7.350000,8.000000,0.793402,41.926490,0.277162
1.400000,7.490000,8.166667,0.808738,41.841100,0.266075
1.300000,7.670000,8.333333,0.829900,41.157980,0.279010
1.500000,7.790000,8.500000,0.840259,42.268050,0.267923
1.500000,7.970000,8.666667,0.857010,42.097270,0.266075
