# Date: 20201211
# Operator: RDP
# Notes: Old rig Y
# Tap_cm: 5.0
# Sample: 248F-15
# Fit of Tap:
#	Ic = 113 +/- 1.3 A
#	n = 50 +/- 1.2 
#	Vc = 5 uV
#	Vfloor = 0.725 +/- 2.1e+72 uV
#	R = 0.365 +/- 2e+61 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.300000,0.230000,0.000000,0.054687,42.097270,0.269771
1.100000,0.130000,0.166667,0.077418,41.157980,0.271619
1.300000,0.230000,0.333333,0.085455,41.670320,0.264228
1.200000,0.570000,0.500000,0.095539,40.474860,0.267923
1.100000,0.630000,0.666667,0.111564,40.304080,0.269771
1.100000,0.770000,0.833333,0.127617,40.901810,0.267923
1.300000,0.970000,1.000000,0.143889,41.072590,0.262380
1.000000,1.070000,1.166667,0.158959,41.670320,0.266075
1.000000,1.230000,1.333333,0.175879,41.670320,0.271619
1.300000,1.370000,1.500000,0.193105,41.499540,0.273466
1.200000,1.530000,1.666667,0.207419,41.841100,0.271619
1.200000,1.710000,1.833333,0.224714,41.926490,0.267923
1.300000,1.910000,2.000000,0.246268,40.816420,0.260532
1.000000,2.050000,2.166667,0.254917,42.268050,0.267923
0.900000,2.150000,2.333333,0.270989,42.097270,0.269771
0.900000,2.350000,2.500000,0.288076,43.805070,0.251293
1.000000,2.390000,2.666667,0.303459,42.268050,0.267923
1.100000,2.650000,2.833333,0.320587,42.524220,0.304878
1.000000,2.710000,3.000000,0.335773,41.670320,0.264228
1.300000,2.870000,3.166667,0.350809,41.328760,0.267923
0.900000,3.030000,3.333333,0.366847,41.243370,0.271619
1.100000,3.230000,3.500000,0.383007,41.157980,0.269771
1.000000,3.390000,3.666667,0.399182,39.877130,0.266075
0.900000,3.470000,3.833333,0.415327,41.157980,0.269771
1.200000,3.730000,4.000000,0.434554,41.499540,0.291944
1.200000,3.610000,4.166667,0.451534,41.499540,0.269771
1.000000,3.970000,4.333333,0.463545,40.474860,0.271619
0.800000,3.950000,4.500000,0.481712,40.389470,0.273466
1.200000,4.210000,4.666667,0.495566,40.987200,0.258684
0.900000,4.430000,4.833333,0.511608,40.389470,0.267923
1.000000,4.610000,5.000000,0.527565,40.816420,0.269771
1.300000,4.730000,5.166667,0.545018,40.901810,0.266075
1.100000,4.930000,5.333333,0.559594,41.414150,0.280857
0.900000,5.070000,5.500000,0.574843,41.841100,0.269771
1.400000,5.190000,5.666667,0.591799,42.011880,0.267923
1.200000,5.450000,5.833333,0.606985,41.670320,0.266075
1.300000,5.590000,6.000000,0.623115,42.268050,0.271619
1.300000,5.830000,6.166667,0.646237,40.816420,0.245750
1.200000,5.850000,6.333333,0.655113,41.926490,0.271619
1.000000,6.030000,6.500000,0.671113,42.353440,0.269771
0.900000,6.170000,6.666667,0.687091,42.097270,0.266075
1.300000,6.250000,6.833333,0.703207,42.097270,0.264228
1.300000,6.430000,7.000000,0.719308,41.841100,0.277162
1.000000,6.570000,7.166667,0.735462,41.926490,0.271619
1.000000,6.730000,7.333333,0.753709,41.841100,0.262380
1.100000,6.970000,7.500000,0.768047,41.670320,0.266075
1.100000,7.010000,7.666667,0.785058,41.755710,0.251293
1.100000,7.210000,7.833333,0.799127,41.243370,0.264228
1.000000,7.350000,8.000000,0.815173,40.987200,0.267923
1.000000,7.550000,8.166667,0.831313,40.901810,0.262380
1.100000,7.690000,8.333333,0.855220,42.524220,0.264228
1.200000,7.770000,8.500000,0.863121,40.560250,0.266075
0.800000,7.970000,8.666667,0.879120,40.731030,0.267923
1.200000,8.110000,8.833333,0.895482,40.816420,0.266075
0.900000,8.250000,9.000000,0.911548,40.987200,0.273466
1.200000,8.450000,9.166667,0.927912,40.987200,0.267923
1.100000,8.610000,9.333333,0.945173,40.731030,0.269771
1.200000,8.710000,9.500000,0.959416,41.670320,0.277162
1.000000,8.950000,9.666667,0.975884,41.841100,0.267923
1.000000,9.010000,9.833333,0.991135,42.182660,0.269771
1.000000,9.270000,10.000000,1.007423,41.841100,0.266075
1.100000,9.390000,10.166667,1.023754,42.011880,0.271619
1.000000,9.610000,10.333333,1.045066,40.901810,0.266075
1.200000,9.650000,10.500000,1.055066,42.182660,0.267923
1.100000,9.890000,10.666667,1.075727,42.268050,0.264228
1.100000,9.990000,10.833333,1.087428,42.011880,0.264228
1.000000,10.110000,11.000000,1.103699,42.182660,0.267923
1.200000,10.250000,11.166667,1.119953,42.438830,0.260532
1.200000,10.390000,11.333333,1.135238,41.926490,0.267923
1.100000,10.610000,11.500000,1.153536,42.182660,0.266075
1.200000,10.750000,11.666667,1.167261,41.414150,0.267923
1.000000,11.050000,11.833333,1.185558,41.926490,0.234664
1.100000,11.030000,12.000000,1.199905,41.499540,0.264228
1.100000,11.170000,12.166667,1.215603,41.072590,0.284553
1.400000,11.310000,12.333333,1.231955,41.584930,0.240207
1.000000,11.510000,12.500000,1.246967,40.901810,0.273466
1.200000,11.550000,12.666667,1.263376,40.731030,0.273466
1.200000,11.770000,12.833333,1.279745,40.987200,0.264228
1.200000,11.930000,13.000000,1.295007,40.987200,0.269771
1.100000,12.150000,13.166667,1.311350,41.072590,0.269771
1.100000,12.290000,13.333333,1.327933,41.157980,0.279010
1.100000,12.450000,13.500000,1.344041,41.414150,0.277162
1.100000,12.650000,13.666667,1.359332,41.584930,0.245750
1.100000,12.690000,13.833333,1.376403,41.414150,0.273466
0.900000,12.870000,14.000000,1.391427,41.670320,0.267923
1.100000,13.010000,14.166667,1.407419,41.841100,0.269771
1.200000,13.070000,14.333333,1.423477,41.755710,0.269771
1.200000,13.330000,14.500000,1.453223,42.182660,0.267923
1.000000,13.450000,14.666667,1.460024,41.243370,0.266075
0.900000,13.710000,14.833333,1.471303,42.438830,0.280857
1.100000,13.810000,15.000000,1.487976,42.182660,0.266075
1.000000,13.870000,15.166667,1.503160,42.182660,0.271619
0.900000,14.190000,15.333333,1.522477,42.182660,0.266075
1.200000,14.250000,15.500000,1.538672,42.353440,0.269771
1.400000,14.530000,15.666667,1.551386,41.841100,0.273466
1.200000,14.530000,15.833333,1.567401,41.499540,0.275314
1.000000,14.750000,16.000000,1.583526,41.328760,0.266075
1.200000,14.830000,16.166667,1.599528,41.670320,0.267923
0.900000,15.050000,16.333333,1.615689,41.157980,0.266075
1.100000,15.230000,16.500000,1.632557,40.987200,0.280857
1.100000,15.290000,16.666667,1.647215,40.816420,0.267923
1.200000,15.490000,16.833333,1.663380,40.987200,0.266075
0.900000,15.410000,17.000000,1.681095,41.926490,0.267923
1.100000,15.790000,17.166667,1.695142,40.987200,0.269771
1.000000,16.030000,17.333333,1.711148,41.157980,0.273466
0.900000,16.130000,17.500000,1.727133,41.243370,0.266075
1.300000,16.330000,17.666667,1.746993,40.987200,0.258684
0.800000,16.410000,17.833333,1.759508,41.584930,0.275314
0.800000,16.470000,18.000000,1.775646,41.755710,0.264228
0.900000,16.790000,18.166667,1.794823,40.901810,0.266075
0.800000,16.890000,18.333333,1.806901,42.097270,0.273466
1.200000,17.110000,18.500000,1.823268,42.524220,0.269771
0.900000,17.230000,18.666667,1.849108,41.328760,0.273466
1.400000,17.350000,18.833333,1.855773,42.353440,0.267923
0.900000,17.490000,19.000000,1.870733,42.780390,0.267923
1.100000,17.690000,19.166667,1.887711,42.268050,0.269771
1.000000,17.710000,19.333333,1.903782,42.353440,0.266075
1.100000,17.990000,19.500000,1.918761,41.755710,0.267923
1.100000,18.090000,19.666667,1.934829,41.670320,0.269771
1.200000,18.250000,19.833333,1.951879,41.755710,0.271619
0.700000,18.430000,20.000000,1.966873,41.328760,0.266075
1.000000,18.590000,20.166667,1.985046,41.499540,0.267923
1.000000,18.630000,20.333333,1.999549,41.157980,0.269771
1.300000,18.870000,20.500000,2.015526,40.987200,0.266075
1.300000,19.030000,20.666667,2.031667,40.560250,0.273466
1.100000,19.250000,20.833333,2.055105,42.182660,0.266075
0.900000,19.310000,21.000000,2.066324,41.157980,0.264228
1.300000,19.450000,21.166667,2.079566,41.328760,0.271619
1.300000,19.430000,21.333333,2.096938,41.414150,0.249446
1.100000,19.750000,21.500000,2.111021,41.670320,0.266075
1.000000,19.990000,21.666667,2.128960,40.816420,0.264228
0.900000,20.130000,21.833333,2.146261,40.901810,0.266075
0.900000,20.270000,22.000000,2.163031,40.816420,0.267923
0.900000,20.370000,22.166667,2.177537,41.157980,0.266075
1.200000,20.470000,22.333333,2.192490,41.670320,0.266075
1.000000,20.730000,22.500000,2.208375,42.011880,0.269771
1.000000,20.770000,22.666667,2.224157,42.011880,0.267923
1.200000,21.050000,22.833333,2.242211,41.584930,0.267923
1.100000,21.210000,23.000000,2.255653,42.268050,0.262380
1.000000,21.370000,23.166667,2.271674,42.438830,0.262380
1.000000,21.490000,23.333333,2.287711,42.182660,0.271619
1.000000,21.570000,23.500000,2.307691,41.755710,0.279010
1.200000,21.730000,23.666667,2.319882,42.011880,0.267923
1.200000,22.050000,23.833333,2.343430,41.755710,0.247598
1.000000,22.090000,24.000000,2.360257,42.011880,0.258684
1.100000,22.190000,24.166667,2.367403,41.499540,0.267923
1.000000,22.310000,24.333333,2.383460,41.414150,0.267923
1.200000,22.550000,24.500000,2.399415,41.157980,0.271619
1.100000,22.590000,24.666667,2.415556,41.243370,0.267923
1.100000,22.790000,24.833333,2.431539,40.987200,0.271619
1.100000,22.970000,25.000000,2.447490,40.731030,0.267923
1.400000,23.110000,25.166667,2.463703,40.645640,0.275314
1.000000,23.290000,25.333333,2.479838,40.901810,0.267923
1.000000,23.410000,25.500000,2.500560,40.901810,0.258684
1.300000,23.570000,25.666667,2.511511,40.645640,0.267923
1.000000,23.770000,25.833333,2.527488,40.560250,0.267923
0.800000,23.890000,26.000000,2.543685,41.328760,0.266075
1.000000,24.050000,26.166667,2.559757,41.499540,0.269771
0.900000,24.150000,26.333333,2.574776,41.841100,0.273466
1.300000,24.350000,26.500000,2.590766,42.097270,0.271619
1.300000,24.390000,26.666667,2.608126,41.841100,0.271619
