# Date: 20200925
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: NS-103
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.330000,0.000000,0.059765,21.431373,247.544885
1.400000,0.350000,0.166667,0.095144,21.456328,249.174056
1.400000,0.430000,0.333333,0.106271,21.459893,244.350882
1.400000,0.710000,0.500000,0.137869,21.454545,257.659612
1.300000,0.870000,0.666667,0.169571,21.456328,254.195574
1.500000,1.130000,0.833333,0.202188,21.456328,255.915633
1.400000,1.310000,1.000000,0.234396,21.456328,287.071330
1.200000,1.530000,1.166667,0.265959,21.456328,264.885052
1.400000,1.650000,1.333333,0.298056,21.454545,270.581565
1.500000,1.850000,1.500000,0.330245,21.452763,274.520239
1.200000,2.010000,1.666667,0.362012,21.456328,259.428015
1.400000,2.270000,1.833333,0.393806,21.456328,242.785204
1.500000,2.430000,2.000000,0.425978,21.459893,263.040192
1.300000,2.670000,2.166667,0.457984,21.450980,257.659612
1.600000,2.810000,2.333333,0.489957,21.456328,263.040192
1.400000,3.010000,2.500000,0.521902,21.458111,250.825257
1.200000,3.170000,2.666667,0.553863,21.456328,249.174056
1.300000,3.450000,2.833333,0.585867,21.458111,252.498941
1.200000,3.550000,3.000000,0.617924,21.454545,257.659612
1.300000,3.810000,3.166667,0.658391,21.456328,230.959832
1.300000,3.850000,3.333333,0.682007,21.452763,264.885052
1.200000,4.110000,3.500000,0.713865,21.450980,247.544885
1.200000,4.370000,3.666667,0.745897,21.456328,254.195574
1.400000,4.470000,3.833333,0.777911,21.454545,252.498941
1.400000,4.730000,4.000000,0.811890,21.436720,247.544885
1.100000,4.830000,4.166667,0.844177,21.434938,250.825257
1.300000,5.010000,4.333333,0.876371,21.431373,247.544885
1.400000,5.270000,4.500000,0.908459,21.429590,242.785204
1.300000,5.410000,4.666667,0.940307,21.429590,247.544885
