# Date: 20200925
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: NS-104
# Fit of Tap:
#	Ic = 145 +/- 0.045 A
#	n = 28.2 +/- 0.21 
#	Vc = 5 uV
#	Vfloor = 1.47 +/- 0.018 uV
#	R = 0.0001 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.290000,0.000000,0.058954,21.458111,250.825257
1.100000,0.370000,0.166667,0.083136,21.452763,254.195574
1.200000,0.490000,0.333333,0.109299,21.450980,245.937304
1.400000,0.750000,0.500000,0.142560,21.420677,250.825257
1.300000,0.890000,0.666667,0.175079,21.420677,252.498941
1.400000,1.130000,0.833333,0.215606,21.426025,252.498941
1.200000,1.230000,1.000000,0.239345,21.422460,252.498941
1.200000,1.450000,1.166667,0.270857,21.420677,252.498941
1.100000,1.590000,1.333333,0.307613,21.420677,249.174056
1.400000,1.790000,1.500000,0.335324,21.418895,252.498941
1.300000,2.010000,1.666667,0.366961,21.427807,247.544885
1.200000,2.290000,1.833333,0.403224,21.427807,255.915633
1.200000,2.410000,2.000000,0.430961,21.418895,239.714457
1.400000,2.590000,2.166667,0.462514,21.420677,245.937304
1.300000,2.770000,2.333333,0.495021,21.418895,242.785204
1.500000,3.030000,2.500000,0.526562,21.426025,245.937304
1.200000,3.190000,2.666667,0.559131,21.427807,254.195574
1.100000,3.390000,2.833333,0.590937,21.427807,245.937304
1.200000,3.570000,3.000000,0.626295,21.426025,249.174056
1.600000,3.750000,3.166667,0.654654,21.433155,254.195574
1.200000,3.950000,3.333333,0.685260,21.449198,252.498941
1.300000,4.130000,3.500000,0.716898,21.452763,250.825257
1.500000,4.170000,3.666667,0.749490,21.449198,247.544885
1.400000,4.510000,3.833333,0.781049,21.449198,242.785204
1.400000,4.690000,4.000000,0.813261,21.450980,244.350882
1.300000,4.890000,4.166667,0.845380,21.474153,250.825257
1.300000,5.130000,4.333333,0.877300,21.456328,245.937304
1.500000,5.290000,4.500000,0.909431,21.456328,247.544885
1.400000,5.450000,4.666667,0.941059,21.456328,252.498941
1.300000,5.690000,4.833333,0.972616,21.452763,252.498941
1.100000,5.810000,5.000000,1.005327,21.456328,255.915633
1.300000,6.010000,5.166667,1.037473,21.459893,250.825257
1.500000,6.230000,5.333333,1.069213,21.456328,255.915633
1.400000,6.450000,5.500000,1.101165,21.450980,250.825257
1.400000,6.690000,5.666667,1.133151,21.456328,247.544885
1.300000,6.810000,5.833333,1.165200,21.454545,249.174056
1.100000,7.030000,6.000000,1.206654,21.454545,249.174056
