# Date: 20200930
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: NS-110
# Fit of Tap:
#	Ic = 148 +/- 0.044 A
#	n = 28.3 +/- 0.22 
#	Vc = 5 uV
#	Vfloor = 1.27 +/- 0.018 uV
#	R = 0.0001 +/- 6.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.330000,0.000000,0.067312,20.707665,244.350882
1.300000,0.410000,0.166667,0.089833,20.670232,249.174056
1.500000,0.490000,0.333333,0.105031,20.709447,247.544885
1.300000,0.710000,0.500000,0.137043,20.711230,247.544885
1.200000,0.910000,0.666667,0.169053,20.707665,252.498941
1.300000,1.110000,0.833333,0.204776,20.702317,247.544885
1.200000,1.290000,1.000000,0.234322,20.709447,247.544885
1.300000,1.470000,1.166667,0.266658,20.711230,250.825257
1.400000,1.610000,1.333333,0.298683,20.704100,250.825257
1.200000,1.870000,1.500000,0.330548,20.705882,252.498941
1.200000,2.030000,1.666667,0.360786,20.711230,245.937304
1.300000,2.230000,1.833333,0.394391,20.713012,254.195574
1.300000,2.390000,2.000000,0.424837,20.704100,250.825257
1.200000,2.590000,2.166667,0.456449,20.711230,249.174056
1.300000,2.810000,2.333333,0.489009,20.707665,247.544885
1.400000,3.030000,2.500000,0.520874,20.711230,245.937304
1.300000,3.150000,2.666667,0.552660,20.705882,247.544885
1.400000,3.350000,2.833333,0.589871,20.707665,252.498941
1.300000,3.550000,3.000000,0.616494,20.707665,249.174056
1.400000,3.770000,3.166667,0.649062,20.707665,245.937304
1.500000,3.950000,3.333333,0.680634,20.698752,247.544885
1.000000,4.090000,3.500000,0.712203,20.704100,255.915633
1.500000,4.330000,3.666667,0.744756,20.707665,254.195574
1.500000,4.510000,3.833333,0.786817,20.705882,250.825257
1.300000,4.670000,4.000000,0.810409,20.707665,259.428015
1.200000,4.890000,4.166667,0.842052,20.707665,250.825257
1.500000,5.010000,4.333333,0.874732,20.707665,249.174056
1.200000,5.210000,4.500000,0.906562,20.705882,250.825257
1.400000,5.430000,4.666667,0.938233,20.705882,247.544885
1.100000,5.630000,4.833333,0.971017,20.713012,249.174056
1.300000,5.910000,5.000000,1.002626,20.707665,245.937304
1.200000,6.030000,5.166667,1.034487,20.707665,245.937304
1.400000,6.210000,5.333333,1.066102,20.704100,252.498941
1.400000,6.430000,5.500000,1.098952,20.705882,249.174056
1.300000,6.650000,5.666667,1.131016,20.705882,247.544885
1.400000,6.830000,5.833333,1.162747,20.705882,252.498941
1.400000,7.050000,6.000000,1.202522,20.705882,247.544885
1.300000,7.170000,6.166667,1.226347,20.713012,254.195574
1.400000,7.370000,6.333333,1.258942,20.704100,250.825257
1.500000,7.570000,6.500000,1.290852,20.709447,252.498941
1.400000,7.750000,6.666667,1.322483,20.709447,245.937304
1.000000,7.930000,6.833333,1.354103,20.705882,242.785204
1.300000,8.110000,7.000000,1.386942,20.709447,247.544885
1.300000,8.370000,7.166667,1.418577,20.704100,242.785204
1.400000,8.530000,7.333333,1.450224,20.709447,252.498941
1.400000,8.710000,7.500000,1.491285,20.702317,245.937304
1.300000,8.870000,7.666667,1.514888,20.709447,247.544885
1.300000,9.090000,7.833333,1.546728,20.707665,255.915633
1.400000,9.310000,8.000000,1.586442,20.709447,255.915633
1.300000,9.430000,8.166667,1.610231,20.711230,254.195574
1.200000,9.690000,8.333333,1.642906,20.711230,252.498941
1.200000,9.870000,8.500000,1.674460,20.707665,249.174056
1.300000,10.050000,8.666667,1.706012,20.707665,245.937304
1.400000,10.250000,8.833333,1.738530,20.696970,242.785204
1.500000,10.430000,9.000000,1.770139,20.704100,244.350882
1.100000,10.530000,9.166667,1.805324,20.702317,249.174056
1.600000,10.750000,9.333333,1.834162,20.711230,247.544885
1.400000,11.010000,9.500000,1.866733,20.698752,249.174056
1.200000,11.210000,9.666667,1.898289,20.707665,247.544885
1.300000,11.310000,9.833333,1.930916,20.711230,252.498941
1.500000,11.650000,10.000000,1.962461,20.707665,250.825257
1.200000,11.770000,10.166667,1.994295,20.707665,255.915633
1.300000,11.930000,10.333333,2.028035,20.711230,257.659612
1.400000,12.170000,10.500000,2.058813,20.709447,254.195574
1.600000,12.370000,10.666667,2.091107,20.714795,250.825257
1.300000,12.490000,10.833333,2.122610,20.707665,245.937304
1.400000,12.710000,11.000000,2.154602,20.709447,249.174056
1.400000,12.930000,11.166667,2.186513,20.707665,244.350882
1.400000,13.090000,11.333333,2.218156,20.709447,247.544885
1.300000,13.330000,11.500000,2.250847,20.705882,244.350882
1.200000,13.510000,11.666667,2.282642,20.707665,249.174056
1.300000,13.690000,11.833333,2.314375,20.707665,250.825257
1.500000,13.870000,12.000000,2.346004,20.700535,255.915633
1.400000,13.990000,12.166667,2.403062,20.709447,245.937304
1.300000,14.190000,12.333333,2.411892,20.713012,254.195574
1.000000,14.430000,12.500000,2.442377,20.707665,252.498941
1.300000,14.630000,12.666667,2.474986,20.702317,250.825257
1.400000,14.810000,12.833333,2.506470,20.702317,247.544885
1.400000,15.050000,13.000000,2.538173,20.714795,247.544885
1.300000,15.230000,13.166667,2.570904,20.700535,247.544885
1.400000,15.450000,13.333333,2.603069,20.707665,245.937304
1.300000,15.610000,13.500000,2.635049,20.707665,247.544885
1.400000,15.810000,13.666667,2.666727,20.714795,254.195574
1.400000,15.970000,13.833333,2.698962,20.707665,249.174056
1.300000,16.130000,14.000000,2.730591,20.705882,257.659612
1.400000,16.350000,14.166667,2.762128,20.711230,257.659612
1.400000,16.550000,14.333333,2.794354,20.709447,252.498941
1.100000,16.770000,14.500000,2.825972,20.705882,254.195574
1.300000,16.930000,14.666667,2.858547,20.705882,247.544885
1.500000,17.130000,14.833333,2.890129,20.713012,249.174056
1.300000,17.330000,15.000000,2.922672,20.702317,250.825257
1.300000,17.470000,15.166667,2.954236,20.704100,247.544885
1.500000,17.630000,15.333333,3.003104,20.707665,247.544885
1.200000,17.830000,15.500000,3.018016,20.705882,249.174056
1.300000,18.130000,15.666667,3.050943,20.709447,247.544885
1.300000,18.250000,15.833333,3.082558,20.707665,250.825257
1.300000,18.430000,16.000000,3.114123,20.707665,249.174056
1.200000,18.610000,16.166667,3.146663,20.702317,254.195574
1.500000,18.930000,16.333333,3.186790,20.714795,245.937304
1.500000,19.010000,16.500000,3.210382,20.705882,252.498941
1.300000,19.270000,16.666667,3.241987,20.705882,254.195574
1.300000,19.450000,16.833333,3.274484,20.707665,249.174056
1.400000,19.670000,17.000000,3.306607,20.709447,250.825257
1.500000,19.870000,17.166667,3.338164,20.713012,247.544885
1.400000,20.030000,17.333333,3.370720,20.711230,249.174056
1.600000,20.230000,17.500000,3.402902,20.707665,247.544885
1.300000,20.370000,17.666667,3.434558,20.705882,244.350882
1.200000,20.570000,17.833333,3.466080,20.707665,250.825257
1.400000,20.730000,18.000000,3.498590,20.713012,247.544885
1.100000,20.970000,18.166667,3.530704,20.709447,249.174056
1.500000,21.130000,18.333333,3.562358,20.705882,255.915633
1.300000,21.330000,18.500000,3.603631,20.693405,245.937304
1.500000,21.510000,18.666667,3.626469,20.711230,252.498941
1.200000,21.710000,18.833333,3.658065,20.705882,252.498941
1.500000,21.950000,19.000000,3.690590,20.711230,249.174056
1.600000,22.110000,19.166667,3.722147,20.707665,249.174056
1.400000,22.270000,19.333333,3.754682,20.707665,244.350882
1.400000,22.510000,19.500000,3.788203,20.709447,244.350882
1.400000,22.710000,19.666667,3.818964,20.707665,245.937304
