# Date: 20201023
# Operator: DCC
# Notes: 248F-3. test on new rig
# Tap_cm: 5.0
# Sample: 248F-3
# Fit of Tap:
#	Ic = 173 +/- 0.026 A
#	n = 33.9 +/- 0.35 
#	Vc = 5 uV
#	Vfloor = 1.02 +/- 0.008 uV
#	R = 0.000409 +/- 9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.000000,0.330000,0.000000,0.086601,21.452763,250.825257
0.800000,0.350000,0.083333,0.110802,21.468806,245.937304
0.700000,0.270000,0.166667,0.117598,21.470588,257.659612
0.800000,0.410000,0.250000,0.129525,21.468806,242.785204
0.800000,0.490000,0.333333,0.144880,21.468806,245.937304
0.900000,0.610000,0.416667,0.161372,21.468806,242.785204
0.800000,0.750000,0.500000,0.177369,21.467023,245.937304
0.800000,0.850000,0.583333,0.193673,21.470588,244.350882
0.900000,0.890000,0.666667,0.209006,21.468806,247.544885
1.100000,0.950000,0.750000,0.225410,21.468806,247.544885
0.800000,1.070000,0.833333,0.241416,21.468806,247.544885
0.800000,1.270000,0.916667,0.257340,21.463458,249.174056
0.800000,1.250000,1.000000,0.273309,21.467023,249.174056
0.700000,1.390000,1.083333,0.288889,21.468806,254.195574
0.600000,1.450000,1.166667,0.305507,21.468806,252.498941
0.800000,1.570000,1.250000,0.321059,21.472371,255.915633
0.800000,1.650000,1.333333,0.336633,21.470588,252.498941
0.800000,1.750000,1.416667,0.353197,21.472371,257.659612
1.000000,1.810000,1.500000,0.368739,21.467023,254.195574
0.800000,1.910000,1.583333,0.385297,21.468806,254.195574
0.900000,1.970000,1.666667,0.400967,21.465241,255.915633
0.900000,2.090000,1.750000,0.417546,21.468806,252.498941
0.900000,2.210000,1.833333,0.433079,21.467023,247.544885
1.100000,2.270000,1.916667,0.448666,21.470588,249.174056
1.100000,2.450000,2.000000,0.465207,21.468806,247.544885
1.000000,2.490000,2.083333,0.488109,21.468806,254.195574
0.900000,2.570000,2.166667,0.497474,21.468806,247.544885
0.900000,2.630000,2.250000,0.512705,21.468806,245.937304
1.000000,2.750000,2.333333,0.529270,21.465241,247.544885
0.900000,2.850000,2.416667,0.544847,21.467023,244.350882
0.800000,2.950000,2.500000,0.561398,21.468806,244.350882
0.800000,3.030000,2.583333,0.577144,21.467023,247.544885
1.100000,3.190000,2.666667,0.592998,21.467023,245.937304
1.000000,3.230000,2.750000,0.608645,21.467023,245.937304
1.000000,3.350000,2.833333,0.625199,21.470588,249.174056
0.800000,3.450000,2.916667,0.640748,21.463458,250.825257
1.000000,3.510000,3.000000,0.657284,21.468806,250.825257
0.900000,3.630000,3.083333,0.672822,21.468806,247.544885
0.800000,3.710000,3.166667,0.689380,21.468806,249.174056
0.700000,3.790000,3.250000,0.704908,21.472371,249.174056
0.700000,3.850000,3.333333,0.721450,21.468806,249.174056
0.800000,4.010000,3.416667,0.737142,21.468806,250.825257
0.800000,4.110000,3.500000,0.753366,21.468806,249.174056
0.800000,4.210000,3.583333,0.769319,21.468806,254.195574
1.100000,3.970000,3.666667,0.797893,21.468806,249.174056
0.800000,3.990000,3.750000,0.806039,21.438503,252.498941
1.000000,4.430000,3.833333,0.819247,21.433155,250.825257
1.000000,4.530000,3.916667,0.834624,21.434938,250.825257
0.900000,4.690000,4.000000,0.850588,21.433155,254.195574
0.800000,4.850000,4.083333,0.867567,21.434938,255.915633
1.000000,4.850000,4.166667,0.883559,21.433155,249.174056
0.900000,4.950000,4.250000,0.899483,21.436720,249.174056
0.900000,5.030000,4.333333,0.913302,21.470588,245.937304
0.900000,5.190000,4.416667,0.928853,21.467023,245.937304
0.900000,5.310000,4.500000,0.945447,21.467023,230.959832
1.000000,5.390000,4.583333,0.961216,21.467023,245.937304
1.100000,5.470000,4.666667,0.977356,21.511586,242.785204
0.600000,5.530000,4.750000,0.993584,21.467023,245.937304
1.000000,5.590000,4.833333,1.009456,21.467023,247.544885
1.000000,5.670000,4.916667,1.025319,21.468806,250.825257
1.200000,5.810000,5.000000,1.040935,21.470588,250.825257
1.000000,6.010000,5.083333,1.057510,21.468806,245.937304
0.700000,6.010000,5.166667,1.073094,21.468806,249.174056
0.900000,6.110000,5.250000,1.090420,21.468806,242.785204
1.000000,6.230000,5.333333,1.105637,21.470588,250.825257
0.900000,6.290000,5.416667,1.121204,21.470588,252.498941
1.100000,6.390000,5.500000,1.136745,21.468806,247.544885
1.100000,6.470000,5.583333,1.153296,21.467023,252.498941
0.900000,6.590000,5.666667,1.168827,21.468806,250.825257
1.000000,6.690000,5.750000,1.185798,21.467023,254.195574
0.800000,6.770000,5.833333,1.201448,21.468806,250.825257
0.900000,6.890000,5.916667,1.217042,21.468806,252.498941
1.100000,6.950000,6.000000,1.232655,21.467023,250.825257
0.800000,7.090000,6.083333,1.249284,21.467023,249.174056
0.900000,7.110000,6.166667,1.264866,21.467023,250.825257
0.700000,7.270000,6.250000,1.281432,21.467023,250.825257
0.900000,7.350000,6.333333,1.297020,21.467023,247.544885
1.000000,7.430000,6.416667,1.312577,21.465241,247.544885
0.800000,7.530000,6.500000,1.329114,21.468806,247.544885
0.900000,7.650000,6.583333,1.344700,21.468806,250.825257
0.600000,7.750000,6.666667,1.361239,21.468806,245.937304
0.800000,7.810000,6.750000,1.376818,21.468806,249.174056
1.100000,7.710000,6.833333,1.399421,21.468806,249.174056
1.000000,8.050000,6.916667,1.409184,21.468806,242.785204
1.000000,8.110000,7.000000,1.424761,21.467023,247.544885
0.900000,8.210000,7.083333,1.441324,21.467023,247.544885
1.200000,8.350000,7.166667,1.456927,21.467023,250.825257
0.900000,8.410000,7.250000,1.473495,21.467023,249.174056
1.000000,8.550000,7.333333,1.489175,21.467023,250.825257
0.900000,8.610000,7.416667,1.504856,21.468806,252.498941
1.000000,8.710000,7.500000,1.521433,21.474153,250.825257
0.900000,8.790000,7.583333,1.537074,21.468806,252.498941
1.000000,8.870000,7.666667,1.552666,21.470588,252.498941
0.900000,9.230000,7.750000,1.569271,21.504456,252.498941
1.000000,9.070000,7.833333,1.586463,21.468806,250.825257
0.900000,9.190000,7.916667,1.601089,21.470588,252.498941
1.000000,9.190000,8.000000,1.618368,21.438503,249.174056
0.700000,9.330000,8.083333,1.635007,21.438503,249.174056
0.800000,9.470000,8.166667,1.650546,21.434938,249.174056
0.900000,9.510000,8.250000,1.667132,21.433155,254.195574
0.800000,9.610000,8.333333,1.692201,21.434938,242.785204
0.900000,9.730000,8.416667,1.705267,21.434938,252.498941
1.100000,9.750000,8.500000,1.714172,21.445633,250.825257
1.200000,9.910000,8.583333,1.728793,21.467023,224.147360
1.100000,9.950000,8.666667,1.745540,21.467023,247.544885
0.800000,10.090000,8.750000,1.761164,21.468806,244.350882
1.200000,10.210000,8.833333,1.776769,21.465241,245.937304
0.900000,10.350000,8.916667,1.792867,21.470588,247.544885
1.000000,10.390000,9.000000,1.809508,21.467023,242.785204
0.800000,10.450000,9.083333,1.825087,21.465241,244.350882
1.000000,10.610000,9.166667,1.840649,21.470588,247.544885
0.900000,10.650000,9.250000,1.857186,21.467023,250.825257
0.900000,10.790000,9.333333,1.872744,21.468806,249.174056
0.800000,10.890000,9.416667,1.889275,21.470588,247.544885
0.700000,10.930000,9.500000,1.904845,21.468806,249.174056
1.000000,11.150000,9.583333,1.921380,21.468806,254.195574
0.900000,11.170000,9.666667,1.936904,21.468806,252.498941
