# Date: 20201023
# Operator: DCC
# Notes: 248F-3. test on new rig
# Tap_cm: 5.0
# Sample: 248F-3
# Fit of Tap:
#	Ic = 176 +/- 0.026 A
#	n = 33.4 +/- 0.25 
#	Vc = 5 uV
#	Vfloor = 1.78 +/- 0.0095 uV
#	R = 0.000924 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.600000,0.330000,0.000000,0.044387,21.502674,252.498941
1.500000,0.290000,0.083333,0.057493,21.470588,250.825257
1.600000,0.370000,0.166667,0.081233,21.470588,250.825257
1.500000,0.470000,0.250000,0.090489,21.468806,247.544885
1.500000,0.510000,0.333333,0.105603,21.468806,244.350882
1.700000,0.570000,0.416667,0.122193,21.467023,249.174056
1.600000,0.690000,0.500000,0.137779,21.468806,245.937304
1.800000,0.810000,0.583333,0.153353,21.468806,245.937304
1.900000,0.890000,0.666667,0.169961,21.472371,241.239861
1.700000,0.990000,0.750000,0.185587,21.468806,247.544885
1.300000,1.090000,0.833333,0.202168,21.467023,247.544885
1.700000,1.130000,0.916667,0.217738,21.467023,247.544885
1.600000,1.250000,1.000000,0.234229,21.468806,250.825257
1.700000,1.390000,1.083333,0.249814,21.468806,252.498941
1.400000,1.470000,1.166667,0.265352,21.468806,250.825257
1.400000,1.590000,1.250000,0.281899,21.468806,252.498941
1.500000,1.670000,1.333333,0.297446,21.467023,252.498941
1.700000,1.710000,1.416667,0.314362,21.468806,250.825257
1.600000,1.810000,1.500000,0.330060,21.467023,252.498941
1.600000,1.950000,1.583333,0.345646,21.468806,255.915633
1.600000,1.970000,1.666667,0.362221,21.468806,255.915633
1.500000,2.090000,1.750000,0.383487,21.467023,250.825257
1.800000,2.210000,1.833333,0.393634,21.468806,254.195574
1.600000,2.290000,1.916667,0.410224,21.467023,252.498941
1.500000,2.370000,2.000000,0.426076,21.467023,247.544885
1.500000,2.490000,2.083333,0.441952,21.467023,249.174056
1.400000,2.570000,2.166667,0.457602,21.467023,247.544885
1.600000,2.670000,2.250000,0.474179,21.467023,254.195574
1.600000,2.790000,2.333333,0.489733,21.468806,247.544885
1.600000,2.850000,2.416667,0.506262,21.467023,249.174056
1.800000,2.830000,2.500000,0.521951,21.467023,245.937304
1.400000,3.070000,2.583333,0.537658,21.468806,245.937304
1.500000,3.150000,2.666667,0.554204,21.467023,245.937304
1.800000,3.230000,2.750000,0.569963,21.467023,247.544885
1.500000,3.290000,2.833333,0.585585,21.468806,245.937304
1.600000,3.430000,2.916667,0.602180,21.470588,247.544885
1.600000,3.570000,3.000000,0.617757,21.472371,244.350882
1.700000,3.610000,3.083333,0.633307,21.470588,250.825257
1.800000,3.710000,3.166667,0.650155,21.467023,249.174056
1.700000,3.810000,3.250000,0.665747,21.468806,250.825257
1.500000,3.970000,3.333333,0.684139,21.468806,247.544885
1.400000,3.990000,3.416667,0.698259,21.470588,254.195574
1.700000,4.070000,3.500000,0.713823,21.470588,254.195574
1.500000,4.210000,3.583333,0.731140,21.434938,255.915633
1.700000,4.310000,3.666667,0.747665,21.436720,255.915633
1.500000,4.450000,3.750000,0.763334,21.434938,254.195574
1.600000,4.410000,3.833333,0.780051,21.436720,255.915633
1.600000,4.530000,3.916667,0.795630,21.436720,252.498941
1.600000,4.710000,4.000000,0.811129,21.433155,254.195574
1.600000,4.790000,4.083333,0.826976,21.443850,252.498941
1.700000,4.890000,4.166667,0.841627,21.468806,250.825257
1.500000,4.970000,4.250000,0.858552,21.470588,250.825257
1.500000,5.070000,4.333333,0.874176,21.470588,250.825257
1.500000,5.350000,4.416667,0.889942,21.497326,257.659612
1.700000,5.250000,4.500000,0.905646,21.467023,245.937304
1.900000,5.390000,4.583333,0.922220,21.468806,245.937304
1.600000,5.430000,4.666667,0.937791,21.468806,249.174056
1.600000,5.550000,4.750000,0.953345,21.463458,245.937304
1.600000,5.590000,4.833333,0.969938,21.470588,245.937304
1.500000,5.690000,4.916667,0.986199,21.468806,249.174056
1.500000,5.830000,5.000000,1.001416,21.470588,249.174056
1.900000,5.890000,5.083333,1.017993,21.468806,249.174056
1.600000,5.950000,5.166667,1.033541,21.468806,249.174056
1.900000,6.090000,5.250000,1.050088,21.467023,250.825257
1.700000,6.210000,5.333333,1.066382,21.467023,252.498941
1.600000,6.290000,5.416667,1.082056,21.470588,249.174056
1.500000,6.370000,5.500000,1.097679,21.468806,249.174056
1.600000,6.530000,5.583333,1.114256,21.468806,252.498941
1.500000,6.630000,5.666667,1.129796,21.467023,252.498941
1.800000,6.670000,5.750000,1.145335,21.470588,252.498941
1.700000,6.750000,5.833333,1.161890,21.470588,252.498941
1.700000,6.850000,5.916667,1.177466,21.467023,254.195574
1.700000,6.950000,6.000000,1.194042,21.467023,257.659612
1.600000,7.070000,6.083333,1.209605,21.467023,250.825257
1.700000,7.090000,6.166667,1.226155,21.467023,249.174056
1.500000,7.290000,6.250000,1.241698,21.468806,252.498941
1.700000,7.350000,6.333333,1.258246,21.468806,247.544885
1.700000,7.510000,6.416667,1.281257,21.468806,247.544885
1.800000,7.570000,6.500000,1.290167,21.468806,245.937304
1.900000,7.650000,6.583333,1.306285,21.467023,247.544885
1.400000,7.750000,6.666667,1.321966,21.467023,244.350882
1.700000,7.810000,6.750000,1.337611,21.470588,242.785204
1.600000,7.990000,6.833333,1.354198,21.468806,244.350882
1.600000,8.030000,6.916667,1.369755,21.468806,242.785204
1.800000,8.130000,7.000000,1.385313,21.470588,245.937304
1.700000,8.230000,7.083333,1.401867,21.468806,244.350882
1.700000,8.310000,7.166667,1.417426,21.479501,247.544885
1.700000,8.430000,7.250000,1.434027,21.468806,247.544885
1.700000,8.510000,7.333333,1.449591,21.468806,249.174056
1.700000,8.610000,7.416667,1.466172,21.467023,247.544885
1.600000,8.690000,7.500000,1.482173,21.468806,252.498941
1.500000,8.810000,7.583333,1.497757,21.468806,254.195574
1.400000,8.890000,7.666667,1.514303,21.474153,252.498941
1.700000,9.030000,7.750000,1.530129,21.467023,254.195574
1.700000,9.110000,7.833333,1.547823,21.434938,254.195574
