# Date: 20201023
# Operator: DCC
# Notes: 248F-6. 15 in/lb
# Tap_cm: 5.0
# Sample: 248F-6
# Fit of Tap:
#	Ic = 44 A
#	n = 50 
#	Vc = 5 uV
#	Vfloor = 1.93 uV
#	R = 8.32 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.800000,0.370000,0.000000,0.050732,21.468806,250.825257
0.800000,0.350000,0.083333,0.071319,21.472371,252.498941
0.800000,0.330000,0.166667,0.078650,21.472371,247.544885
0.600000,0.470000,0.250000,0.089736,21.470588,245.937304
0.800000,0.490000,0.333333,0.105750,21.470588,252.498941
0.700000,0.650000,0.416667,0.122734,21.470588,254.195574
0.600000,0.690000,0.500000,0.137731,21.472371,254.195574
0.600000,0.790000,0.583333,0.154726,21.465241,259.428015
1.000000,0.890000,0.666667,0.170725,21.465241,252.498941
0.700000,0.990000,0.750000,0.186750,21.470588,254.195574
0.800000,1.110000,0.833333,0.202701,21.468806,254.195574
1.000000,1.230000,0.916667,0.218704,21.470588,254.195574
0.700000,1.270000,1.000000,0.234413,21.467023,252.498941
0.600000,1.410000,1.083333,0.250478,21.468806,252.498941
0.900000,1.510000,1.166667,0.266476,21.468806,249.174056
0.800000,1.590000,1.250000,0.283686,21.470588,252.498941
0.900000,1.630000,1.333333,0.297982,21.470588,250.825257
0.500000,1.730000,1.416667,0.313825,21.468806,244.350882
0.900000,1.810000,1.500000,0.329757,21.470588,247.544885
0.800000,1.950000,1.583333,0.345747,21.470588,245.937304
0.800000,1.990000,1.666667,0.362729,21.468806,247.544885
0.800000,2.130000,1.750000,0.378708,21.468806,245.937304
0.700000,2.210000,1.833333,0.394713,21.468806,247.544885
0.900000,2.330000,1.916667,0.409767,21.468806,250.825257
1.100000,2.370000,2.000000,0.425746,21.468806,247.544885
0.900000,2.450000,2.083333,0.442334,21.468806,245.937304
0.800000,2.610000,2.166667,0.457813,21.470588,249.174056
0.700000,2.650000,2.250000,0.473857,21.468806,247.544885
0.800000,2.770000,2.333333,0.489874,21.468806,249.174056
