# Date: 20201023
# Operator: DCC
# Notes: 248F-6. 15 in/lb
# Tap_cm: 5.0
# Sample: 248F-6
# Fit of Tap:
#	Ic = 169 +/- 0.025 A
#	n = 30.1 +/- 0.19 
#	Vc = 5 uV
#	Vfloor = 1.18 +/- 0.0088 uV
#	R = 0.000161 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.270000,0.000000,0.039818,21.470588,249.174056
0.900000,0.330000,0.083333,0.061159,21.467023,250.825257
1.000000,0.350000,0.166667,0.076831,21.470588,252.498941
1.000000,0.450000,0.250000,0.093576,21.467023,252.498941
1.000000,0.530000,0.333333,0.109199,21.468806,250.825257
0.800000,0.590000,0.416667,0.126492,21.467023,254.195574
1.000000,0.710000,0.500000,0.140619,21.470588,247.544885
1.000000,0.770000,0.583333,0.157215,21.470588,254.195574
1.000000,0.830000,0.666667,0.172855,21.474153,252.498941
1.100000,0.990000,0.750000,0.189441,21.468806,254.195574
1.100000,1.070000,0.833333,0.205429,21.472371,252.498941
1.100000,1.190000,0.916667,0.221043,21.468806,250.825257
1.000000,1.250000,1.000000,0.236708,21.470588,254.195574
1.000000,1.370000,1.083333,0.253509,21.468806,252.498941
1.000000,1.470000,1.166667,0.269134,21.468806,250.825257
1.100000,1.590000,1.250000,0.284707,21.468806,245.937304
0.900000,1.630000,1.333333,0.301298,21.468806,245.937304
1.200000,1.710000,1.416667,0.316884,21.467023,250.825257
0.900000,1.590000,1.500000,0.333570,21.468806,247.544885
1.300000,1.950000,1.583333,0.349214,21.468806,245.937304
1.200000,1.930000,1.666667,0.364787,21.468806,245.937304
1.100000,2.090000,1.750000,0.381375,21.467023,252.498941
1.300000,2.170000,1.833333,0.396825,21.472371,249.174056
1.100000,2.270000,1.916667,0.413500,21.474153,247.544885
1.100000,2.370000,2.000000,0.429577,21.470588,250.825257
1.100000,2.410000,2.083333,0.444668,21.468806,252.498941
1.100000,2.630000,2.166667,0.461291,21.468806,249.174056
1.000000,2.630000,2.250000,0.476838,21.467023,252.498941
0.900000,2.810000,2.333333,0.493404,21.468806,252.498941
1.000000,2.870000,2.416667,0.508938,21.468806,252.498941
1.100000,2.930000,2.500000,0.524486,21.472371,255.915633
1.200000,3.090000,2.583333,0.541036,21.468806,254.195574
1.000000,3.170000,2.666667,0.556630,21.468806,254.195574
1.000000,3.230000,2.750000,0.573180,21.468806,254.195574
1.000000,3.310000,2.833333,0.589598,21.467023,249.174056
1.300000,3.410000,2.916667,0.605239,21.468806,252.498941
1.200000,3.550000,3.000000,0.620832,21.467023,233.804667
1.000000,3.650000,3.083333,0.637449,21.470588,249.174056
1.000000,3.730000,3.166667,0.653016,21.468806,250.825257
1.000000,3.810000,3.250000,0.668588,21.468806,247.544885
1.100000,3.930000,3.333333,0.685184,21.468806,247.544885
1.000000,4.090000,3.416667,0.701686,21.434938,242.785204
1.100000,4.090000,3.500000,0.718218,21.438503,244.350882
1.200000,4.250000,3.583333,0.742041,21.434938,252.498941
1.000000,4.250000,3.666667,0.751399,21.434938,245.937304
1.000000,4.350000,3.750000,0.767028,21.431373,244.350882
1.100000,4.470000,3.833333,0.787117,21.434938,245.937304
1.100000,4.530000,3.916667,0.798730,21.433155,236.721935
1.100000,4.690000,4.000000,0.813326,21.468806,249.174056
0.700000,4.810000,4.083333,0.828890,21.468806,250.825257
1.000000,4.930000,4.166667,0.845565,21.467023,250.825257
1.100000,4.990000,4.250000,0.861224,21.470588,247.544885
1.100000,5.050000,4.333333,0.876814,21.465241,252.498941
0.900000,5.190000,4.416667,0.893362,21.465241,257.659612
1.200000,5.290000,4.500000,0.908922,21.467023,254.195574
1.100000,5.390000,4.583333,0.924773,21.468806,252.498941
1.100000,5.490000,4.666667,0.941410,21.474153,250.825257
1.000000,5.530000,4.750000,0.956975,21.468806,252.498941
1.200000,5.590000,4.833333,0.973685,21.470588,259.428015
1.000000,5.690000,4.916667,0.989290,21.468806,255.915633
0.900000,5.830000,5.000000,1.004837,21.467023,249.174056
1.100000,5.910000,5.083333,1.027471,21.468806,249.174056
1.000000,5.950000,5.166667,1.037554,21.470588,247.544885
1.000000,6.110000,5.250000,1.053142,21.468806,252.498941
1.100000,6.170000,5.333333,1.068690,21.467023,250.825257
1.200000,6.250000,5.416667,1.085327,21.468806,247.544885
1.100000,6.390000,5.500000,1.101055,21.470588,245.937304
0.900000,6.510000,5.583333,1.116651,21.467023,245.937304
0.900000,6.610000,5.666667,1.133230,21.468806,247.544885
1.100000,6.650000,5.750000,1.153886,21.467023,249.174056
1.300000,6.690000,5.833333,1.164510,21.468806,245.937304
1.100000,6.910000,5.916667,1.181064,21.465241,244.350882
1.100000,6.910000,6.000000,1.196635,21.468806,247.544885
1.100000,7.090000,6.083333,1.213202,21.472371,250.825257
1.100000,7.090000,6.166667,1.228742,21.470588,249.174056
1.000000,7.290000,6.250000,1.246228,21.495544,250.825257
0.900000,7.350000,6.333333,1.260928,21.468806,250.825257
0.900000,7.410000,6.416667,1.276499,21.472371,249.174056
1.200000,7.590000,6.500000,1.293070,21.468806,249.174056
0.900000,7.630000,6.583333,1.308640,21.468806,254.195574
1.000000,7.750000,6.666667,1.326385,21.468806,250.825257
1.000000,7.750000,6.750000,1.344575,21.470588,252.498941
1.100000,7.930000,6.833333,1.357203,21.468806,255.915633
1.000000,8.030000,6.916667,1.372811,21.470588,247.544885
1.300000,8.110000,7.000000,1.389398,21.468806,254.195574
1.100000,8.210000,7.083333,1.404940,21.468806,252.498941
1.200000,8.290000,7.166667,1.420519,21.467023,252.498941
1.100000,8.450000,7.250000,1.437087,21.467023,249.174056
1.000000,8.510000,7.333333,1.452653,21.470588,249.174056
1.200000,8.650000,7.416667,1.469245,21.468806,252.498941
1.300000,8.730000,7.500000,1.484784,21.467023,245.937304
1.200000,8.770000,7.583333,1.501348,21.470588,249.174056
1.300000,8.870000,7.666667,1.518585,21.436720,247.544885
1.200000,8.950000,7.750000,1.542748,21.445633,252.498941
1.100000,8.990000,7.833333,1.551400,21.434938,245.937304
1.100000,9.130000,7.916667,1.566977,21.438503,244.350882
1.200000,9.270000,8.000000,1.582679,21.434938,254.195574
1.100000,9.330000,8.083333,1.598649,21.434938,247.544885
1.100000,9.470000,8.166667,1.614220,21.438503,226.822561
1.000000,9.510000,8.250000,1.630471,21.470588,245.937304
1.100000,9.610000,8.333333,1.644607,21.467023,249.174056
0.900000,9.770000,8.416667,1.661238,21.468806,250.825257
1.100000,9.830000,8.500000,1.676810,21.468806,250.825257
1.000000,9.890000,8.583333,1.693376,21.472371,249.174056
1.000000,9.970000,8.666667,1.708915,21.470588,255.915633
1.100000,10.150000,8.750000,1.724642,21.470588,252.498941
1.100000,10.230000,8.833333,1.741362,21.472371,250.825257
1.200000,10.270000,8.916667,1.756944,21.472371,254.195574
1.100000,10.350000,9.000000,1.772498,21.468806,252.498941
1.200000,10.490000,9.083333,1.789047,21.468806,254.195574
1.100000,10.630000,9.166667,1.804602,21.467023,252.498941
1.100000,10.670000,9.250000,1.821180,21.470588,250.825257
0.900000,10.750000,9.333333,1.836806,21.468806,245.937304
1.300000,10.830000,9.416667,1.853506,21.472371,250.825257
1.100000,11.010000,9.500000,1.869092,21.468806,245.937304
1.000000,11.050000,9.583333,1.884661,21.467023,247.544885
1.300000,11.210000,9.666667,1.901289,21.468806,244.350882
1.100000,11.310000,9.750000,1.917523,21.467023,245.937304
1.100000,11.410000,9.833333,1.939592,21.467023,254.195574
1.100000,11.410000,9.916667,1.949276,21.468806,249.174056
1.200000,11.550000,10.000000,1.964837,21.467023,247.544885
1.100000,11.690000,10.083333,1.981408,21.468806,242.785204
1.300000,11.810000,10.166667,1.996976,21.468806,249.174056
1.200000,11.830000,10.250000,2.012535,21.468806,250.825257
1.100000,11.990000,10.333333,2.029089,21.470588,247.544885
1.200000,12.090000,10.416667,2.044630,21.468806,252.498941
1.100000,12.150000,10.500000,2.061328,21.467023,225.476864
1.000000,12.290000,10.583333,2.077082,21.475936,252.498941
0.900000,12.350000,10.666667,2.092890,21.477718,255.915633
1.200000,12.410000,10.750000,2.108652,21.474153,255.915633
1.100000,12.530000,10.833333,2.125634,21.468806,252.498941
1.200000,12.670000,10.916667,2.141286,21.467023,252.498941
1.300000,12.750000,11.000000,2.156878,21.468806,254.195574
1.100000,12.850000,11.083333,2.173485,21.470588,250.825257
1.200000,12.870000,11.166667,2.189051,21.468806,254.195574
1.300000,13.010000,11.250000,2.204619,21.467023,252.498941
0.900000,13.130000,11.333333,2.226391,21.468806,255.915633
1.200000,13.190000,11.416667,2.237548,21.468806,249.174056
1.100000,13.250000,11.500000,2.253320,21.468806,250.825257
1.200000,13.350000,11.583333,2.268970,21.470588,252.498941
1.200000,13.430000,11.666667,2.284528,21.468806,247.544885
1.200000,13.530000,11.750000,2.301151,21.468806,247.544885
1.200000,13.610000,11.833333,2.316715,21.468806,247.544885
1.100000,14.030000,11.916667,2.336915,21.436720,249.174056
1.100000,13.810000,12.000000,2.350701,21.434938,247.544885
1.200000,13.930000,12.083333,2.366323,21.434938,245.937304
1.300000,14.010000,12.166667,2.382926,21.436720,242.785204
1.300000,14.190000,12.250000,2.398455,21.431373,247.544885
1.000000,14.350000,12.333333,2.415030,21.434938,242.785204
1.100000,14.290000,12.416667,2.429303,21.468806,252.498941
1.100000,14.370000,12.500000,2.444895,21.463458,250.825257
