# Date: 20201026
# Operator: DCC
# Notes: 248F-8 and 15 in/lb per nut
# Tap_cm: 5.0
# Sample: 248F-8
# Fit of Tap:
#	Ic = 18.2 +/- 3.4e+03 A
#	n = 155 +/- 4.6e+05 
#	Vc = 5 uV
#	Vfloor = 1.61 +/- 0.048 uV
#	R = 0.135 +/- 0.0092 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.250000,0.000000,0.027221,21.406417,252.498941
1.700000,0.350000,0.083333,0.042969,21.406417,250.825257
1.900000,0.390000,0.166667,0.059015,21.404635,252.498941
1.700000,0.390000,0.250000,0.074545,21.402852,238.208608
1.500000,0.510000,0.333333,0.089147,21.433155,250.825257
1.500000,0.590000,0.416667,0.104692,21.433155,249.174056
1.400000,0.670000,0.500000,0.121213,21.433155,247.544885
1.600000,0.770000,0.583333,0.136725,21.434938,252.498941
1.500000,0.890000,0.666667,0.153326,21.434938,245.937304
1.700000,1.010000,0.750000,0.169017,21.434938,247.544885
1.700000,1.110000,0.833333,0.185573,21.431373,247.544885
1.800000,1.230000,0.916667,0.203861,21.433155,247.544885
1.600000,1.250000,1.000000,0.216917,21.429590,241.239861
1.600000,1.350000,1.083333,0.233282,21.433155,239.714457
1.500000,1.470000,1.166667,0.248882,21.431373,244.350882
1.600000,1.570000,1.250000,0.265428,21.433155,244.350882
1.800000,1.650000,1.333333,0.281446,21.433155,245.937304
1.600000,1.690000,1.416667,0.297032,21.436720,244.350882
1.700000,1.790000,1.500000,0.313564,21.436720,249.174056
1.500000,1.870000,1.583333,0.329130,21.434938,245.937304
1.400000,1.990000,1.666667,0.344682,21.433155,252.498941
1.800000,2.110000,1.750000,0.361201,21.434938,247.544885
1.300000,2.230000,1.833333,0.376733,21.433155,254.195574
1.500000,2.270000,1.916667,0.393303,21.434938,250.825257
1.400000,2.370000,2.000000,0.408942,21.434938,252.498941
1.600000,2.530000,2.083333,0.425621,21.433155,252.498941
1.700000,2.570000,2.166667,0.441752,21.429590,250.825257
1.800000,2.650000,2.250000,0.457340,21.434938,247.544885
1.700000,2.730000,2.333333,0.472959,21.434938,254.195574
1.500000,2.850000,2.416667,0.489513,21.434938,249.174056
1.700000,2.950000,2.500000,0.505546,21.431373,254.195574
1.400000,3.090000,2.583333,0.521565,21.434938,249.174056
1.600000,3.110000,2.666667,0.537131,21.434938,247.544885
1.700000,3.210000,2.750000,0.552654,21.433155,247.544885
1.500000,3.390000,2.833333,0.569173,21.434938,247.544885
1.800000,3.430000,2.916667,0.584710,21.433155,247.544885
1.800000,3.510000,3.000000,0.601236,21.433155,242.785204
1.800000,3.630000,3.083333,0.616748,21.434938,244.350882
1.700000,3.750000,3.166667,0.633263,21.433155,244.350882
1.600000,3.810000,3.250000,0.649256,21.431373,235.254074
1.800000,3.930000,3.333333,0.664933,21.431373,245.937304
1.700000,3.990000,3.416667,0.681520,21.429590,242.785204
1.700000,4.110000,3.500000,0.697127,21.433155,242.785204
1.900000,4.170000,3.583333,0.712675,21.433155,245.937304
1.600000,4.290000,3.666667,0.729243,21.438503,247.544885
1.600000,4.470000,3.750000,0.744809,21.434938,249.174056
1.700000,4.470000,3.833333,0.761411,21.433155,247.544885
1.500000,4.550000,3.916667,0.776963,21.433155,245.937304
1.600000,4.710000,4.000000,0.795232,21.402852,247.544885
1.800000,4.790000,4.083333,0.818788,21.404635,245.937304
1.700000,4.830000,4.166667,0.828019,21.404635,252.498941
1.700000,4.950000,4.250000,0.842553,21.401070,252.498941
1.600000,5.070000,4.333333,0.861071,21.404635,250.825257
1.800000,5.150000,4.416667,0.874662,21.406417,254.195574
2.000000,5.190000,4.500000,0.889888,21.433155,254.195574
1.800000,5.270000,4.583333,0.905500,21.431373,250.825257
2.100000,5.450000,4.666667,0.921084,21.431373,247.544885
2.400000,5.470000,4.750000,0.936664,21.433155,247.544885
2.400000,5.630000,4.833333,0.953236,21.434938,245.937304
2.700000,5.710000,4.916667,0.968796,21.433155,245.937304
3.000000,5.830000,5.000000,0.985332,21.433155,245.937304
3.000000,5.850000,5.083333,1.000848,21.431373,247.544885
2.800000,5.990000,5.166667,1.017379,21.434938,242.785204
2.900000,6.070000,5.250000,1.032974,21.429590,247.544885
3.000000,6.170000,5.333333,1.049520,21.431373,242.785204
3.200000,6.330000,5.416667,1.065584,21.433155,239.714457
3.000000,6.370000,5.500000,1.081151,21.434938,247.544885
3.200000,6.490000,5.583333,1.104276,21.431373,250.825257
3.400000,6.590000,5.666667,1.113306,21.433155,244.350882
3.200000,6.710000,5.750000,1.128864,21.431373,247.544885
3.400000,6.750000,5.833333,1.145397,21.433155,244.350882
3.300000,6.990000,5.916667,1.161003,21.433155,249.174056
3.400000,6.990000,6.000000,1.177642,21.434938,247.544885
3.100000,6.970000,6.083333,1.193232,21.433155,250.825257
3.200000,7.110000,6.166667,1.208817,21.431373,254.195574
3.300000,7.270000,6.250000,1.225378,21.431373,252.498941
3.200000,7.370000,6.333333,1.240931,21.434938,254.195574
3.400000,7.450000,6.416667,1.257511,21.434938,252.498941
3.300000,7.630000,6.500000,1.273849,21.434938,254.195574
3.500000,7.630000,6.583333,1.289466,21.438503,249.174056
3.200000,7.770000,6.666667,1.305008,21.434938,252.498941
3.500000,7.810000,6.750000,1.321528,21.431373,252.498941
3.200000,7.930000,6.833333,1.337053,21.433155,250.825257
3.400000,7.990000,6.916667,1.353568,21.434938,247.544885
3.400000,8.050000,7.000000,1.369114,21.431373,249.174056
3.400000,8.250000,7.083333,1.384643,21.433155,245.937304
3.200000,8.490000,7.166667,1.403316,21.431373,242.785204
3.300000,8.390000,7.250000,1.417511,21.433155,242.785204
3.300000,8.490000,7.333333,1.433118,21.433155,244.350882
3.400000,8.670000,7.416667,1.448689,21.433155,247.544885
3.200000,8.710000,7.500000,1.465242,21.433155,244.350882
3.100000,8.790000,7.583333,1.483573,21.433155,245.937304
3.500000,8.850000,7.666667,1.497172,21.434938,245.937304
3.500000,8.910000,7.750000,1.512698,21.431373,250.825257
3.300000,9.070000,7.833333,1.529282,21.438503,245.937304
3.200000,9.150000,7.916667,1.544903,21.433155,242.785204
3.500000,9.250000,8.000000,1.561769,21.431373,247.544885
3.200000,9.350000,8.083333,1.577446,21.433155,247.544885
3.500000,9.090000,8.166667,1.594164,21.406417,249.174056
3.100000,9.510000,8.250000,1.610698,21.402852,245.937304
3.300000,9.590000,8.333333,1.627138,21.408200,254.195574
3.300000,9.750000,8.416667,1.642653,21.404635,254.195574
3.400000,9.830000,8.500000,1.659187,21.404635,257.659612
3.200000,9.890000,8.583333,1.674778,21.404635,255.915633
3.300000,9.990000,8.666667,1.693494,21.404635,255.915633
3.400000,10.150000,8.750000,1.719556,21.402852,249.174056
3.300000,10.170000,8.750000,1.733247,21.401070,242.785204
3.400000,10.210000,8.833333,1.742496,21.404635,252.498941
3.400000,10.290000,8.916667,1.754958,21.404635,247.544885
3.400000,10.370000,9.000000,1.770505,21.404635,252.498941
3.600000,10.450000,9.083333,1.786962,21.404635,249.174056
3.500000,10.570000,9.166667,1.801161,21.433155,242.785204
