# Date: 20201027
# Operator: DCC
# Notes: 248F-5 and 15 in/lb per nut
# Tap_cm: 5.0
# Sample: 248F-5
# Fit of Tap:
#	Ic = 180 +/- 0.021 A
#	n = 34.7 +/- 0.26 
#	Vc = 5 uV
#	Vfloor = 2.62 +/- 0.0077 uV
#	R = 0.000975 +/- 8.2e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
2.600000,0.370000,0.000000,0.050177,21.434938,242.785204
2.400000,0.290000,0.083333,0.071503,21.436720,249.174056
2.600000,0.350000,0.166667,0.086864,21.438503,249.174056
2.500000,0.410000,0.250000,0.102710,21.436720,247.544885
2.500000,0.510000,0.333333,0.118533,21.434938,242.785204
2.600000,0.810000,0.416667,0.135383,21.434938,247.544885
2.300000,0.690000,0.500000,0.150450,21.436720,245.937304
2.500000,0.930000,0.583333,0.167313,21.433155,244.350882
2.700000,0.910000,0.666667,0.182500,21.434938,247.544885
2.600000,1.030000,0.750000,0.198676,21.433155,244.350882
2.500000,1.090000,0.833333,0.215022,21.434938,244.350882
2.600000,1.310000,0.916667,0.231165,21.436720,247.544885
2.400000,1.410000,1.000000,0.247298,21.434938,244.350882
2.500000,1.570000,1.083333,0.263526,21.433155,245.937304
2.400000,1.430000,1.166667,0.278684,21.434938,250.825257
2.500000,1.570000,1.250000,0.294921,21.434938,254.195574
2.500000,1.610000,1.333333,0.314945,21.434938,244.350882
2.500000,2.010000,1.416667,0.327541,21.434938,250.825257
2.300000,1.790000,1.500000,0.342767,21.434938,252.498941
2.400000,1.890000,1.583333,0.358890,21.436720,254.195574
2.600000,2.050000,1.666667,0.375126,21.438503,252.498941
2.600000,2.230000,1.750000,0.391237,21.436720,252.498941
2.600000,2.170000,1.833333,0.409349,21.436720,252.498941
2.300000,2.230000,1.916667,0.422496,21.433155,254.195574
2.700000,2.370000,2.000000,0.438649,21.434938,252.498941
2.300000,2.490000,2.083333,0.454770,21.438503,249.174056
2.200000,2.570000,2.166667,0.470930,21.433155,249.174056
2.800000,2.730000,2.250000,0.487058,21.434938,249.174056
2.200000,2.790000,2.333333,0.503184,21.436720,249.174056
2.600000,2.870000,2.416667,0.518845,21.438503,247.544885
2.500000,3.310000,2.500000,0.535011,21.429590,242.785204
2.600000,3.110000,2.583333,0.551212,21.434938,244.350882
2.500000,3.370000,2.666667,0.567374,21.436720,244.350882
2.500000,3.250000,2.750000,0.582610,21.438503,241.239861
2.500000,3.370000,2.833333,0.598762,21.434938,247.544885
2.400000,3.110000,2.916667,0.621794,21.434938,252.498941
2.600000,3.470000,3.000000,0.631035,21.434938,244.350882
2.600000,3.790000,3.083333,0.647200,21.434938,249.174056
2.700000,3.930000,3.166667,0.663489,21.434938,245.937304
2.700000,3.770000,3.250000,0.678867,21.438503,249.174056
2.600000,3.910000,3.333333,0.695084,21.433155,249.174056
2.600000,4.290000,3.416667,0.711366,21.434938,249.174056
2.300000,4.090000,3.500000,0.726523,21.438503,249.174056
2.400000,4.150000,3.583333,0.743368,21.438503,254.195574
2.400000,4.250000,3.666667,0.759164,21.433155,255.915633
2.700000,4.390000,3.750000,0.774941,21.438503,252.498941
2.400000,4.510000,3.833333,0.790894,21.442068,250.825257
2.300000,4.590000,3.916667,0.810147,21.440285,259.428015
2.800000,4.590000,4.000000,0.823022,21.436720,250.825257
2.400000,4.790000,4.083333,0.838846,21.433155,257.659612
2.500000,4.890000,4.166667,0.854737,21.433155,254.195574
2.400000,4.950000,4.250000,0.871192,21.434938,250.825257
2.400000,5.230000,4.333333,0.887229,21.434938,249.174056
2.300000,5.450000,4.416667,0.903537,21.434938,250.825257
2.600000,5.170000,4.500000,0.920815,21.434938,247.544885
2.700000,5.310000,4.583333,0.935382,21.434938,247.544885
2.500000,5.490000,4.666667,0.951204,21.433155,247.544885
2.600000,5.510000,4.750000,0.966995,21.434938,247.544885
2.300000,5.590000,4.833333,0.982796,21.434938,244.350882
2.500000,5.730000,4.916667,0.998613,21.433155,245.937304
2.600000,5.870000,5.000000,1.014936,21.434938,244.350882
2.500000,5.910000,5.083333,1.030782,21.434938,242.785204
2.400000,5.950000,5.166667,1.046711,21.436720,249.174056
2.700000,6.050000,5.250000,1.062563,21.434938,249.174056
2.600000,6.250000,5.333333,1.079374,21.434938,247.544885
2.600000,6.330000,5.416667,1.095155,21.436720,247.544885
2.500000,6.410000,5.500000,1.110966,21.434938,250.825257
2.400000,6.450000,5.583333,1.126746,21.434938,252.498941
2.300000,6.550000,5.666667,1.142756,21.434938,252.498941
2.500000,6.670000,5.750000,1.158631,21.434938,247.544885
2.500000,6.730000,5.833333,1.174432,21.438503,254.195574
2.500000,6.910000,5.916667,1.191212,21.434938,257.659612
2.700000,6.650000,6.000000,1.221051,21.434938,247.544885
2.500000,6.990000,6.083333,1.227951,21.436720,250.825257
2.600000,7.090000,6.166667,1.238716,21.433155,250.825257
2.500000,7.270000,6.250000,1.254485,21.436720,242.785204
2.600000,7.390000,6.333333,1.271272,21.438503,247.544885
2.600000,7.470000,6.416667,1.287150,21.436720,255.915633
2.400000,7.590000,6.500000,1.303016,21.434938,247.544885
2.600000,7.630000,6.583333,1.318834,21.434938,252.498941
2.500000,7.650000,6.666667,1.334631,21.438503,245.937304
2.400000,7.830000,6.750000,1.350402,21.438503,245.937304
2.500000,7.930000,6.833333,1.367191,21.434938,244.350882
2.500000,8.090000,6.916667,1.382981,21.436720,241.239861
2.700000,8.130000,7.000000,1.398766,21.433155,242.785204
2.700000,8.190000,7.083333,1.415296,21.434938,274.520239
2.600000,8.330000,7.166667,1.433342,21.404635,242.785204
2.700000,8.430000,7.250000,1.449291,21.402852,245.937304
2.600000,8.530000,7.333333,1.465340,21.406417,242.785204
2.300000,8.550000,7.416667,1.481315,21.406417,247.544885
2.500000,8.670000,7.500000,1.497268,21.406417,247.544885
2.400000,8.790000,7.583333,1.520332,21.436720,252.498941
2.500000,8.890000,7.666667,1.527564,21.436720,247.544885
2.500000,8.990000,7.750000,1.543545,21.434938,249.174056
2.400000,9.010000,7.833333,1.559392,21.438503,250.825257
2.500000,9.190000,7.916667,1.575182,21.434938,250.825257
2.400000,9.330000,8.000000,1.590974,21.436720,249.174056
2.600000,9.390000,8.083333,1.610142,21.436720,252.498941
2.600000,9.450000,8.166667,1.622995,21.436720,249.174056
2.600000,9.530000,8.250000,1.638800,21.433155,252.498941
2.600000,9.630000,8.333333,1.654564,21.434938,247.544885
2.500000,9.770000,8.416667,1.671325,21.434938,244.350882
2.600000,9.830000,8.500000,1.687117,21.434938,250.825257
2.500000,9.970000,8.583333,1.702888,21.434938,245.937304
2.500000,9.990000,8.666667,1.718664,21.434938,247.544885
2.500000,10.090000,8.750000,1.734435,21.436720,247.544885
2.700000,10.210000,8.833333,1.751232,21.434938,250.825257
2.400000,10.310000,8.916667,1.767022,21.436720,244.350882
2.300000,10.390000,9.000000,1.782796,21.433155,245.937304
2.600000,10.510000,9.083333,1.798740,21.433155,250.825257
2.500000,10.590000,9.166667,1.822129,21.431373,254.195574
2.400000,10.670000,9.250000,1.831118,21.433155,242.785204
2.700000,10.830000,9.333333,1.846924,21.434938,247.544885
2.600000,10.890000,9.416667,1.862710,21.436720,249.174056
2.400000,10.970000,9.500000,1.878536,21.436720,250.825257
2.700000,11.050000,9.583333,1.895315,21.433155,247.544885
2.600000,11.250000,9.666667,1.911086,21.436720,249.174056
2.300000,11.250000,9.750000,1.926869,21.434938,249.174056
2.600000,11.350000,9.833333,1.942657,21.434938,245.937304
2.600000,11.470000,9.916667,1.958444,21.436720,252.498941
2.500000,11.570000,10.000000,1.975220,21.434938,252.498941
2.600000,11.590000,10.083333,1.990995,21.434938,254.195574
2.600000,11.790000,10.166667,2.010178,21.434938,250.825257
2.700000,11.830000,10.250000,2.023020,21.436720,254.195574
2.700000,11.970000,10.333333,2.038871,21.431373,252.498941
2.500000,12.090000,10.416667,2.054738,21.436720,250.825257
2.600000,12.110000,10.500000,2.070570,21.434938,245.937304
2.700000,12.290000,10.583333,2.087384,21.434938,250.825257
2.500000,12.310000,10.666667,2.103153,21.436720,249.174056
2.600000,12.430000,10.750000,2.119692,21.436720,249.174056
2.400000,12.510000,10.833333,2.134999,21.434938,245.937304
2.700000,12.570000,10.916667,2.150807,21.434938,247.544885
2.400000,12.690000,11.000000,2.166592,21.434938,244.350882
2.500000,12.770000,11.083333,2.183394,21.434938,244.350882
2.500000,12.850000,11.166667,2.199164,21.434938,245.937304
2.500000,12.990000,11.250000,2.215326,21.436720,244.350882
2.500000,13.090000,11.333333,2.233121,21.409982,245.937304
2.600000,13.210000,11.416667,2.249116,21.404635,250.825257
2.500000,13.210000,11.500000,2.265131,21.404635,245.937304
2.700000,13.330000,11.583333,2.281151,21.406417,247.544885
2.600000,13.430000,11.666667,2.297313,21.404635,245.937304
2.700000,13.610000,11.750000,2.312420,21.404635,249.174056
2.700000,13.710000,11.833333,2.328128,21.406417,241.239861
2.400000,13.730000,11.916667,2.342918,21.438503,250.825257
2.600000,13.870000,12.000000,2.358705,21.436720,254.195574
2.500000,13.910000,12.083333,2.374491,21.434938,254.195574
2.700000,14.070000,12.166667,2.391266,21.433155,252.498941
2.600000,14.190000,12.250000,2.421954,21.434938,247.544885
2.800000,14.210000,12.333333,2.428883,21.433155,249.174056
2.700000,14.250000,12.416667,2.438666,21.434938,249.174056
2.700000,14.450000,12.500000,2.454420,21.434938,249.174056
2.600000,14.510000,12.583333,2.471188,21.434938,252.498941
2.500000,14.630000,12.666667,2.486962,21.434938,250.825257
2.600000,14.770000,12.750000,2.502724,21.434938,249.174056
2.700000,14.850000,12.833333,2.518523,21.434938,247.544885
2.600000,14.950000,12.916667,2.535353,21.433155,282.759454
2.600000,15.070000,13.000000,2.551226,21.433155,247.544885
2.600000,15.090000,13.083333,2.567043,21.433155,247.544885
2.700000,15.150000,13.166667,2.582823,21.433155,244.350882
2.700000,15.310000,13.250000,2.598644,21.434938,244.350882
2.800000,15.410000,13.333333,2.614674,21.433155,242.785204
3.000000,15.470000,13.416667,2.630244,21.434938,245.937304
2.500000,15.590000,13.500000,2.647007,21.431373,245.937304
2.600000,15.670000,13.583333,2.662600,21.434938,247.544885
2.800000,15.730000,13.666667,2.679135,21.434938,250.825257
2.700000,15.870000,13.750000,2.694677,21.434938,245.937304
2.700000,16.030000,13.833333,2.714341,21.433155,247.544885
2.400000,16.070000,13.916667,2.726418,21.434938,250.825257
2.400000,16.210000,14.000000,2.742977,21.434938,254.195574
2.500000,16.290000,14.083333,2.758542,21.436720,249.174056
2.700000,16.310000,14.166667,2.775068,21.438503,249.174056
2.900000,16.450000,14.250000,2.790685,21.434938,254.195574
2.800000,16.550000,14.333333,2.810142,21.434938,254.195574
2.900000,16.590000,14.416667,2.822798,21.433155,252.498941
2.400000,16.750000,14.500000,2.838363,21.438503,247.544885
2.700000,16.830000,14.583333,2.854946,21.434938,254.195574
2.800000,16.950000,14.666667,2.870495,21.434938,247.544885
2.800000,17.010000,14.750000,2.887023,21.433155,250.825257
2.500000,17.130000,14.833333,2.902565,21.434938,250.825257
2.500000,17.190000,14.916667,2.919110,21.434938,249.174056
2.500000,17.270000,15.000000,2.934642,21.433155,245.937304
2.700000,17.410000,15.083333,2.950350,21.433155,245.937304
2.300000,17.450000,15.166667,2.966913,21.434938,244.350882
2.600000,17.550000,15.250000,2.982478,21.434938,242.785204
2.700000,17.670000,15.333333,2.999006,21.434938,244.350882
2.600000,17.850000,15.416667,3.022327,21.436720,250.825257
2.900000,17.870000,15.500000,3.031084,21.434938,247.544885
2.700000,17.970000,15.583333,3.048521,21.404635,247.544885
2.700000,18.030000,15.666667,3.064003,21.406417,242.785204
2.600000,18.170000,15.750000,3.080472,21.406417,245.937304
2.500000,18.230000,15.833333,3.095901,21.406417,250.825257
2.500000,18.410000,15.916667,3.112321,21.406417,247.544885
2.600000,18.470000,16.000000,3.128848,21.404635,250.825257
2.500000,18.590000,16.083333,3.144303,21.406417,247.544885
2.400000,18.610000,16.166667,3.160797,21.406417,247.544885
2.700000,18.690000,16.250000,3.176220,21.406417,249.174056
