# Date: 20211028
# Operator: DCC
# Notes: NS-121 and 15 in/lb per nut
# Tap_cm: 5.0
# Sample: NS-121
# Fit of Tap:
#	Ic = 88 +/- 0.9 A
#	n = 50 +/- 1.1 
#	Vc = 5 uV
#	Vfloor = 5 +/- 8.3e+59 uV
#	R = 0.000639 +/- 3.3e+50 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.700000,0.330000,0.000000,0.046786,21.406417,247.544885
1.300000,0.270000,0.083333,0.062131,21.408200,236.721935
1.200000,0.330000,0.166667,0.078788,21.408200,247.544885
0.900000,0.450000,0.250000,0.097354,21.408200,244.350882
1.000000,0.510000,0.333333,0.110352,21.406417,249.174056
0.900000,0.630000,0.416667,0.125906,21.406417,249.174056
0.800000,0.690000,0.500000,0.142462,21.409982,252.498941
1.200000,0.750000,0.583333,0.157979,21.411765,255.915633
0.900000,0.850000,0.666667,0.174503,21.408200,252.498941
1.000000,0.990000,0.750000,0.190027,21.406417,254.195574
1.200000,1.090000,0.833333,0.206210,21.409982,252.498941
1.200000,1.170000,0.916667,0.221801,21.409982,252.498941
1.200000,1.330000,1.000000,0.238327,21.411765,254.195574
1.000000,1.330000,1.083333,0.253845,21.406417,252.498941
1.100000,1.430000,1.166667,0.270360,21.406417,252.498941
1.000000,1.570000,1.250000,0.285866,21.406417,247.544885
0.900000,1.650000,1.333333,0.302430,21.409982,247.544885
1.200000,1.690000,1.416667,0.318021,21.406417,247.544885
1.100000,1.790000,1.500000,0.334623,21.409982,247.544885
1.000000,1.870000,1.583333,0.350159,21.408200,249.174056
1.200000,1.970000,1.666667,0.366701,21.404635,245.937304
1.100000,2.110000,1.750000,0.382235,21.406417,244.350882
1.000000,2.230000,1.833333,0.403521,21.406417,254.195574
1.000000,2.270000,1.916667,0.414169,21.408200,249.174056
0.900000,2.370000,2.000000,0.430690,21.404635,249.174056
0.900000,2.530000,2.083333,0.446259,21.404635,244.350882
1.200000,2.570000,2.166667,0.461793,21.406417,247.544885
1.200000,2.670000,2.250000,0.478309,21.408200,245.937304
0.900000,2.770000,2.333333,0.493827,21.408200,247.544885
0.900000,2.850000,2.416667,0.510361,21.406417,247.544885
1.000000,2.970000,2.500000,0.526584,21.409982,247.544885
1.000000,3.050000,2.583333,0.542536,21.406417,247.544885
1.100000,3.190000,2.666667,0.558094,21.409982,250.825257
0.900000,3.250000,2.750000,0.574716,21.408200,252.498941
1.100000,3.390000,2.833333,0.592661,21.409982,249.174056
1.000000,3.430000,2.916667,0.606268,21.409982,252.498941
1.000000,3.530000,3.000000,0.621813,21.409982,250.825257
1.000000,3.630000,3.083333,0.638350,21.411765,252.498941
1.300000,3.690000,3.166667,0.653875,21.409982,254.195574
1.400000,3.830000,3.250000,0.670393,21.408200,254.195574
1.200000,3.910000,3.333333,0.685912,21.406417,244.350882
0.800000,4.030000,3.416667,0.702973,21.406417,249.174056
0.900000,4.070000,3.500000,0.718554,21.409982,247.544885
1.100000,4.170000,3.583333,0.734110,21.406417,249.174056
1.000000,4.270000,3.666667,0.752363,21.386809,247.544885
1.100000,4.430000,3.750000,0.767843,21.385027,249.174056
1.300000,4.450000,3.833333,0.784281,21.385027,250.825257
1.000000,4.590000,3.916667,0.802960,21.386809,247.544885
1.000000,4.610000,4.000000,0.817045,21.388592,245.937304
1.000000,4.730000,4.083333,0.831602,21.386809,244.350882
1.200000,4.830000,4.166667,0.846778,21.406417,249.174056
1.000000,4.930000,4.250000,0.862324,21.406417,242.785204
1.300000,5.030000,4.333333,0.877864,21.409982,250.825257
1.200000,5.090000,4.416667,0.894583,21.408200,249.174056
1.000000,5.190000,4.500000,0.910549,21.411765,244.350882
1.100000,5.370000,4.583333,0.926301,21.408200,249.174056
1.000000,5.390000,4.666667,0.942964,21.406417,247.544885
1.100000,5.530000,4.750000,0.958901,21.409982,249.174056
1.000000,5.590000,4.833333,0.973963,21.408200,252.498941
1.100000,5.770000,4.916667,1.004544,21.409982,250.825257
1.100000,5.870000,5.000000,1.013952,21.408200,264.885052
1.000000,5.850000,5.083333,1.023385,21.408200,254.195574
1.200000,5.970000,5.166667,1.038157,21.406417,252.498941
1.100000,6.090000,5.250000,1.054090,21.408200,254.195574
1.000000,6.150000,5.333333,1.070675,21.413547,244.350882
1.100000,6.290000,5.416667,1.086073,21.408200,247.544885
1.000000,6.350000,5.500000,1.102062,21.409982,252.498941
1.000000,6.530000,5.583333,1.118236,21.409982,249.174056
1.100000,6.630000,5.666667,1.134080,21.408200,249.174056
1.000000,6.690000,5.750000,1.150098,21.406417,245.937304
1.200000,6.770000,5.833333,1.166017,21.406417,245.937304
1.000000,6.910000,5.916667,1.182036,21.408200,247.544885
1.200000,7.030000,6.000000,1.198176,21.406417,249.174056
1.000000,7.090000,6.083333,1.214142,21.406417,244.350882
1.200000,7.210000,6.166667,1.230101,21.408200,245.937304
1.100000,7.290000,6.250000,1.246376,21.404635,245.937304
1.000000,7.330000,6.333333,1.262332,21.406417,245.937304
1.100000,7.410000,6.416667,1.278413,21.409982,242.785204
0.900000,7.530000,6.500000,1.297486,21.406417,242.785204
1.100000,7.650000,6.583333,1.310600,21.408200,244.350882
1.200000,7.710000,6.666667,1.326292,21.406417,247.544885
1.000000,7.830000,6.750000,1.341892,21.408200,250.825257
1.100000,7.910000,6.833333,1.358433,21.408200,254.195574
0.800000,8.070000,6.916667,1.374009,21.406417,254.195574
1.200000,8.090000,7.000000,1.393083,21.406417,250.825257
1.100000,8.230000,7.083333,1.406672,21.408200,249.174056
1.100000,8.330000,7.166667,1.422197,21.406417,255.915633
1.200000,8.490000,7.250000,1.438723,21.408200,252.498941
1.100000,8.570000,7.333333,1.495316,21.429590,247.544885
1.200000,8.510000,7.416667,1.511421,21.411765,244.350882
1.100000,8.730000,7.500000,1.527124,21.408200,247.544885
1.200000,8.770000,7.583333,1.542668,21.406417,249.174056
1.200000,8.830000,7.666667,1.558235,21.408200,254.195574
1.000000,8.950000,7.750000,1.574935,21.408200,252.498941
1.400000,9.110000,7.833333,1.602854,21.408200,249.174056
1.000000,9.110000,7.916667,1.609450,21.408200,247.544885
1.100000,9.230000,8.000000,1.622988,21.409982,250.825257
1.100000,9.330000,8.083333,1.638619,21.422460,266.756509
1.200000,9.570000,8.166667,1.686836,21.431373,250.825257
1.100000,9.490000,8.250000,1.702876,21.404635,250.825257
1.100000,9.570000,8.333333,1.718505,21.409982,249.174056
1.200000,9.730000,8.416667,1.734066,21.406417,247.544885
0.900000,9.830000,8.500000,1.750613,21.406417,247.544885
1.100000,9.950000,8.583333,1.766120,21.408200,249.174056
0.900000,10.010000,8.666667,1.782656,21.408200,247.544885
1.200000,10.090000,8.750000,1.798735,21.408200,244.350882
1.100000,10.170000,8.833333,1.814470,21.406417,241.239861
1.100000,10.310000,8.916667,1.830138,21.406417,245.937304
1.200000,10.410000,9.000000,1.846687,21.406417,247.544885
1.000000,10.450000,9.083333,1.862219,21.408200,245.937304
1.100000,10.590000,9.166667,1.878749,21.408200,245.937304
1.300000,10.670000,9.250000,1.896442,21.404635,244.350882
0.900000,10.770000,9.333333,1.910475,21.408200,249.174056
1.000000,10.910000,9.416667,1.926018,21.409982,249.174056
1.100000,11.010000,9.500000,1.942579,21.408200,249.174056
1.100000,11.050000,9.583333,1.958105,21.408200,252.498941
0.900000,11.190000,9.666667,1.974607,21.408200,252.498941
1.100000,11.370000,9.750000,1.993726,21.409982,244.350882
1.200000,11.350000,9.833333,2.006345,21.409982,250.825257
1.100000,11.450000,9.916667,2.021884,21.409982,254.195574
1.100000,11.590000,10.000000,2.038409,21.409982,254.195574
1.300000,11.630000,10.083333,2.053916,21.408200,254.195574
1.200000,11.750000,10.166667,2.070553,21.422460,254.195574
0.900000,11.830000,10.250000,2.086594,21.418895,250.825257
1.200000,11.930000,10.333333,2.102477,21.415330,252.498941
0.700000,12.110000,10.416667,2.118327,21.408200,272.536384
1.200000,12.230000,10.500000,2.168433,21.426025,250.825257
1.300000,12.170000,10.583333,2.184568,21.406417,252.498941
1.000000,12.370000,10.666667,2.205955,21.409982,250.825257
1.200000,12.350000,10.750000,2.215679,21.409982,244.350882
1.100000,12.510000,10.833333,2.232217,21.406417,244.350882
1.000000,12.610000,10.916667,2.247747,21.411765,245.937304
1.200000,12.750000,11.000000,2.263345,21.406417,245.937304
1.200000,12.830000,11.083333,2.279881,21.406417,244.350882
1.200000,12.870000,11.166667,2.295406,21.406417,247.544885
1.200000,13.030000,11.250000,2.311954,21.406417,244.350882
1.100000,13.090000,11.333333,2.327619,21.409982,249.174056
1.200000,13.170000,11.416667,2.344213,21.406417,252.498941
1.100000,13.250000,11.500000,2.359764,21.408200,247.544885
1.100000,13.390000,11.583333,2.375297,21.404635,249.174056
1.100000,13.470000,11.666667,2.393400,21.408200,245.937304
1.000000,13.550000,11.750000,2.407996,21.409982,254.195574
1.400000,13.630000,11.833333,2.423518,21.408200,252.498941
1.100000,13.710000,11.916667,2.440040,21.408200,254.195574
1.200000,13.930000,12.000000,2.455586,21.408200,254.195574
1.400000,13.970000,12.083333,2.472112,21.411765,254.195574
1.300000,14.030000,12.166667,2.494625,21.408200,247.544885
1.300000,14.190000,12.250000,2.503904,21.406417,252.498941
1.100000,14.270000,12.333333,2.519595,21.406417,247.544885
1.200000,14.310000,12.416667,2.536144,21.408200,250.825257
1.000000,14.450000,12.500000,2.551726,21.406417,247.544885
1.100000,14.550000,12.583333,2.568611,21.406417,249.174056
1.100000,14.690000,12.666667,2.584467,21.406417,250.825257
1.200000,14.730000,12.750000,2.599698,21.408200,245.937304
1.100000,14.810000,12.833333,2.616267,21.408200,242.785204
1.100000,14.890000,12.916667,2.631805,21.408200,249.174056
1.100000,15.030000,13.000000,2.647337,21.406417,245.937304
1.200000,15.110000,13.083333,2.663862,21.406417,244.350882
1.300000,15.210000,13.166667,2.679378,21.408200,245.937304
1.300000,15.330000,13.250000,2.695892,21.404635,244.350882
1.200000,15.370000,13.333333,2.711419,21.406417,247.544885
1.000000,15.490000,13.416667,2.727951,21.409982,245.937304
1.400000,15.610000,13.500000,2.743476,21.408200,250.825257
1.100000,15.710000,13.583333,2.760003,21.406417,245.937304
1.000000,15.830000,13.666667,2.775559,21.406417,250.825257
1.100000,15.910000,13.750000,2.803442,21.406417,254.195574
1.400000,15.990000,13.833333,2.810032,21.408200,247.544885
1.000000,15.970000,13.916667,2.823645,21.409982,252.498941
1.300000,16.150000,14.000000,2.840244,21.408200,250.825257
1.400000,16.290000,14.083333,2.855787,21.404635,254.195574
1.100000,16.350000,14.166667,2.871336,21.406417,252.498941
1.000000,16.450000,14.250000,2.887869,21.408200,254.195574
1.100000,16.450000,14.333333,2.903461,21.406417,250.825257
1.000000,16.530000,14.416667,2.920049,21.404635,254.195574
1.000000,16.770000,14.500000,2.935629,21.408200,250.825257
1.100000,16.830000,14.583333,2.952157,21.409982,247.544885
1.400000,16.910000,14.666667,2.969072,21.385027,249.174056
1.000000,17.010000,14.750000,2.985524,21.385027,249.174056
1.200000,17.130000,14.833333,3.005030,21.386809,252.498941
1.600000,17.210000,14.916667,3.017536,21.386809,252.498941
1.300000,17.250000,15.000000,3.034093,21.386809,250.825257
1.200000,17.390000,15.083333,3.050033,21.388592,245.937304
1.200000,17.510000,15.166667,3.066057,21.392157,245.937304
0.900000,17.570000,15.250000,3.079873,21.404635,245.937304
1.200000,17.650000,15.333333,3.098741,21.408200,245.937304
1.100000,17.770000,15.416667,3.111877,21.408200,245.937304
1.100000,17.990000,15.500000,3.128517,21.408200,244.350882
1.300000,17.930000,15.583333,3.144175,21.408200,249.174056
1.300000,18.130000,15.666667,3.159752,21.408200,245.937304
1.200000,18.230000,15.750000,3.175283,21.406417,250.825257
0.900000,18.290000,15.833333,3.193614,21.404635,250.825257
1.300000,18.390000,15.916667,3.208222,21.409982,252.498941
0.900000,18.390000,16.000000,3.223811,21.406417,252.498941
1.200000,18.570000,16.083333,3.239382,21.409982,259.428015
1.300000,18.710000,16.166667,3.255995,21.408200,250.825257
1.200000,18.790000,16.250000,3.271538,21.406417,254.195574
1.000000,18.910000,16.333333,3.288059,21.406417,254.195574
1.000000,18.930000,16.416667,3.303604,21.408200,250.825257
1.000000,19.070000,16.500000,3.320384,21.408200,250.825257
1.200000,19.130000,16.583333,3.336012,21.409982,247.544885
1.400000,19.210000,16.666667,3.351565,21.406417,245.937304
1.200000,19.350000,16.750000,3.368163,21.406417,249.174056
1.300000,19.450000,16.833333,3.383719,21.406417,245.937304
1.300000,19.590000,16.916667,3.405689,21.406417,250.825257
1.300000,19.530000,17.000000,3.415362,21.409982,245.937304
1.100000,19.670000,17.083333,3.431893,21.406417,247.544885
1.100000,19.750000,17.166667,3.447427,21.408200,250.825257
1.200000,19.830000,17.250000,3.463984,21.406417,244.350882
1.200000,19.990000,17.333333,3.479782,21.406417,247.544885
1.200000,20.110000,17.416667,3.495353,21.408200,245.937304
1.600000,20.150000,17.500000,3.511900,21.406417,247.544885
1.200000,20.250000,17.583333,3.527450,21.408200,245.937304
1.100000,20.410000,17.666667,3.544167,21.408200,250.825257
1.100000,20.510000,17.750000,3.559753,21.408200,247.544885
1.300000,20.530000,17.833333,3.575372,21.408200,249.174056
1.400000,20.690000,17.916667,3.593846,21.409982,249.174056
1.000000,20.750000,18.000000,3.607457,21.408200,252.498941
1.200000,20.810000,18.083333,3.624029,21.408200,252.498941
1.300000,20.930000,18.166667,3.639569,21.409982,249.174056
1.100000,21.110000,18.250000,3.656091,21.408200,252.498941
1.300000,21.190000,18.333333,3.671649,21.406417,249.174056
1.200000,21.270000,18.416667,3.696755,21.406417,244.350882
1.300000,21.230000,18.500000,3.703716,21.409982,254.195574
1.200000,21.490000,18.583333,3.719278,21.406417,249.174056
1.300000,21.490000,18.666667,3.735812,21.409982,250.825257
1.100000,21.610000,18.750000,3.751575,21.408200,244.350882
1.200000,21.770000,18.833333,3.768194,21.406417,249.174056
1.000000,21.850000,18.916667,3.785646,21.386809,247.544885
1.200000,21.910000,19.000000,3.805407,21.385027,257.659612
1.200000,22.030000,19.083333,3.818421,21.385027,250.825257
1.500000,22.110000,19.166667,3.834064,21.386809,252.498941
1.100000,22.210000,19.250000,3.849514,21.388592,245.937304
1.100000,22.270000,19.333333,3.866019,21.386809,244.350882
1.400000,22.430000,19.416667,3.880256,21.406417,247.544885
1.100000,22.510000,19.500000,3.895818,21.404635,247.544885
1.100000,22.590000,19.583333,3.911348,21.408200,245.937304
1.300000,22.670000,19.666667,3.927877,21.409982,244.350882
1.200000,22.810000,19.750000,3.943403,21.406417,245.937304
1.200000,22.850000,19.833333,3.959921,21.402852,247.544885
1.100000,23.010000,19.916667,3.975431,21.406417,252.498941
1.200000,23.090000,20.000000,4.003305,21.406417,255.915633
1.200000,23.150000,20.083333,4.009891,21.408200,247.544885
1.100000,23.250000,20.166667,4.023420,21.408200,249.174056
1.300000,23.290000,20.250000,4.039945,21.406417,250.825257
1.400000,23.510000,20.333333,4.055458,21.408200,249.174056
1.200000,23.530000,20.416667,4.072419,21.409982,247.544885
1.300000,23.610000,20.500000,4.088270,21.409982,252.498941
1.200000,23.670000,20.583333,4.103875,21.406417,252.498941
1.300000,23.750000,20.666667,4.119433,21.404635,250.825257
1.200000,23.910000,20.750000,4.136009,21.409982,247.544885
1.100000,23.930000,20.833333,4.151565,21.406417,249.174056
1.200000,24.070000,20.916667,4.168090,21.406417,250.825257
1.100000,24.170000,21.000000,4.183655,21.406417,247.544885
1.300000,24.250000,21.083333,4.200195,21.406417,249.174056
1.300000,24.310000,21.166667,4.215763,21.406417,247.544885
1.200000,24.470000,21.250000,4.231293,21.406417,242.785204
1.200000,24.570000,21.333333,4.247824,21.408200,245.937304
0.800000,24.710000,21.416667,4.263352,21.406417,244.350882
1.300000,24.750000,21.500000,4.279874,21.408200,245.937304
1.100000,24.830000,21.583333,4.296591,21.406417,242.785204
1.300000,24.950000,21.666667,4.311686,21.411765,247.544885
1.200000,25.050000,21.750000,4.328380,21.409982,249.174056
1.200000,25.170000,21.833333,4.344016,21.406417,245.937304
1.300000,25.210000,21.916667,4.359559,21.406417,247.544885
1.400000,25.370000,22.000000,4.376085,21.406417,249.174056
1.100000,25.450000,22.083333,4.393654,21.406417,249.174056
1.100000,25.530000,22.166667,4.408244,21.411765,249.174056
0.900000,25.610000,22.250000,4.423770,21.409982,254.195574
1.100000,25.710000,22.333333,4.439299,21.402852,250.825257
1.400000,25.910000,22.416667,4.455806,21.406417,249.174056
1.300000,25.850000,22.500000,4.471338,21.408200,254.195574
1.300000,26.010000,22.583333,4.487856,21.409982,252.498941
1.200000,26.170000,22.666667,4.503375,21.404635,252.498941
1.200000,26.130000,22.750000,4.519903,21.404635,252.498941
1.100000,26.330000,22.833333,4.535415,21.408200,252.498941
1.200000,26.410000,22.916667,4.551925,21.408200,249.174056
1.200000,26.490000,23.000000,4.567444,21.408200,247.544885
1.300000,26.350000,23.083333,4.585269,21.386809,250.825257
1.400000,26.730000,23.166667,4.620588,21.385027,250.825257
1.300000,26.830000,23.250000,4.637386,21.383244,250.825257
0.900000,26.890000,23.333333,4.652932,21.385027,245.937304
1.100000,26.970000,23.416667,4.668392,21.386809,252.498941
1.000000,27.090000,23.500000,4.684128,21.408200,249.174056
1.300000,27.050000,23.583333,4.698677,21.406417,245.937304
1.200000,27.210000,23.666667,4.715216,21.404635,245.937304
1.200000,27.290000,23.750000,4.730763,21.406417,247.544885
1.100000,27.410000,23.833333,4.747287,21.408200,245.937304
1.200000,27.530000,23.916667,4.762819,21.406417,247.544885
1.300000,27.590000,24.000000,4.779348,21.406417,245.937304
1.400000,27.650000,24.083333,4.795039,21.408200,247.544885
1.400000,27.710000,24.166667,4.811655,21.408200,245.937304
1.200000,27.890000,24.250000,4.827335,21.409982,249.174056
1.500000,28.010000,24.333333,4.842926,21.406417,249.174056
1.500000,28.050000,24.416667,4.859478,21.404635,245.937304
1.300000,28.170000,24.500000,4.875038,21.409982,250.825257
1.300000,28.290000,24.583333,4.897148,21.404635,244.350882
1.200000,28.290000,24.666667,4.907262,21.406417,250.825257
1.200000,28.490000,24.750000,4.922824,21.408200,250.825257
1.300000,28.570000,24.833333,4.939354,21.406417,254.195574
1.300000,28.650000,24.916667,4.954924,21.406417,252.498941
1.200000,28.730000,25.000000,4.971460,21.411765,252.498941
1.200000,28.770000,25.083333,4.987022,21.404635,250.825257
1.000000,28.950000,25.166667,5.003845,21.406417,255.915633
1.100000,29.010000,25.250000,5.019422,21.404635,250.825257
1.300000,29.110000,25.333333,5.034947,21.408200,249.174056
1.300000,29.230000,25.416667,5.051468,21.409982,249.174056
1.200000,29.330000,25.500000,5.066984,21.408200,247.544885
1.400000,29.390000,25.583333,5.083659,21.408200,247.544885
1.300000,29.510000,25.666667,5.099252,21.406417,247.544885
1.200000,29.630000,25.750000,5.114874,21.406417,245.937304
1.000000,29.690000,25.833333,5.131442,21.408200,241.239861
1.200000,29.810000,25.916667,5.147017,21.406417,247.544885
1.000000,29.890000,26.000000,5.163544,21.406417,249.174056
1.400000,30.010000,26.083333,5.179071,21.404635,245.937304
1.100000,30.150000,26.166667,5.203101,21.408200,247.544885
1.200000,30.130000,26.250000,5.210779,21.406417,249.174056
1.300000,30.290000,26.333333,5.227440,21.408200,245.937304
1.300000,30.370000,26.416667,5.242997,21.408200,247.544885
1.400000,30.510000,26.500000,5.259550,21.406417,249.174056
1.400000,30.590000,26.583333,5.275075,21.406417,250.825257
1.000000,30.650000,26.666667,5.291658,21.404635,247.544885
1.200000,30.710000,26.750000,5.307195,21.406417,250.825257
1.300000,30.850000,26.833333,5.323015,21.408200,254.195574
1.400000,30.930000,26.916667,5.339644,21.406417,250.825257
1.300000,30.990000,27.000000,5.355206,21.408200,252.498941
1.100000,31.090000,27.083333,5.370737,21.409982,249.174056
0.800000,31.130000,27.166667,5.387541,21.404635,276.533787
0.900000,31.230000,27.250000,5.408059,21.388592,252.498941
1.200000,31.330000,27.333333,5.420578,21.385027,249.174056
1.100000,31.450000,27.416667,5.437088,21.385027,249.174056
1.400000,31.550000,27.500000,5.452520,21.386809,249.174056
1.100000,31.670000,27.583333,5.468934,21.386809,247.544885
1.400000,31.730000,27.666667,5.485442,21.386809,250.825257
1.100000,31.890000,27.750000,5.502151,21.406417,249.174056
1.300000,31.930000,27.833333,5.515198,21.406417,247.544885
1.300000,31.990000,27.916667,5.530777,21.406417,247.544885
1.400000,32.110000,28.000000,5.547348,21.402852,247.544885
