# Date: 20211028
# Operator: DCC
# Notes: NS-122 and 15 in/lb per nut
# Tap_cm: 5.0
# Sample: NS-122
# Fit of Tap:
#	Ic = 129 +/- 0.078 A
#	n = 50.2 +/- 3 
#	Vc = 5 uV
#	Vfloor = 1.34 +/- 0.047 uV
#	R = 1.74 +/- 0.00067 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.290000,0.000000,0.043970,20.705882,247.544885
1.400000,0.290000,0.083333,0.056356,20.707665,249.174056
1.500000,0.330000,0.166667,0.072674,20.705882,244.350882
1.100000,0.350000,0.250000,0.088636,20.705882,245.937304
1.600000,0.470000,0.333333,0.104527,20.709447,244.350882
1.400000,0.570000,0.416667,0.120348,20.711230,249.174056
1.300000,0.710000,0.500000,0.137177,20.702317,247.544885
1.500000,0.810000,0.583333,0.153006,20.704100,244.350882
1.500000,0.910000,0.666667,0.168864,20.704100,247.544885
1.300000,0.950000,0.750000,0.184689,20.700535,250.825257
1.400000,1.030000,0.833333,0.200535,20.705882,247.544885
1.200000,1.150000,0.916667,0.216356,20.704100,249.174056
1.400000,1.250000,1.000000,0.233396,20.705882,249.174056
1.200000,1.290000,1.083333,0.248249,20.709447,249.174056
1.500000,1.450000,1.166667,0.265065,20.705882,250.825257
1.300000,1.510000,1.250000,0.280876,20.707665,252.498941
1.000000,1.630000,1.333333,0.296695,20.705882,254.195574
1.200000,1.730000,1.416667,0.314968,20.711230,254.195574
1.300000,1.810000,1.500000,0.329351,20.704100,247.544885
1.300000,1.930000,1.583333,0.344250,20.704100,254.195574
1.300000,1.970000,1.666667,0.361090,20.711230,252.498941
1.300000,2.110000,1.750000,0.376898,20.705882,250.825257
1.300000,2.190000,1.833333,0.392724,20.707665,255.915633
1.400000,2.250000,1.916667,0.408569,20.705882,247.544885
1.200000,2.390000,2.000000,0.424474,20.709447,249.174056
1.500000,2.470000,2.083333,0.440753,20.707665,252.498941
1.600000,2.610000,2.166667,0.456625,20.705882,249.174056
1.400000,2.590000,2.250000,0.472428,20.707665,244.350882
1.200000,2.750000,2.333333,0.488242,20.702317,247.544885
1.100000,2.850000,2.416667,0.505054,20.707665,247.544885
1.300000,2.990000,2.500000,0.520862,20.700535,244.350882
1.100000,3.050000,2.583333,0.536666,20.700535,245.937304
1.300000,3.130000,2.666667,0.552452,20.702317,245.937304
1.400000,3.250000,2.750000,0.568285,20.705882,249.174056
1.400000,3.370000,2.833333,0.585235,20.709447,247.544885
1.400000,3.390000,2.916667,0.601090,20.704100,245.937304
1.400000,3.550000,3.000000,0.617674,20.704100,249.174056
1.300000,3.630000,3.083333,0.633002,20.709447,247.544885
1.300000,3.710000,3.166667,0.649224,20.704100,245.937304
1.300000,3.790000,3.250000,0.665134,20.709447,250.825257
1.400000,3.930000,3.333333,0.680965,20.707665,250.825257
1.400000,4.050000,3.416667,0.697568,20.705882,252.498941
1.500000,4.070000,3.500000,0.714753,20.704100,249.174056
1.600000,4.210000,3.583333,0.730962,20.702317,252.498941
1.200000,4.250000,3.666667,0.747057,20.705882,250.825257
1.600000,4.310000,3.750000,0.763168,20.707665,249.174056
1.400000,4.450000,3.833333,0.779263,20.704100,250.825257
1.300000,4.490000,3.916667,0.794380,20.700535,250.825257
1.500000,4.650000,4.000000,0.808523,20.707665,250.825257
1.400000,4.750000,4.083333,0.824370,20.704100,249.174056
1.300000,4.850000,4.166667,0.840392,20.702317,244.350882
1.600000,4.950000,4.250000,0.856786,20.707665,245.937304
1.400000,5.030000,4.333333,0.872629,20.705882,245.937304
1.400000,5.090000,4.416667,0.888451,20.711230,242.785204
1.600000,5.190000,4.500000,0.904314,20.709447,249.174056
1.400000,5.330000,4.583333,0.920962,20.713012,252.498941
1.400000,5.410000,4.666667,0.937336,20.705882,249.174056
1.600000,5.490000,4.750000,0.953184,20.702317,244.350882
1.400000,5.590000,4.833333,0.969018,20.709447,249.174056
1.400000,5.690000,4.916667,0.984863,20.707665,247.544885
1.300000,5.850000,5.000000,1.000696,20.702317,252.498941
1.300000,5.890000,5.083333,1.016513,20.707665,252.498941
1.200000,5.950000,5.166667,1.032323,20.713012,250.825257
1.200000,6.150000,5.250000,1.049131,20.711230,250.825257
1.300000,6.190000,5.333333,1.064602,20.705882,250.825257
1.300000,6.250000,5.416667,1.080553,20.713012,254.195574
1.300000,6.410000,5.500000,1.096449,20.707665,254.195574
1.500000,6.450000,5.583333,1.112278,20.713012,254.195574
1.500000,6.630000,5.666667,1.129120,20.711230,254.195574
1.600000,6.630000,5.750000,1.144944,20.709447,250.825257
1.600000,6.770000,5.833333,1.160778,20.705882,245.937304
1.500000,6.850000,5.916667,1.176652,20.702317,249.174056
1.400000,6.990000,6.000000,1.192576,20.700535,233.804667
1.300000,7.110000,6.083333,1.215846,20.707665,247.544885
1.400000,7.170000,6.166667,1.225151,20.707665,250.825257
1.500000,7.210000,6.250000,1.240970,20.704100,247.544885
1.200000,7.290000,6.333333,1.256773,20.713012,245.937304
1.500000,7.470000,6.416667,1.273183,20.707665,244.350882
1.400000,7.570000,6.500000,1.289039,20.705882,245.937304
1.200000,7.690000,6.583333,1.304847,20.711230,244.350882
1.300000,7.750000,6.666667,1.320660,20.705882,249.174056
1.400000,7.770000,6.750000,1.336575,20.700535,247.544885
1.300000,7.970000,6.833333,1.352439,20.713012,249.174056
1.500000,8.050000,6.916667,1.368267,20.707665,249.174056
1.400000,8.090000,7.000000,1.385083,20.714795,249.174056
1.300000,8.230000,7.083333,1.400897,20.707665,247.544885
1.300000,8.270000,7.166667,1.416720,20.702317,247.544885
1.300000,8.350000,7.250000,1.432541,20.709447,252.498941
1.200000,8.470000,7.333333,1.448390,20.704100,250.825257
1.300000,8.590000,7.416667,1.464219,20.705882,254.195574
1.400000,8.690000,7.500000,1.483752,20.704100,250.825257
1.600000,8.750000,7.583333,1.496621,20.707665,252.498941
1.400000,8.810000,7.666667,1.520730,20.705882,244.350882
1.400000,8.870000,7.750000,1.530419,20.702317,254.195574
1.300000,9.050000,7.833333,1.546659,20.702317,254.195574
1.300000,9.150000,7.916667,1.562803,20.709447,254.195574
1.300000,9.230000,8.000000,1.579080,20.705882,254.195574
1.500000,9.310000,8.083333,1.595304,20.704100,252.498941
1.300000,9.430000,8.166667,1.608877,20.711230,250.825257
1.400000,9.450000,8.250000,1.624714,20.704100,252.498941
1.400000,9.610000,8.333333,1.640563,20.705882,242.785204
1.400000,9.710000,8.416667,1.656386,20.707665,247.544885
1.200000,9.810000,8.500000,1.672235,20.698752,244.350882
1.400000,9.950000,8.583333,1.693868,20.704100,247.544885
1.500000,9.970000,8.666667,1.704767,20.711230,247.544885
1.400000,10.130000,8.750000,1.720605,20.702317,247.544885
1.200000,10.250000,8.833333,1.736441,20.707665,244.350882
1.600000,10.290000,8.916667,1.752284,20.713012,245.937304
1.300000,10.430000,9.000000,1.769131,20.713012,245.937304
1.400000,10.510000,9.083333,1.784936,20.705882,249.174056
1.400000,10.550000,9.166667,1.800755,20.709447,250.825257
1.200000,10.670000,9.250000,1.816984,20.709447,249.174056
1.400000,10.770000,9.333333,1.833415,20.705882,245.937304
1.100000,10.870000,9.416667,1.848277,20.709447,252.498941
1.300000,10.950000,9.500000,1.865112,20.707665,255.915633
1.200000,11.070000,9.583333,1.880930,20.714795,244.350882
1.500000,11.190000,9.666667,1.896762,20.705882,250.825257
1.200000,11.290000,9.750000,1.912406,20.707665,252.498941
1.500000,11.330000,9.833333,1.928257,20.707665,249.174056
1.200000,11.450000,9.916667,1.945075,20.718360,252.498941
1.300000,11.550000,10.000000,1.960885,20.714795,249.174056
1.200000,11.650000,10.083333,1.976686,20.704100,247.544885
1.600000,11.810000,10.166667,1.992489,20.713012,247.544885
