# Date: 20211028
# Operator: DCC
# Notes: NS-122 and 15 in/lb per nut
# Tap_cm: 5.0
# Sample: NS-122
# Fit of Tap:
#	Ic = 156 +/- 0.074 A
#	n = 39.2 +/- 0.82 
#	Vc = 5 uV
#	Vfloor = 1.4 +/- 0.0078 uV
#	R = 0.000174 +/- 9.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.330000,0.000000,0.065038,20.705882,254.195574
1.400000,0.310000,0.083333,0.087258,20.705882,245.937304
1.500000,0.330000,0.166667,0.103010,20.707665,249.174056
1.300000,0.430000,0.250000,0.118791,20.705882,250.825257
1.300000,0.450000,0.333333,0.134750,20.709447,250.825257
1.200000,0.550000,0.416667,0.150674,20.704100,252.498941
1.400000,0.730000,0.500000,0.167073,20.707665,252.498941
1.300000,0.770000,0.583333,0.182765,20.707665,249.174056
1.600000,0.890000,0.666667,0.198767,20.711230,250.825257
1.500000,0.990000,0.750000,0.215084,20.711230,252.498941
1.100000,1.070000,0.833333,0.230701,20.707665,252.498941
1.300000,1.150000,0.916667,0.246720,20.707665,254.195574
1.400000,1.210000,1.000000,0.262732,20.711230,255.915633
1.500000,1.370000,1.083333,0.279919,20.705882,255.915633
1.300000,1.490000,1.166667,0.294386,20.709447,250.825257
1.400000,1.550000,1.250000,0.311059,20.704100,247.544885
1.400000,1.630000,1.333333,0.326642,20.711230,250.825257
1.400000,1.730000,1.416667,0.342192,20.704100,250.825257
1.500000,1.870000,1.500000,0.358751,20.704100,247.544885
1.300000,1.890000,1.583333,0.374324,20.713012,244.350882
1.200000,2.010000,1.666667,0.394140,20.705882,249.174056
1.400000,2.070000,1.750000,0.406760,20.704100,245.937304
1.300000,2.170000,1.833333,0.422312,20.705882,245.937304
1.300000,2.330000,1.916667,0.438871,20.702317,244.350882
1.600000,2.390000,2.000000,0.454413,20.705882,245.937304
1.300000,2.470000,2.083333,0.471012,20.705882,245.937304
1.400000,2.510000,2.166667,0.486565,20.711230,247.544885
1.200000,2.630000,2.250000,0.503227,20.709447,250.825257
1.300000,2.770000,2.333333,0.518735,20.705882,250.825257
1.100000,2.850000,2.416667,0.534740,20.705882,247.544885
1.300000,3.010000,2.500000,0.550634,20.711230,244.350882
1.300000,3.030000,2.583333,0.566693,20.705882,250.825257
1.300000,3.110000,2.666667,0.584338,20.707665,252.498941
1.300000,3.190000,2.750000,0.599249,20.704100,250.825257
1.500000,3.370000,2.833333,0.614891,20.711230,250.825257
1.500000,3.390000,2.916667,0.630477,20.713012,252.498941
1.100000,3.570000,3.000000,0.647049,20.718360,252.498941
1.100000,3.630000,3.083333,0.662636,20.709447,255.915633
1.400000,3.750000,3.166667,0.678179,20.705882,254.195574
1.400000,3.790000,3.250000,0.694721,20.702317,247.544885
1.300000,3.930000,3.333333,0.710315,20.704100,249.174056
1.400000,3.990000,3.416667,0.726940,20.709447,249.174056
1.400000,4.110000,3.500000,0.744501,20.713012,252.498941
1.700000,4.150000,3.583333,0.760219,20.709447,249.174056
1.400000,4.210000,3.666667,0.781243,20.707665,254.195574
1.600000,4.350000,3.750000,0.792928,20.707665,252.498941
1.400000,4.430000,3.833333,0.808528,20.709447,244.350882
1.500000,4.490000,3.916667,0.824126,20.705882,244.350882
1.500000,4.650000,4.000000,0.838889,20.707665,245.937304
1.300000,4.770000,4.083333,0.854483,20.702317,244.350882
1.100000,4.830000,4.166667,0.876866,20.707665,247.544885
1.300000,4.910000,4.250000,0.887032,20.705882,247.544885
1.500000,5.030000,4.333333,0.902669,20.707665,250.825257
1.300000,5.150000,4.416667,0.918231,20.704100,249.174056
1.200000,5.250000,4.500000,0.934823,20.707665,249.174056
1.300000,5.390000,4.583333,0.950374,20.704100,250.825257
1.400000,5.410000,4.666667,0.966939,20.705882,254.195574
1.300000,5.470000,4.750000,0.983041,20.705882,250.825257
1.400000,5.590000,4.833333,0.998781,20.705882,255.915633
1.600000,5.650000,4.916667,1.014401,20.705882,252.498941
1.600000,5.750000,5.000000,1.031033,20.707665,254.195574
1.500000,5.870000,5.083333,1.046590,20.711230,257.659612
1.300000,5.990000,5.166667,1.063150,20.713012,255.915633
1.500000,6.110000,5.250000,1.078692,20.707665,249.174056
1.600000,6.230000,5.333333,1.094240,20.711230,252.498941
1.500000,6.290000,5.416667,1.110798,20.705882,249.174056
1.500000,6.390000,5.500000,1.126366,20.702317,250.825257
1.300000,6.510000,5.583333,1.142920,20.709447,250.825257
1.400000,6.610000,5.666667,1.158474,20.709447,245.937304
1.300000,6.730000,5.750000,1.182626,20.705882,252.498941
1.300000,6.750000,5.833333,1.190375,20.702317,249.174056
1.300000,6.850000,5.916667,1.206930,20.707665,247.544885
1.500000,6.990000,6.000000,1.222718,20.723708,268.655146
1.400000,7.050000,6.083333,1.238447,20.700535,247.544885
1.300000,7.170000,6.166667,1.255163,20.698752,245.937304
1.600000,7.290000,6.250000,1.271058,20.709447,244.350882
1.500000,7.330000,6.333333,1.286648,20.709447,250.825257
1.400000,7.470000,6.416667,1.302495,20.718360,257.659612
1.200000,7.550000,6.500000,1.319178,20.705882,247.544885
1.300000,7.670000,6.583333,1.334744,20.707665,249.174056
1.400000,7.770000,6.666667,1.350343,20.709447,249.174056
1.200000,7.790000,6.750000,1.366910,20.709447,250.825257
1.300000,7.950000,6.833333,1.383049,20.705882,252.498941
1.300000,8.050000,6.916667,1.398640,20.711230,252.498941
1.300000,8.110000,7.000000,1.414228,20.704100,250.825257
1.400000,8.230000,7.083333,1.430788,20.709447,254.195574
1.400000,8.270000,7.166667,1.446361,20.707665,250.825257
1.300000,8.350000,7.250000,1.462912,20.704100,250.825257
1.500000,8.470000,7.333333,1.479378,20.702317,250.825257
1.300000,8.490000,7.416667,1.494661,20.709447,247.544885
1.400000,8.670000,7.500000,1.510343,20.709447,245.937304
1.400000,8.770000,7.583333,1.526940,20.714795,250.825257
1.500000,8.890000,7.666667,1.544254,20.704100,252.498941
1.300000,8.890000,7.750000,1.560848,20.714795,252.498941
1.300000,9.090000,7.833333,1.580058,20.709447,252.498941
1.200000,9.090000,7.916667,1.592838,20.709447,249.174056
1.200000,9.230000,8.000000,1.608328,20.702317,245.937304
1.300000,9.250000,8.083333,1.624835,20.700535,245.937304
1.400000,9.470000,8.166667,1.639860,20.713012,249.174056
1.100000,9.570000,8.250000,1.654428,20.707665,244.350882
1.500000,9.610000,8.333333,1.671025,20.707665,245.937304
1.300000,9.810000,8.416667,1.686579,20.705882,242.785204
1.300000,9.870000,8.500000,1.703130,20.711230,247.544885
1.300000,9.910000,8.583333,1.718670,20.707665,250.825257
1.100000,10.010000,8.666667,1.734268,20.705882,252.498941
1.300000,10.130000,8.750000,1.751029,20.713012,250.825257
1.200000,10.230000,8.833333,1.766687,20.704100,254.195574
1.400000,10.350000,8.916667,1.788933,20.709447,247.544885
1.300000,10.350000,9.000000,1.798728,20.702317,250.825257
1.500000,10.450000,9.083333,1.814327,20.705882,255.915633
1.200000,10.610000,9.166667,1.830942,20.707665,252.498941
1.400000,10.610000,9.250000,1.846494,20.709447,250.825257
1.300000,10.810000,9.333333,1.863061,20.705882,250.825257
1.300000,10.890000,9.416667,1.878619,20.704100,250.825257
1.400000,11.010000,9.500000,1.894224,20.711230,250.825257
1.500000,11.070000,9.583333,1.910793,20.705882,249.174056
1.300000,11.210000,9.666667,1.926352,20.705882,244.350882
1.200000,11.330000,9.750000,1.942919,20.709447,250.825257
1.400000,11.290000,9.833333,1.958467,20.714795,247.544885
1.500000,11.510000,9.916667,1.974904,20.713012,250.825257
1.300000,11.550000,10.000000,1.990566,20.709447,224.147360
1.200000,11.670000,10.083333,2.006274,20.713012,247.544885
1.400000,11.750000,10.166667,2.022850,20.705882,244.350882
1.400000,11.790000,10.250000,2.038440,20.709447,247.544885
1.600000,11.970000,10.333333,2.055007,20.711230,241.239861
1.300000,12.090000,10.416667,2.076751,20.707665,247.544885
1.600000,12.110000,10.500000,2.086957,20.711230,250.825257
1.600000,12.150000,10.583333,2.102597,20.711230,249.174056
1.400000,12.270000,10.666667,2.118158,20.711230,252.498941
1.200000,12.410000,10.750000,2.134914,20.707665,247.544885
1.300000,12.470000,10.833333,2.150590,20.707665,247.544885
1.700000,12.590000,10.916667,2.166192,20.704100,254.195574
1.400000,12.690000,11.000000,2.182685,20.707665,254.195574
1.300000,12.790000,11.083333,2.198319,20.707665,249.174056
1.400000,12.910000,11.166667,2.214925,20.705882,250.825257
1.300000,12.950000,11.250000,2.230502,20.711230,254.195574
1.300000,13.130000,11.333333,2.247194,20.707665,254.195574
1.300000,13.170000,11.416667,2.262796,20.700535,250.825257
1.300000,13.250000,11.500000,2.278361,20.711230,249.174056
1.300000,13.370000,11.583333,2.294980,20.704100,252.498941
1.500000,13.450000,11.666667,2.310545,20.711230,250.825257
1.400000,13.510000,11.750000,2.327131,20.709447,250.825257
1.400000,13.670000,11.833333,2.342683,20.707665,245.937304
1.400000,13.770000,11.916667,2.360033,20.709447,247.544885
1.400000,13.870000,12.000000,2.395466,20.709447,247.544885
1.600000,13.950000,12.083333,2.411345,20.707665,249.174056
1.400000,14.090000,12.166667,2.426830,20.707665,249.174056
1.300000,14.110000,12.250000,2.443427,20.709447,249.174056
1.300000,14.210000,12.333333,2.457228,20.709447,242.785204
1.400000,14.410000,12.416667,2.472802,20.702317,247.544885
1.200000,14.450000,12.500000,2.489354,20.709447,247.544885
1.400000,14.550000,12.583333,2.505066,20.711230,244.350882
1.300000,14.590000,12.666667,2.520721,20.711230,245.937304
1.400000,14.650000,12.750000,2.537290,20.714795,247.544885
1.200000,14.870000,12.833333,2.552856,20.702317,247.544885
1.400000,14.990000,12.916667,2.573397,20.709447,244.350882
1.200000,15.050000,13.000000,2.585058,20.711230,249.174056
1.300000,15.130000,13.083333,2.600614,20.707665,255.915633
1.200000,15.230000,13.166667,2.617171,20.704100,254.195574
1.300000,15.330000,13.250000,2.632721,20.707665,252.498941
1.400000,15.390000,13.333333,2.649266,20.709447,250.825257
1.400000,15.470000,13.416667,2.664842,20.709447,252.498941
1.400000,15.570000,13.500000,2.681164,20.702317,254.195574
1.300000,15.630000,13.583333,2.697281,20.711230,252.498941
1.500000,15.790000,13.666667,2.712854,20.709447,247.544885
1.600000,15.870000,13.750000,2.729475,20.707665,252.498941
1.600000,15.970000,13.833333,2.745108,20.704100,249.174056
1.300000,16.010000,13.916667,2.760775,20.705882,245.937304
1.400000,16.150000,14.000000,2.777275,20.713012,249.174056
1.400000,16.250000,14.083333,2.793111,20.711230,266.756509
1.400000,16.390000,14.166667,2.808821,20.711230,245.937304
1.500000,16.430000,14.250000,2.825396,20.711230,247.544885
1.400000,16.470000,14.333333,2.841086,20.709447,247.544885
1.100000,16.630000,14.416667,2.856820,20.713012,247.544885
1.300000,16.730000,14.500000,2.873479,20.713012,245.937304
1.500000,16.810000,14.583333,2.889096,20.705882,242.785204
1.200000,16.870000,14.666667,2.904665,20.711230,249.174056
1.400000,16.990000,14.750000,2.921216,20.711230,249.174056
1.200000,17.110000,14.833333,2.936781,20.709447,249.174056
1.300000,17.270000,14.916667,2.953387,20.709447,250.825257
1.300000,17.150000,15.000000,2.983497,20.714795,249.174056
1.200000,17.350000,15.083333,2.990247,20.711230,244.350882
1.100000,17.410000,15.166667,3.000882,20.714795,249.174056
1.300000,17.550000,15.250000,3.017510,20.711230,247.544885
1.500000,17.710000,15.333333,3.033090,20.713012,250.825257
1.300000,17.810000,15.416667,3.048657,20.709447,250.825257
1.400000,17.910000,15.500000,3.065215,20.704100,249.174056
1.500000,17.930000,15.583333,3.080794,20.709447,250.825257
1.400000,18.070000,15.666667,3.097379,20.709447,250.825257
1.300000,18.170000,15.750000,3.113182,20.709447,247.544885
1.500000,18.330000,15.833333,3.128810,20.672014,247.544885
1.300000,18.330000,15.916667,3.145363,20.709447,247.544885
1.200000,18.430000,16.000000,3.162704,20.704100,249.174056
1.300000,18.590000,16.083333,3.182940,20.700535,254.195574
1.400000,18.430000,16.166667,3.194570,20.709447,255.915633
1.700000,18.750000,16.250000,3.211155,20.707665,252.498941
1.500000,18.870000,16.333333,3.226695,20.704100,241.239861
1.300000,18.910000,16.416667,3.243309,20.713012,255.915633
1.600000,19.030000,16.500000,3.258396,20.754011,257.659612
1.300000,19.170000,16.583333,3.276774,20.704100,250.825257
1.300000,19.290000,16.666667,3.288938,20.705882,242.785204
