# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 45.2 +/- 4 A
#	n = 2.99 +/- 0.66 
#	Vc = 5 uV
#	Vfloor = 1.34 +/- 0.03 uV
#	R = 0.0177 +/- 0.0076 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.500000,0.290000,0.000000,0.061590,20.698752,245.937304
1.300000,0.290000,0.083333,0.079491,20.705882,245.937304
1.400000,0.390000,0.166667,0.093156,20.700535,249.174056
1.300000,0.470000,0.250000,0.108808,20.689840,245.937304
1.500000,0.510000,0.333333,0.125361,20.693405,247.544885
1.200000,0.670000,0.416667,0.140996,20.704100,249.174056
1.300000,0.730000,0.500000,0.157034,20.702317,252.498941
1.400000,0.810000,0.583333,0.172607,20.704100,255.915633
1.200000,0.870000,0.666667,0.189176,20.705882,254.195574
1.500000,0.950000,0.750000,0.204964,20.696970,249.174056
1.400000,1.070000,0.833333,0.221698,20.704100,252.498941
1.200000,1.150000,0.916667,0.237338,20.704100,254.195574
1.300000,1.250000,1.000000,0.252925,20.702317,252.498941
1.500000,1.290000,1.083333,0.269478,20.702317,252.498941
1.400000,1.410000,1.166667,0.285075,20.700535,250.825257
1.100000,1.510000,1.250000,0.300886,20.705882,250.825257
1.300000,1.590000,1.333333,0.317543,20.707665,249.174056
1.500000,1.710000,1.416667,0.333158,20.702317,254.195574
1.400000,1.830000,1.500000,0.348727,20.705882,247.544885
1.300000,1.930000,1.583333,0.365279,20.704100,245.937304
1.400000,1.990000,1.666667,0.380834,20.698752,247.544885
1.600000,2.090000,1.750000,0.396782,20.696970,247.544885
1.400000,2.190000,1.833333,0.413413,20.704100,245.937304
1.300000,2.250000,1.916667,0.428988,20.705882,241.239861
1.300000,2.490000,2.000000,0.445052,20.702317,245.937304
1.300000,2.450000,2.083333,0.461123,20.709447,250.825257
1.200000,2.590000,2.166667,0.476893,20.704100,245.937304
1.500000,2.690000,2.250000,0.493527,20.707665,250.825257
1.500000,2.750000,2.333333,0.509066,20.698752,247.544885
1.400000,2.890000,2.416667,0.524987,20.704100,247.544885
1.400000,2.990000,2.500000,0.541017,20.698752,249.174056
