# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 56.3 +/- 4.8 A
#	n = 1.79 +/- 0.37 
#	Vc = 5 uV
#	Vfloor = 1.44 +/- 0.039 uV
#	R = 0.000199 +/- 0.022 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.700000,0.330000,0.000000,0.027496,20.707665,252.498941
1.700000,0.310000,0.083333,0.043163,20.707665,245.937304
1.400000,0.410000,0.166667,0.058663,20.709447,244.350882
1.500000,0.450000,0.250000,0.075197,20.702317,245.937304
1.400000,0.490000,0.333333,0.090130,20.711230,247.544885
1.600000,0.590000,0.416667,0.104706,20.713012,244.350882
1.600000,0.730000,0.500000,0.121264,20.704100,244.350882
1.600000,0.770000,0.583333,0.137075,20.704100,255.915633
1.400000,0.810000,0.666667,0.152773,20.704100,250.825257
1.400000,0.970000,0.750000,0.169355,20.704100,247.544885
1.200000,1.070000,0.833333,0.185256,20.709447,247.544885
1.400000,1.190000,0.916667,0.201254,20.707665,245.937304
1.300000,1.230000,1.000000,0.217305,20.705882,254.195574
1.200000,1.330000,1.083333,0.233340,20.709447,254.195574
1.300000,1.410000,1.166667,0.249594,20.707665,254.195574
1.600000,1.550000,1.250000,0.265954,20.716578,254.195574
1.400000,1.610000,1.333333,0.281347,20.704100,249.174056
1.500000,1.690000,1.416667,0.297993,20.711230,249.174056
1.400000,1.810000,1.500000,0.313338,20.709447,252.498941
1.300000,1.930000,1.583333,0.329341,20.709447,255.915633
1.300000,1.990000,1.666667,0.345340,20.711230,250.825257
1.200000,2.110000,1.750000,0.361255,20.707665,249.174056
1.600000,2.210000,1.833333,0.377760,20.704100,247.544885
1.300000,2.250000,1.916667,0.393626,20.709447,250.825257
1.400000,2.390000,2.000000,0.409244,20.704100,249.174056
1.700000,2.450000,2.083333,0.424839,20.702317,249.174056
1.600000,2.570000,2.166667,0.440863,20.705882,247.544885
1.400000,2.610000,2.250000,0.457488,20.707665,249.174056
1.400000,2.750000,2.333333,0.473049,20.705882,249.174056
1.500000,2.810000,2.416667,0.489622,20.709447,244.350882
1.400000,2.970000,2.500000,0.505183,20.702317,249.174056
