# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 26.2 +/- 0.26 A
#	n = 58.1 +/- 21 
#	Vc = 5 uV
#	Vfloor = 4.29 +/- 0.053 uV
#	R = 0.122 +/- 0.0038 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.250000,0.000000,0.056590,20.716578,249.174056
1.500000,0.290000,0.083333,0.075882,20.707665,244.350882
1.600000,0.390000,0.166667,0.085765,20.705882,254.195574
1.700000,0.350000,0.250000,0.101544,20.707665,254.195574
1.600000,0.510000,0.333333,0.117340,20.707665,250.825257
1.400000,0.570000,0.416667,0.134130,20.707665,252.498941
1.500000,0.710000,0.500000,0.149932,20.705882,247.544885
1.500000,0.770000,0.583333,0.166638,20.707665,249.174056
1.800000,0.870000,0.666667,0.182005,20.705882,249.174056
1.300000,0.950000,0.750000,0.199554,20.705882,250.825257
1.400000,1.110000,0.833333,0.213680,20.705882,247.544885
1.600000,1.150000,0.916667,0.229500,20.707665,249.174056
1.500000,1.270000,1.000000,0.245318,20.713012,241.239861
1.600000,1.310000,1.083333,0.262094,20.709447,244.350882
1.500000,1.390000,1.166667,0.277940,20.721925,244.350882
1.700000,1.590000,1.250000,0.293811,20.707665,242.785204
1.700000,1.610000,1.333333,0.309630,20.709447,244.350882
1.600000,1.690000,1.416667,0.325499,20.707665,249.174056
1.400000,1.850000,1.500000,0.342318,20.709447,245.937304
1.600000,1.890000,1.583333,0.358112,20.709447,247.544885
1.500000,1.990000,1.666667,0.373928,20.705882,250.825257
1.600000,2.130000,1.750000,0.392855,20.705882,247.544885
1.400000,2.190000,1.833333,0.405704,20.714795,249.174056
1.400000,2.330000,1.916667,0.421509,20.709447,252.498941
1.500000,2.350000,2.000000,0.437290,20.707665,252.498941
1.500000,2.650000,2.083333,0.454175,20.709447,255.915633
1.300000,2.410000,2.166667,0.471070,20.707665,252.498941
1.700000,2.710000,2.250000,0.485686,20.700535,250.825257
1.500000,2.910000,2.333333,0.501851,20.705882,257.659612
1.600000,3.010000,2.416667,0.518026,20.709447,252.498941
1.600000,3.150000,2.500000,0.534283,20.707665,254.195574
1.400000,3.050000,2.583333,0.549526,20.695187,252.498941
1.700000,3.190000,2.666667,0.565706,20.698752,250.825257
1.600000,3.250000,2.750000,0.583428,20.707665,250.825257
1.500000,3.350000,2.833333,0.597651,20.705882,245.937304
1.400000,3.610000,2.916667,0.614264,20.713012,247.544885
1.700000,3.570000,3.000000,0.629815,20.704100,247.544885
1.600000,3.690000,3.083333,0.646516,20.705882,244.350882
1.500000,3.790000,3.166667,0.662047,20.711230,245.937304
1.600000,3.810000,3.250000,0.677586,20.698752,247.544885
1.400000,4.090000,3.333333,0.694171,20.713012,244.350882
1.500000,4.070000,3.416667,0.709765,20.700535,242.785204
1.500000,4.110000,3.500000,0.726443,20.709447,245.937304
1.600000,4.250000,3.583333,0.742234,20.709447,247.544885
1.300000,4.330000,3.666667,0.767423,20.702317,254.195574
1.500000,4.390000,3.750000,0.783183,20.707665,247.544885
1.500000,4.490000,3.833333,0.792679,20.704100,242.785204
1.500000,4.570000,3.916667,0.806186,20.709447,245.937304
1.700000,4.630000,4.000000,0.822082,20.707665,252.498941
1.800000,4.750000,4.083333,0.838024,20.713012,254.195574
1.800000,4.890000,4.166667,0.854094,20.707665,252.498941
1.700000,4.910000,4.250000,0.869988,20.707665,252.498941
1.800000,5.070000,4.333333,0.886892,20.711230,257.659612
1.500000,5.150000,4.416667,0.902782,20.711230,252.498941
1.700000,5.270000,4.500000,0.918105,20.707665,252.498941
1.400000,5.350000,4.583333,0.934225,20.705882,252.498941
1.400000,5.550000,4.666667,0.950192,20.711230,252.498941
1.400000,5.590000,4.750000,0.966267,20.705882,250.825257
1.600000,5.690000,4.833333,0.982265,20.709447,249.174056
1.700000,5.790000,4.916667,0.998177,20.705882,252.498941
1.700000,5.890000,5.000000,1.014181,20.716578,247.544885
1.700000,5.970000,5.083333,1.030306,20.711230,242.785204
1.600000,6.070000,5.166667,1.046184,20.709447,249.174056
1.700000,6.150000,5.250000,1.067530,20.713012,252.498941
1.700000,6.250000,5.333333,1.077801,20.709447,245.937304
1.800000,6.290000,5.416667,1.093593,20.705882,245.937304
1.400000,6.410000,5.500000,1.109398,20.709447,247.544885
1.600000,6.530000,5.583333,1.126235,20.709447,245.937304
1.800000,6.630000,5.666667,1.142386,20.707665,245.937304
1.800000,6.670000,5.750000,1.161984,20.711230,245.937304
1.500000,6.750000,5.833333,1.173855,20.711230,245.937304
1.600000,6.890000,5.916667,1.189661,20.711230,252.498941
1.500000,6.970000,6.000000,1.205550,20.711230,254.195574
1.400000,7.030000,6.083333,1.221385,20.713012,255.915633
1.600000,7.230000,6.166667,1.238180,20.713012,252.498941
1.800000,7.250000,6.250000,1.253961,20.713012,254.195574
1.700000,7.330000,6.333333,1.269778,20.704100,247.544885
1.700000,7.510000,6.416667,1.286093,20.709447,252.498941
1.600000,7.610000,6.500000,1.302228,20.713012,254.195574
1.800000,7.710000,6.583333,1.318179,20.716578,250.825257
1.700000,7.770000,6.666667,1.334187,20.705882,250.825257
1.700000,7.890000,6.750000,1.350227,20.711230,247.544885
1.600000,7.990000,6.833333,1.378919,20.705882,238.208608
1.700000,7.990000,6.916667,1.388338,20.709447,254.195574
1.900000,8.110000,7.000000,1.397979,20.711230,250.825257
1.600000,8.170000,7.083333,1.414009,20.709447,247.544885
1.900000,8.310000,7.166667,1.430878,20.707665,245.937304
