# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 91.6 +/- 0.17 A
#	n = 50.2 +/- 4 
#	Vc = 5 uV
#	Vfloor = 12.3 +/- 9.3e+06 uV
#	R = 0.135 +/- 0.0013 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.500000,0.290000,0.000000,0.082248,20.716578,252.498941
1.600000,0.330000,0.083333,0.101903,20.711230,254.195574
1.600000,0.290000,0.166667,0.111646,20.707665,245.937304
1.300000,0.390000,0.250000,0.127249,20.711230,244.350882
1.500000,0.550000,0.333333,0.148622,20.711230,249.174056
1.500000,0.670000,0.416667,0.159735,20.709447,244.350882
1.500000,0.710000,0.500000,0.175311,20.709447,244.350882
1.400000,0.570000,0.583333,0.191942,20.713012,247.544885
1.500000,0.650000,0.666667,0.207880,20.713012,249.174056
1.300000,0.930000,0.750000,0.224615,20.713012,245.937304
1.400000,0.990000,0.833333,0.239641,20.713012,249.174056
1.400000,1.050000,0.916667,0.256154,20.711230,250.825257
1.500000,1.030000,1.000000,0.271821,20.709447,250.825257
1.400000,1.190000,1.083333,0.288155,20.711230,252.498941
1.600000,1.250000,1.166667,0.303748,20.709447,255.915633
1.200000,1.690000,1.250000,0.319334,20.707665,250.825257
1.500000,1.470000,1.333333,0.336232,20.707665,249.174056
1.300000,1.570000,1.416667,0.351832,20.711230,257.659612
1.500000,1.850000,1.500000,0.367423,20.713012,255.915633
1.700000,1.710000,1.583333,0.384048,20.713012,252.498941
1.400000,1.890000,1.666667,0.399582,20.705882,247.544885
1.500000,1.970000,1.750000,0.416243,20.711230,245.937304
1.800000,2.210000,1.833333,0.433705,20.707665,254.195574
1.500000,2.350000,1.916667,0.452804,20.711230,250.825257
1.500000,2.190000,2.000000,0.463690,20.713012,249.174056
1.500000,2.450000,2.083333,0.480383,20.713012,245.937304
1.500000,2.470000,2.166667,0.495681,20.709447,244.350882
1.600000,2.590000,2.250000,0.512222,20.711230,242.785204
1.700000,2.550000,2.333333,0.527778,20.707665,247.544885
1.500000,2.830000,2.416667,0.544482,20.713012,247.544885
1.300000,2.830000,2.500000,0.560021,20.713012,245.937304
1.600000,2.910000,2.583333,0.575805,20.705882,244.350882
1.500000,3.290000,2.666667,0.591328,20.713012,247.544885
1.800000,3.090000,2.750000,0.608023,20.707665,250.825257
1.500000,3.290000,2.833333,0.623590,20.711230,247.544885
1.400000,3.470000,2.916667,0.644595,20.709447,247.544885
1.400000,3.370000,3.000000,0.656048,20.707665,247.544885
1.400000,3.510000,3.083333,0.671537,20.704100,247.544885
1.600000,3.710000,3.166667,0.688410,20.709447,252.498941
1.400000,3.670000,3.250000,0.704236,20.709447,252.498941
1.600000,3.890000,3.333333,0.719948,20.718360,250.825257
1.400000,3.990000,3.416667,0.735983,20.705882,255.915633
1.400000,4.110000,3.500000,0.752377,20.705882,252.498941
1.700000,4.170000,3.583333,0.767751,20.713012,254.195574
1.500000,4.330000,3.666667,0.783677,20.709447,250.825257
