# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 94.4 +/- 0.073 A
#	n = 49.8 +/- 3.5 
#	Vc = 5 uV
#	Vfloor = 3.47 +/- 7.9e+02 uV
#	R = 0.135 +/- 0.00067 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.330000,0.000000,0.048571,20.698752,244.350882
1.300000,0.370000,0.083333,0.066719,20.705882,244.350882
1.400000,0.330000,0.166667,0.080385,20.711230,250.825257
1.500000,0.450000,0.250000,0.095991,20.707665,247.544885
1.600000,0.550000,0.333333,0.112549,20.705882,249.174056
1.600000,0.610000,0.416667,0.128176,20.711230,249.174056
1.300000,0.690000,0.500000,0.143830,20.704100,254.195574
1.600000,0.770000,0.583333,0.160392,20.709447,252.498941
1.500000,0.830000,0.666667,0.176036,20.707665,250.825257
1.500000,0.950000,0.750000,0.192206,20.707665,254.195574
1.800000,1.010000,0.833333,0.208035,20.709447,252.498941
1.500000,1.090000,0.916667,0.223687,20.709447,252.498941
1.400000,1.210000,1.000000,0.240255,20.709447,250.825257
1.500000,1.330000,1.083333,0.255849,20.707665,250.825257
1.400000,1.450000,1.166667,0.272386,20.711230,252.498941
1.600000,1.570000,1.250000,0.287977,20.709447,250.825257
1.700000,1.590000,1.333333,0.304564,20.707665,250.825257
1.400000,1.630000,1.416667,0.320117,20.705882,245.937304
1.800000,1.870000,1.500000,0.335857,20.705882,244.350882
1.500000,1.890000,1.583333,0.351897,20.709447,247.544885
1.400000,1.970000,1.666667,0.367822,20.704100,247.544885
1.600000,2.050000,1.750000,0.384718,20.702317,247.544885
1.300000,2.250000,1.833333,0.400863,20.693405,244.350882
1.300000,2.290000,1.916667,0.415815,20.707665,245.937304
1.400000,2.410000,2.000000,0.431802,20.711230,245.937304
1.400000,2.490000,2.083333,0.447670,20.707665,242.785204
1.600000,2.590000,2.166667,0.464235,20.711230,247.544885
1.200000,2.750000,2.250000,0.487873,20.713012,252.498941
