# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 120 +/- 1.3 A
#	n = 49.9 +/- 6.3 
#	Vc = 5 uV
#	Vfloor = 17.7 +/- 2.9e+29 uV
#	R = 1.95 +/- 2.9e+26 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.310000,0.000000,0.067222,20.707665,250.825257
1.300000,0.310000,0.083333,0.085915,20.707665,245.937304
1.700000,0.370000,0.166667,0.098820,20.707665,245.937304
1.500000,0.430000,0.250000,0.114597,20.711230,249.174056
1.200000,0.410000,0.333333,0.130468,20.704100,252.498941
1.700000,0.570000,0.416667,0.146305,20.709447,254.195574
1.400000,0.690000,0.500000,0.163107,20.705882,255.915633
1.400000,0.810000,0.583333,0.178870,20.707665,250.825257
1.700000,0.870000,0.666667,0.194646,20.704100,257.659612
1.600000,1.010000,0.750000,0.210429,20.702317,252.498941
1.400000,1.090000,0.833333,0.232787,20.698752,245.937304
1.700000,1.110000,0.916667,0.242660,20.707665,254.195574
1.600000,1.270000,1.000000,0.258428,20.709447,249.174056
1.700000,1.350000,1.083333,0.275201,20.698752,250.825257
1.700000,1.450000,1.166667,0.290959,20.702317,249.174056
1.600000,1.550000,1.250000,0.306758,20.707665,252.498941
1.200000,1.610000,1.333333,0.322535,20.709447,250.825257
1.500000,1.690000,1.416667,0.338321,20.709447,247.544885
1.500000,1.790000,1.500000,0.355148,20.705882,247.544885
1.500000,1.830000,1.583333,0.370944,20.707665,249.174056
1.200000,1.990000,1.666667,0.386856,20.709447,242.785204
1.500000,2.110000,1.750000,0.402682,20.707665,247.544885
1.500000,2.210000,1.833333,0.418432,20.707665,244.350882
1.600000,2.310000,1.916667,0.435252,20.713012,247.544885
1.400000,2.370000,2.000000,0.451073,20.707665,245.937304
1.700000,2.470000,2.083333,0.466876,20.704100,247.544885
1.700000,2.610000,2.166667,0.482657,20.704100,247.544885
1.600000,2.730000,2.250000,0.498762,20.700535,250.825257
1.500000,2.770000,2.333333,0.522991,20.709447,249.174056
1.500000,2.830000,2.416667,0.531278,20.709447,252.498941
1.300000,2.910000,2.500000,0.547133,20.705882,249.174056
1.300000,3.030000,2.583333,0.562947,20.711230,254.195574
1.500000,3.170000,2.666667,0.578750,20.707665,254.195574
1.500000,3.210000,2.750000,0.594560,20.707665,254.195574
1.600000,3.350000,2.833333,0.610394,20.705882,255.915633
1.600000,3.470000,2.916667,0.627240,20.713012,239.714457
1.500000,3.510000,3.000000,0.643176,20.707665,254.195574
1.600000,3.610000,3.083333,0.658971,20.713012,255.915633
1.600000,3.670000,3.166667,0.674743,20.696970,247.544885
1.500000,3.830000,3.250000,0.690517,20.711230,249.174056
1.400000,3.910000,3.333333,0.706306,20.707665,250.825257
1.500000,3.990000,3.416667,0.723085,20.707665,247.544885
1.600000,4.110000,3.500000,0.738864,20.704100,250.825257
1.600000,3.910000,3.583333,0.756790,20.705882,249.174056
1.400000,4.250000,3.666667,0.772941,20.707665,247.544885
1.500000,4.370000,3.750000,0.788968,20.696970,245.937304
1.400000,4.450000,3.833333,0.805003,20.702317,244.350882
1.600000,4.570000,3.916667,0.840239,20.713012,252.498941
1.700000,4.670000,4.000000,0.855623,20.716578,249.174056
1.600000,4.710000,4.083333,0.870416,20.705882,244.350882
1.400000,4.850000,4.166667,0.886331,20.709447,247.544885
1.700000,4.910000,4.250000,0.902201,20.707665,247.544885
1.700000,5.070000,4.333333,0.918985,20.705882,250.825257
1.500000,5.150000,4.416667,0.934766,20.711230,245.937304
1.600000,5.230000,4.500000,0.950535,20.704100,247.544885
1.600000,5.290000,4.583333,0.966326,20.711230,249.174056
1.600000,5.410000,4.666667,0.982109,20.707665,252.498941
1.600000,5.510000,4.750000,0.998897,20.702317,250.825257
1.600000,5.630000,4.833333,1.018848,20.705882,249.174056
1.600000,5.670000,4.916667,1.030695,20.705882,254.195574
1.300000,5.790000,5.000000,1.046468,20.702317,250.825257
1.700000,5.890000,5.083333,1.062277,20.704100,252.498941
1.600000,5.990000,5.166667,1.079079,20.704100,252.498941
1.600000,6.130000,5.250000,1.094845,20.705882,252.498941
1.400000,6.210000,5.333333,1.110644,20.709447,252.498941
1.600000,6.230000,5.416667,1.126671,20.704100,250.825257
1.400000,6.370000,5.500000,1.142685,20.707665,252.498941
1.500000,6.490000,5.583333,1.158583,20.704100,249.174056
1.500000,6.550000,5.666667,1.174743,20.700535,249.174056
1.600000,6.730000,5.750000,1.190922,20.696970,249.174056
1.600000,6.710000,5.833333,1.207115,20.704100,250.825257
1.600000,6.890000,5.916667,1.222427,20.716578,247.544885
1.600000,6.970000,6.000000,1.238601,20.705882,242.785204
1.600000,7.030000,6.083333,1.254767,20.696970,245.937304
1.400000,7.170000,6.166667,1.270941,20.693405,249.174056
1.700000,7.210000,6.250000,1.287100,20.691622,247.544885
1.700000,7.290000,6.333333,1.302191,20.709447,245.937304
1.600000,7.430000,6.416667,1.319049,20.705882,247.544885
1.400000,7.570000,6.500000,1.334838,20.705882,245.937304
1.700000,7.650000,6.583333,1.350667,20.702317,250.825257
1.400000,7.730000,6.666667,1.366456,20.709447,249.174056
1.600000,7.790000,6.750000,1.382332,20.707665,255.915633
1.700000,7.930000,6.833333,1.398209,20.711230,245.937304
1.700000,8.110000,6.916667,1.429158,20.707665,250.825257
1.600000,8.110000,7.000000,1.435969,20.702317,245.937304
1.500000,8.190000,7.083333,1.446760,20.705882,255.915633
1.700000,8.250000,7.166667,1.462541,20.698752,249.174056
1.900000,8.390000,7.250000,1.478342,20.709447,254.195574
2.000000,8.430000,7.333333,1.494124,20.705882,254.195574
1.900000,8.590000,7.416667,1.510915,20.711230,250.825257
2.100000,8.650000,7.500000,1.526712,20.711230,252.498941
2.300000,8.710000,7.583333,1.542486,20.709447,249.174056
2.500000,8.810000,7.666667,1.558808,20.709447,276.533787
2.600000,8.950000,7.750000,1.576875,20.700535,254.195574
2.700000,9.050000,7.833333,1.592894,20.707665,252.498941
2.600000,9.090000,7.916667,1.608894,20.707665,247.544885
2.500000,9.190000,8.000000,1.627801,20.707665,250.825257
2.600000,9.350000,8.083333,1.640508,20.702317,250.825257
2.700000,9.390000,8.166667,1.656488,20.709447,249.174056
2.600000,9.590000,8.250000,1.670535,20.707665,245.937304
2.600000,9.550000,8.333333,1.686328,20.704100,247.544885
2.800000,9.730000,8.416667,1.702106,20.713012,249.174056
2.800000,9.790000,8.500000,1.723750,20.713012,250.825257
2.700000,9.850000,8.583333,1.734998,20.707665,247.544885
2.800000,10.010000,8.666667,1.750839,20.707665,249.174056
2.800000,10.090000,8.750000,1.766667,20.705882,244.350882
2.600000,10.250000,8.833333,1.782507,20.711230,252.498941
2.800000,10.290000,8.916667,1.798323,20.696970,249.174056
2.700000,10.350000,9.000000,1.815746,20.707665,247.544885
2.800000,10.510000,9.083333,1.830491,20.705882,252.498941
2.900000,10.570000,9.166667,1.846310,20.709447,254.195574
2.800000,10.670000,9.250000,1.862091,20.707665,254.195574
2.700000,10.790000,9.333333,1.878921,20.707665,242.785204
2.600000,10.930000,9.416667,1.894815,20.707665,255.915633
2.900000,10.970000,9.500000,1.910633,20.709447,255.915633
2.800000,11.030000,9.583333,1.926422,20.707665,249.174056
2.900000,11.170000,9.666667,1.942279,20.707665,252.498941
2.700000,11.310000,9.750000,1.959087,20.707665,254.195574
2.700000,11.330000,9.833333,1.974875,20.716578,245.937304
2.600000,11.430000,9.916667,1.990682,20.704100,247.544885
2.600000,11.570000,10.000000,2.006721,20.713012,259.428015
2.900000,11.670000,10.083333,2.033739,20.711230,241.239861
2.600000,11.770000,10.166667,2.041905,20.705882,249.174056
2.700000,11.790000,10.250000,2.054745,20.711230,247.544885
2.500000,11.910000,10.333333,2.070538,20.709447,245.937304
2.500000,12.070000,10.416667,2.086335,20.709447,244.350882
2.800000,12.090000,10.500000,2.102171,20.705882,245.937304
2.600000,12.190000,10.583333,2.118984,20.707665,247.544885
2.800000,12.330000,10.666667,2.134913,20.714795,247.544885
2.600000,12.330000,10.750000,2.150782,20.714795,249.174056
2.800000,12.450000,10.833333,2.166615,20.713012,249.174056
2.800000,12.610000,10.916667,2.182436,20.711230,250.825257
2.600000,12.710000,11.000000,2.198233,20.705882,249.174056
2.600000,12.750000,11.083333,2.215701,20.705882,250.825257
2.900000,12.870000,11.166667,2.230479,20.711230,254.195574
2.800000,12.890000,11.250000,2.246292,20.705882,250.825257
2.700000,13.130000,11.333333,2.262083,20.707665,255.915633
2.900000,13.190000,11.416667,2.278869,20.707665,254.195574
2.700000,13.270000,11.500000,2.294642,20.704100,255.915633
2.800000,13.310000,11.583333,2.310406,20.714795,254.195574
2.800000,13.450000,11.666667,2.326476,20.711230,255.915633
2.800000,13.550000,11.750000,2.342747,20.705882,254.195574
2.600000,13.610000,11.833333,2.358606,20.711230,249.174056
2.800000,13.850000,11.916667,2.376425,20.711230,255.915633
2.600000,13.910000,12.000000,2.392666,20.700535,247.544885
2.700000,13.950000,12.083333,2.408759,20.705882,245.937304
2.900000,14.010000,12.166667,2.428050,20.702317,254.195574
2.500000,14.170000,12.250000,2.440165,20.705882,252.498941
2.500000,14.250000,12.333333,2.456179,20.707665,245.937304
2.700000,14.290000,12.416667,2.471476,20.713012,247.544885
3.000000,14.410000,12.500000,2.486274,20.709447,245.937304
2.700000,14.570000,12.583333,2.503076,20.707665,245.937304
2.600000,14.590000,12.666667,2.518851,20.707665,242.785204
2.700000,14.750000,12.750000,2.534620,20.704100,245.937304
2.700000,14.790000,12.833333,2.550415,20.704100,250.825257
3.000000,14.930000,12.916667,2.566214,20.707665,250.825257
2.900000,14.970000,13.000000,2.582990,20.705882,247.544885
2.800000,15.090000,13.083333,2.598824,20.716578,249.174056
2.800000,15.310000,13.166667,2.629146,20.707665,249.174056
2.800000,15.330000,13.250000,2.636012,20.707665,245.937304
2.700000,15.310000,13.333333,2.646836,20.705882,252.498941
2.800000,15.450000,13.416667,2.662617,20.705882,252.498941
2.900000,15.630000,13.500000,2.678400,20.705882,254.195574
2.900000,15.690000,13.583333,2.694176,20.705882,249.174056
2.900000,15.770000,13.666667,2.710947,20.700535,252.498941
2.700000,15.750000,13.750000,2.726759,20.711230,252.498941
2.800000,15.990000,13.833333,2.742541,20.711230,254.195574
2.800000,16.030000,13.916667,2.758340,20.696970,250.825257
3.000000,16.150000,14.000000,2.774115,20.709447,249.174056
2.800000,16.250000,14.083333,2.790875,20.707665,249.174056
2.800000,16.330000,14.166667,2.806661,20.704100,249.174056
3.000000,16.450000,14.250000,2.822963,20.709447,247.544885
2.900000,16.510000,14.333333,2.838787,20.711230,250.825257
3.000000,16.590000,14.416667,2.854612,20.702317,245.937304
2.800000,16.670000,14.500000,2.870414,20.711230,242.785204
2.800000,16.830000,14.583333,2.886275,20.705882,244.350882
2.900000,16.930000,14.666667,2.902136,20.716578,245.937304
3.000000,17.030000,14.750000,2.924183,20.704100,249.174056
3.000000,17.110000,14.833333,2.934439,20.702317,245.937304
3.400000,17.150000,14.916667,2.950234,20.709447,254.195574
3.600000,17.290000,15.000000,2.967029,20.711230,250.825257
3.500000,17.390000,15.083333,2.982805,20.704100,249.174056
3.600000,17.490000,15.166667,2.998583,20.700535,249.174056
3.700000,17.590000,15.250000,3.019070,20.709447,242.785204
3.800000,17.650000,15.333333,3.030904,20.705882,252.498941
3.600000,17.750000,15.416667,3.046707,20.713012,250.825257
3.900000,17.850000,15.500000,3.062484,20.705882,252.498941
3.700000,17.950000,15.583333,3.078275,20.707665,250.825257
3.900000,18.090000,15.666667,3.095045,20.707665,252.498941
3.800000,18.190000,15.750000,3.110827,20.700535,257.659612
3.600000,18.210000,15.833333,3.126646,20.711230,252.498941
3.900000,18.390000,15.916667,3.142556,20.705882,250.825257
3.800000,18.470000,16.000000,3.158400,20.707665,249.174056
3.700000,18.570000,16.083333,3.174712,20.702317,272.536384
3.700000,18.630000,16.166667,3.192714,20.704100,252.498941
4.000000,18.770000,16.250000,3.208781,20.704100,247.544885
3.700000,18.890000,16.333333,3.243210,20.704100,254.195574
4.000000,18.950000,16.416667,3.259374,20.698752,249.174056
4.000000,19.070000,16.500000,3.275346,20.698752,236.721935
4.000000,19.090000,16.583333,3.289167,20.705882,247.544885
3.900000,19.130000,16.666667,3.304948,20.707665,250.825257
4.000000,19.270000,16.750000,3.321763,20.709447,245.937304
3.800000,19.390000,16.833333,3.337592,20.705882,247.544885
3.800000,19.510000,16.916667,3.353362,20.704100,247.544885
3.900000,19.590000,17.000000,3.369164,20.704100,247.544885
4.100000,19.610000,17.083333,3.385075,20.707665,244.350882
4.000000,19.790000,17.166667,3.400925,20.707665,247.544885
4.100000,19.910000,17.250000,3.419422,20.705882,244.350882
3.900000,19.970000,17.333333,3.433256,20.705882,249.174056
3.800000,20.050000,17.416667,3.449059,20.707665,252.498941
3.800000,20.170000,17.500000,3.464842,20.709447,254.195574
3.800000,20.270000,17.583333,3.481634,20.696970,250.825257
4.000000,20.450000,17.666667,3.497638,20.684492,254.195574
3.800000,20.470000,17.750000,3.513533,20.705882,252.498941
4.100000,20.550000,17.833333,3.529268,20.707665,255.915633
3.900000,20.670000,17.916667,3.545579,20.707665,252.498941
4.000000,20.750000,18.000000,3.561399,20.711230,250.825257
3.900000,20.890000,18.083333,3.577195,20.711230,252.498941
4.100000,20.950000,18.166667,3.592976,20.709447,249.174056
4.000000,21.050000,18.250000,3.609768,20.714795,252.498941
3.800000,21.170000,18.333333,3.625317,20.704100,244.350882
3.900000,21.150000,18.416667,3.641268,20.714795,252.498941
3.800000,21.350000,18.500000,3.657100,20.704100,249.174056
4.000000,21.450000,18.583333,3.672885,20.711230,249.174056
3.900000,21.590000,18.666667,3.689668,20.711230,247.544885
4.100000,21.610000,18.750000,3.705458,20.704100,250.825257
4.100000,21.710000,18.833333,3.721237,20.711230,242.785204
4.000000,21.850000,18.916667,3.737016,20.705882,245.937304
3.800000,21.850000,19.000000,3.753807,20.698752,245.937304
4.000000,22.010000,19.083333,3.769588,20.704100,247.544885
4.100000,22.150000,19.166667,3.785378,20.698752,241.239861
4.000000,22.150000,19.250000,3.801152,20.704100,252.498941
3.900000,22.310000,19.333333,3.829657,20.709447,254.195574
3.800000,22.330000,19.416667,3.836495,20.700535,245.937304
4.000000,22.450000,19.500000,3.849262,20.705882,249.174056
4.100000,22.570000,19.583333,3.865039,20.709447,252.498941
3.900000,22.670000,19.666667,3.881853,20.713012,238.208608
4.000000,22.790000,19.750000,3.897745,20.707665,250.825257
3.800000,22.830000,19.833333,3.913545,20.713012,252.498941
4.000000,22.930000,19.916667,3.929332,20.707665,255.915633
4.100000,23.090000,20.000000,3.945117,20.705882,255.915633
4.100000,23.130000,20.083333,3.961013,20.714795,252.498941
3.900000,23.290000,20.166667,3.977841,20.714795,249.174056
4.000000,23.290000,20.250000,3.995652,20.711230,252.498941
4.000000,23.390000,20.333333,4.011645,20.705882,252.498941
4.000000,23.430000,20.416667,4.031717,20.698752,250.825257
3.900000,23.570000,20.500000,4.043759,20.705882,254.195574
4.100000,23.670000,20.583333,4.059810,20.696970,255.915633
4.300000,23.790000,20.666667,4.075804,20.704100,249.174056
4.100000,23.930000,20.750000,4.090272,20.707665,250.825257
4.100000,24.010000,20.833333,4.105045,20.704100,247.544885
4.100000,24.110000,20.916667,4.123339,20.704100,247.544885
4.000000,24.170000,21.000000,4.137714,20.704100,252.498941
4.000000,24.270000,21.083333,4.153580,20.704100,244.350882
4.200000,24.390000,21.166667,4.169361,20.696970,244.350882
4.100000,24.450000,21.250000,4.185150,20.707665,244.350882
4.100000,24.530000,21.333333,4.200916,20.704100,249.174056
3.900000,24.670000,21.416667,4.219650,20.700535,245.937304
4.200000,24.790000,21.500000,4.233484,20.707665,250.825257
4.000000,24.850000,21.583333,4.249260,20.705882,247.544885
4.100000,24.930000,21.666667,4.265048,20.700535,250.825257
4.000000,25.050000,21.750000,4.281836,20.702317,250.825257
4.100000,25.130000,21.833333,4.297612,20.713012,252.498941
3.800000,25.170000,21.916667,4.313382,20.704100,252.498941
4.100000,25.310000,22.000000,4.329184,20.696970,254.195574
4.100000,25.450000,22.083333,4.344965,20.705882,254.195574
4.100000,25.550000,22.166667,4.361780,20.705882,254.195574
4.300000,25.590000,22.250000,4.377593,20.707665,255.915633
4.400000,25.670000,22.333333,4.393510,20.705882,254.195574
4.600000,25.850000,22.416667,4.409356,20.705882,252.498941
4.500000,25.890000,22.500000,4.431870,20.709447,249.174056
4.700000,26.030000,22.583333,4.441754,20.704100,249.174056
4.800000,26.070000,22.666667,4.457563,20.711230,249.174056
5.000000,26.230000,22.750000,4.473365,20.709447,247.544885
4.800000,26.310000,22.833333,4.489173,20.704100,247.544885
4.900000,26.330000,22.916667,4.504949,20.707665,245.937304
4.900000,26.490000,23.000000,4.521725,20.709447,245.937304
5.000000,26.530000,23.083333,4.537540,20.711230,244.350882
4.900000,26.650000,23.166667,4.553333,20.709447,244.350882
4.900000,26.790000,23.250000,4.569151,20.704100,247.544885
4.900000,26.850000,23.333333,4.584932,20.704100,249.174056
5.100000,26.930000,23.416667,4.601764,20.705882,245.937304
5.100000,27.030000,23.500000,4.619714,20.702317,245.937304
5.000000,27.110000,23.583333,4.633600,20.709447,257.659612
5.200000,27.250000,23.666667,4.649476,20.709447,247.544885
5.000000,27.310000,23.750000,4.665275,20.705882,252.498941
4.800000,27.330000,23.833333,4.681060,20.705882,250.825257
5.200000,27.470000,23.916667,4.696856,20.711230,257.659612
4.700000,27.530000,24.000000,4.713634,20.707665,252.498941
5.000000,27.650000,24.083333,4.729704,20.702317,254.195574
5.100000,27.730000,24.166667,4.744989,20.705882,255.915633
5.100000,27.910000,24.250000,4.761799,20.709447,254.195574
5.000000,27.990000,24.333333,4.777594,20.704100,252.498941
5.200000,27.730000,24.416667,4.794876,20.704100,254.195574
5.100000,28.170000,24.500000,4.810926,20.704100,250.825257
4.900000,28.250000,24.583333,4.831529,20.702317,252.498941
5.000000,28.330000,24.666667,4.843565,20.709447,250.825257
5.100000,28.390000,24.750000,4.859515,20.704100,254.195574
5.100000,28.550000,24.833333,4.875513,20.709447,252.498941
5.200000,28.690000,24.916667,4.891648,20.705882,238.208608
5.100000,28.730000,25.000000,4.905484,20.714795,245.937304
5.100000,28.630000,25.083333,4.921322,20.711230,250.825257
5.200000,28.910000,25.166667,4.936992,20.711230,247.544885
5.100000,29.050000,25.250000,4.953554,20.704100,242.785204
5.400000,29.130000,25.333333,4.969113,20.704100,242.785204
5.300000,29.190000,25.416667,4.984653,20.716578,249.174056
5.000000,29.310000,25.500000,5.001552,20.713012,244.350882
5.000000,29.410000,25.583333,5.029422,20.709447,247.544885
5.300000,29.450000,25.666667,5.036012,20.700535,247.544885
5.400000,29.530000,25.750000,5.049551,20.704100,242.785204
4.900000,29.710000,25.833333,5.065107,20.704100,252.498941
5.100000,29.770000,25.916667,5.080668,20.709447,254.195574
5.100000,29.810000,26.000000,5.097196,20.704100,252.498941
5.300000,29.950000,26.083333,5.112744,20.705882,255.915633
5.000000,30.050000,26.166667,5.129270,20.707665,255.915633
5.300000,30.150000,26.250000,5.144948,20.713012,252.498941
5.300000,30.270000,26.333333,5.161551,20.707665,255.915633
5.100000,30.370000,26.416667,5.177109,20.713012,247.544885
5.300000,30.470000,26.500000,5.192673,20.702317,249.174056
5.400000,30.510000,26.583333,5.209205,20.705882,250.825257
4.900000,30.650000,26.666667,5.225057,20.698752,247.544885
5.200000,30.730000,26.750000,5.240675,20.707665,247.544885
5.300000,30.870000,26.833333,5.257214,20.705882,250.825257
5.400000,30.910000,26.916667,5.272754,20.709447,249.174056
5.300000,30.930000,27.000000,5.289282,20.709447,245.937304
5.200000,31.030000,27.083333,5.304821,20.705882,249.174056
5.300000,31.190000,27.166667,5.323351,20.698752,252.498941
5.300000,31.230000,27.250000,5.337472,20.702317,249.174056
5.000000,31.370000,27.333333,5.353049,20.704100,245.937304
5.300000,31.450000,27.416667,5.369585,20.709447,244.350882
5.100000,31.590000,27.500000,5.385366,20.705882,250.825257
5.200000,31.590000,27.583333,5.401009,20.705882,245.937304
5.200000,31.730000,27.666667,5.419948,20.707665,245.937304
5.200000,31.870000,27.750000,5.433559,20.711230,249.174056
5.300000,31.930000,27.833333,5.449119,20.707665,249.174056
5.200000,32.030000,27.916667,5.464650,20.698752,254.195574
5.100000,32.090000,28.000000,5.481160,20.707665,252.498941
5.100000,32.190000,28.083333,5.496738,20.704100,252.498941
5.200000,32.210000,28.166667,5.513313,20.707665,254.195574
5.100000,32.430000,28.250000,5.528832,20.705882,252.498941
5.200000,32.530000,28.333333,5.545418,20.704100,249.174056
5.200000,32.650000,28.416667,5.560990,20.705882,255.915633
5.400000,32.650000,28.500000,5.577551,20.709447,250.825257
5.400000,32.770000,28.583333,5.593080,20.711230,261.221364
5.300000,32.910000,28.666667,5.611248,20.700535,254.195574
5.200000,32.970000,28.750000,5.647054,20.707665,250.825257
5.100000,33.030000,28.833333,5.663767,20.707665,254.195574
5.300000,33.130000,28.916667,5.679259,20.702317,254.195574
5.100000,33.330000,29.000000,5.695690,20.696970,252.498941
5.200000,33.350000,29.083333,5.709929,20.705882,252.498941
5.200000,33.470000,29.166667,5.725525,20.702317,250.825257
5.200000,33.630000,29.250000,5.742089,20.705882,250.825257
5.300000,33.650000,29.333333,5.757608,20.707665,250.825257
5.300000,33.790000,29.416667,5.773143,20.716578,247.544885
5.300000,33.830000,29.500000,5.789751,20.711230,250.825257
5.400000,33.930000,29.583333,5.805285,20.707665,245.937304
5.600000,34.050000,29.666667,5.822348,20.705882,249.174056
5.500000,34.070000,29.750000,5.837924,20.702317,247.544885
5.800000,34.270000,29.833333,5.853449,20.709447,242.785204
5.800000,34.330000,29.916667,5.869976,20.702317,242.785204
5.800000,34.410000,30.000000,5.885575,20.709447,254.195574
6.000000,34.430000,30.083333,5.901215,20.707665,249.174056
6.300000,34.630000,30.166667,5.923459,20.707665,250.825257
6.200000,34.670000,30.250000,5.933497,20.707665,250.825257
6.100000,34.730000,30.333333,5.950048,20.704100,250.825257
6.200000,34.850000,30.416667,5.965587,20.705882,249.174056
6.100000,34.970000,30.500000,5.981117,20.702317,250.825257
6.200000,34.990000,30.583333,5.997642,20.705882,252.498941
6.000000,35.190000,30.666667,6.015158,20.705882,250.825257
6.100000,35.230000,30.750000,6.029790,20.713012,252.498941
6.200000,35.370000,30.833333,6.045436,20.705882,250.825257
6.300000,35.470000,30.916667,6.061992,20.705882,254.195574
6.200000,35.570000,31.000000,6.077555,20.707665,252.498941
6.300000,35.630000,31.083333,6.094096,20.707665,252.498941
6.200000,35.730000,31.166667,6.109625,20.713012,249.174056
6.500000,35.810000,31.250000,6.125155,20.702317,250.825257
6.200000,35.890000,31.333333,6.141819,20.698752,252.498941
6.300000,35.990000,31.416667,6.157460,20.707665,250.825257
6.400000,36.150000,31.500000,6.174041,20.709447,247.544885
6.300000,36.190000,31.583333,6.189591,20.713012,247.544885
6.400000,36.270000,31.666667,6.205135,20.709447,247.544885
6.500000,36.450000,31.750000,6.230215,20.707665,250.825257
6.500000,36.470000,31.833333,6.237872,20.705882,245.937304
6.200000,36.610000,31.916667,6.253406,20.704100,245.937304
6.500000,36.690000,32.000000,6.269989,20.709447,244.350882
6.400000,36.810000,32.083333,6.285530,20.705882,244.350882
6.200000,36.950000,32.166667,6.302092,20.709447,247.544885
6.200000,36.970000,32.250000,6.317656,20.705882,247.544885
6.300000,37.070000,32.333333,6.333186,20.704100,247.544885
6.400000,37.170000,32.416667,6.349774,20.704100,250.825257
6.300000,37.310000,32.500000,6.365359,20.705882,249.174056
6.300000,37.410000,32.583333,6.381906,20.705882,249.174056
6.200000,37.410000,32.666667,6.397587,20.705882,252.498941
6.200000,37.610000,32.750000,6.416698,20.696970,252.498941
6.300000,37.670000,32.833333,6.434433,20.704100,247.544885
6.400000,37.750000,32.916667,6.446984,20.705882,247.544885
6.300000,37.850000,33.000000,6.463404,20.698752,250.825257
6.400000,37.890000,33.083333,6.478896,20.707665,252.498941
6.400000,37.970000,33.166667,6.495331,20.702317,244.350882
6.400000,38.110000,33.250000,6.511025,20.705882,247.544885
6.600000,38.170000,33.333333,6.527176,20.709447,257.659612
6.200000,38.350000,33.416667,6.541221,20.709447,252.498941
6.200000,38.390000,33.500000,6.557803,20.702317,247.544885
6.100000,38.470000,33.583333,6.573361,20.707665,245.937304
6.300000,38.550000,33.666667,6.589897,20.707665,247.544885
6.500000,38.730000,33.750000,6.605539,20.707665,242.785204
6.400000,38.730000,33.833333,6.622127,20.707665,245.937304
6.500000,38.870000,33.916667,6.638003,20.705882,244.350882
6.100000,38.970000,34.000000,6.653634,20.707665,247.544885
6.500000,39.090000,34.083333,6.669191,20.696970,245.937304
6.400000,39.190000,34.166667,6.685739,20.707665,250.825257
6.400000,39.230000,34.250000,6.701307,20.704100,245.937304
6.400000,39.290000,34.333333,6.717852,20.705882,247.544885
6.500000,39.470000,34.416667,6.733388,20.704100,249.174056
6.700000,39.510000,34.500000,6.749908,20.702317,249.174056
6.100000,39.730000,34.583333,6.765507,20.702317,250.825257
6.300000,39.790000,34.666667,6.782083,20.705882,249.174056
6.100000,39.830000,34.750000,6.797607,20.705882,254.195574
6.400000,39.950000,34.833333,6.822194,20.709447,245.937304
6.200000,40.010000,34.916667,6.836279,20.707665,247.544885
6.400000,40.130000,35.000000,6.845908,20.707665,254.195574
6.400000,40.230000,35.083333,6.861511,20.705882,252.498941
6.600000,40.270000,35.166667,6.878054,20.704100,261.221364
6.300000,40.390000,35.250000,6.893705,20.705882,252.498941
6.500000,40.550000,35.333333,6.909288,20.702317,247.544885
6.600000,40.590000,35.416667,6.925853,20.705882,250.825257
6.300000,40.730000,35.500000,6.941426,20.704100,250.825257
6.500000,40.850000,35.583333,6.957963,20.711230,255.915633
6.400000,40.930000,35.666667,6.973494,20.713012,250.825257
6.300000,40.990000,35.750000,6.990030,20.705882,245.937304
6.400000,41.030000,35.833333,7.005576,20.702317,245.937304
6.500000,41.190000,35.916667,7.022271,20.707665,247.544885
6.600000,41.330000,36.000000,7.037847,20.707665,245.937304
6.300000,41.410000,36.083333,7.053376,20.705882,250.825257
6.500000,41.430000,36.166667,7.069912,20.711230,245.937304
6.600000,41.610000,36.250000,7.085430,20.700535,245.937304
6.800000,41.690000,36.333333,7.101952,20.704100,245.937304
6.600000,41.790000,36.416667,7.123130,20.709447,245.937304
