# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 126 +/- 3.3 A
#	n = 49.8 +/- 13 
#	Vc = 5 uV
#	Vfloor = 2.01 +/- 2e+34 uV
#	R = 9.82 +/- 3.3e+33 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.700000,0.310000,0.000000,0.042387,20.707665,247.544885
1.600000,0.250000,0.083333,0.058139,20.704100,247.544885
1.400000,0.350000,0.166667,0.074776,20.707665,249.174056
1.700000,0.450000,0.250000,0.092095,20.704100,250.825257
1.600000,0.510000,0.333333,0.108310,20.704100,245.937304
1.500000,0.530000,0.416667,0.124400,20.698752,247.544885
1.800000,0.670000,0.500000,0.140507,20.704100,247.544885
1.500000,0.770000,0.583333,0.155591,20.705882,244.350882
1.300000,0.890000,0.666667,0.172015,20.705882,250.825257
1.400000,0.990000,0.750000,0.186102,20.696970,250.825257
1.500000,1.050000,0.833333,0.204089,20.711230,250.825257
1.700000,1.190000,0.916667,0.217966,20.707665,252.498941
1.500000,1.230000,1.000000,0.233791,20.707665,247.544885
1.700000,1.310000,1.083333,0.249687,20.705882,250.825257
1.500000,1.450000,1.166667,0.265961,20.702317,254.195574
1.400000,1.550000,1.250000,0.282289,20.705882,250.825257
1.500000,1.630000,1.333333,0.298175,20.702317,250.825257
1.400000,1.690000,1.416667,0.314025,20.705882,249.174056
1.500000,1.830000,1.500000,0.329876,20.705882,249.174056
1.600000,1.870000,1.583333,0.345823,20.704100,245.937304
1.500000,1.990000,1.666667,0.361679,20.709447,247.544885
1.500000,2.130000,1.750000,0.377537,20.709447,245.937304
1.300000,2.230000,1.833333,0.393631,20.704100,245.937304
1.400000,2.250000,1.916667,0.409520,20.704100,245.937304
1.500000,2.350000,2.000000,0.426362,20.707665,242.785204
1.500000,2.490000,2.083333,0.442180,20.707665,242.785204
1.500000,2.730000,2.166667,0.458155,20.693405,254.195574
1.700000,2.670000,2.250000,0.474073,20.705882,245.937304
1.700000,2.770000,2.333333,0.489931,20.711230,249.174056
1.800000,2.850000,2.416667,0.505791,20.709447,247.544885
1.500000,2.990000,2.500000,0.521607,20.702317,252.498941
1.400000,3.070000,2.583333,0.538427,20.709447,250.825257
1.600000,3.190000,2.666667,0.560917,20.713012,249.174056
1.600000,3.230000,2.750000,0.570166,20.709447,254.195574
1.400000,3.490000,2.833333,0.586275,20.713012,252.498941
1.600000,3.390000,2.916667,0.602179,20.702317,255.915633
1.500000,3.550000,3.000000,0.618040,20.707665,254.195574
1.300000,3.630000,3.083333,0.633863,20.705882,254.195574
1.500000,3.690000,3.166667,0.649710,20.702317,250.825257
1.600000,3.870000,3.250000,0.665597,20.707665,252.498941
1.500000,3.870000,3.333333,0.682468,20.709447,250.825257
1.600000,4.010000,3.416667,0.698299,20.707665,250.825257
1.600000,4.150000,3.500000,0.714154,20.713012,252.498941
1.400000,4.170000,3.583333,0.729991,20.705882,247.544885
1.700000,4.310000,3.666667,0.745826,20.702317,245.937304
1.700000,4.390000,3.750000,0.761644,20.707665,245.937304
1.400000,4.450000,3.833333,0.777833,20.709447,245.937304
1.500000,4.530000,3.916667,0.793678,20.709447,245.937304
1.600000,4.670000,4.000000,0.809485,20.705882,244.350882
1.500000,4.750000,4.083333,0.826295,20.707665,245.937304
1.600000,4.850000,4.166667,0.842202,20.702317,244.350882
1.700000,4.970000,4.250000,0.860925,20.705882,242.785204
1.700000,5.010000,4.333333,0.874202,20.704100,242.785204
1.600000,5.190000,4.416667,0.892273,20.696970,242.785204
1.500000,5.170000,4.500000,0.908501,20.700535,247.544885
1.500000,5.310000,4.583333,0.923588,20.713012,250.825257
1.500000,5.410000,4.666667,0.939826,20.707665,249.174056
1.600000,5.550000,4.750000,0.956020,20.711230,247.544885
1.700000,5.550000,4.833333,0.974949,20.702317,249.174056
1.700000,5.650000,4.916667,0.986658,20.707665,257.659612
1.600000,5.810000,5.000000,1.001499,20.707665,249.174056
1.500000,5.890000,5.083333,1.018319,20.705882,249.174056
1.400000,6.030000,5.166667,1.034192,20.711230,255.915633
1.500000,6.090000,5.250000,1.050031,20.709447,250.825257
1.600000,6.210000,5.333333,1.065859,20.711230,252.498941
1.500000,6.310000,5.416667,1.081691,20.705882,250.825257
1.700000,6.410000,5.500000,1.097654,20.704100,250.825257
1.500000,6.470000,5.583333,1.113536,20.702317,252.498941
1.700000,6.650000,5.666667,1.130384,20.702317,247.544885
1.800000,6.650000,5.750000,1.146207,20.702317,244.350882
1.700000,6.790000,5.833333,1.168149,20.700535,247.544885
1.700000,6.850000,5.916667,1.178112,20.709447,249.174056
1.600000,6.930000,6.000000,1.194017,20.711230,244.350882
1.600000,7.050000,6.083333,1.209895,20.709447,245.937304
1.700000,7.170000,6.166667,1.225823,20.702317,244.350882
1.900000,7.290000,6.250000,1.241654,20.705882,247.544885
1.600000,7.310000,6.333333,1.257472,20.696970,247.544885
1.500000,7.430000,6.416667,1.274289,20.709447,249.174056
1.800000,7.550000,6.500000,1.290107,20.709447,245.937304
1.800000,7.670000,6.583333,1.305931,20.705882,249.174056
1.700000,7.750000,6.666667,1.321730,20.702317,252.498941
1.800000,7.710000,6.750000,1.337626,20.711230,247.544885
1.600000,7.970000,6.833333,1.356795,20.709447,244.350882
1.600000,8.050000,6.916667,1.369689,20.709447,249.174056
1.600000,8.150000,7.000000,1.385806,20.714795,252.498941
1.700000,8.210000,7.083333,1.402178,20.713012,241.239861
1.500000,8.230000,7.166667,1.418733,20.713012,252.498941
1.700000,8.390000,7.250000,1.434296,20.705882,250.825257
1.800000,8.450000,7.333333,1.450321,20.709447,250.825257
2.100000,8.590000,7.416667,1.467640,20.704100,249.174056
2.000000,8.710000,7.500000,1.482537,20.707665,252.498941
2.200000,8.750000,7.583333,1.498295,20.714795,252.498941
2.300000,8.870000,7.666667,1.514223,20.707665,247.544885
2.200000,8.930000,7.750000,1.530192,20.702317,254.195574
2.500000,9.010000,7.833333,1.546220,20.705882,247.544885
2.600000,9.150000,7.916667,1.562014,20.709447,247.544885
2.800000,9.210000,8.000000,1.578325,20.702317,247.544885
2.500000,9.330000,8.083333,1.594272,20.707665,242.785204
2.400000,9.470000,8.166667,1.610339,20.704100,244.350882
2.500000,9.530000,8.250000,1.626192,20.709447,247.544885
2.600000,9.650000,8.333333,1.642272,20.705882,244.350882
2.700000,9.750000,8.416667,1.658337,20.705882,245.937304
3.000000,9.810000,8.500000,1.674235,20.707665,255.915633
2.700000,9.830000,8.583333,1.691689,20.704100,247.544885
2.700000,9.830000,8.666667,1.708164,20.704100,245.937304
2.700000,10.150000,8.750000,1.723911,20.705882,250.825257
2.800000,10.250000,8.833333,1.740231,20.702317,250.825257
2.600000,10.330000,8.916667,1.778748,20.702317,250.825257
2.500000,10.350000,9.000000,1.793453,20.705882,245.937304
2.800000,10.490000,9.083333,1.809300,20.704100,245.937304
2.700000,10.570000,9.166667,1.825160,20.702317,244.350882
2.600000,10.670000,9.250000,1.841138,20.709447,241.239861
2.800000,10.830000,9.333333,1.857013,20.700535,249.174056
2.600000,10.770000,9.416667,1.873034,20.707665,252.498941
2.500000,10.950000,9.500000,1.889262,20.707665,250.825257
2.700000,11.090000,9.583333,1.905967,20.700535,250.825257
2.800000,11.190000,9.666667,1.921263,20.711230,252.498941
2.600000,11.330000,9.750000,1.937582,20.707665,250.825257
2.500000,11.330000,9.833333,1.956631,20.713012,247.544885
2.700000,11.330000,9.916667,1.969003,20.705882,252.498941
2.700000,11.570000,10.000000,1.985205,20.702317,255.915633
2.900000,11.590000,10.083333,2.001132,20.705882,255.915633
2.800000,11.770000,10.166667,2.017498,20.705882,249.174056
2.700000,11.590000,10.250000,2.032945,20.705882,249.174056
2.800000,11.870000,10.333333,2.049195,20.713012,250.825257
2.700000,12.030000,10.416667,2.067139,20.713012,254.195574
2.700000,11.970000,10.500000,2.080775,20.709447,250.825257
