# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 127 +/- 1.7 A
#	n = 49.8 +/- 6.1 
#	Vc = 5 uV
#	Vfloor = 4.95 +/- 2e+34 uV
#	R = 6.08 +/- 3e+28 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.250000,0.000000,0.054267,20.695187,247.544885
1.400000,0.270000,0.083333,0.068540,20.711230,250.825257
1.500000,0.350000,0.166667,0.083342,20.705882,249.174056
1.600000,0.450000,0.250000,0.099117,20.709447,259.428015
1.700000,0.490000,0.333333,0.119283,20.707665,250.825257
1.300000,0.570000,0.416667,0.131651,20.711230,254.195574
1.500000,0.690000,0.500000,0.147440,20.705882,254.195574
1.600000,0.810000,0.583333,0.163305,20.709447,252.498941
1.500000,0.890000,0.666667,0.179142,20.705882,250.825257
1.400000,1.030000,0.750000,0.195931,20.709447,254.195574
1.400000,1.050000,0.833333,0.211477,20.702317,252.498941
1.400000,1.150000,0.916667,0.227353,20.704100,252.498941
1.500000,1.210000,1.000000,0.243174,20.709447,247.544885
1.500000,1.350000,1.083333,0.259972,20.704100,247.544885
1.500000,1.410000,1.166667,0.275765,20.707665,250.825257
1.400000,1.570000,1.250000,0.291538,20.707665,249.174056
1.500000,1.550000,1.333333,0.307348,20.707665,245.937304
1.400000,1.670000,1.416667,0.323157,20.705882,245.937304
1.500000,1.850000,1.500000,0.339929,20.707665,247.544885
1.400000,1.910000,1.583333,0.355710,20.707665,244.350882
1.500000,2.010000,1.666667,0.371675,20.713012,242.785204
1.600000,2.110000,1.750000,0.387554,20.704100,244.350882
1.700000,2.250000,1.833333,0.403426,20.700535,244.350882
1.400000,2.330000,1.916667,0.420059,20.695187,245.937304
1.500000,2.350000,2.000000,0.435307,20.702317,250.825257
1.400000,2.450000,2.083333,0.451139,20.705882,247.544885
1.300000,2.550000,2.166667,0.467929,20.707665,247.544885
1.500000,2.670000,2.250000,0.483702,20.704100,255.915633
1.500000,2.710000,2.333333,0.499466,20.713012,250.825257
1.300000,2.870000,2.416667,0.515230,20.707665,249.174056
1.500000,2.990000,2.500000,0.531994,20.704100,252.498941
1.300000,3.050000,2.583333,0.547736,20.707665,254.195574
1.700000,3.170000,2.666667,0.563497,20.707665,252.498941
1.500000,3.290000,2.750000,0.583621,20.698752,245.937304
1.300000,3.330000,2.833333,0.595437,20.704100,255.915633
1.400000,3.490000,2.916667,0.611225,20.700535,257.659612
1.400000,3.530000,3.000000,0.628398,20.704100,255.915633
1.500000,3.650000,3.083333,0.643245,20.698752,244.350882
1.300000,3.730000,3.166667,0.660015,20.707665,245.937304
1.600000,3.770000,3.250000,0.675845,20.709447,250.825257
1.400000,4.010000,3.333333,0.691675,20.705882,250.825257
1.400000,4.010000,3.416667,0.707468,20.705882,245.937304
1.500000,4.070000,3.500000,0.724387,20.705882,247.544885
1.500000,4.170000,3.583333,0.739676,20.705882,247.544885
1.600000,4.250000,3.666667,0.755471,20.700535,247.544885
1.600000,4.350000,3.750000,0.775285,20.702317,250.825257
1.600000,4.370000,3.833333,0.789358,20.704100,242.785204
1.600000,4.470000,3.916667,0.805325,20.711230,249.174056
1.400000,4.590000,4.000000,0.821275,20.702317,244.350882
1.500000,4.670000,4.083333,0.837212,20.702317,245.937304
1.400000,4.850000,4.166667,0.853154,20.702317,242.785204
1.800000,4.870000,4.250000,0.869081,20.702317,239.714457
1.600000,5.030000,4.333333,0.884158,20.709447,249.174056
1.400000,5.150000,4.416667,0.899986,20.709447,250.825257
1.400000,5.310000,4.500000,0.915752,20.702317,252.498941
1.700000,5.290000,4.583333,0.931518,20.696970,252.498941
1.400000,5.450000,4.666667,0.947326,20.698752,254.195574
1.700000,5.550000,4.750000,0.963541,20.704100,252.498941
1.800000,5.630000,4.833333,0.979370,20.707665,254.195574
1.500000,5.710000,4.916667,0.995135,20.709447,252.498941
1.400000,5.830000,5.000000,1.019019,20.711230,249.174056
1.500000,5.890000,5.083333,1.027297,20.702317,245.937304
1.700000,6.030000,5.166667,1.043082,20.700535,252.498941
1.500000,6.110000,5.250000,1.059857,20.702317,250.825257
1.400000,6.230000,5.333333,1.075659,20.704100,252.498941
1.700000,6.310000,5.416667,1.091461,20.705882,244.350882
1.800000,6.350000,5.500000,1.107257,20.704100,247.544885
1.900000,6.490000,5.583333,1.124412,20.704100,249.174056
1.600000,6.570000,5.666667,1.139273,20.704100,245.937304
1.600000,6.690000,5.750000,1.155647,20.704100,245.937304
1.800000,6.790000,5.833333,1.171458,20.709447,244.350882
1.800000,6.930000,5.916667,1.187311,20.704100,247.544885
1.700000,6.990000,6.000000,1.203162,20.702317,247.544885
