# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 137 +/- 4.5 A
#	n = 44.9 +/- 26 
#	Vc = 5 uV
#	Vfloor = 28.9 +/- 1.6e+34 uV
#	R = 9.38 +/- 9.2e+29 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.700000,0.350000,0.000000,0.052083,20.714795,249.174056
1.200000,0.310000,0.083333,0.071768,20.702317,250.825257
1.500000,0.330000,0.166667,0.081451,20.711230,242.785204
1.600000,0.450000,0.250000,0.098690,20.707665,249.174056
1.300000,0.510000,0.333333,0.113828,20.705882,250.825257
1.700000,0.570000,0.416667,0.129410,20.700535,244.350882
1.500000,0.770000,0.500000,0.145949,20.702317,247.544885
1.600000,0.750000,0.583333,0.161513,20.705882,247.544885
1.500000,0.870000,0.666667,0.178097,20.709447,250.825257
1.600000,0.970000,0.750000,0.193647,20.704100,249.174056
1.700000,1.070000,0.833333,0.209179,20.713012,250.825257
1.500000,1.210000,0.916667,0.225644,20.711230,252.498941
1.400000,1.190000,1.000000,0.241236,20.704100,252.498941
1.400000,1.370000,1.083333,0.257791,20.704100,250.825257
1.400000,1.430000,1.166667,0.273358,20.707665,254.195574
1.600000,1.570000,1.250000,0.289933,20.707665,252.498941
1.300000,1.650000,1.333333,0.305586,20.698752,252.498941
1.700000,1.710000,1.416667,0.322179,20.707665,254.195574
1.500000,1.870000,1.500000,0.337735,20.709447,252.498941
1.500000,1.910000,1.583333,0.353291,20.705882,249.174056
1.600000,2.030000,1.666667,0.369836,20.700535,250.825257
1.400000,2.090000,1.750000,0.385389,20.707665,252.498941
1.400000,2.190000,1.833333,0.401814,20.702317,252.498941
1.700000,2.270000,1.916667,0.417943,20.707665,252.498941
1.400000,2.350000,2.000000,0.433735,20.702317,249.174056
1.500000,2.530000,2.083333,0.449672,20.704100,249.174056
1.300000,2.550000,2.166667,0.465561,20.705882,242.785204
1.400000,2.650000,2.250000,0.481460,20.707665,235.254074
1.600000,2.790000,2.333333,0.497370,20.705882,245.937304
1.400000,2.910000,2.416667,0.513918,20.705882,245.937304
1.400000,2.930000,2.500000,0.529474,20.702317,249.174056
1.400000,3.090000,2.583333,0.546051,20.711230,247.544885
1.500000,3.150000,2.666667,0.561676,20.704100,252.498941
1.600000,3.230000,2.750000,0.577273,20.705882,252.498941
1.600000,3.370000,2.833333,0.593841,20.704100,254.195574
1.400000,3.510000,2.916667,0.609439,20.705882,252.498941
1.700000,3.630000,3.000000,0.626232,20.698752,249.174056
1.500000,3.670000,3.083333,0.643988,20.707665,254.195574
1.300000,3.730000,3.166667,0.657604,20.709447,252.498941
1.500000,3.810000,3.250000,0.674188,20.707665,255.915633
1.600000,3.910000,3.333333,0.696719,20.704100,247.544885
1.700000,3.990000,3.416667,0.705928,20.704100,255.915633
1.500000,4.030000,3.500000,0.722061,20.709447,257.659612
1.600000,4.190000,3.583333,0.739325,20.711230,252.498941
1.500000,4.230000,3.666667,0.755891,20.705882,249.174056
1.500000,4.330000,3.750000,0.771315,20.707665,254.195574
1.600000,4.470000,3.833333,0.787959,20.711230,255.915633
1.600000,4.550000,3.916667,0.803996,20.698752,257.659612
1.500000,4.590000,4.000000,0.819702,20.711230,249.174056
1.800000,4.710000,4.083333,0.835826,20.718360,250.825257
1.700000,4.810000,4.166667,0.859749,20.698752,247.544885
1.300000,4.890000,4.250000,0.868500,20.698752,247.544885
1.600000,4.970000,4.333333,0.883510,20.714795,245.937304
1.700000,5.130000,4.416667,0.899523,20.711230,245.937304
