# Date: 20211028
# Operator: DCC
# Notes: NS-109 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 89.8 +/- 0.95 A
#	n = 50 +/- 1 
#	Vc = 5 uV
#	Vfloor = 27.5 +/- 4.5e+45 uV
#	R = 7.89 +/- 9.4e+38 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.600000,0.310000,0.000000,0.035429,20.713012,247.544885
1.500000,0.330000,0.083333,0.045727,20.711230,250.825257
1.500000,0.330000,0.166667,0.056307,20.707665,254.195574
1.400000,0.470000,0.250000,0.071895,20.704100,250.825257
1.400000,0.530000,0.333333,0.088453,20.709447,249.174056
1.400000,0.610000,0.416667,0.103981,20.709447,250.825257
1.600000,0.710000,0.500000,0.120515,20.707665,249.174056
1.400000,0.810000,0.583333,0.136055,20.714795,250.825257
1.400000,0.830000,0.666667,0.152168,20.709447,245.937304
1.500000,0.950000,0.750000,0.168242,20.709447,245.937304
1.700000,1.050000,0.833333,0.184093,20.709447,247.544885
1.500000,1.170000,0.916667,0.200104,20.709447,245.937304
1.500000,1.250000,1.000000,0.216042,20.713012,245.937304
1.500000,1.330000,1.083333,0.232044,20.704100,247.544885
1.400000,1.450000,1.166667,0.248443,20.704100,245.937304
1.200000,1.530000,1.250000,0.264103,20.716578,245.937304
1.600000,1.650000,1.333333,0.281968,20.705882,244.350882
1.500000,1.710000,1.416667,0.298279,20.704100,244.350882
1.500000,1.810000,1.500000,0.314244,20.704100,247.544885
1.500000,1.910000,1.583333,0.330212,20.709447,247.544885
1.500000,1.990000,1.666667,0.346233,20.705882,250.825257
1.700000,2.090000,1.750000,0.362267,20.702317,247.544885
1.200000,2.290000,1.833333,0.377411,20.711230,250.825257
1.700000,2.210000,1.916667,0.392247,20.705882,249.174056
1.600000,2.370000,2.000000,0.408111,20.709447,254.195574
1.400000,2.490000,2.083333,0.424070,20.704100,254.195574
1.400000,2.450000,2.166667,0.448824,20.704100,247.544885
1.500000,2.690000,2.250000,0.455977,20.707665,250.825257
1.400000,2.770000,2.333333,0.472111,20.707665,252.498941
1.500000,2.870000,2.416667,0.488049,20.704100,247.544885
1.300000,2.950000,2.500000,0.504106,20.705882,245.937304
1.600000,3.070000,2.583333,0.520033,20.709447,250.825257
1.500000,3.130000,2.666667,0.536047,20.705882,250.825257
1.400000,3.210000,2.750000,0.552044,20.707665,244.350882
