# Date: 20201223
# Operator: RDP
# Notes: Old Rig, 15Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-3
# Fit of Tap:
#	Ic = 96.5 +/- 1.5 A
#	n = 50 +/- 1.6 
#	Vc = 5 uV
#	Vfloor = 0.994 +/- 1e+127 uV
#	R = 0.0249 +/- 2e+121 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.800000,0.190000,0.000000,0.025448,41.499540,0.275314
1.000000,0.270000,0.250000,0.041250,41.499540,0.275314
1.000000,0.510000,0.500000,0.056859,41.499540,0.273466
0.900000,0.730000,0.750000,0.073445,41.670320,0.273466
0.800000,0.970000,1.000000,0.088985,42.011880,0.269771
0.800000,1.210000,1.250000,0.104530,42.268050,0.271619
0.600000,1.450000,1.500000,0.121046,42.353440,0.273466
1.000000,1.750000,1.750000,0.136561,42.609610,0.277162
1.000000,1.950000,2.000000,0.153094,42.695000,0.273466
1.000000,2.150000,2.250000,0.168644,43.207340,0.273466
1.000000,2.410000,2.500000,0.185167,43.121950,0.271619
0.800000,2.670000,2.750000,0.204522,42.353440,0.266075
1.100000,2.910000,3.000000,0.217159,43.207340,0.273466
1.200000,3.150000,3.250000,0.240526,41.670320,0.269771
1.000000,3.290000,3.500000,0.248610,43.207340,0.269771
1.100000,3.550000,3.750000,0.265158,43.121950,0.277162
1.100000,3.790000,4.000000,0.280684,42.780390,0.273466
0.700000,4.090000,4.250000,0.297198,42.865780,0.273466
1.200000,4.310000,4.500000,0.312850,42.438830,0.271619
1.100000,4.550000,4.750000,0.329463,42.353440,0.275314
0.900000,4.790000,5.000000,0.345011,42.097270,0.264228
1.000000,5.050000,5.250000,0.360541,41.841100,0.273466
1.000000,5.290000,5.500000,0.377100,42.011880,0.269771
1.100000,5.510000,5.750000,0.394039,42.097270,0.271619
0.900000,5.730000,6.000000,0.408647,41.414150,0.273466
1.000000,5.970000,6.250000,0.425175,41.841100,0.277162
1.000000,6.210000,6.500000,0.440684,41.584930,0.271619
0.800000,6.450000,6.750000,0.457198,41.755710,0.269771
1.100000,6.730000,7.000000,0.472706,42.182660,0.271619
0.600000,6.950000,7.250000,0.489213,41.926490,0.271619
0.900000,7.170000,7.500000,0.504747,42.182660,0.266075
0.800000,7.410000,7.750000,0.521269,42.182660,0.273466
1.100000,7.650000,8.000000,0.539771,41.499540,0.267923
0.900000,7.790000,8.250000,0.552848,41.414150,0.273466
1.100000,8.070000,8.500000,0.569710,42.609610,0.275314
1.000000,8.370000,8.750000,0.584825,42.609610,0.271619
1.200000,8.590000,9.000000,0.601424,42.865780,0.271619
1.000000,8.890000,9.250000,0.616987,42.865780,0.269771
0.800000,8.970000,9.500000,0.632540,43.036560,0.271619
1.000000,9.350000,9.750000,0.649053,42.865780,0.271619
1.300000,9.570000,10.000000,0.664573,42.865780,0.275314
1.100000,9.810000,10.250000,0.681079,42.951170,0.273466
1.200000,10.030000,10.500000,0.696592,42.865780,0.271619
1.200000,10.290000,10.750000,0.713119,42.524220,0.271619
0.900000,10.530000,11.000000,0.730254,42.268050,0.269771
0.900000,10.770000,11.250000,0.746693,41.926490,0.271619
0.900000,10.990000,11.500000,0.763101,41.841100,0.271619
1.300000,11.270000,11.750000,0.781657,42.780390,0.273466
0.800000,11.450000,12.000000,0.795190,41.584930,0.269771
0.800000,11.710000,12.250000,0.810735,41.670320,0.271619
1.000000,11.890000,12.500000,0.825891,41.670320,0.317812
0.900000,12.210000,12.750000,0.841900,41.584930,0.273466
