# Date: 20201223
# Operator: RDP
# Notes: Old Rig, 15Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-6
# Fit of Tap:
#	Ic = 621 A
#	n = 50 
#	Vc = 5 uV
#	Vfloor = 1.4 uV
#	R = 4.78 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.690000,0.000000,0.060773,40.816420,0.271619
1.000000,-0.010000,0.250000,0.078755,42.011880,0.271619
1.000000,0.010000,0.500000,0.091413,42.609610,0.315965
1.000000,-0.050000,0.750000,0.106998,42.695000,0.271619
1.100000,0.010000,1.000000,0.126522,42.182660,0.271619
0.500000,-0.050000,1.250000,0.140929,42.780390,0.264228
1.000000,-0.070000,1.500000,0.157426,43.036560,0.271619
1.300000,-0.090000,1.750000,0.172890,42.524220,0.267923
1.200000,-0.110000,2.000000,0.189377,42.524220,0.267923
1.000000,-0.090000,2.250000,0.204882,42.353440,0.269771
1.000000,-0.070000,2.500000,0.229145,41.841100,0.266075
1.200000,-0.070000,2.750000,0.237648,42.353440,0.266075
1.000000,-0.010000,3.000000,0.253111,41.670320,0.269771
0.900000,0.030000,3.250000,0.269671,41.841100,0.267923
0.700000,-0.090000,3.500000,0.285220,41.755710,0.267923
1.000000,0.170000,3.750000,0.300862,41.499540,0.269771
1.100000,-0.030000,4.000000,0.317468,41.584930,0.267923
1.100000,-0.050000,4.250000,0.332961,41.157980,0.271619
0.900000,-0.110000,4.500000,0.349554,41.414150,0.269771
1.100000,-0.090000,4.750000,0.365021,41.328760,0.275314
1.100000,-0.090000,5.000000,0.381558,41.670320,0.271619
1.000000,-0.310000,5.250000,0.397035,41.584930,0.273466
0.900000,-0.030000,5.500000,0.413555,41.670320,0.271619
0.900000,-0.010000,5.750000,0.446602,41.584930,0.273466
0.900000,-0.010000,6.000000,0.462317,41.755710,0.266075
0.800000,-0.050000,6.250000,0.478878,42.097270,0.264228
1.000000,0.150000,6.500000,0.494388,41.328760,0.260532
1.100000,-0.070000,6.750000,0.511003,42.695000,0.267923
1.200000,-0.050000,7.000000,0.526609,42.353440,0.271619
0.900000,-0.030000,7.250000,0.543086,42.353440,0.267923
1.200000,-0.110000,7.500000,0.558808,42.865780,0.271619
0.900000,-0.110000,7.750000,0.574334,42.951170,0.271619
1.000000,-0.030000,8.000000,0.590894,42.780390,0.269771
1.000000,-0.070000,8.250000,0.606405,42.695000,0.269771
1.300000,-0.110000,8.500000,0.627165,42.182660,0.273466
0.900000,-0.050000,8.750000,0.638804,42.695000,0.271619
1.200000,-0.090000,9.000000,0.654344,42.353440,0.269771
1.100000,-0.030000,9.250000,0.670866,42.438830,0.267923
1.000000,-0.050000,9.500000,0.686307,41.584930,0.271619
1.200000,-0.050000,9.750000,0.702847,41.755710,0.271619
0.900000,-0.070000,10.000000,0.732260,41.328760,0.266075
0.900000,-0.030000,10.250000,0.741440,43.207340,0.269771
1.000000,-0.050000,10.500000,0.750943,41.414150,0.267923
1.000000,-0.090000,10.750000,0.766524,41.328760,0.271619
1.200000,-0.050000,11.000000,0.783017,41.414150,0.269771
