# Date: 20201223
# Operator: RDP
# Notes: Old Rig, 15Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-6
# Fit of Tap:
#	Ic = 95.3 A
#	n = 208 
#	Vc = 5 uV
#	Vfloor = 0.97 uV
#	R = 0.00779 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.190000,0.000000,0.025253,43.121950,0.273466
1.000000,0.310000,0.250000,0.040916,42.951170,0.269771
0.900000,0.510000,0.500000,0.057475,42.780390,0.267923
1.100000,0.710000,0.750000,0.073027,42.609610,0.271619
1.100000,0.890000,1.000000,0.088626,42.268050,0.271619
1.000000,1.170000,1.250000,0.105178,41.755710,0.269771
0.500000,1.630000,1.500000,0.120752,41.841100,0.267923
1.100000,1.670000,1.750000,0.137328,41.841100,0.269771
0.900000,1.910000,2.000000,0.152901,41.755710,0.275314
1.100000,2.190000,2.250000,0.169025,41.499540,0.273466
1.100000,2.470000,2.500000,0.185108,41.584930,0.266075
0.800000,2.670000,2.750000,0.201006,41.414150,0.273466
0.800000,2.950000,3.000000,0.216696,41.499540,0.267923
1.100000,3.090000,3.250000,0.233101,41.499540,0.269771
1.200000,3.370000,3.500000,0.248702,42.011880,0.271619
1.000000,3.590000,3.750000,0.265257,41.755710,0.271619
0.800000,3.870000,4.000000,0.280874,42.097270,0.267923
0.800000,4.150000,4.250000,0.297437,42.182660,0.269771
0.900000,4.270000,4.500000,0.312994,42.438830,0.267923
0.800000,4.490000,4.750000,0.328581,42.524220,0.267923
1.200000,4.770000,5.000000,0.345138,42.780390,0.271619
1.200000,5.250000,5.250000,0.360689,42.865780,0.271619
1.000000,5.250000,5.500000,0.377261,42.780390,0.269771
1.000000,5.510000,5.750000,0.392804,42.865780,0.266075
0.900000,5.790000,6.000000,0.409403,43.036560,0.269771
0.900000,6.010000,6.250000,0.424966,42.951170,0.271619
1.100000,6.250000,6.500000,0.441130,42.865780,0.275314
0.900000,6.550000,6.750000,0.463227,40.389470,0.273466
0.900000,6.590000,7.000000,0.473378,42.865780,0.266075
0.900000,6.890000,7.250000,0.488964,42.182660,0.271619
1.100000,7.210000,7.500000,0.504518,42.182660,0.273466
1.100000,7.330000,7.750000,0.521082,42.182660,0.277162
0.900000,7.650000,8.000000,0.536649,41.755710,0.277162
0.900000,7.870000,8.250000,0.553230,41.670320,0.277162
1.200000,8.150000,8.500000,0.568797,41.584930,0.271619
1.000000,8.370000,8.750000,0.585354,41.499540,0.267923
1.300000,8.570000,9.000000,0.600948,41.414150,0.277162
1.100000,8.830000,9.250000,0.617524,41.584930,0.271619
1.000000,9.030000,9.500000,0.633066,41.584930,0.271619
1.000000,9.310000,9.750000,0.649354,41.841100,0.269771
0.900000,9.590000,10.000000,0.664949,41.755710,0.273466
1.100000,9.770000,10.250000,0.681510,41.926490,0.271619
1.000000,10.070000,10.500000,0.697105,42.182660,0.273466
1.100000,10.250000,10.750000,0.712702,44.573580,0.271619
0.800000,10.470000,11.000000,0.730780,42.182660,0.269771
0.900000,10.690000,11.250000,0.746323,42.353440,0.269771
0.900000,10.990000,11.500000,0.771210,41.755710,0.269771
1.000000,11.090000,11.750000,0.780448,42.182660,0.273466
1.100000,11.410000,12.000000,0.795020,42.695000,0.269771
1.000000,11.730000,12.250000,0.810525,42.865780,0.271619
1.100000,12.010000,12.500000,0.826685,43.378120,0.315965
1.000000,12.190000,12.750000,0.841244,42.951170,0.271619
1.000000,12.390000,13.000000,0.857641,43.121950,0.271619
