# Date: 20201223
# Operator: RDP
# Notes: Old Rig, 15Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-6
# Fit of Tap:
#	Ic = 173 +/- 0.12 A
#	n = 55.6 +/- 2.4 
#	Vc = 5 uV
#	Vfloor = 1.07 +/- 0.014 uV
#	R = 0.00274 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.900000,0.170000,0.000000,0.031610,41.670320,0.273466
0.800000,0.250000,0.250000,0.041731,42.011880,0.266075
0.800000,0.490000,0.500000,0.058324,42.438830,0.269771
1.100000,0.790000,0.750000,0.073801,42.695000,0.273466
1.000000,1.030000,1.000000,0.090358,42.695000,0.273466
1.000000,1.870000,1.250000,0.106131,39.535570,0.266075
0.700000,1.470000,1.500000,0.121730,43.378120,0.314117
1.000000,1.690000,1.750000,0.138331,43.463510,0.271619
1.100000,1.930000,2.000000,0.153857,42.951170,0.267923
1.000000,2.210000,2.250000,0.170407,46.537550,0.188470
1.000000,2.370000,2.500000,0.185912,42.695000,0.275314
0.900000,2.590000,2.750000,0.202464,42.780390,0.269771
0.900000,2.870000,3.000000,0.242055,42.182660,0.269771
1.200000,2.510000,3.250000,0.258739,42.524220,0.273466
1.100000,3.330000,3.500000,0.274352,42.609610,0.279010
1.100000,3.550000,3.750000,0.289879,42.695000,0.262380
0.800000,3.790000,4.000000,0.306391,42.780390,0.267923
0.900000,4.050000,4.250000,0.321882,43.121950,0.267923
1.200000,4.310000,4.500000,0.338440,43.121950,0.269771
0.900000,4.550000,4.750000,0.353937,42.695000,0.266075
0.900000,4.770000,5.000000,0.370729,43.378120,0.319660
1.000000,4.990000,5.250000,0.386254,42.780390,0.273466
1.200000,5.230000,5.500000,0.402716,42.780390,0.269771
0.800000,5.530000,5.750000,0.428281,41.499540,0.271619
0.900000,6.510000,6.000000,0.436921,39.791740,0.249446
1.100000,6.010000,6.250000,0.450560,41.841100,0.273466
0.700000,6.210000,6.500000,0.466258,41.841100,0.271619
0.700000,6.530000,6.750000,0.482938,41.670320,0.275314
1.200000,6.650000,7.000000,0.498581,42.780390,0.269771
1.200000,6.950000,7.250000,0.514179,41.414150,0.273466
0.900000,7.210000,7.500000,0.538090,42.695000,0.264228
0.800000,6.650000,7.750000,0.547416,41.414150,0.269771
0.800000,7.590000,8.000000,0.562025,41.328760,0.275314
1.000000,7.830000,8.250000,0.578556,41.243370,0.269771
1.100000,8.130000,8.500000,0.594125,41.328760,0.271619
0.700000,8.410000,8.750000,0.610622,41.584930,0.273466
0.900000,8.630000,9.000000,0.629479,41.328760,0.242055
0.900000,8.810000,9.250000,0.642056,42.182660,0.269771
1.100000,8.210000,9.500000,0.658539,42.268050,0.267923
0.700000,9.290000,9.750000,0.674047,42.524220,0.267923
1.000000,9.610000,10.000000,0.690498,42.609610,0.271619
0.900000,9.710000,10.250000,0.706008,42.780390,0.269771
0.900000,10.050000,10.500000,0.725613,42.353440,0.269771
1.000000,10.170000,10.750000,0.738903,43.036560,0.280857
0.800000,10.470000,11.000000,0.754493,42.609610,0.266075
0.900000,10.770000,11.250000,0.770057,42.780390,0.279010
0.900000,11.010000,11.500000,0.786595,42.865780,0.269771
1.000000,11.190000,11.750000,0.802175,42.695000,0.269771
1.000000,11.530000,12.000000,0.844026,41.926490,0.273466
0.900000,11.730000,12.250000,0.859750,42.182660,0.264228
1.000000,11.930000,12.500000,0.876300,42.268050,0.269771
1.200000,12.210000,12.750000,0.891858,42.695000,0.266075
0.700000,12.410000,13.000000,0.908414,42.438830,0.271619
1.200000,12.670000,13.250000,0.923916,42.353440,0.266075
1.000000,12.910000,13.500000,0.940470,42.780390,0.273466
0.700000,13.130000,13.750000,0.955975,42.780390,0.269771
0.900000,13.410000,14.000000,0.972480,43.036560,0.267923
1.000000,13.630000,14.250000,0.988146,41.584930,0.264228
1.000000,13.810000,14.500000,1.003863,42.780390,0.269771
0.900000,14.190000,14.750000,1.027539,41.414150,0.279010
1.200000,14.250000,15.000000,1.036018,42.609610,0.264228
1.300000,14.550000,15.250000,1.052503,42.609610,0.264228
1.200000,14.770000,15.500000,1.067987,42.268050,0.273466
0.700000,15.050000,15.750000,1.084567,42.353440,0.275314
1.000000,15.290000,16.000000,1.100183,41.755710,0.275314
0.800000,15.530000,16.250000,1.116640,41.841100,0.269771
0.900000,15.830000,16.500000,1.140730,42.182660,0.267923
1.100000,15.890000,16.750000,1.149956,41.755710,0.273466
0.900000,16.210000,17.000000,1.164504,41.499540,0.269771
1.000000,16.470000,17.250000,1.180003,41.414150,0.269771
1.200000,16.730000,17.500000,1.196473,41.414150,0.271619
1.100000,16.950000,17.750000,1.211981,41.499540,0.273466
0.900000,17.450000,18.000000,1.231733,41.157980,0.269771
0.800000,17.470000,18.250000,1.244508,41.499540,0.273466
0.800000,17.690000,18.500000,1.260157,41.755710,0.267923
0.800000,17.910000,18.750000,1.276689,41.841100,0.280857
1.100000,18.190000,19.000000,1.292334,42.182660,0.269771
0.900000,18.450000,19.250000,1.307880,42.353440,0.269771
1.100000,18.710000,19.500000,1.324481,42.524220,0.267923
1.100000,18.810000,19.750000,1.339964,42.097270,0.273466
0.900000,19.090000,20.000000,1.356442,42.695000,0.273466
1.200000,19.350000,20.250000,1.371965,42.951170,0.267923
1.300000,19.610000,20.500000,1.388508,42.780390,0.269771
1.100000,19.870000,20.750000,1.403994,42.951170,0.273466
0.800000,20.110000,21.000000,1.443541,41.499540,0.271619
0.900000,20.310000,21.250000,1.460309,41.755710,0.271619
0.900000,20.530000,21.500000,1.475873,42.097270,0.269771
1.100000,20.810000,21.750000,1.491510,42.011880,0.266075
0.800000,21.050000,22.000000,1.508147,42.353440,0.267923
1.300000,21.170000,22.250000,1.523852,42.353440,0.271619
1.200000,21.470000,22.500000,1.539408,42.865780,0.271619
0.800000,21.710000,22.750000,1.555909,42.780390,0.266075
0.700000,21.950000,23.000000,1.571456,42.780390,0.273466
1.000000,22.210000,23.250000,1.587990,42.951170,0.267923
1.100000,22.410000,23.500000,1.603480,42.780390,0.267923
1.000000,22.690000,23.750000,1.628727,41.328760,0.273466
1.000000,22.790000,24.000000,1.637226,42.695000,0.273466
1.100000,23.110000,24.250000,1.651712,42.438830,0.269771
1.200000,23.370000,24.500000,1.668308,42.353440,0.267923
0.900000,23.530000,24.750000,1.683853,42.011880,0.275314
1.200000,23.890000,25.000000,1.699398,41.755710,0.269771
0.800000,24.150000,25.250000,1.716362,41.841100,0.273466
1.300000,24.390000,25.500000,1.741199,42.524220,0.269771
1.000000,24.510000,25.750000,1.750560,41.926490,0.271619
1.100000,24.750000,26.000000,1.764224,41.584930,0.271619
1.300000,25.010000,26.250000,1.779728,41.243370,0.267923
1.100000,25.210000,26.500000,1.796394,41.072590,0.273466
1.000000,25.450000,26.750000,1.811987,41.584930,0.271619
1.100000,25.770000,27.000000,1.832343,41.841100,0.267923
1.100000,25.890000,27.250000,1.843961,41.670320,0.275314
1.100000,26.170000,27.500000,1.859509,42.268050,0.269771
1.100000,26.410000,27.750000,1.876023,42.011880,0.267923
1.200000,26.710000,28.000000,1.891506,42.268050,0.273466
1.400000,26.890000,28.250000,1.908012,42.353440,0.269771
1.200000,27.170000,28.500000,1.923577,42.524220,0.273466
1.200000,27.370000,28.750000,1.940204,42.609610,0.271619
1.200000,27.570000,29.000000,1.955685,42.780390,0.267923
0.900000,27.770000,29.250000,1.972267,42.609610,0.269771
1.100000,28.150000,29.500000,1.987971,42.865780,0.273466
1.200000,28.330000,29.750000,2.003522,42.780390,0.264228
1.200000,28.710000,30.000000,2.044505,41.926490,0.271619
1.000000,28.830000,30.250000,2.060531,41.584930,0.271619
1.000000,29.090000,30.500000,2.077123,41.584930,0.273466
1.100000,29.310000,30.750000,2.092597,40.731030,0.269771
1.000000,29.510000,31.000000,2.109326,42.268050,0.267923
1.100000,29.730000,31.250000,2.124908,42.353440,0.267923
1.300000,30.050000,31.500000,2.140535,42.951170,0.267923
1.000000,30.190000,31.750000,2.157096,42.609610,0.269771
1.100000,30.450000,32.000000,2.172597,42.695000,0.271619
1.200000,30.710000,32.250000,2.189083,42.780390,0.271619
1.000000,31.030000,32.500000,2.204553,42.951170,0.273466
1.100000,31.230000,32.750000,2.229289,41.584930,0.273466
1.000000,31.330000,33.000000,2.238013,42.780390,0.271619
1.200000,31.670000,33.250000,2.252674,42.695000,0.267923
1.300000,31.530000,33.500000,2.269269,42.609610,0.269771
1.400000,32.150000,33.750000,2.284773,42.524220,0.269771
1.200000,32.370000,34.000000,2.300431,41.841100,0.286401
