# Date: 20210201
# Operator: RDP
# Notes: 15 inLb TFMC Omelette
# Tap_cm: 5.0
# Sample: PbSn_05
# Fit of Tap:
#	Ic = 76.9 +/- 0.093 A
#	n = 21.8 +/- 0.78 
#	Vc = 5 uV
#	Vfloor = 0.879 +/- 0.019 uV
#	R = 0.00897 +/- 0.00052 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.800000,0.210000,0.000000,0.054418,38.169330,-4.613821
0.700000,0.270000,0.250000,0.073828,38.852450,-4.728381
0.800000,0.410000,0.500000,0.081039,37.144650,-4.530673
0.900000,0.630000,0.750000,0.093910,38.510890,-4.687731
0.800000,0.990000,1.000000,0.110107,38.340110,-4.720990
1.000000,1.210000,1.250000,0.126245,38.767060,-4.739468
1.100000,1.450000,1.500000,0.142548,38.852450,-4.743163
1.000000,1.650000,1.750000,0.157709,38.937840,-4.745011
0.800000,1.910000,2.000000,0.173860,38.937840,-4.745011
0.700000,2.110000,2.250000,0.190051,38.852450,-4.730229
0.700000,2.370000,2.500000,0.205818,38.681670,-4.706208
1.100000,2.630000,2.750000,0.222039,38.425500,-4.678492
0.800000,2.870000,3.000000,0.238726,38.340110,-4.685883
1.000000,3.030000,3.250000,0.253896,37.827770,-4.604582
0.900000,3.310000,3.500000,0.270065,37.742380,-4.584257
0.900000,3.610000,3.750000,0.287132,37.913160,-4.611973
0.800000,3.810000,4.000000,0.302705,37.486210,-4.565780
0.800000,4.030000,4.250000,0.317824,37.144650,-4.525129
0.800000,4.230000,4.500000,0.333980,37.230040,-4.515891
0.900000,4.490000,4.750000,0.350145,36.973870,-4.506652
0.800000,4.810000,5.000000,0.366214,36.973870,-4.502956
1.000000,5.070000,5.250000,0.382054,36.973870,-4.506652
0.800000,5.190000,5.500000,0.398235,37.144650,-4.515891
0.900000,5.410000,5.750000,0.414040,37.315430,-4.549150
1.100000,5.750000,6.000000,0.429805,37.400820,-4.593496
1.000000,5.990000,6.250000,0.445585,37.656990,-4.632299
0.800000,6.210000,6.500000,0.462347,37.742380,-4.619364
0.700000,6.430000,6.750000,0.478109,37.913160,-4.660015
1.000000,6.670000,7.000000,0.493886,38.510890,-4.709904
0.800000,6.850000,7.250000,0.509644,38.681670,-4.745011
1.100000,7.170000,7.500000,0.526412,38.767060,-4.739468
0.800000,7.350000,7.750000,0.542237,38.767060,-4.745011
1.100000,7.570000,8.000000,0.558003,38.937840,-4.754250
1.100000,7.930000,8.250000,0.583050,37.144650,-4.521434
0.900000,8.050000,8.500000,0.595469,37.827770,-4.637842
1.100000,8.250000,8.750000,0.606269,38.510890,-4.722838
1.200000,8.570000,9.000000,0.622038,38.510890,-4.695122
0.800000,8.810000,9.250000,0.637894,38.340110,-4.656319
0.700000,8.990000,9.500000,0.653705,37.913160,-4.613821
0.900000,9.290000,9.750000,0.670467,37.742380,-4.623060
1.100000,9.490000,10.000000,0.686231,37.571600,-4.565780
1.100000,9.750000,10.250000,0.701991,37.315430,-4.536216
