# Date: 20201223
# Operator: RDP
# Notes: Old Rig, 15Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-4
# Fit of Tap:
#	Ic = 174 +/- 0.13 A
#	n = 37.7 +/- 1.3 
#	Vc = 5 uV
#	Vfloor = 1.03 +/- 0.014 uV
#	R = 0.00262 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.900000,0.170000,0.000000,0.029543,42.609610,0.269771
0.800000,0.370000,0.250000,0.042390,41.926490,0.275314
0.900000,0.490000,0.500000,0.058880,42.011880,0.271619
0.900000,0.790000,0.750000,0.074421,41.670320,0.267923
0.700000,1.010000,1.000000,0.090944,41.584930,0.273466
0.700000,1.210000,1.250000,0.106343,41.157980,0.275314
1.000000,1.470000,1.500000,0.122813,41.841100,0.271619
0.800000,1.730000,1.750000,0.145911,42.865780,0.266075
0.900000,1.910000,2.000000,0.155020,41.157980,0.271619
1.000000,2.150000,2.250000,0.170498,41.670320,0.273466
0.600000,2.370000,2.500000,0.187030,41.926490,0.275314
1.000000,2.610000,2.750000,0.202460,42.097270,0.269771
0.700000,2.830000,3.000000,0.218992,42.438830,0.271619
0.700000,3.070000,3.250000,0.238049,41.328760,0.269771
0.900000,3.290000,3.500000,0.250532,42.609610,0.275314
0.800000,3.610000,3.750000,0.267011,42.609610,0.269771
0.900000,3.790000,4.000000,0.282463,42.865780,0.269771
0.800000,4.050000,4.250000,0.298963,43.207340,0.269771
0.900000,4.290000,4.500000,0.314418,42.695000,0.269771
0.800000,4.590000,4.750000,0.330885,43.121950,0.266075
0.800000,4.730000,5.000000,0.346285,42.695000,0.269771
0.900000,5.070000,5.250000,0.362766,42.865780,0.269771
0.800000,5.230000,5.500000,0.379173,42.780390,0.269771
1.100000,5.510000,5.750000,0.394730,42.609610,0.273466
0.800000,5.790000,6.000000,0.410188,42.097270,0.275314
1.000000,6.070000,6.250000,0.449045,42.865780,0.275314
0.900000,6.270000,6.500000,0.465778,42.865780,0.271619
1.000000,6.410000,6.750000,0.481236,42.780390,0.262380
0.900000,6.670000,7.000000,0.497724,42.780390,0.267923
1.000000,6.870000,7.250000,0.513194,42.951170,0.269771
1.100000,7.150000,7.500000,0.529691,42.951170,0.267923
1.000000,7.370000,7.750000,0.545085,42.865780,0.275314
1.000000,7.610000,8.000000,0.561485,42.524220,0.277162
0.700000,7.870000,8.250000,0.576948,42.011880,0.273466
0.800000,8.130000,8.500000,0.593376,41.926490,0.269771
1.000000,8.370000,8.750000,0.608860,41.670320,0.267923
1.000000,8.630000,9.000000,0.634461,42.524220,0.269771
0.900000,8.750000,9.250000,0.642993,41.841100,0.275314
1.000000,9.050000,9.500000,0.657463,41.414150,0.267923
0.700000,9.290000,9.750000,0.672943,41.755710,0.271619
1.100000,9.550000,10.000000,0.689428,41.584930,0.273466
0.800000,9.810000,10.250000,0.704857,41.414150,0.275314
1.000000,9.990000,10.500000,0.721296,41.670320,0.275314
1.100000,10.270000,10.750000,0.744601,42.524220,0.271619
0.600000,10.350000,11.000000,0.753793,41.670320,0.267923
0.800000,10.750000,11.250000,0.769278,41.755710,0.266075
1.100000,10.930000,11.500000,0.785871,42.182660,0.264228
0.800000,11.150000,11.750000,0.801329,42.353440,0.271619
1.000000,11.470000,12.000000,0.816806,42.609610,0.271619
1.000000,11.710000,12.250000,0.835445,42.268050,0.269771
0.800000,11.930000,12.500000,0.849018,42.695000,0.269771
1.100000,12.230000,12.750000,0.865448,42.695000,0.267923
0.800000,12.430000,13.000000,0.880955,42.695000,0.267923
0.800000,12.670000,13.250000,0.897494,42.609610,0.267923
1.100000,12.910000,13.500000,0.912965,42.524220,0.269771
1.000000,13.150000,13.750000,0.929408,42.353440,0.269771
1.000000,13.350000,14.000000,0.944851,42.268050,0.269771
