# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-02
# Fit of Tap:
#	Ic = 174 +/- 0.11 A
#	n = 52.7 +/- 2 
#	Vc = 5 uV
#	Vfloor = 1.09 +/- 0.013 uV
#	R = 0.00254 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.190000,0.000000,0.024547,12.893890,-4.848485
1.000000,0.350000,0.250000,0.040362,12.723110,-4.818921
1.000000,0.490000,0.500000,0.056131,12.979280,-4.802291
1.100000,0.670000,0.750000,0.071891,13.064670,-4.776423
0.900000,0.930000,1.000000,0.088667,13.064670,-4.778271
1.000000,1.270000,1.250000,0.104672,12.808500,-4.767184
0.900000,1.430000,1.500000,0.122813,12.893890,-4.774575
0.900000,1.670000,1.750000,0.138879,12.637720,-4.770880
0.900000,1.870000,2.000000,0.153876,12.808500,-4.722838
1.000000,2.090000,2.250000,0.169927,12.552330,-4.700665
1.100000,2.330000,2.500000,0.185924,12.466940,-4.691426
1.000000,2.650000,2.750000,0.201932,12.466940,-4.687731
0.900000,2.830000,3.000000,0.218015,12.381550,-4.682188
0.800000,3.090000,3.250000,0.237831,12.808500,-4.730229
1.000000,3.290000,3.500000,0.249945,12.125380,-4.709904
0.800000,3.570000,3.750000,0.265948,12.039990,-4.728381
1.000000,3.830000,4.000000,0.292840,12.552330,-4.854028
1.100000,3.950000,4.250000,0.302624,12.552330,-4.698817
0.800000,4.230000,4.500000,0.314098,12.466940,-4.745011
0.800000,4.490000,4.750000,0.327856,12.296160,-4.813378
0.800000,4.790000,5.000000,0.344622,12.125380,-4.818921
0.700000,5.030000,5.250000,0.360499,12.296160,-4.824464
1.100000,5.210000,5.500000,0.376313,12.466940,-4.831855
0.800000,5.450000,5.750000,0.392125,12.466940,-4.848485
0.800000,5.710000,6.000000,0.407886,12.723110,-4.830007
1.100000,5.930000,6.250000,0.424658,12.808500,-4.826312
1.000000,6.170000,6.500000,0.440796,12.893890,-4.828160
0.900000,6.370000,6.750000,0.456628,12.893890,-4.809682
1.100000,6.610000,7.000000,0.472396,12.979280,-4.787509
1.000000,6.910000,7.250000,0.488141,12.893890,-4.763489
0.600000,7.170000,7.500000,0.503890,12.637720,-4.739468
0.900000,7.390000,7.750000,0.520647,12.893890,-4.743163
0.900000,7.570000,8.000000,0.536387,12.466940,-4.713599
0.900000,7.810000,8.250000,0.552134,12.808500,-4.702513
1.000000,8.110000,8.500000,0.567876,12.637720,-4.693274
1.000000,8.390000,8.750000,0.590676,12.808500,-4.815225
0.900000,8.450000,9.000000,0.599989,12.125380,-4.680340
1.100000,8.810000,9.250000,0.617026,12.210770,-4.669254
1.100000,8.990000,9.500000,0.631882,11.869210,-4.709904
0.900000,9.230000,9.750000,0.648071,11.869210,-4.722838
1.000000,9.490000,10.000000,0.663888,11.954600,-4.746859
1.000000,9.790000,10.250000,0.680675,12.039990,-4.752402
1.000000,9.950000,10.500000,0.696446,11.869210,-4.776423
0.900000,10.170000,10.750000,0.712216,11.954600,-4.796748
0.900000,10.490000,11.000000,0.727991,12.210770,-4.822616
0.900000,10.710000,11.250000,0.744754,12.210770,-4.824464
1.000000,10.910000,11.500000,0.760534,12.466940,-4.842942
1.100000,11.210000,11.750000,0.776302,12.466940,-4.852180
1.000000,11.470000,12.000000,0.792069,12.723110,-4.844789
1.100000,11.670000,12.250000,0.807827,12.893890,-4.835551
0.900000,11.930000,12.500000,0.824589,12.723110,-4.835551
1.200000,12.170000,12.750000,0.840337,12.893890,-4.813378
1.000000,12.170000,13.000000,0.856990,12.723110,-4.824464
1.100000,12.550000,13.250000,0.871958,12.979280,-4.761641
1.100000,12.910000,13.500000,0.890599,12.893890,-4.831855
0.800000,13.070000,13.750000,0.904849,12.808500,-4.756098
1.100000,13.310000,14.000000,0.920675,12.893890,-4.733925
0.700000,13.490000,14.250000,0.936447,12.808500,-4.709904
1.000000,13.810000,14.500000,0.952224,12.552330,-4.685883
1.100000,14.070000,14.750000,0.968017,12.381550,-4.680340
1.100000,14.270000,15.000000,0.984786,12.381550,-4.689579
1.100000,14.590000,15.250000,1.000551,12.125380,-4.691426
1.000000,14.670000,15.500000,1.016378,12.296160,-4.696970
1.200000,15.010000,15.750000,1.034355,12.381550,-4.704361
1.000000,15.290000,16.000000,1.050340,12.125380,-4.717295
1.200000,15.490000,16.250000,1.069557,12.637720,-4.722838
1.100000,15.630000,16.500000,1.082611,11.698430,-4.737620
0.800000,15.910000,16.750000,1.098583,12.039990,-4.763489
1.000000,16.170000,17.000000,1.114810,11.954600,-4.765336
1.100000,16.350000,17.250000,1.128354,12.039990,-4.830007
1.100000,16.650000,17.500000,1.144149,12.296160,-4.854028
1.000000,16.870000,17.750000,1.159929,12.381550,-4.861419
1.100000,17.190000,18.000000,1.176748,12.210770,-4.859571
1.100000,17.430000,18.250000,1.193382,12.296160,-4.854028
0.800000,17.670000,18.500000,1.208756,12.637720,-4.857724
1.200000,17.870000,18.750000,1.224554,12.808500,-4.848485
1.200000,18.090000,19.000000,1.240318,12.723110,-4.839246
1.000000,18.310000,19.250000,1.256066,12.979280,-4.809682
1.100000,18.590000,19.500000,1.273360,12.637720,-4.824464
1.200000,18.830000,19.750000,1.288246,12.979280,-4.778271
1.000000,19.070000,20.000000,1.304006,12.893890,-4.748707
1.200000,19.370000,20.250000,1.320767,12.637720,-4.754250
1.000000,19.530000,20.500000,1.336524,12.637720,-4.726534
1.000000,19.810000,20.750000,1.352269,12.552330,-4.719143
1.100000,19.990000,21.000000,1.368148,12.552330,-4.704361
1.000000,20.210000,21.250000,1.383956,12.296160,-4.693274
1.100000,20.470000,21.500000,1.400709,12.466940,-4.693274
0.900000,20.690000,21.750000,1.416479,12.125380,-4.687731
1.000000,20.910000,22.000000,1.432269,11.869210,-4.696970
1.100000,21.190000,22.250000,1.448033,12.039990,-4.728381
1.100000,21.390000,22.500000,1.464797,11.783820,-4.728381
1.200000,21.670000,22.750000,1.483126,12.125380,-4.700665
1.100000,21.910000,23.000000,1.499725,12.125380,-4.711752
