# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-04
# Fit of Tap:
#	Ic = 101 +/- 1.7 A
#	n = 50 +/- 1.5 
#	Vc = 5 uV
#	Vfloor = 1.01 +/- 2.1e+53 uV
#	R = 0.418 +/- 1.3e+44 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.230000,0.000000,0.051241,12.552330,-4.805987
1.000000,0.350000,0.250000,0.071139,12.296160,-4.842942
0.900000,0.570000,0.500000,0.087479,12.296160,-4.842942
1.100000,0.770000,0.750000,0.099757,12.552330,-4.763489
1.100000,0.970000,1.000000,0.115534,12.637720,-4.752402
1.100000,1.250000,1.250000,0.131301,12.381550,-4.739468
0.900000,1.450000,1.500000,0.147063,12.637720,-4.722838
0.900000,1.690000,1.750000,0.162808,12.296160,-4.711752
0.900000,1.910000,2.000000,0.179559,12.466940,-4.717295
1.200000,2.090000,2.250000,0.195444,12.552330,-4.713599
0.900000,2.330000,2.500000,0.211387,12.296160,-4.708056
0.900000,2.610000,2.750000,0.227217,12.381550,-4.713599
0.700000,2.810000,3.000000,0.242990,12.381550,-4.750554
1.100000,3.070000,3.250000,0.259737,12.381550,-4.743163
1.000000,3.350000,3.500000,0.275495,12.296160,-4.763489
1.100000,3.590000,3.750000,0.291250,12.125380,-4.785661
0.800000,3.870000,4.000000,0.307046,12.296160,-4.798596
0.800000,4.050000,4.250000,0.322798,12.125380,-4.826312
1.000000,4.230000,4.500000,0.339546,12.125380,-4.837398
0.900000,4.470000,4.750000,0.355291,12.466940,-4.855876
0.700000,4.790000,5.000000,0.371060,12.296160,-4.848485
0.900000,5.070000,5.250000,0.387269,12.210770,-4.848485
1.100000,5.230000,5.500000,0.403552,12.210770,-4.850333
0.900000,5.450000,5.750000,0.419370,12.466940,-4.854028
1.000000,5.710000,6.000000,0.435170,12.637720,-4.844789
1.100000,5.950000,6.250000,0.451033,12.466940,-4.817073
0.900000,6.190000,6.500000,0.466911,12.552330,-4.789357
1.000000,6.390000,6.750000,0.482787,12.637720,-4.763489
0.900000,6.630000,7.000000,0.499591,12.552330,-4.772727
1.000000,6.910000,7.250000,0.515342,12.552330,-4.748707
0.800000,7.150000,7.500000,0.531086,12.296160,-4.728381
0.900000,7.390000,7.750000,0.546869,12.296160,-4.711752
0.900000,7.570000,8.000000,0.563611,12.466940,-4.702513
1.100000,7.830000,8.250000,0.580963,12.552330,-4.720990
1.100000,8.050000,8.500000,0.595675,12.466940,-4.704361
1.000000,8.350000,8.750000,0.611481,12.381550,-4.702513
0.900000,8.550000,9.000000,0.627235,12.381550,-4.719143
1.000000,8.790000,9.250000,0.642974,12.381550,-4.741316
1.100000,9.010000,9.500000,0.659720,12.210770,-4.737620
1.000000,9.290000,9.750000,0.683337,12.637720,-4.767184
1.000000,9.410000,10.000000,0.690997,12.210770,-4.778271
1.000000,9.670000,10.250000,0.706796,12.381550,-4.802291
0.900000,9.990000,10.500000,0.723586,12.296160,-4.796748
0.900000,10.210000,10.750000,0.739357,12.296160,-4.824464
1.100000,10.430000,11.000000,0.757067,12.381550,-4.807834
1.100000,10.730000,11.250000,0.773007,12.296160,-4.818921
0.900000,10.930000,11.500000,0.791999,12.125380,-4.763489
0.800000,11.150000,11.750000,0.804992,12.381550,-4.830007
1.100000,11.470000,12.000000,0.820954,12.296160,-4.844789
1.100000,11.670000,12.250000,0.836968,12.552330,-4.837398
1.100000,11.890000,12.500000,0.852704,12.723110,-4.824464
1.100000,12.170000,12.750000,0.867458,12.808500,-4.796748
0.900000,12.370000,13.000000,0.883206,12.808500,-4.780118
1.100000,12.630000,13.250000,0.898944,12.552330,-4.761641
1.100000,12.850000,13.500000,0.915686,12.552330,-4.756098
1.000000,13.070000,13.750000,0.931418,12.637720,-4.732077
0.800000,13.350000,14.000000,0.947296,12.808500,-4.719143
0.800000,13.530000,14.250000,0.963091,12.466940,-4.709904
1.200000,13.810000,14.500000,0.989237,12.466940,-4.833703
1.000000,13.950000,14.750000,0.996023,12.552330,-4.706208
1.200000,14.250000,15.000000,1.010812,12.637720,-4.708056
1.400000,14.510000,15.250000,1.027582,12.552330,-4.704361
1.100000,14.750000,15.500000,1.043329,12.296160,-4.737620
1.000000,15.030000,15.750000,1.059070,12.296160,-4.750554
1.000000,15.210000,16.000000,1.074824,12.296160,-4.794900
0.900000,15.530000,16.250000,1.091567,12.296160,-4.794900
1.300000,15.690000,16.500000,1.107318,12.296160,-4.813378
1.000000,15.910000,16.750000,1.123059,12.466940,-4.835551
1.000000,16.230000,17.000000,1.138819,12.210770,-4.859571
1.000000,16.470000,17.250000,1.155571,12.125380,-4.857724
1.300000,16.650000,17.500000,1.171314,12.296160,-4.857724
1.000000,16.890000,17.750000,1.187777,12.210770,-4.855876
0.900000,17.170000,18.000000,1.203652,12.125380,-4.870658
1.000000,17.410000,18.250000,1.219455,12.381550,-4.863267
1.000000,17.650000,18.500000,1.235228,12.552330,-4.852180
1.100000,17.850000,18.750000,1.251005,12.723110,-4.826312
1.400000,18.090000,19.000000,1.266762,12.552330,-4.793052
1.000000,18.390000,19.250000,1.283315,12.552330,-4.785661
1.100000,18.590000,19.500000,1.299558,12.723110,-4.772727
1.100000,18.790000,19.750000,1.315339,12.466940,-4.752402
1.000000,19.030000,20.000000,1.331079,12.637720,-4.743163
1.000000,19.270000,20.250000,1.346889,12.637720,-4.713599
1.100000,19.610000,20.500000,1.363644,12.466940,-4.719143
0.900000,19.790000,20.750000,1.379843,12.552330,-4.715447
1.000000,20.030000,21.000000,1.395631,12.552330,-4.704361
1.200000,20.170000,21.250000,1.411375,12.466940,-4.715447
1.300000,20.390000,21.500000,1.427122,12.466940,-4.726534
1.100000,20.670000,21.750000,1.443004,12.210770,-4.748707
1.100000,20.930000,22.000000,1.458823,12.466940,-4.770880
1.100000,21.230000,22.250000,1.475598,12.210770,-4.759793
1.200000,21.410000,22.500000,1.491349,12.039990,-4.780118
1.000000,21.650000,22.750000,1.507106,12.381550,-4.804139
1.300000,21.890000,23.000000,1.522859,12.210770,-4.826312
1.200000,22.150000,23.250000,1.539693,12.381550,-4.833703
1.100000,22.350000,23.500000,1.555507,12.125380,-4.861419
1.300000,22.550000,23.750000,1.573305,12.296160,-4.844789
1.100000,22.890000,24.000000,1.608192,12.125380,-4.802291
